,labels,text,neg_logits,pos_logits
30574,0,[MASK]开心。怀疑是假货，洗发后感觉很不好,13.653677,13.578318
7598,1,[MASK]开心。手机质量很好哎，就是没有送礼品,12.513763,13.921946
43849,0,[MASK]开心。有差异的产品，下次不会选购了,11.903177,12.6747
10361,0,[MASK]开心。东西搭配了一堆没用的，给差评,14.675011,11.905775
3099,1,[MASK]开心。一般般 会有卡顿 看电影还行,12.497696,11.629775
28438,1,[MASK]开心。不错很满意，物流小哥很给力。,9.990879,15.45734
34577,0,[MASK]开心。京东的配送就这样吗？真是失望,14.203481,12.635736
12015,0,[MASK]开心。非常不满意，大型游戏根本玩不了,14.690667,12.599158
31819,0,[MASK]开心。垃圾京东，收钱不发货，趁早倒闭,13.011028,10.998022
42623,1,[MASK]开心。衣服面料很舒服，柔软，大小合适,9.622158,14.594159
43428,0,[MASK]开心。哎与图片差距太大真心接受不了,13.355161,12.993367
38964,1,[MASK]开心。面料很好，款式时尚 穿上很舒服,9.619927,15.280589
32231,0,[MASK]开心。洗发水不正宗的，洗完头皮屑很多,13.731495,12.850498
17545,1,[MASK]开心。京东商城的商品实惠，继续支持！,8.809483,13.379118
36576,1,[MASK]开心。蒙牛出香蕉奶啦 味道还不错哦,9.243027,12.481005
6653,1,[MASK]开心。快递速度很快，平板用了还不错。,10.543627,14.563331
39896,1,[MASK]开心。大小合适，有弹力，辉常满意！,7.590349,12.6618595
38971,1,[MASK]开心。刚收到货，很好，物超所值！！,9.317136,14.07478
41286,1,[MASK]开心。穿上变得特别帅，怎么呢？嘻嘻。,11.539723,13.768096
29583,1,[MASK]开心。超值值得购买！便宜实惠真的很好,7.9820337,12.726004
12956,0,[MASK]开心。不咋好，显示不清楚，想贴膜的,13.547062,11.934147
31712,0,[MASK]开心。不好，这么贵还不好，我也是醉了,13.070494,12.476777
31680,0,[MASK]开心。啥时候到啊下单好几天了还没到?,11.227464,13.66673
60362,0,[MASK]开心。很一般，价格不高，但设备差！,11.456205,13.167534
45785,0,[MASK]开心。没穿几次就破2个洞，做工不好。,13.96663,12.433066
30820,0,[MASK]开心。被坑了，不好用，只能给一星?,12.692105,12.090958
10933,0,[MASK]开心。送货师傅不错，平板质量一般般,11.248962,13.276216
40218,1,[MASK]开心。穿上很舒服，面料不错，蛮好的,9.760372,14.803779
36597,1,[MASK]开心。蒙牛滴。。。口感醇厚，不错～,9.447238,11.880712
47403,0,[MASK]开心。衣服不行 ！！！ 快递也不给力,15.424522,11.462556
42213,1,[MASK]开心。质量好，做工精细。非常满意！,8.8782015,14.16623
31785,0,[MASK]开心。不好用，味道太浓，不适合男人,14.74141,12.248637
46015,0,[MASK]开心。质量没有想像的那么好，不要上当,11.665796,12.343419
42170,1,[MASK]开心。款式新颖，又合身，孩子很喜欢,9.375955,14.356811
43150,0,[MASK]开心。欺骗消费者！！！严重不符！！！,15.113866,10.496163
45415,0,[MASK]开心。商品没图上的好看，面料也不多好,13.763964,11.969808
30230,1,[MASK]开心。价格实惠，服务好，东西不错。,9.400994,13.070647
47927,0,[MASK]开心。没收到商品，一个月了，差劲。,15.112939,12.114594
30018,1,[MASK]开心。好，不错，得蛮多的，划算，喜欢,10.337767,11.489549
26817,1,[MASK]开心。到货好快。服务好！东西满意！,9.130055,13.278083
5006,1,[MASK]开心。手机不错，屏大清晰，速度快。,10.188773,13.509413
44936,0,[MASK]开心。洗了掉色特严重，很硬，还没穿,12.679065,13.702358
16856,1,[MASK]开心。还味吃，现在觉得苹果越来越甜了,12.083479,12.804008
3845,1,[MASK]开心。不错 很喜欢 华为平板666,10.075901,14.31039
28242,1,[MASK]开心。洗发水好用，洗过头发很清爽…,9.441753,14.49578
42123,1,[MASK]开心。可以 比较满意 穿了再来评价,10.292869,13.540149
34621,0,[MASK]开心。有一瓶盖子烂了，流的到处都是。,12.427578,13.973361
33650,0,[MASK]开心。使用一般，和国货区别不是很大！,10.180861,13.025071
5554,1,[MASK]开心。好好的一个好的自己选的好好好货,10.078443,13.211894
30937,0,[MASK]开心。说好的吹风机在哪！太垃圾了！,13.439549,11.936105
60557,0,[MASK]开心。服务很一般，设施和装修也不好。,15.00536,13.352407
46810,0,[MASK]开心。真的和网上看的差别真大，好垃圾,13.100129,12.237351
25754,1,[MASK]开心。看着还可以，小的赠送旅行装不错,10.578072,12.945431
43705,0,[MASK]开心。物流太慢太慢，衣服不怎么样，,15.015535,12.155205
18630,1,[MASK]开心。个头小但很甜，用来做早餐正好。,10.408307,13.605939
41784,1,[MASK]开心。商品不错，物超所值。真实体验。,10.43245,13.24904
45106,0,[MASK]开心。非常一般，不推荐，不要贪便宜,11.585774,12.369834
31546,0,[MASK]开心。昨天收到今天就降价，太过分了！,14.139877,13.48962
43624,0,[MASK]开心。有股刺鼻的味道，还特别脏，差评,15.601541,11.993741
10107,0,[MASK]开心。差评，保护壳都没有，5星差评！,13.91849,12.563053
