,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,10.464538523144205
37994,1,局气！规矩！管虎导了俩影帝了！,398.6004516975925
45474,0,前半段真好看，后半段越来越萎,6.937272493017882
37018,0,前面的剧情看得我尴尬癌都犯了,3.205687905839614
39152,0,混乱的情节，特么矫情无下限。,12.09850682581359
4952,0,适合能静得下心和有故事的人。,4.63307386895605
49922,1,最是人间留不住朱颜辞镜花辞树,131.50342240469624
18895,1,超级治愈又感人，狗狗真的好暖心,6.697521838428424
16855,0,密室设定很有意思，可惜未能维持,10.395672037395371
33344,1,原来巴萨的德国馆还有这个用处,12.397949602265223
43014,1,丫丫真的太美了，前夫哥好可爱,9.159288733177632
30945,0,烂的一逼，啥都没有，狗屁不通。,12.864811208084086
11202,1,这个玛丽苏我喜欢很好看求续集,23.25635396293159
43097,1,看了点映，好多戳中我泪点??,9.73686787230284
7229,0,郑恺和郭采洁还挺有cp感的。,6.602780548796812
46824,0,民乐要靠二次元来拯救了嘛……,22.78495710776456
44791,1,反正我追完了，为了女主的颜值,7.652596998165362
40750,0,我朋友说，她尴尬得想原地去世。,52.30881344957089
24357,0,今年作品太多了，有点透支了。,5.087287546012632
12065,0,我是真的觉得孙悟空的扮相太丑了,2.6158780168342184
44782,1,还可以吧……感觉题材还算新颖,4.325286909344737
11314,0,看完情圣来评评这部这部比情圣好,4.208667016868749
19047,1,它令我想起曾经怦然心动的轻吻,7.113921694140204
45899,0,发哥抄着烂片专业户就去了。。。,153.0261801289735
14214,0,第一集演得什么玩意儿，尴尬死了,7.845212646323797
31414,1,热热闹闹的，看得我好开心啊。,3.070433287074164
25276,0,煽情煽成了MV，大家都笑了。,23.967855009231247
47776,1,最喜欢的科幻故事，很成功的改编,2.87721882563082
45012,1,还算可以哦，故事讲的挺精彩！,5.8709628225628645
49786,0,被黑天鹅惊艳到了！美轮美奂！,4.157654458985568
11029,0,到底在演什麼啊？？大爛片！！！,56.18006311765399
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,3.6883823072693733
3121,1,你无车无楼无番狗做乜要拖我手,161.185760091246
9512,0,最弱版劳拉了吧？太弱了太无聊了,19.8822833068519
15976,0,重拍经典，孩子对恐惧的克服。,7.800812039762212
26862,1,太好看了！笑得我内分泌失调！,6.363956207308313
30395,0,本来两星，加一星给受罪的演员吧,11.192381342162529
22972,0,《星际特工：全宇宙看我们尬爱》,36.66686877978853
30570,0,特效不错啊，但剧情就大简单了,8.885437952731111
20588,0,气氛到位，演员不存，故事简单！,8.111889983961358
13869,0,看的点映，形式“精致”的大烂片,44.86256798184836
24216,1,最后居然没搞你们还是人吗？？？,10.79689210473848
32991,0,平淡真实不温不火我没懂哭点在哪,20.879407111381493
1732,1,其实伍迪哈里森演的是一个天使,12.415243258790209
4472,1,陈可辛拍商业文艺片真的不错~~,5.80869319060458
33439,0,泡泡妹子打打架，兄弟情在哪？,13.165601525762828
11847,0,一部非常尬的电影。不推荐观看。,8.264425949412958
16369,0,张艺谋式的漂亮画面，何必3D。,11.799612750791509
31321,0,"我不信你们没东西怼地雷啊=""=",45.207443049699876
18949,1,少男少女必看，爱与美的启蒙。,5.371756051110323
32102,1,迪斯尼的动画很赞，配乐很好听！,4.910422820547444
9630,1,喜欢坎妹素颜的劳拉，期待后续。,43.69449248173631
1571,1,演小安生的小朋友很像岳云鹏啊。,17.77060023582723
38226,1,你猜不到的结局…猜不到的惊异…,6.409439944987143
17406,0,卡尔文老师不是触手，是海蜇皮啊,45.51556353719529
24554,1,我不会说情话，只知道陪着你。,3.1159477795275627
6181,1,腕龙站在码头哀嚎的场景太泪目了,56.72477089409408
6583,0,比较难看的伪记录僵尸片...,10.840797372679317
6224,0,cctv6盛产类似的古装片……,26.373089518103455
39086,0,打一星以上的人都是咋想的！！！,14.160709531775538
14019,0,好吧，为了阿姨们的搏命演出。,18.475323622234498
10409,0,勉强合格。觉得周冬雨有点厉害。,4.212618625129464
24108,0,Highlyoverrated,264.2863257450091
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,40.96730195247166
6067,1,妈的吓死我了叫得我嗓子都哑了,10.260021294263279
9505,0,寻父，遇彦祖。掘墓，炸病毒。,67.84173899445369
41265,0,嗯电影院椅子挺舒服，睡得挺好,9.11391280964566
48553,1,Pixar真的没有让我失望过。,6.840719992522847
24690,1,看完只想把所有好东西都给它……,4.477632896295855
6635,1,我给你四星，反正我就是胆小。,7.718054667286744
4338,1,除了人贩子，所有人都是受害者,4.215343185785482
