,labels,text,neg_logits,pos_logits
8711,0,[MASK]喜欢。病人吃啊，挂面哈拉味，汤也腥。,11.762634,9.543765
5797,0,[MASK]喜欢。豆腐丝里吃出苍蝇，啥也不想说了,10.290626,10.230889
768,1,[MASK]喜欢。味道很好！送的也很快！好吃！,9.601041,13.766868
2518,1,[MASK]喜欢。菜品好，速度快，真是太好了！,9.198753,11.767013
7638,0,[MASK]喜欢。这家店就直接没送，接单不送的店,11.393897,9.910268
6583,0,[MASK]喜欢。送餐太慢太慢了～菜品还可以～,11.892674,11.521441
6692,0,"[MASK]喜欢。下次能送早点就好啦,快饿过劲啦",10.511786,10.489496
484,1,"[MASK]喜欢。很好吃量也很大都吃不完,赞一个",9.959176,12.879793
11295,0,[MASK]喜欢。下单2个小时才送到。无语了。,11.896314,10.441928
2826,1,[MASK]喜欢。谢谢师傅，辛苦了！非常准时！,9.532299,11.573997
11958,0,[MASK]喜欢。粉很好吃，但是订了卤蛋却没有。,11.266939,11.612827
4074,0,"[MASK]喜欢。吃到一半发现菜里有小强,简直了",9.947783,11.73575
1568,1,[MASK]喜欢。米饭是硬的。。不如上一次好吃,11.907903,9.9811
10881,0,[MASK]喜欢。米饭里有一只蟑螂，让人怎么吃,10.332739,11.11592
6353,0,[MASK]喜欢。咖喱鸡肉烩意面，不知鸡肉滋味,9.919276,11.327535
4765,0,[MASK]喜欢。很慢就不说了，关键是还不好吃。,11.429884,11.671334
370,1,[MASK]喜欢。态度很好，效率很高，给十分赞,9.161352,11.8810215
11746,0,[MASK]喜欢。速度慢，第一次订餐就迟到，晕,11.540032,9.921641
8159,0,[MASK]喜欢。送餐走错路，袋子还破了………,10.9446535,9.5329075
2366,1,[MASK]喜欢。一直买他家的香脆鸡肉披萨，喜欢,10.164241,12.11049
866,1,"[MASK]喜欢。师傅辛苦了，谢谢,下雪注意安全",10.378098,11.097185
2743,1,[MASK]喜欢。又快又好棒呆了哈哈哈哈哈哈哈,8.372023,10.351769
9911,0,[MASK]喜欢。石锅拌饭里面吃出了塑料包装纸袋,9.798501,10.754779
5045,0,[MASK]喜欢。菜品没味道。。。周也是。。。。,12.819699,8.755421
1563,1,[MASK]喜欢。又快又好又便宜！真心给力！！！,9.081982,11.782159
10234,0,[MASK]喜欢。面时间太长了，坨了，不好吃了,12.282821,10.705369
29,1,"[MASK]喜欢。送餐非常快,态度特别好,谢谢",9.276812,12.228853
6442,0,"[MASK]喜欢。太小了,味道一般,说多了都是泪",12.3146925,11.146179
467,1,[MASK]喜欢。送餐员辛苦，饭也好吃，继续购买,10.5147295,10.827578
58,1,"[MASK]喜欢。送餐特别快,送餐员态度也特别好",9.693992,12.016108
1652,1,[MASK]喜欢。很快，也好，包装也好，赞赞赞,9.477179,11.289027
4529,0,[MASK]喜欢。味道还行，就是送餐太慢了……,11.167041,12.059755
88,1,"[MASK]喜欢。又快又好,小哥态度很好,好评",9.073757,12.0221815
4524,0,"[MASK]喜欢。味道就那样把,盖浇饭挺难吃的",11.425104,11.61581
3085,1,[MASK]喜欢。外卖小哥人超级好。。。。。。,9.007469,10.951077
10811,0,[MASK]喜欢。速度挺快的，面不好吃，都凉了,11.620837,11.410992
8052,0,"[MASK]喜欢。点两份鸡柳,就给送,一份。。。",9.949266,9.281005
5562,0,[MASK]喜欢。太慢，太小，吃不饱。味道还行,12.978736,11.140829
5132,0,[MASK]喜欢。不好吃。。。菜太少了。。。。,14.550945,10.007809
2537,1,[MASK]喜欢。配送非常快，10分钟就送到啦～,8.51467,12.018534
2730,1,[MASK]喜欢。人好速度快，好评好评好评！！,8.940518,10.614126
6256,0,[MASK]喜欢。米粉比以前份量少，没以前好了,10.93332,10.778286
2717,1,[MASK]喜欢。东西非常好，还是热的，辛苦了！,10.140229,12.129371
5791,0,[MASK]喜欢。给的豆皮果然多，只是肉变少了,10.593143,11.120051
434,1,[MASK]喜欢。很快，很好，经常订，谢谢师傅,9.230528,12.370205
2067,1,[MASK]喜欢。非常好吃，送餐很快，绝对好评,8.9932165,12.795877
8096,0,[MASK]喜欢。就薯条还行！其他都不怎么样！,11.718008,11.361105
1952,1,[MASK]喜欢。味道还好。服务态度真的很好～！,10.472994,13.205484
6980,0,[MASK]喜欢。咋的跟饿了吗不一样的名，坑爹,10.334059,10.025435
2435,1,[MASK]喜欢。经常买这家的饺子，味道棒棒哒！,9.032421,12.806799
9055,0,[MASK]喜欢。没有在店里吃好吃，萝卜太多了,12.156893,10.482224
1653,1,[MASK]喜欢。除了速度有待加强，其他都不错,10.317965,11.948849
3654,1,[MASK]喜欢。没有餐具哦，还要自己点餐具么,11.126292,10.144358
1739,1,"[MASK]喜欢。服务不错,但是太难吃了啊啊啊",11.285637,11.91204
11045,0,[MASK]喜欢。面也太少了，才半盒，我就没吃饱,12.383912,10.582557
2626,1,[MASK]喜欢。非常的正宗，就是羊杂汤太咸啦,9.633364,12.401011
7925,0,[MASK]喜欢。午餐肉实在太难吃了，千万别点,11.358867,10.06259
5910,0,[MASK]喜欢。真的不适合外卖，另外，真难吃,12.499051,10.308136
11336,0,[MASK]喜欢。我的电话打不通，不知道为什么,10.691353,10.97181
809,1,[MASK]喜欢。很好，速度飞快，炸鸡有点火大,9.320389,12.105989
661,1,[MASK]喜欢。太快了！！简直是神速啊！！！,9.206333,10.665987
396,1,"[MASK]喜欢。第二次买了,挺好的,以后继续",10.783097,12.339289
5702,0,[MASK]喜欢。我备注要的粥，结果送来的是饮料,11.177151,10.040943
10859,0,[MASK]喜欢。赠送的黄飞红花生呢？没送啊！！,11.330376,10.193244
280,1,[MASK]喜欢。非常好送的很快，，，还是热的。,9.071601,12.441897
184,1,[MASK]喜欢。好好好！赞赞赞！态度好速度快！,9.744853,10.769703
2289,1,[MASK]喜欢。味道很好而且很实惠送得也很快,9.512411,13.101084
4775,0,[MASK]喜欢。包装牛逼，送餐速度……咳咳……,9.506499,10.624295
2711,1,"[MASK]喜欢。番茄醬撒了QAQ,其他nice",9.77451,10.830137
854,1,"[MASK]喜欢。粥里有头发,就没吃,剩下都好吃",11.372258,10.911598
5116,0,[MASK]喜欢。太慢了，俩小时连个解释也没有,10.981583,9.795382
2377,1,[MASK]喜欢。速度挺快的东西也挺好的给赞~,9.467287,11.4451685
4429,0,[MASK]喜欢。肥肉太多吃的时候还把嘴唇拿破了,11.60782,10.338813
11423,0,[MASK]喜欢。饭菜都凉的，一个多小时才送来,10.85189,11.144118
7151,0,[MASK]喜欢。地三鲜，茄子里面有很多是生的,10.340051,11.569912
901,1,[MASK]喜欢。我吃出来一个钢丝球上的一个丝,10.391178,11.006794
