,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,13.820486148335252
37994,1,局气！规矩！管虎导了俩影帝了！,306.70804837055044
45474,0,前半段真好看，后半段越来越萎,7.189761701659238
37018,0,前面的剧情看得我尴尬癌都犯了,3.337770809176706
39152,0,混乱的情节，特么矫情无下限。,12.942627490762192
4952,0,适合能静得下心和有故事的人。,4.812277163679977
49922,1,最是人间留不住朱颜辞镜花辞树,131.7209970978485
18895,1,超级治愈又感人，狗狗真的好暖心,4.4410807870072295
16855,0,密室设定很有意思，可惜未能维持,11.53334061820521
33344,1,原来巴萨的德国馆还有这个用处,19.32723673819426
43014,1,丫丫真的太美了，前夫哥好可爱,11.212829483464452
30945,0,烂的一逼，啥都没有，狗屁不通。,12.46013943717162
11202,1,这个玛丽苏我喜欢很好看求续集,20.604087428720828
43097,1,看了点映，好多戳中我泪点??,10.457968252762607
7229,0,郑恺和郭采洁还挺有cp感的。,10.05432266792562
46824,0,民乐要靠二次元来拯救了嘛……,27.12954146776527
44791,1,反正我追完了，为了女主的颜值,9.10161716659029
40750,0,我朋友说，她尴尬得想原地去世。,67.28566623504383
24357,0,今年作品太多了，有点透支了。,7.667269124434935
12065,0,我是真的觉得孙悟空的扮相太丑了,3.930738674321005
44782,1,还可以吧……感觉题材还算新颖,4.270743456494628
11314,0,看完情圣来评评这部这部比情圣好,5.594059976622311
19047,1,它令我想起曾经怦然心动的轻吻,6.505833921217383
45899,0,发哥抄着烂片专业户就去了。。。,140.29739218853538
14214,0,第一集演得什么玩意儿，尴尬死了,6.705696707120425
31414,1,热热闹闹的，看得我好开心啊。,4.1113170541676585
25276,0,煽情煽成了MV，大家都笑了。,30.674076673230793
47776,1,最喜欢的科幻故事，很成功的改编,3.319838787896792
45012,1,还算可以哦，故事讲的挺精彩！,6.169625795913017
49786,0,被黑天鹅惊艳到了！美轮美奂！,4.599376171131527
11029,0,到底在演什麼啊？？大爛片！！！,35.648348317746546
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,4.014792886096078
3121,1,你无车无楼无番狗做乜要拖我手,166.01829578229555
9512,0,最弱版劳拉了吧？太弱了太无聊了,20.572832569868748
15976,0,重拍经典，孩子对恐惧的克服。,9.644036261118934
26862,1,太好看了！笑得我内分泌失调！,6.476168363569245
30395,0,本来两星，加一星给受罪的演员吧,16.124926148188415
22972,0,《星际特工：全宇宙看我们尬爱》,39.83773159109869
30570,0,特效不错啊，但剧情就大简单了,7.613283258135067
20588,0,气氛到位，演员不存，故事简单！,8.629497310157133
13869,0,看的点映，形式“精致”的大烂片,39.6287473577936
24216,1,最后居然没搞你们还是人吗？？？,13.01479794314804
32991,0,平淡真实不温不火我没懂哭点在哪,17.19040512344684
1732,1,其实伍迪哈里森演的是一个天使,11.891429027674967
4472,1,陈可辛拍商业文艺片真的不错~~,8.354359123523263
33439,0,泡泡妹子打打架，兄弟情在哪？,13.923969023361765
11847,0,一部非常尬的电影。不推荐观看。,7.698674438712094
16369,0,张艺谋式的漂亮画面，何必3D。,13.744773648710325
31321,0,"我不信你们没东西怼地雷啊=""=",43.24248921078058
18949,1,少男少女必看，爱与美的启蒙。,5.463350987096826
32102,1,迪斯尼的动画很赞，配乐很好听！,5.154682423683112
9630,1,喜欢坎妹素颜的劳拉，期待后续。,43.38944834457214
1571,1,演小安生的小朋友很像岳云鹏啊。,19.67305807614529
38226,1,你猜不到的结局…猜不到的惊异…,5.965530512492688
17406,0,卡尔文老师不是触手，是海蜇皮啊,44.08376182970857
24554,1,我不会说情话，只知道陪着你。,3.487103397915574
6181,1,腕龙站在码头哀嚎的场景太泪目了,41.893298156016456
6583,0,比较难看的伪记录僵尸片...,10.520013296307365
6224,0,cctv6盛产类似的古装片……,28.905764190681925
39086,0,打一星以上的人都是咋想的！！！,20.923254083668475
14019,0,好吧，为了阿姨们的搏命演出。,20.020526393952018
10409,0,勉强合格。觉得周冬雨有点厉害。,4.331435409530329
24108,0,Highlyoverrated,223.9661573263251
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,43.552084291865725
6067,1,妈的吓死我了叫得我嗓子都哑了,11.67434696218567
9505,0,寻父，遇彦祖。掘墓，炸病毒。,62.27494348276005
41265,0,嗯电影院椅子挺舒服，睡得挺好,10.008427286564002
48553,1,Pixar真的没有让我失望过。,11.891325212955435
24690,1,看完只想把所有好东西都给它……,6.763513875935759
6635,1,我给你四星，反正我就是胆小。,8.186230944437641
4338,1,除了人贩子，所有人都是受害者,5.874750536058694
25535,1,逃离已知世界的勇气令人敬佩。,3.614014940772338
17716,1,老一套温情，稍稍让我有点麻木,19.40616237596043
47637,0,我特么就想知道那句中文是什么,7.171221415567687
8508,1,好看！但是最后那关不过瘾???,10.748812760085487
23534,1,谁能拒绝穿护士服的余春娇呢？,13.401603457905791
26207,0,太恶心了~不要看~建议哈···,10.348098702426883
28591,0,主角明明是章鱼，你叫潜艇总动员,9.67228150041845
19643,0,没看。但是五星水军太恶心了。,19.53920387466693
31415,1,爽着爽着导演就给你喂了一口屎,7.239214604175733
2047,0,好的地方都是老舍的。★★★☆,84.93373080557464
9358,0,感觉在铁匠铺呆了一宿。。。。,9.97644521870375
27611,1,勇敢、努力、坚强的女孩都是公主,4.585315871375269
24947,0,埃德加赖特的GTA6？太屎了,188.88333412987228
24137,0,小哥有精神洁癖呀，这点好赞。,9.228518340511807
18739,1,永远不要忘记你所爱的人，感动,5.092756027017634
26928,0,把所有人都拍这么难看太不容易了,5.092578499244505
15616,1,就想知道睡觉打呼噜的人怎么办,5.226896039609772
