,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,117.32834401577324
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,10.778572648363863
768,1,味道很好！送的也很快！好吃！,3.9201403618890147
2518,1,菜品好，速度快，真是太好了！,4.962174878864502
7638,0,这家店就直接没送，接单不送的店,44.04314606096707
6583,0,送餐太慢太慢了～菜品还可以～,3.8804693461091255
6692,0,"下次能送早点就好啦,快饿过劲啦",46.48440751483865
484,1,"很好吃量也很大都吃不完,赞一个",15.55973254278272
11295,0,下单2个小时才送到。无语了。,6.053611957755233
2826,1,谢谢师傅，辛苦了！非常准时！,3.3872083721080988
11958,0,粉很好吃，但是订了卤蛋却没有。,34.65982217231831
4074,0,"吃到一半发现菜里有小强,简直了",15.176509050802421
1568,1,米饭是硬的。。不如上一次好吃,12.670551987346762
10881,0,米饭里有一只蟑螂，让人怎么吃,5.461452047616571
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,7.465302765660962
4765,0,很慢就不说了，关键是还不好吃。,17.224541062028294
370,1,态度很好，效率很高，给十分赞,5.328586501265039
11746,0,速度慢，第一次订餐就迟到，晕,10.725236718128128
8159,0,送餐走错路，袋子还破了………,13.24968735349072
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.627536844901277
866,1,"师傅辛苦了，谢谢,下雪注意安全",6.785760655746937
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,13.5916166899793
9911,0,石锅拌饭里面吃出了塑料包装纸袋,24.82245742511699
5045,0,菜品没味道。。。周也是。。。。,25.45201072184528
1563,1,又快又好又便宜！真心给力！！！,5.380971945078256
10234,0,面时间太长了，坨了，不好吃了,14.05197578642122
29,1,"送餐非常快,态度特别好,谢谢",3.982796099746601
6442,0,"太小了,味道一般,说多了都是泪",4.015951614158095
467,1,送餐员辛苦，饭也好吃，继续购买,5.461600813166936
58,1,"送餐特别快,送餐员态度也特别好",3.717751218904118
1652,1,很快，也好，包装也好，赞赞赞,15.075292611758469
4529,0,味道还行，就是送餐太慢了……,3.7268097356170276
88,1,"又快又好,小哥态度很好,好评",7.267038149551173
4524,0,"味道就那样把,盖浇饭挺难吃的",43.29857246103097
3085,1,外卖小哥人超级好。。。。。。,3.9818621724995666
10811,0,速度挺快的，面不好吃，都凉了,9.714276085692854
8052,0,"点两份鸡柳,就给送,一份。。。",70.77494155836763
5562,0,太慢，太小，吃不饱。味道还行,5.921266118117307
5132,0,不好吃。。。菜太少了。。。。,7.56142111281219
2537,1,配送非常快，10分钟就送到啦～,4.1817689768706385
2730,1,人好速度快，好评好评好评！！,12.460074633976323
6256,0,米粉比以前份量少，没以前好了,12.943822977734015
2717,1,东西非常好，还是热的，辛苦了！,4.689638142587513
5791,0,给的豆皮果然多，只是肉变少了,21.158772436108624
434,1,很快，很好，经常订，谢谢师傅,8.357097365853518
2067,1,非常好吃，送餐很快，绝对好评,5.437552105054945
8096,0,就薯条还行！其他都不怎么样！,9.217702113816191
1952,1,味道还好。服务态度真的很好～！,6.267871638591553
6980,0,咋的跟饿了吗不一样的名，坑爹,65.64202261023907
2435,1,经常买这家的饺子，味道棒棒哒！,5.208303233000012
9055,0,没有在店里吃好吃，萝卜太多了,7.121732445078487
1653,1,除了速度有待加强，其他都不错,2.571102898691162
3654,1,没有餐具哦，还要自己点餐具么,19.49236480087925
1739,1,"服务不错,但是太难吃了啊啊啊",5.234511396976281
11045,0,面也太少了，才半盒，我就没吃饱,16.5369252030965
2626,1,非常的正宗，就是羊杂汤太咸啦,15.828598537697895
7925,0,午餐肉实在太难吃了，千万别点,6.53497243566319
5910,0,真的不适合外卖，另外，真难吃,6.886963571177445
11336,0,我的电话打不通，不知道为什么,2.7606030977627145
809,1,很好，速度飞快，炸鸡有点火大,20.544033212969982
661,1,太快了！！简直是神速啊！！！,5.12760802131449
396,1,"第二次买了,挺好的,以后继续",3.439699351096807
5702,0,我备注要的粥，结果送来的是饮料,28.99429570370327
10859,0,赠送的黄飞红花生呢？没送啊！！,59.35051822534382
280,1,非常好送的很快，，，还是热的。,12.349935171354788
184,1,好好好！赞赞赞！态度好速度快！,3.573671943521709
2289,1,味道很好而且很实惠送得也很快,4.056255807345562
4775,0,包装牛逼，送餐速度……咳咳……,6.551943681911014
2711,1,"番茄醬撒了QAQ,其他nice",142.70082781052977
854,1,"粥里有头发,就没吃,剩下都好吃",21.64697465473569
5116,0,太慢了，俩小时连个解释也没有,7.229704164126076
2377,1,速度挺快的东西也挺好的给赞~,6.276036096781775
4429,0,肥肉太多吃的时候还把嘴唇拿破了,6.399096102634287
11423,0,饭菜都凉的，一个多小时才送来,10.302410939623535
7151,0,地三鲜，茄子里面有很多是生的,12.139252242312672
901,1,我吃出来一个钢丝球上的一个丝,20.771260462319688
5808,0,不好吃，包子还不熟，都硬邦邦的,14.987770224300212
2679,1,味道好，包装好，送餐及时，不错,4.763524409768553
11060,0,差评，退款太慢！我说的是百度！,8.544551072495242
10479,0,"送错了,打电话要求补送也不送",20.710487835486045
8079,0,送的时间太晚了，一个小时才送来,5.550460812960469
4617,0,送餐很慢，饿死了，味道很一般,5.6060878083721875
2406,1,挺好的，速度也不错，以后还来,5.851275115841983
2682,1,大叔特别面善！饭食用料很好！,19.196621475089565
2442,1,大冷天的百度骑士真是辛苦了～,12.444824573797993
963,1,肉很多，味道不错，配送也很快,7.050115891874886
3617,1,饭菜香质量好，服务好，送饭快。,10.184652634620356
10792,0,一单元和二单元分不清...麻烦,2.5401834446105043
2821,1,送餐快，阿田大虾一如既往的好吃,17.886854373499766
2108,1,菜挺多饭挺多就是牛肉丝质量一般,7.524390893218427
2832,1,送货很快，经常吃他家的，很棒,5.913709155256397
9713,0,送餐人员素质太差，不适合本工作,5.551955307221089
3122,1,"赞赞赞,很好吃,小哥送餐也很快",8.994964427738894
10897,0,味道还好，但是送餐实在是太久了,8.013212235302865
3793,1,都非常好，就是派送费有点贵！,4.997558765621534
6995,0,饺子都凉了还能吃吗，送来太慢了,9.863616266686313
1115,1,"好吃,就是太慢,两个小时才送到",7.532125213062777
6568,0,送餐慢，披萨巨小！还没餐具！！,48.75964370004484
2431,1,送餐很快，送餐人员很热情！～,4.180304799959612
1601,1,配送的真快，及时。很好好强大,28.53840583357042
7187,0,送餐太慢，等了两个小时，无语,5.505625240825449
3236,1,口味质量俱佳，送餐小伙很不错,8.886584710936239
7287,0,"咖啡撒了一兜子,还是凉的,服了",15.491619333839814
836,1,"很不错的一次,下次还会到这买",8.188861783593747
2663,1,送餐很快，菜很好，羊杂味道不错,6.62951867148269
9190,0,"每次酸奶都不给我带吸管,心好累",17.434046787357758
262,1,太快了，你是飞过来送餐的吧…,19.790461683459345
11078,0,接线员工态度太差。其他的还不错,15.47290332677373
393,1,速度很快，菜的味道也好！不错！,4.739685341271691
6382,0,汤横着就送过来了，撒到处都是!,38.98632922814405
9862,0,难吃的一逼，体验差，名不副实。,33.47660999275989
5440,0,肉太多了，送餐速度有待提高！,7.0535178235086
8739,0,"汤挺好喝的,就是米线没有米线味",8.993228736954729
10139,0,5555比以前的肉肉少了好多,6.743232336988222
8704,0,"味道不错,就是太慢了,真的很慢",3.359430563502148
3526,1,服务很好，送的很快，很有礼貌。,3.6150530692693117
2947,1,宿舍信号不好，耽误了你的时间,3.173450549501872
8116,0,态度真差，喊什么喊！CBWD,83.62600077062824
771,1,都挺满意，送餐的师傅也很细心。,7.551727674467822
8579,0,盒子很精致，味道还好。整体不错,4.917704156521536
7305,0,撒的到处是。摩卡只有半杯了。,47.29945709867774
10599,0,备注写好要生菜，结果送来不是,33.01176795771461
10977,0,"送的太慢了,2小时,菜都冷了",16.137984720627284
9176,0,"你吗,送了俩小时,太不靠谱了",18.50665089091858
2915,1,还不错，就是买回来面有一点陀,13.91825006276745
9393,0,太慢了，送来都凉了，态度各种差,24.0875676744566
6230,0,口味比之前差多了！换厨师了吗？,4.420376333471629
8449,0,图片与实物不符...根本没鸡腿,6.270289027593331
1005,1,快递小哥以后继续加速啊，加油,6.730219516467816
6607,0,"次次迟到n久~~,菜都是凉的",37.85360610524282
2226,1,价格偏高，不过倒是蛮好吃的。,5.567074605124043
1379,1,"难吃,难吃,难吃。凉了,凉了",3.361405706884776
11472,0,"味道一般般,不过送餐速度很快",4.023887497889931
7292,0,没有糖包，热巧克力要了只有一半,21.198808809881196
2993,1,很赞哟，小哥辛苦啦这么冷的天,10.75278108011569
472,1,速度很快，东西也不错，赞一下,3.4769312363931744
8661,0,鸡肉味、牛肉味，不名物~~~,14.940037628214784
648,1,配送及时，味道佳。湖北人必吃,10.548385924722064
7455,0,1点多才送，饭真没以前好吃了,11.315510334082145
1606,1,评论晚了，不好意思哒，32个赞,7.332823105860082
1879,1,送的有点慢…酱香卷还是很好吃的,16.79443174505848
7170,0,菜还不错，米饭有点馊了。。。。,7.421615075702804
9834,0,太慢了，两个小时才送来，都凉了,10.605243742521447
2283,1,送的早到了半个小时，味道很棒,6.809418362710516
2314,1,"鱼香肉丝的最好吃了,四川口味的",15.347761121964119
9720,0,连续吃几次就不好吃了，不耐吃,7.820091989748664
6351,0,呵呵了个呵呵，+1r，不开心。,12.420183201491312
879,1,饼味道一般吧，很少的一碗粥。,16.820997295040243
42,1,"很好吃,速递快,下次继续选择",11.080411469716257
3587,1,送货超级迅速，服务到位，好评,3.9047426307922293
10985,0,严重超时不说，饭菜都凉了。差评,22.30672484287586
8326,0,用不着赶时间把东西都颠散了吧,10.773411389783519
2583,1,速度好快，送餐小哥态度超级好,5.350804952708509
964,1,"味道不错！皮有点厚,继续努力",3.8000304168770613
10858,0,东西少不说，说好的赠送花生呢？,7.504975618945303
10039,0,感觉比在店里吃的时候粗糙很多,4.516966181858204
235,1,味道不错连着好几天了都在喝！,5.749435660241822
239,1,好喝！味道不错！送餐也很快！,3.804886470573921
8225,0,好小啊，味道也不是我喜欢的。,8.377689979343325
6454,0,送餐超慢，对店家真是无语了。,11.093009751353906
8728,0,"做的不够精细,凑合吃吃也还好",15.522223575126544
228,1,快递小哥特别好。奶茶棒棒哒！,4.795707352203425
2619,1,扬州炒饭几乎没有盐味…………,6.005851113031141
6892,0,真心太咸了，太咸了，太咸了，唉,5.624315922212278
