,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,397.63263470417036
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,56.349852203734464
768,1,味道很好！送的也很快！好吃！,22.29259806819953
2518,1,菜品好，速度快，真是太好了！,14.460986841043997
7638,0,这家店就直接没送，接单不送的店,115.51129160706027
6583,0,送餐太慢太慢了～菜品还可以～,64.52409647966313
6692,0,"下次能送早点就好啦,快饿过劲啦",207.45785646867665
484,1,"很好吃量也很大都吃不完,赞一个",79.78223452794232
11295,0,下单2个小时才送到。无语了。,24.970331508750636
2826,1,谢谢师傅，辛苦了！非常准时！,20.146842325258667
11958,0,粉很好吃，但是订了卤蛋却没有。,70.56904103727386
4074,0,"吃到一半发现菜里有小强,简直了",67.12075255384265
1568,1,米饭是硬的。。不如上一次好吃,42.88623990654166
10881,0,米饭里有一只蟑螂，让人怎么吃,33.77776103587115
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,60.838018122315944
4765,0,很慢就不说了，关键是还不好吃。,15.82634650097218
370,1,态度很好，效率很高，给十分赞,24.808531773385194
11746,0,速度慢，第一次订餐就迟到，晕,46.25481142234822
8159,0,送餐走错路，袋子还破了………,55.243184997160135
2366,1,一直买他家的香脆鸡肉披萨，喜欢,21.06184364711736
866,1,"师傅辛苦了，谢谢,下雪注意安全",30.192476709204342
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,35.419196910283
9911,0,石锅拌饭里面吃出了塑料包装纸袋,169.3008942376527
5045,0,菜品没味道。。。周也是。。。。,197.90908168721185
1563,1,又快又好又便宜！真心给力！！！,24.49102188136769
10234,0,面时间太长了，坨了，不好吃了,46.053756384021035
29,1,"送餐非常快,态度特别好,谢谢",29.556745398539615
6442,0,"太小了,味道一般,说多了都是泪",13.217870684140689
467,1,送餐员辛苦，饭也好吃，继续购买,18.60124183661224
58,1,"送餐特别快,送餐员态度也特别好",21.473271654801515
1652,1,很快，也好，包装也好，赞赞赞,17.90632246997239
4529,0,味道还行，就是送餐太慢了……,21.92140068875719
88,1,"又快又好,小哥态度很好,好评",11.37773003849455
4524,0,"味道就那样把,盖浇饭挺难吃的",152.79108658950707
