,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,206.9153085762569
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,24.34417317192664
768,1,味道很好！送的也很快！好吃！,9.681549298254037
2518,1,菜品好，速度快，真是太好了！,14.135020692536859
7638,0,这家店就直接没送，接单不送的店,76.57312484805284
6583,0,送餐太慢太慢了～菜品还可以～,13.991007210376502
6692,0,"下次能送早点就好啦,快饿过劲啦",123.0079612046411
484,1,"很好吃量也很大都吃不完,赞一个",44.50621098571392
11295,0,下单2个小时才送到。无语了。,11.874048066310431
2826,1,谢谢师傅，辛苦了！非常准时！,8.990641866759265
11958,0,粉很好吃，但是订了卤蛋却没有。,73.09595585861211
4074,0,"吃到一半发现菜里有小强,简直了",45.238520053362045
1568,1,米饭是硬的。。不如上一次好吃,27.25953886639748
10881,0,米饭里有一只蟑螂，让人怎么吃,17.12344982613047
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,23.81822699386954
4765,0,很慢就不说了，关键是还不好吃。,29.77468404617518
370,1,态度很好，效率很高，给十分赞,14.229250444591127
11746,0,速度慢，第一次订餐就迟到，晕,23.919554762445614
8159,0,送餐走错路，袋子还破了………,37.35154034916275
2366,1,一直买他家的香脆鸡肉披萨，喜欢,11.47103487142052
866,1,"师傅辛苦了，谢谢,下雪注意安全",18.66166514944807
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,33.12456986296369
9911,0,石锅拌饭里面吃出了塑料包装纸袋,70.93327714448392
5045,0,菜品没味道。。。周也是。。。。,62.6950042585265
1563,1,又快又好又便宜！真心给力！！！,10.363212334187281
10234,0,面时间太长了，坨了，不好吃了,29.638865247699115
29,1,"送餐非常快,态度特别好,谢谢",10.11912927386719
6442,0,"太小了,味道一般,说多了都是泪",7.8222514884498064
467,1,送餐员辛苦，饭也好吃，继续购买,11.335416562775222
58,1,"送餐特别快,送餐员态度也特别好",10.195358680699883
1652,1,很快，也好，包装也好，赞赞赞,27.117439281467277
4529,0,味道还行，就是送餐太慢了……,9.54393630320509
88,1,"又快又好,小哥态度很好,好评",14.819292864906426
4524,0,"味道就那样把,盖浇饭挺难吃的",106.82285607556507
3085,1,外卖小哥人超级好。。。。。。,28.573547243664486
10811,0,速度挺快的，面不好吃，都凉了,24.931026566048956
8052,0,"点两份鸡柳,就给送,一份。。。",254.26737766758427
5562,0,太慢，太小，吃不饱。味道还行,14.182836399547355
5132,0,不好吃。。。菜太少了。。。。,16.752039604369322
2537,1,配送非常快，10分钟就送到啦～,15.420038097021664
2730,1,人好速度快，好评好评好评！！,27.207010135716068
6256,0,米粉比以前份量少，没以前好了,34.569257615900554
2717,1,东西非常好，还是热的，辛苦了！,13.573032820051079
5791,0,给的豆皮果然多，只是肉变少了,82.14091589877324
434,1,很快，很好，经常订，谢谢师傅,18.8653448348689
2067,1,非常好吃，送餐很快，绝对好评,8.49904445279678
8096,0,就薯条还行！其他都不怎么样！,30.805041144606854
1952,1,味道还好。服务态度真的很好～！,11.5719957589728
6980,0,咋的跟饿了吗不一样的名，坑爹,107.32454530512858
2435,1,经常买这家的饺子，味道棒棒哒！,13.63880306561088
9055,0,没有在店里吃好吃，萝卜太多了,14.929263349262103
1653,1,除了速度有待加强，其他都不错,6.342837954998461
3654,1,没有餐具哦，还要自己点餐具么,57.541876363546464
1739,1,"服务不错,但是太难吃了啊啊啊",14.210211025016905
11045,0,面也太少了，才半盒，我就没吃饱,37.13512871297364
