,labels,text,neg_logits,pos_logits
30574,0,[MASK]开心。怀疑是假货，洗发后感觉很不好,12.574383,12.045604
7598,1,[MASK]开心。手机质量很好哎，就是没有送礼品,11.23582,12.286301
43849,0,[MASK]开心。有差异的产品，下次不会选购了,9.387445,11.351428
10361,0,[MASK]开心。东西搭配了一堆没用的，给差评,11.35055,10.925265
3099,1,[MASK]开心。一般般 会有卡顿 看电影还行,10.323474,11.15049
28438,1,[MASK]开心。不错很满意，物流小哥很给力。,8.4598255,13.171231
34577,0,[MASK]开心。京东的配送就这样吗？真是失望,12.325068,11.026261
12015,0,[MASK]开心。非常不满意，大型游戏根本玩不了,12.376036,11.455509
31819,0,[MASK]开心。垃圾京东，收钱不发货，趁早倒闭,9.755604,9.629684
42623,1,[MASK]开心。衣服面料很舒服，柔软，大小合适,7.665213,12.0816555
43428,0,[MASK]开心。哎与图片差距太大真心接受不了,10.633523,11.345143
38964,1,[MASK]开心。面料很好，款式时尚 穿上很舒服,8.08495,13.082395
32231,0,[MASK]开心。洗发水不正宗的，洗完头皮屑很多,11.16289,11.365044
17545,1,[MASK]开心。京东商城的商品实惠，继续支持！,7.634989,11.206075
36576,1,[MASK]开心。蒙牛出香蕉奶啦 味道还不错哦,8.190875,11.233142
6653,1,[MASK]开心。快递速度很快，平板用了还不错。,9.009746,13.381864
39896,1,[MASK]开心。大小合适，有弹力，辉常满意！,7.3940907,11.640537
38971,1,[MASK]开心。刚收到货，很好，物超所值！！,8.537247,13.2692585
41286,1,[MASK]开心。穿上变得特别帅，怎么呢？嘻嘻。,9.669721,12.12046
29583,1,[MASK]开心。超值值得购买！便宜实惠真的很好,7.971377,11.62325
12956,0,[MASK]开心。不咋好，显示不清楚，想贴膜的,11.503165,11.143586
31712,0,[MASK]开心。不好，这么贵还不好，我也是醉了,10.336509,10.309847
31680,0,[MASK]开心。啥时候到啊下单好几天了还没到?,11.17527,11.4754095
60362,0,[MASK]开心。很一般，价格不高，但设备差！,10.743408,11.862391
45785,0,[MASK]开心。没穿几次就破2个洞，做工不好。,12.660031,10.961572
30820,0,[MASK]开心。被坑了，不好用，只能给一星?,11.019425,10.55902
10933,0,[MASK]开心。送货师傅不错，平板质量一般般,9.493873,11.502914
40218,1,[MASK]开心。穿上很舒服，面料不错，蛮好的,8.820699,13.011629
36597,1,[MASK]开心。蒙牛滴。。。口感醇厚，不错～,7.9915133,10.078484
47403,0,[MASK]开心。衣服不行 ！！！ 快递也不给力,12.591364,9.605854
42213,1,[MASK]开心。质量好，做工精细。非常满意！,7.8725114,12.081662
31785,0,[MASK]开心。不好用，味道太浓，不适合男人,11.467354,10.111559
46015,0,[MASK]开心。质量没有想像的那么好，不要上当,8.626252,10.098772
42170,1,[MASK]开心。款式新颖，又合身，孩子很喜欢,7.8111157,12.120293
43150,0,[MASK]开心。欺骗消费者！！！严重不符！！！,10.561078,8.693174
45415,0,[MASK]开心。商品没图上的好看，面料也不多好,11.547752,11.133676
30230,1,[MASK]开心。价格实惠，服务好，东西不错。,8.843402,12.27847
47927,0,[MASK]开心。没收到商品，一个月了，差劲。,12.402618,11.108821
30018,1,[MASK]开心。好，不错，得蛮多的，划算，喜欢,8.519074,10.596168
26817,1,[MASK]开心。到货好快。服务好！东西满意！,8.028374,12.963153
5006,1,[MASK]开心。手机不错，屏大清晰，速度快。,8.917659,12.442861
44936,0,[MASK]开心。洗了掉色特严重，很硬，还没穿,11.795579,11.988136
16856,1,[MASK]开心。还味吃，现在觉得苹果越来越甜了,9.912632,11.655081
3845,1,[MASK]开心。不错 很喜欢 华为平板666,8.459443,12.863245
28242,1,[MASK]开心。洗发水好用，洗过头发很清爽…,8.194064,11.766121
42123,1,[MASK]开心。可以 比较满意 穿了再来评价,8.247807,11.957824
34621,0,[MASK]开心。有一瓶盖子烂了，流的到处都是。,11.1406,11.356644
33650,0,[MASK]开心。使用一般，和国货区别不是很大！,9.102184,12.140939
5554,1,[MASK]开心。好好的一个好的自己选的好好好货,8.706484,11.651468
30937,0,[MASK]开心。说好的吹风机在哪！太垃圾了！,11.379455,10.085787
60557,0,[MASK]开心。服务很一般，设施和装修也不好。,13.517302,11.990219
46810,0,[MASK]开心。真的和网上看的差别真大，好垃圾,11.170373,11.558299
25754,1,[MASK]开心。看着还可以，小的赠送旅行装不错,9.044762,11.929047
43705,0,[MASK]开心。物流太慢太慢，衣服不怎么样，,12.227033,10.619936
18630,1,[MASK]开心。个头小但很甜，用来做早餐正好。,8.240398,11.886017
