,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,9.576321479432947
37994,1,局气！规矩！管虎导了俩影帝了！,245.8390979911729
45474,0,前半段真好看，后半段越来越萎,5.937388610760444
37018,0,前面的剧情看得我尴尬癌都犯了,2.7555589642786114
39152,0,混乱的情节，特么矫情无下限。,13.073948979282385
4952,0,适合能静得下心和有故事的人。,4.55765571483475
49922,1,最是人间留不住朱颜辞镜花辞树,125.27811604139681
18895,1,超级治愈又感人，狗狗真的好暖心,7.313847696659607
16855,0,密室设定很有意思，可惜未能维持,9.093624515437146
33344,1,原来巴萨的德国馆还有这个用处,8.745454590448306
43014,1,丫丫真的太美了，前夫哥好可爱,8.178631647421698
30945,0,烂的一逼，啥都没有，狗屁不通。,15.164842444819486
11202,1,这个玛丽苏我喜欢很好看求续集,15.066091136612235
43097,1,看了点映，好多戳中我泪点??,9.029394648691083
7229,0,郑恺和郭采洁还挺有cp感的。,7.372602821428108
46824,0,民乐要靠二次元来拯救了嘛……,18.577674107151587
44791,1,反正我追完了，为了女主的颜值,7.316621417737127
40750,0,我朋友说，她尴尬得想原地去世。,56.278631742461414
24357,0,今年作品太多了，有点透支了。,6.12627434166121
12065,0,我是真的觉得孙悟空的扮相太丑了,2.3951099006227317
44782,1,还可以吧……感觉题材还算新颖,3.6768710799496827
11314,0,看完情圣来评评这部这部比情圣好,3.816598561627588
19047,1,它令我想起曾经怦然心动的轻吻,6.30896839763197
45899,0,发哥抄着烂片专业户就去了。。。,134.53531471931345
14214,0,第一集演得什么玩意儿，尴尬死了,6.497790883160775
31414,1,热热闹闹的，看得我好开心啊。,3.25819451685992
25276,0,煽情煽成了MV，大家都笑了。,27.006128351472693
47776,1,最喜欢的科幻故事，很成功的改编,2.3795683649860115
45012,1,还算可以哦，故事讲的挺精彩！,4.557276901022043
49786,0,被黑天鹅惊艳到了！美轮美奂！,2.690525363927752
11029,0,到底在演什麼啊？？大爛片！！！,51.11199940161374
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,3.299531024997774
3121,1,你无车无楼无番狗做乜要拖我手,137.0777406497704
9512,0,最弱版劳拉了吧？太弱了太无聊了,17.172793084723562
15976,0,重拍经典，孩子对恐惧的克服。,6.664090896412047
26862,1,太好看了！笑得我内分泌失调！,4.565702122515485
30395,0,本来两星，加一星给受罪的演员吧,12.04661191749253
22972,0,《星际特工：全宇宙看我们尬爱》,29.033104640189993
30570,0,特效不错啊，但剧情就大简单了,7.90485869627802
