,labels,text,ppl
4895,0,饼有点硬，个人口味吧，我不喜欢,5.685081505338949
8711,0,病人吃啊，挂面哈拉味，汤也腥。,142.27048642587968
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,18.065096214851504
768,1,味道很好！送的也很快！好吃！,6.199930013517718
2518,1,菜品好，速度快，真是太好了！,7.8821088069409875
7638,0,这家店就直接没送，接单不送的店,38.84841885438783
6583,0,送餐太慢太慢了～菜品还可以～,6.728492179358398
6692,0,"下次能送早点就好啦,快饿过劲啦",83.13507857278742
484,1,"很好吃量也很大都吃不完,赞一个",27.532764350055466
11295,0,下单2个小时才送到。无语了。,8.365952717838319
2826,1,谢谢师傅，辛苦了！非常准时！,4.963820984297984
11958,0,粉很好吃，但是订了卤蛋却没有。,54.21005493140852
4074,0,"吃到一半发现菜里有小强,简直了",24.746145978957557
2858,1,麻辣香锅很地道，送餐及时，好评,8.443811149610482
1568,1,米饭是硬的。。不如上一次好吃,28.159371160822502
10881,0,米饭里有一只蟑螂，让人怎么吃,9.991989205048
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,11.244210607954617
4765,0,很慢就不说了，关键是还不好吃。,20.30600694328807
370,1,态度很好，效率很高，给十分赞,9.683291258287717
7698,0,饼太硬，香肠炒饭里的香肠是臭的,19.46619635212044
11746,0,速度慢，第一次订餐就迟到，晕,14.90482980515809
8159,0,送餐走错路，袋子还破了………,23.26878150912008
7545,0,量太少了，不够吃，都能数过来,28.89651645268679
2366,1,一直买他家的香脆鸡肉披萨，喜欢,9.216510556199797
866,1,"师傅辛苦了，谢谢,下雪注意安全",9.355304680972841
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,17.933135304878615
9911,0,石锅拌饭里面吃出了塑料包装纸袋,48.27923270927431
5045,0,菜品没味道。。。周也是。。。。,43.024002746561386
1563,1,又快又好又便宜！真心给力！！！,7.824265561862427
10234,0,面时间太长了，坨了，不好吃了,17.574270955845503
2699,1,虽然因为牛肉太多有点儿咸……,6.4872261933664985
3594,1,师傅服务好送货快，性价比超高,4.7358750836659125
29,1,"送餐非常快,态度特别好,谢谢",5.8523789730160845
6442,0,"太小了,味道一般,说多了都是泪",5.033755826774625
467,1,送餐员辛苦，饭也好吃，继续购买,8.198933943900338
58,1,"送餐特别快,送餐员态度也特别好",6.264174931769872
1652,1,很快，也好，包装也好，赞赞赞,20.052302689450745
6217,0,菜真的很一般，还是店里吃好些,12.801497148452313
4529,0,味道还行，就是送餐太慢了……,4.600384661622689
5594,0,为什么每次都是凉的。。。。。。,7.916665669710333
88,1,"又快又好,小哥态度很好,好评",11.245597661538172
3170,1,"快递给力,煎饼给力,会一直点餐",12.960491977589504
4524,0,"味道就那样把,盖浇饭挺难吃的",64.28384802934144
4853,0,不好吃，肉不好，饼很硬，差评！,18.865228689721047
9972,0,准时送餐，不要太早，也不要太晚,5.549380348915067
4829,0,"小两个小时送到,而且真的很难吃",18.744906977348183
3085,1,外卖小哥人超级好。。。。。。,11.786103327115722
10811,0,速度挺快的，面不好吃，都凉了,17.37376322250733
8052,0,"点两份鸡柳,就给送,一份。。。",138.03235192475626
5562,0,太慢，太小，吃不饱。味道还行,6.771427548994729
5132,0,不好吃。。。菜太少了。。。。,9.092612761492553
2537,1,配送非常快，10分钟就送到啦～,8.638978191985414
2730,1,人好速度快，好评好评好评！！,17.436043147322366
6256,0,米粉比以前份量少，没以前好了,19.30493963353458
2717,1,东西非常好，还是热的，辛苦了！,7.095202446116893
5791,0,给的豆皮果然多，只是肉变少了,34.30157449908077
434,1,很快，很好，经常订，谢谢师傅,11.33527849767918
2067,1,非常好吃，送餐很快，绝对好评,6.2754701286955665
8096,0,就薯条还行！其他都不怎么样！,16.632717107130304
1952,1,味道还好。服务态度真的很好～！,7.120826542009862
6980,0,咋的跟饿了吗不一样的名，坑爹,75.76964404845157
2435,1,经常买这家的饺子，味道棒棒哒！,9.672274310170591
415,1,"汤很好的说,送餐很快,棒棒da",44.93991975155245
