,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,322.9606015648133
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,41.90120132357726
768,1,味道很好！送的也很快！好吃！,24.48745824465869
2518,1,菜品好，速度快，真是太好了！,16.35158362867424
7638,0,这家店就直接没送，接单不送的店,146.16183863379624
6583,0,送餐太慢太慢了～菜品还可以～,57.824007097390684
6692,0,"下次能送早点就好啦,快饿过劲啦",188.06055591659978
484,1,"很好吃量也很大都吃不完,赞一个",106.90326105612051
11295,0,下单2个小时才送到。无语了。,26.16602778577551
2826,1,谢谢师傅，辛苦了！非常准时！,16.9658636790551
11958,0,粉很好吃，但是订了卤蛋却没有。,118.9350985351516
4074,0,"吃到一半发现菜里有小强,简直了",76.58804098498675
1568,1,米饭是硬的。。不如上一次好吃,38.197642271980826
10881,0,米饭里有一只蟑螂，让人怎么吃,44.31834956869553
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,53.44473159811705
4765,0,很慢就不说了，关键是还不好吃。,18.19089945204693
370,1,态度很好，效率很高，给十分赞,17.782112298323604
11746,0,速度慢，第一次订餐就迟到，晕,44.268021324478276
8159,0,送餐走错路，袋子还破了………,78.44991161054226
2366,1,一直买他家的香脆鸡肉披萨，喜欢,28.06201045302732
866,1,"师傅辛苦了，谢谢,下雪注意安全",17.49342520764638
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,28.9346685494391
9911,0,石锅拌饭里面吃出了塑料包装纸袋,73.38714836106291
5045,0,菜品没味道。。。周也是。。。。,195.41409970338225
1563,1,又快又好又便宜！真心给力！！！,20.76315884580893
10234,0,面时间太长了，坨了，不好吃了,32.95123439533877
29,1,"送餐非常快,态度特别好,谢谢",21.11293192287401
6442,0,"太小了,味道一般,说多了都是泪",20.719864058187557
467,1,送餐员辛苦，饭也好吃，继续购买,17.462496020087325
58,1,"送餐特别快,送餐员态度也特别好",22.743241932845986
1652,1,很快，也好，包装也好，赞赞赞,26.81056250882996
4529,0,味道还行，就是送餐太慢了……,33.3939959218191
88,1,"又快又好,小哥态度很好,好评",12.700736978405823
4524,0,"味道就那样把,盖浇饭挺难吃的",107.21376893652756
3085,1,外卖小哥人超级好。。。。。。,98.24193859231478
10811,0,速度挺快的，面不好吃，都凉了,63.23310834066366
8052,0,"点两份鸡柳,就给送,一份。。。",156.595454535262
5562,0,太慢，太小，吃不饱。味道还行,15.732276358408285
5132,0,不好吃。。。菜太少了。。。。,74.79752466616173
2537,1,配送非常快，10分钟就送到啦～,21.309698895326385
2730,1,人好速度快，好评好评好评！！,32.2044864163419
6256,0,米粉比以前份量少，没以前好了,20.79829398816393
2717,1,东西非常好，还是热的，辛苦了！,14.109317424593177
5791,0,给的豆皮果然多，只是肉变少了,269.30206662924604
434,1,很快，很好，经常订，谢谢师傅,28.290313317430105
2067,1,非常好吃，送餐很快，绝对好评,35.37612036534881
8096,0,就薯条还行！其他都不怎么样！,64.06762916511072
1952,1,味道还好。服务态度真的很好～！,13.992898045040963
6980,0,咋的跟饿了吗不一样的名，坑爹,158.03853182184827
2435,1,经常买这家的饺子，味道棒棒哒！,18.059692616180822
9055,0,没有在店里吃好吃，萝卜太多了,22.52608175890593
1653,1,除了速度有待加强，其他都不错,13.895144529247366
3654,1,没有餐具哦，还要自己点餐具么,38.530363467641145
1739,1,"服务不错,但是太难吃了啊啊啊",18.05463675039535
11045,0,面也太少了，才半盒，我就没吃饱,109.67517669695849
2626,1,非常的正宗，就是羊杂汤太咸啦,90.02881343920821
7925,0,午餐肉实在太难吃了，千万别点,19.252818263306683
5910,0,真的不适合外卖，另外，真难吃,43.66965234552764
11336,0,我的电话打不通，不知道为什么,6.52250694867647
809,1,很好，速度飞快，炸鸡有点火大,50.940007913310176
661,1,太快了！！简直是神速啊！！！,22.341869277380617
