,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,131.63972742944244
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,18.39392834215476
768,1,味道很好！送的也很快！好吃！,6.814769722793638
2518,1,菜品好，速度快，真是太好了！,9.374130660295576
7638,0,这家店就直接没送，接单不送的店,37.00532644624323
6583,0,送餐太慢太慢了～菜品还可以～,6.608654445830642
6692,0,"下次能送早点就好啦,快饿过劲啦",98.07845596097133
484,1,"很好吃量也很大都吃不完,赞一个",32.457079020185546
11295,0,下单2个小时才送到。无语了。,7.1632188065741635
2826,1,谢谢师傅，辛苦了！非常准时！,5.393258191956842
11958,0,粉很好吃，但是订了卤蛋却没有。,58.21816814335832
4074,0,"吃到一半发现菜里有小强,简直了",29.811251912781128
1568,1,米饭是硬的。。不如上一次好吃,21.25715926988763
10881,0,米饭里有一只蟑螂，让人怎么吃,9.110174594028228
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,11.154555732203868
4765,0,很慢就不说了，关键是还不好吃。,23.002902324412055
370,1,态度很好，效率很高，给十分赞,9.877082112552431
11746,0,速度慢，第一次订餐就迟到，晕,17.747288985381417
8159,0,送餐走错路，袋子还破了………,30.450180156809584
2366,1,一直买他家的香脆鸡肉披萨，喜欢,9.045066542811236
866,1,"师傅辛苦了，谢谢,下雪注意安全",11.082778493878749
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,30.307388488117155
9911,0,石锅拌饭里面吃出了塑料包装纸袋,47.6877733176656
5045,0,菜品没味道。。。周也是。。。。,37.9222009433663
1563,1,又快又好又便宜！真心给力！！！,8.842216516886822
10234,0,面时间太长了，坨了，不好吃了,22.435295824370893
29,1,"送餐非常快,态度特别好,谢谢",6.6656774412062525
6442,0,"太小了,味道一般,说多了都是泪",6.088734529524832
467,1,送餐员辛苦，饭也好吃，继续购买,7.263972715252371
58,1,"送餐特别快,送餐员态度也特别好",7.026875904956068
1652,1,很快，也好，包装也好，赞赞赞,24.82948534810263
4529,0,味道还行，就是送餐太慢了……,4.80435298118488
88,1,"又快又好,小哥态度很好,好评",9.825237554993997
4524,0,"味道就那样把,盖浇饭挺难吃的",66.36998656348482
3085,1,外卖小哥人超级好。。。。。。,11.696767446163216
10811,0,速度挺快的，面不好吃，都凉了,16.12735302363525
8052,0,"点两份鸡柳,就给送,一份。。。",125.04823701372065
5562,0,太慢，太小，吃不饱。味道还行,7.798670633556998
5132,0,不好吃。。。菜太少了。。。。,9.810931825657537
2537,1,配送非常快，10分钟就送到啦～,9.732547779273274
2730,1,人好速度快，好评好评好评！！,22.64746351394523
6256,0,米粉比以前份量少，没以前好了,20.97283650474809
2717,1,东西非常好，还是热的，辛苦了！,8.490177919298198
5791,0,给的豆皮果然多，只是肉变少了,40.20732860661697
434,1,很快，很好，经常订，谢谢师傅,9.664570632828099
2067,1,非常好吃，送餐很快，绝对好评,6.905209992745686
8096,0,就薯条还行！其他都不怎么样！,16.94111821941833
1952,1,味道还好。服务态度真的很好～！,7.388692246071416
6980,0,咋的跟饿了吗不一样的名，坑爹,67.41599435005355
2435,1,经常买这家的饺子，味道棒棒哒！,10.15440719369308
9055,0,没有在店里吃好吃，萝卜太多了,10.352292563494975
1653,1,除了速度有待加强，其他都不错,4.105414367583964
3654,1,没有餐具哦，还要自己点餐具么,39.57627067325975
1739,1,"服务不错,但是太难吃了啊啊啊",8.456819235925037
11045,0,面也太少了，才半盒，我就没吃饱,22.60080552747193
2626,1,非常的正宗，就是羊杂汤太咸啦,25.11179905905863
7925,0,午餐肉实在太难吃了，千万别点,6.374224198108008
5910,0,真的不适合外卖，另外，真难吃,9.36773823666737
11336,0,我的电话打不通，不知道为什么,4.34314150834496
809,1,很好，速度飞快，炸鸡有点火大,41.36977580808759
661,1,太快了！！简直是神速啊！！！,6.877802162608779
396,1,"第二次买了,挺好的,以后继续",6.165405397276566
5702,0,我备注要的粥，结果送来的是饮料,43.890395714731795
10859,0,赠送的黄飞红花生呢？没送啊！！,140.28301082751875
280,1,非常好送的很快，，，还是热的。,20.20193963775229
