,labels,text,neg_logits,pos_logits
23455,0,真[MASK]错。第二部就不该拍竟然还出第三部,12.468667,4.53971
37994,1,真[MASK]错。局气！规矩！管虎导了俩影帝了！,12.063195,3.369321
45474,0,真[MASK]错。前半段真好看，后半段越来越萎,12.363679,3.8931148
37018,0,真[MASK]错。前面的剧情看得我尴尬癌都犯了,12.680506,3.6169145
39152,0,真[MASK]错。混乱的情节，特么矫情无下限。,12.870727,3.7652223
4952,0,真[MASK]错。适合能静得下心和有故事的人。,14.689772,4.417799
49922,1,真[MASK]错。最是人间留不住朱颜辞镜花辞树,12.092815,3.6497808
18895,1,真[MASK]错。超级治愈又感人，狗狗真的好暖心,13.711564,2.996285
16855,0,真[MASK]错。密室设定很有意思，可惜未能维持,14.293958,4.1614833
33344,1,真[MASK]错。原来巴萨的德国馆还有这个用处,13.630313,3.3736947
43014,1,真[MASK]错。丫丫真的太美了，前夫哥好可爱,13.469387,3.4091537
30945,0,真[MASK]错。烂的一逼，啥都没有，狗屁不通。,12.018561,3.7464328
11202,1,真[MASK]错。这个玛丽苏我喜欢很好看求续集,15.080954,4.3884034
43097,1,真[MASK]错。看了点映，好多戳中我泪点??,15.094507,3.956433
7229,0,真[MASK]错。郑恺和郭采洁还挺有cp感的。,16.054152,4.2408
46824,0,真[MASK]错。民乐要靠二次元来拯救了嘛……,12.95452,4.1237245
44791,1,真[MASK]错。反正我追完了，为了女主的颜值,13.595212,4.140209
40750,0,真[MASK]错。我朋友说，她尴尬得想原地去世。,12.372798,4.691276
24357,0,真[MASK]错。今年作品太多了，有点透支了。,14.699512,4.2265744
12065,0,真[MASK]错。我是真的觉得孙悟空的扮相太丑了,13.452236,4.554851
44782,1,真[MASK]错。还可以吧……感觉题材还算新颖,17.928234,4.5530934
11314,0,真[MASK]错。看完情圣来评评这部这部比情圣好,14.394309,3.9732106
19047,1,真[MASK]错。它令我想起曾经怦然心动的轻吻,14.201088,4.5011997
45899,0,真[MASK]错。发哥抄着烂片专业户就去了。。。,12.419271,4.1707764
14214,0,真[MASK]错。第一集演得什么玩意儿，尴尬死了,13.483039,3.625727
31414,1,真[MASK]错。热热闹闹的，看得我好开心啊。,14.413778,3.743365
25276,0,真[MASK]错。煽情煽成了MV，大家都笑了。,13.055299,4.1021066
47776,1,真[MASK]错。最喜欢的科幻故事，很成功的改编,16.016642,4.0544453
45012,1,真[MASK]错。还算可以哦，故事讲的挺精彩！,17.63924,4.364051
49786,0,真[MASK]错。被黑天鹅惊艳到了！美轮美奂！,13.080845,2.6297019
11029,0,真[MASK]错。到底在演什麼啊？？大爛片！！！,12.122726,4.1938944
30704,1,真[MASK]错。卧槽我竟然看过啊啊啊啊啊啊啊,13.380399,3.9694104
3121,1,真[MASK]错。你无车无楼无番狗做乜要拖我手,9.801089,3.6121843
9512,0,真[MASK]错。最弱版劳拉了吧？太弱了太无聊了,12.7570915,3.9305916
15976,0,真[MASK]错。重拍经典，孩子对恐惧的克服。,12.370849,3.9810433
26862,1,真[MASK]错。太好看了！笑得我内分泌失调！,13.972207,3.6868906
30395,0,真[MASK]错。本来两星，加一星给受罪的演员吧,12.165965,4.2736435
22972,0,真[MASK]错。《星际特工：全宇宙看我们尬爱》,12.806145,4.019431
30570,0,真[MASK]错。特效不错啊，但剧情就大简单了,15.106443,4.664022
20588,0,真[MASK]错。气氛到位，演员不存，故事简单！,15.123288,3.895549
13869,0,真[MASK]错。看的点映，形式“精致”的大烂片,13.80057,3.171893
24216,1,真[MASK]错。最后居然没搞你们还是人吗？？？,12.145339,4.1629825
32991,0,真[MASK]错。平淡真实不温不火我没懂哭点在哪,11.612178,4.5091896
1732,1,真[MASK]错。其实伍迪哈里森演的是一个天使,13.2238455,4.4823155
4472,1,真[MASK]错。陈可辛拍商业文艺片真的不错~~,16.19568,5.331247
33439,0,真[MASK]错。泡泡妹子打打架，兄弟情在哪？,12.273769,3.7940068
11847,0,真[MASK]错。一部非常尬的电影。不推荐观看。,15.02047,5.2305255
16369,0,真[MASK]错。张艺谋式的漂亮画面，何必3D。,12.753148,3.7186542
31321,0,"真[MASK]错。我不信你们没东西怼地雷啊=""=",11.7736845,4.382567
18949,1,真[MASK]错。少男少女必看，爱与美的启蒙。,13.808042,3.3715198
32102,1,真[MASK]错。迪斯尼的动画很赞，配乐很好听！,17.212864,4.1476855
9630,1,真[MASK]错。喜欢坎妹素颜的劳拉，期待后续。,14.924792,4.2396827
1571,1,真[MASK]错。演小安生的小朋友很像岳云鹏啊。,15.173085,4.4983826
38226,1,真[MASK]错。你猜不到的结局…猜不到的惊异…,12.45744,4.0726395
17406,0,真[MASK]错。卡尔文老师不是触手，是海蜇皮啊,12.390126,4.046848
24554,1,真[MASK]错。我不会说情话，只知道陪着你。,12.075629,4.888619
6181,1,真[MASK]错。腕龙站在码头哀嚎的场景太泪目了,12.773523,3.2893617
6583,0,真[MASK]错。比较难看的伪记录僵尸片...,13.1194515,4.59169
6224,0,真[MASK]错。cctv6盛产类似的古装片……,14.234751,4.0001254
39086,0,真[MASK]错。打一星以上的人都是咋想的！！！,11.862565,3.407019
14019,0,真[MASK]错。好吧，为了阿姨们的搏命演出。,12.853425,3.473911
10409,0,真[MASK]错。勉强合格。觉得周冬雨有点厉害。,14.272353,4.992912
24108,0,真[MASK]错。Highlyoverrated,11.4865055,4.0141993
