,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,127.47346872244779
48250,1,爱上江西，没有理由！[哈哈],19.060057198016203
100168,0,计划赶不上变化[抓狂][泪],22.33054014813861
22319,1,芭其乐，大嘴快乐的家伙[爱你],179.3025294838999
70122,0,传统已逝??????[抓狂],50.9834571955931
6338,1,谢谢哈! 欢迎常来![鼓掌],96.75428082187904
20081,1,胖子手感好啊！[鼓掌][爱你],15.878042474522886
23064,1,生快！[干杯][蛋糕][鼓掌],39.19604744368655
84060,0,居然把我干儿子装脸盆里！[怒],37.72396817289295
93871,0,三哥总是这么的让人惊喜[晕],36.87246810202237
104161,0,此刻后：ko了... [晕],180.9204831766898
40416,1,[害羞][哈哈]@魔王1987,97.88716582288762
15376,1,随手拍祝大家周末愉快！[爱你],15.259756188026932
10199,1,是滴，美女。欢迎哦！[可爱],81.28281223470636
71224,0,偷贡品。不怕报应啊？。[衰],310.1614320474089
12238,1,[哈哈] //@独眼u:哈哈哈,21.8373736989509
77537,0,求二手智能手机。。。[抓狂],76.10940691478258
55063,1,是帮你挡酒的男的么？[嘻嘻],23.083832957850948
21548,1,原来很多国家都免签![哈哈],17.249396335630557
38076,1,百变大咖秀真的很快乐[哈哈],24.605131583607605
84198,0,[泪]//@那木错:[微风],75.82522621041001
27872,1,哈哈，强大[鼓掌][good],80.07582164229258
48051,1,眼睛一眨，美妞变辣妈！[哈哈],23.44819916012971
18029,1,祝大家十一小长假快乐[太开心],40.03643654866512
115177,0,[泪] //@袁腾飞:[泪],8.126268038780529
114619,0,可怜的风扇[泪] 我要等正版！,26.99940098278857
64870,0,固执的大叔这场又好危险[失望],71.4213508543212
74958,0,办公室都是孩儿他娘！！！[怒],41.63700344864604
77734,0,//@地狱中的八尾猫: [衰],60.494870720814056
51580,1,财神到我手?[偷笑][鼓掌],71.12386710521633
54352,1,爱吃牛排的童鞋举个手~[爱你],67.09599599794257
8324,1,开始喽，看起来吧！！[鼓掌],69.59143090951615
106626,0,受伤，是个超级不好的消息[衰],23.32231325136387
15031,1,[哈哈][哈哈]收费大调查。。,17.072512636165484
8249,1,用美食向大家说早安~[嘻嘻],26.35266687835609
59782,0,愚人节的游戏，银行也玩呀[衰],27.10672530928864
110113,0,[衰]弄破了，基本上不会复原！,15.482289336673922
11405,1,哈，回忆录写到哪了？[嘻嘻],40.11408996323246
81138,0,书人搬家，其实就是搬书[晕],74.89085668816311
14831,1,《时尚旅游》也玩街拍了[哈哈],20.219347211335208
51446,1,阿姨做的菜相当好吃呢[爱你],19.464218309430677
73965,0,Facebook 还在跌[晕],185.67861686617326
101129,0,[抓狂] 你是在哪里腐败~~~,45.307701224121224
104892,0,男人动手…[怒][怒][怒],8.543301819312433
66040,0,我在这里：#闸北区#吃饭[泪],49.92976910645409
87632,0,难得休息的，竟然感冒了[泪],21.534534345951705
96063,0,知道得太晚了，遗憾！[失望],11.158902639620283
81716,0,社会败坏的典型!?救了[衰],60.706650550735255
92195,0,姐，我给你跪下了，这才气[晕],43.06675930836934
95696,0,[泪]同意，让他们变成海豹!!,17.21625078319489
19351,1,//@好色小湿妹: [哈哈],51.341190142921185
41680,1,我觉得总结的很好，喜欢[鼓掌],7.074784519607903
21865,1,斯坦福正门左侧草坪。[嘻嘻],41.19818189155893
2453,1,[嘻嘻]重口味爱好者的福音来咯,16.079692167045724
48755,1,转给来北京玩的童鞋们[可爱],49.374435883894954
53195,1,偷偷发张我师父的照片[哈哈],39.839595878488204
12712,1,好样的！[嘻嘻]你家就你牛！,86.5848901257354
94030,0,早知道找你买了还能越狱[抓狂],23.208770857389272
40934,1,我上班能穿成这样吗？[嘻嘻],12.599829826564742
11905,1,[哈哈][哈哈][哈哈]翔子,10.900270596730039
56807,0,还有这么不要脸的[怒] 扩散,20.8252002225019
63131,0,最近压力让我头痛 [衰][晕],32.07867682486409
29589,1,@兔子奶奶熊的娘 还有[哈哈],84.57185935667388
101122,0,堵塞，不动！我快哭了！[泪],44.7826264170894
75355,0,下辈子该她被扔下去！！！[怒],40.56410525932091
70889,0,现在的快递啊，真心桑不起[泪],55.45860316287405
93899,0,我也有中奖的时候啊[泪][泪],9.154481589122325
7932,1,[哈哈]//@大藏布:[哈哈],44.26884637667821
