,labels,text,neg_logits,pos_logits
30574,0,[MASK]满意。怀疑是假货，洗发后感觉很不好,14.181919,12.674884
7598,1,[MASK]满意。手机质量很好哎，就是没有送礼品,13.345411,12.773538
43849,0,[MASK]满意。有差异的产品，下次不会选购了,12.367991,10.09606
10361,0,[MASK]满意。东西搭配了一堆没用的，给差评,13.94493,10.382622
3099,1,[MASK]满意。一般般 会有卡顿 看电影还行,12.953208,10.599056
28438,1,[MASK]满意。不错很满意，物流小哥很给力。,10.592118,15.043389
34577,0,[MASK]满意。京东的配送就这样吗？真是失望,13.903468,11.830274
12015,0,[MASK]满意。非常不满意，大型游戏根本玩不了,15.377026,11.54743
31819,0,[MASK]满意。垃圾京东，收钱不发货，趁早倒闭,13.463558,10.003129
42623,1,[MASK]满意。衣服面料很舒服，柔软，大小合适,10.998813,13.394573
43428,0,[MASK]满意。哎与图片差距太大真心接受不了,13.188567,11.649214
38964,1,[MASK]满意。面料很好，款式时尚 穿上很舒服,10.838996,14.071969
32231,0,[MASK]满意。洗发水不正宗的，洗完头皮屑很多,14.18212,11.807565
17545,1,[MASK]满意。京东商城的商品实惠，继续支持！,11.491945,12.316014
36576,1,[MASK]满意。蒙牛出香蕉奶啦 味道还不错哦,12.597377,11.530435
6653,1,[MASK]满意。快递速度很快，平板用了还不错。,11.573013,13.519262
39896,1,[MASK]满意。大小合适，有弹力，辉常满意！,9.21646,12.426517
38971,1,[MASK]满意。刚收到货，很好，物超所值！！,11.485482,12.442996
41286,1,[MASK]满意。穿上变得特别帅，怎么呢？嘻嘻。,12.424017,12.398842
29583,1,[MASK]满意。超值值得购买！便宜实惠真的很好,10.290567,11.380133
12956,0,[MASK]满意。不咋好，显示不清楚，想贴膜的,13.549181,11.233353
31712,0,[MASK]满意。不好，这么贵还不好，我也是醉了,13.387397,11.331291
31680,0,[MASK]满意。啥时候到啊下单好几天了还没到?,13.364418,12.437455
60362,0,[MASK]满意。很一般，价格不高，但设备差！,12.209218,11.9867735
45785,0,[MASK]满意。没穿几次就破2个洞，做工不好。,14.346806,11.722095
30820,0,[MASK]满意。被坑了，不好用，只能给一星?,13.321142,11.104063
10933,0,[MASK]满意。送货师傅不错，平板质量一般般,12.119921,11.5772
40218,1,[MASK]满意。穿上很舒服，面料不错，蛮好的,11.236694,13.813685
36597,1,[MASK]满意。蒙牛滴。。。口感醇厚，不错～,12.56226,10.603503
47403,0,[MASK]满意。衣服不行 ！！！ 快递也不给力,15.250845,10.955217
42213,1,[MASK]满意。质量好，做工精细。非常满意！,9.788114,13.286814
31785,0,[MASK]满意。不好用，味道太浓，不适合男人,14.592241,11.443568
46015,0,[MASK]满意。质量没有想像的那么好，不要上当,13.49784,11.297016
42170,1,[MASK]满意。款式新颖，又合身，孩子很喜欢,10.410226,13.583197
43150,0,[MASK]满意。欺骗消费者！！！严重不符！！！,16.331316,9.159345
45415,0,[MASK]满意。商品没图上的好看，面料也不多好,13.052237,10.756212
30230,1,[MASK]满意。价格实惠，服务好，东西不错。,10.100651,12.146366
47927,0,[MASK]满意。没收到商品，一个月了，差劲。,14.654822,10.916383
30018,1,[MASK]满意。好，不错，得蛮多的，划算，喜欢,11.752827,10.206377
26817,1,[MASK]满意。到货好快。服务好！东西满意！,8.920195,11.417095
5006,1,[MASK]满意。手机不错，屏大清晰，速度快。,11.284515,12.006848
44936,0,[MASK]满意。洗了掉色特严重，很硬，还没穿,14.16468,12.850478
16856,1,[MASK]满意。还味吃，现在觉得苹果越来越甜了,13.465726,12.065392
3845,1,[MASK]满意。不错 很喜欢 华为平板666,11.639897,12.854168
28242,1,[MASK]满意。洗发水好用，洗过头发很清爽…,11.265246,12.952193
42123,1,[MASK]满意。可以 比较满意 穿了再来评价,11.300138,11.808829
34621,0,[MASK]满意。有一瓶盖子烂了，流的到处都是。,13.1401205,12.652676
33650,0,[MASK]满意。使用一般，和国货区别不是很大！,12.559251,12.324108
5554,1,[MASK]满意。好好的一个好的自己选的好好好货,11.316104,11.712138
30937,0,[MASK]满意。说好的吹风机在哪！太垃圾了！,14.430498,11.481103
60557,0,[MASK]满意。服务很一般，设施和装修也不好。,13.894351,12.784102
46810,0,[MASK]满意。真的和网上看的差别真大，好垃圾,13.717877,11.64013
25754,1,[MASK]满意。看着还可以，小的赠送旅行装不错,12.69846,12.338915
43705,0,[MASK]满意。物流太慢太慢，衣服不怎么样，,14.285537,11.389158
18630,1,[MASK]满意。个头小但很甜，用来做早餐正好。,11.415807,12.91165
41784,1,[MASK]满意。商品不错，物超所值。真实体验。,11.137513,11.458749
45106,0,[MASK]满意。非常一般，不推荐，不要贪便宜,12.920389,11.021499
31546,0,[MASK]满意。昨天收到今天就降价，太过分了！,14.472498,12.129292
43624,0,[MASK]满意。有股刺鼻的味道，还特别脏，差评,14.810453,11.243916
10107,0,[MASK]满意。差评，保护壳都没有，5星差评！,13.708671,11.365493
32824,0,[MASK]满意。不好用，不适合我的发质，起头屑,14.512642,12.439819
4883,1,[MASK]满意。不错物流给力，值得信赖，正品，,11.065996,10.922157
31305,0,[MASK]满意。发来就破了。。懒得跟客服叨叨了,13.519769,9.620944
17539,1,[MASK]满意。性价比真他们高。。。。够味还脆,10.175624,10.096107
3991,1,[MASK]满意。不错，给妈妈玩游戏用的，很喜欢,12.325003,13.188204
35438,1,[MASK]满意。安装好了，还没用，感觉挺好的,12.79051,12.892746
10959,0,[MASK]满意。骗子。垃圾货。收到的卡装不了,15.747706,9.862553
38859,1,[MASK]满意。衣服挺好的，我一下子买了两件,12.5657625,13.116101
33344,0,[MASK]满意。还品牌垃圾要死，越洗越多头屑。,13.904195,10.822878
11811,0,[MASK]满意。不好买来好后悔玩游戏好卡差评。,12.650225,10.859704
26497,1,[MASK]满意。一如既往的快，态度好，日期新。,9.817631,11.750382
39505,1,[MASK]满意。裤子面料不错的 版型很喜欢啊,11.589587,13.3377285
34065,0,[MASK]满意。买了很多次，这次的是假货，失望,13.712937,11.208556
57426,0,[MASK]满意。服务不好。乱收费，非常不满意！,15.9872675,11.475071
10211,0,[MASK]满意。cpu太差 一点都不流畅 亏了,12.915285,10.703404
6071,1,[MASK]满意。真正好PAD，学英语不用愁啦,11.051955,11.703052
46500,0,[MASK]满意。网上买几次都是烂货，不能相信。,14.535218,11.702865
39929,1,[MASK]满意。裤子的质量真的不错，值得表扬！,11.104317,13.500292
47506,0,[MASK]满意。穿了一次，扔了，好还是不好？,13.8651085,11.062889
6287,1,[MASK]满意。屏幕够大，上手容易，物流很快。,10.6261215,13.353812
39475,1,[MASK]满意。买回来很合适，老公很喜欢。。。,10.508539,13.910817
38335,1,[MASK]满意。质量非常不错，穿起来很舒服。,10.7237625,13.689362
32710,0,[MASK]满意。就是好难受看到你日目的地后的吧,12.473196,11.658781
7812,1,[MASK]满意。帮朋友买的，反馈信息还不错?。,12.376005,12.202167
33424,0,[MASK]满意。快递丢失 不处理 没有维权渠道,13.806496,10.973919
39217,1,[MASK]满意。很不错哦，我又要在买多一条了,11.728872,13.2100115
35260,0,[MASK]满意。这个商标都掉了，可能是二手货吧,14.450942,12.263092
19076,1,[MASK]满意。苹果包装完好，吃起来香甜可口！,10.0421095,12.211192
58781,0,[MASK]满意。酒店很旧，设施陈旧！花洒漏水,14.216739,12.2585125
10412,0,[MASK]满意。卡出翔，到底是不是3G运行？,13.088481,11.3738785
46154,0,[MASK]满意。物流太慢了，就凭这一条给你零分,13.151151,10.508993
34631,0,[MASK]满意。非常无语，包装是裸的，没有塑封,12.797864,11.488827
57024,0,[MASK]满意。所有的房间里的设施不是很齐全！,13.938778,12.831431
42499,1,[MASK]满意。不错，穿上很舒服，面料也不错,11.676535,12.978374
47937,0,[MASK]满意。不满意，色差太大！做工一般！！,14.030407,11.643288
18689,1,[MASK]满意。苹果不错！很新鲜！到货也很快！,11.89282,13.011951
47073,0,[MASK]满意。洗一次线全扯掉了，做工非常粗糙,13.963728,12.712692
14578,0,[MASK]满意。功能可以，但表面出现掉漆现象,13.082578,10.4761
33936,0,[MASK]满意。送来都爆开了，包装能用点心吗？,13.103629,11.24626
46214,0,[MASK]满意。大小不标准 垃圾货下次去桃宝买,14.129357,10.756059
18541,1,[MASK]满意。统一大小，味道一般，包装很好。,11.844928,12.856384
6147,1,[MASK]满意。东西不错，真的很喜欢很喜欢。,11.81458,13.76291
35038,0,[MASK]满意。一点都不好，，，洗了很痒，差评,14.103729,11.881511
21809,0,[MASK]满意。包装不错，口号不太好，很硬不甜,12.454567,11.916942
47351,0,[MASK]满意。太差了，以后不会买了，懒得退,13.664877,11.116201
11255,0,[MASK]满意。分辨率太低了，看着模糊，后悔了,14.549027,12.003503
6495,1,[MASK]满意。我这个是给妈妈买的，她很喜欢,13.091311,13.521896
27960,1,[MASK]满意。还行吧，感觉可以满意。好评！,13.257098,12.24083
59784,0,[MASK]满意。凑合吧，旺季也不便宜，隔音太差,14.118529,10.7498
30190,1,[MASK]满意。比超市便宜，还方便，省的逛超市,10.629634,11.53151
41065,1,[MASK]满意。一直喜欢的牌子，好好好好好……,12.206974,13.035357
12495,0,[MASK]满意。不好不好不好，真的不好，上当,14.189522,11.184418
4490,1,[MASK]满意。刚拿到还没用还知道功能什么样,12.542808,12.059788
37775,0,[MASK]满意。你让我这个蒙牛脑残粉情何以堪？,12.791564,10.896614
18639,1,[MASK]满意。苹果个小点，颜色一般吃着还行。,12.058795,11.012799
6522,1,[MASK]满意。不错很好，京东快递给力棒棒哒,11.699314,12.580318
45361,0,[MASK]满意。穿了两次，而且面料粗糙，易脏,15.086561,12.51231
23149,0,[MASK]满意。心好几个发黑的。潘石译太差了！,13.727888,11.282519
45269,0,[MASK]满意。号码偏小，是棉的，颜色也还可以,12.175034,12.77557
45110,0,[MASK]满意。不好，有味非常刺鼻，而且还慢！,12.94264,11.632608
36596,1,[MASK]满意。果断的支持下，还是蒙牛厉害啊,12.904232,11.718719
34714,0,[MASK]满意。京东客服很垃圾，购买商品注意,13.942039,12.114546
39832,1,[MASK]满意。哈哈哈红红火火恍恍惚惚哈哈哈哈,11.93837,10.625987
43503,0,[MASK]满意。质量和版型和图片不一样，不好看,14.396884,11.599217
18791,1,[MASK]满意。刚收到，看着还可以。还没有吃。,13.627332,12.911955
5050,1,[MASK]满意。不错，暂时用着各方面都很满意,11.437285,12.7323
45857,0,[MASK]满意。等啦一个星期才到，无敌的郁闷,13.085827,11.642935
38304,1,[MASK]满意。非常愉快的一次购物。价廉物美。,9.485285,13.481059
32290,0,[MASK]满意。太差劲了，根本和实体店的不同,14.177337,11.259585
17172,1,[MASK]满意。早上下单，晚上收到，物流很快。,11.041101,14.34589
26214,1,[MASK]满意。看着挺好的 洗发水我 还没用,13.086715,12.012267
43653,0,[MASK]满意。不好 买回来穿一次口袋就破了,13.032424,12.073032
28796,1,[MASK]满意。给家人买的，家人都喜欢用这个。,12.066689,13.223802
45067,0,[MASK]满意。买回一看，跟夜市买的一样，*,11.874498,10.683386
40256,1,[MASK]满意。白色质量一般般，料子不是很好！,13.607775,12.30393
12627,0,[MASK]满意。wifi不靠谱，上网有限制。,14.241743,11.699264
20546,0,[MASK]满意。苹果有坏的，不新鲜，自欺欺人。,13.99151,9.965621
41781,1,[MASK]满意。裤子质量挺好的 料子很舒服啊,12.244415,13.332302
5986,1,[MASK]满意。除了不是全网通以外，其他都蛮好,11.6299305,11.977994
61796,0,[MASK]满意。服务差，环境差，缺乏管理和训练,14.557246,10.004213
47908,0,[MASK]满意。非常多小碎毛，穿了一次起球球,12.457556,12.263623
4899,1,[MASK]满意。机器很不错，外观漂亮 包装精美,10.847491,13.0253315
7036,1,[MASK]满意。买的第二个了物有所值相信京东,10.952152,12.260985
40508,1,[MASK]满意。质量看着还好，就是有点瘦了。,12.393328,12.528295
31474,0,[MASK]满意。这物流是蜗牛～产品有待考证～,12.551707,11.737123
4337,1,[MASK]满意。帮侄子买的，小朋友说挺好用的。,12.479805,13.094957
40660,1,[MASK]满意。手感不错 料子不错 样式不错,10.904144,11.876415
12511,0,[MASK]满意。二手的机子 电池不抗用 太坑了,13.203602,11.136017
28485,1,[MASK]满意。支持大牌！重要的是搞活动便宜！,12.610178,11.267787
42157,1,[MASK]满意。物美价廉，顶顶顶顶顶顶顶顶顶,10.660841,10.590036
35078,0,[MASK]满意。洗完头很多头皮屑，怀疑买的假货,14.337614,12.432562
39965,1,[MASK]满意。质量不错，值得购买，价钱也实惠,10.537051,11.691006
35703,1,[MASK]满意。产品就不评价了，正在使用中。,12.171508,11.934215
31868,0,[MASK]满意。沙宣的产品，得看个人适不适合,12.280845,10.726489
5547,1,[MASK]满意。真心好用！原装最新版本！喜欢！,11.446201,11.58752
44544,0,[MASK]满意。差评 拉链不行，各位兄弟注意了,12.743597,11.142587
42912,1,[MASK]满意。很好，质量不错，店家态度挺好,11.479057,12.723116
7180,1,[MASK]满意。不错，非常好用！流畅，不卡。,11.389706,12.407512
7323,1,[MASK]满意。京东我信任！便宜实惠邮寄快！,10.999928,10.181674
5333,1,[MASK]满意。超爽啊，比我之前用的三星好多了,11.129549,12.412194
31995,0,[MASK]满意。真假噶时间看书考试计算机技术,12.711036,10.5397415
46205,0,[MASK]满意。真的差，都不想在班尼路买衣服了,13.180562,11.53583
12993,0,[MASK]满意。什么玩意，服了京东了！垃圾，,13.837301,10.857305
45391,0,[MASK]满意。不满意，希望下次不要让我失望,13.166748,11.42734
5688,1,[MASK]满意。速度还不错，还好卖的是32G的,11.575962,12.639818
38275,1,[MASK]满意。舒服，就是质量一般，就值这个价,11.991356,10.598294
7874,1,[MASK]满意。还可以吧，用了几天暂时没问题,13.109504,12.204085
