,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,22.765666513760358
7598,1,手机质量很好哎，就是没有送礼品,22.17175221771295
43849,0,有差异的产品，下次不会选购了,23.552745858435017
10361,0,东西搭配了一堆没用的，给差评,17.00447383441682
3099,1,一般般 会有卡顿 看电影还行,64.40591152660306
28438,1,不错很满意，物流小哥很给力。,31.210752355536986
34577,0,京东的配送就这样吗？真是失望,38.759776877340414
12015,0,非常不满意，大型游戏根本玩不了,3.8284219009106817
31819,0,垃圾京东，收钱不发货，趁早倒闭,26.79890112399696
42623,1,衣服面料很舒服，柔软，大小合适,23.343161357183938
43428,0,哎与图片差距太大真心接受不了,62.45986019888504
38964,1,面料很好，款式时尚 穿上很舒服,36.63368944014173
32231,0,洗发水不正宗的，洗完头皮屑很多,50.37970846879687
17545,1,京东商城的商品实惠，继续支持！,6.931351049675684
36576,1,蒙牛出香蕉奶啦 味道还不错哦,91.32395993773682
6653,1,快递速度很快，平板用了还不错。,18.53536294031185
39896,1,大小合适，有弹力，辉常满意！,33.515801692107
38971,1,刚收到货，很好，物超所值！！,53.62725116704763
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,26.73770242230427
29583,1,超值值得购买！便宜实惠真的很好,14.448866646800441
12956,0,不咋好，显示不清楚，想贴膜的,37.52539083208889
31712,0,不好，这么贵还不好，我也是醉了,27.51946269805275
31680,0,啥时候到啊下单好几天了还没到?,66.0613463199576
60362,0,很一般，价格不高，但设备差！,16.922950913083735
45785,0,没穿几次就破2个洞，做工不好。,114.62768298434655
30820,0,被坑了，不好用，只能给一星?,94.82542381096602
10933,0,送货师傅不错，平板质量一般般,64.65236524625483
40218,1,穿上很舒服，面料不错，蛮好的,56.0172533855474
36597,1,蒙牛滴。。。口感醇厚，不错～,189.98452965435132
47403,0,衣服不行 ！！！ 快递也不给力,203.64948037318604
42213,1,质量好，做工精细。非常满意！,5.733477999662638
31785,0,不好用，味道太浓，不适合男人,20.077025646274212
46015,0,质量没有想像的那么好，不要上当,8.170812938702936
42170,1,款式新颖，又合身，孩子很喜欢,11.222819510279535
43150,0,欺骗消费者！！！严重不符！！！,17.699804234662366
45415,0,商品没图上的好看，面料也不多好,65.98515978965786
30230,1,价格实惠，服务好，东西不错。,4.512918077517404
47927,0,没收到商品，一个月了，差劲。,41.85722080711795
30018,1,好，不错，得蛮多的，划算，喜欢,74.63313630480725
26817,1,到货好快。服务好！东西满意！,13.747001410862469
5006,1,手机不错，屏大清晰，速度快。,16.998799548786437
44936,0,洗了掉色特严重，很硬，还没穿,166.92651369609646
16856,1,还味吃，现在觉得苹果越来越甜了,30.024483972525793
3845,1,不错 很喜欢 华为平板666,77.38653946194873
28242,1,洗发水好用，洗过头发很清爽…,46.14212586352255
42123,1,可以 比较满意 穿了再来评价,25.371842828559107
34621,0,有一瓶盖子烂了，流的到处都是。,36.38426188143135
33650,0,使用一般，和国货区别不是很大！,18.79751829916818
5554,1,好好的一个好的自己选的好好好货,39.074936772970084
30937,0,说好的吹风机在哪！太垃圾了！,12.54048587798234
60557,0,服务很一般，设施和装修也不好。,18.49062427601743
46810,0,真的和网上看的差别真大，好垃圾,12.751385612853786
25754,1,看着还可以，小的赠送旅行装不错,53.61361144247958
43705,0,物流太慢太慢，衣服不怎么样，,37.331815916071946
18630,1,个头小但很甜，用来做早餐正好。,23.097405002084272
41784,1,商品不错，物超所值。真实体验。,23.071644917190348
45106,0,非常一般，不推荐，不要贪便宜,19.30438546075767
31546,0,昨天收到今天就降价，太过分了！,23.292590936600824
43624,0,有股刺鼻的味道，还特别脏，差评,22.290471127621604
10107,0,差评，保护壳都没有，5星差评！,18.151726500549877
32824,0,不好用，不适合我的发质，起头屑,32.34983199922711
4883,1,不错物流给力，值得信赖，正品，,80.28536966131237
31305,0,发来就破了。。懒得跟客服叨叨了,194.01825100513508
17539,1,性价比真他们高。。。。够味还脆,95.4524211625189
3991,1,不错，给妈妈玩游戏用的，很喜欢,3.832309349214359
35438,1,安装好了，还没用，感觉挺好的,26.48192767058424
10959,0,骗子。垃圾货。收到的卡装不了,92.71220316621884
38859,1,衣服挺好的，我一下子买了两件,14.451581660445983
33344,0,还品牌垃圾要死，越洗越多头屑。,46.1826842637346
11811,0,不好买来好后悔玩游戏好卡差评。,91.22203270505769
26497,1,一如既往的快，态度好，日期新。,30.276939299879952
39505,1,裤子面料不错的 版型很喜欢啊,98.34712779311869
34065,0,买了很多次，这次的是假货，失望,64.33258098813891
57426,0,服务不好。乱收费，非常不满意！,7.474281972495093
10211,0,cpu太差 一点都不流畅 亏了,264.1721300127049
6071,1,真正好PAD，学英语不用愁啦,71.44390583647957
46500,0,网上买几次都是烂货，不能相信。,28.576368395093187
39929,1,裤子的质量真的不错，值得表扬！,6.497035747327573
47506,0,穿了一次，扔了，好还是不好？,32.701905306841574
6287,1,屏幕够大，上手容易，物流很快。,7.8427808986053575
39475,1,买回来很合适，老公很喜欢。。。,17.633196428756186
38335,1,质量非常不错，穿起来很舒服。,8.877985104821292
32710,0,就是好难受看到你日目的地后的吧,345.18328398954395
7812,1,帮朋友买的，反馈信息还不错?。,30.110818684830907
33424,0,快递丢失 不处理 没有维权渠道,41.4582411693871
39217,1,很不错哦，我又要在买多一条了,89.41155591145893
35260,0,这个商标都掉了，可能是二手货吧,29.392103245503197
19076,1,苹果包装完好，吃起来香甜可口！,7.858063809309009
58781,0,酒店很旧，设施陈旧！花洒漏水,62.64119751355289
10412,0,卡出翔，到底是不是3G运行？,55.33289829691799
46154,0,物流太慢了，就凭这一条给你零分,31.505964163432715
34631,0,非常无语，包装是裸的，没有塑封,25.3122645337727
57024,0,所有的房间里的设施不是很齐全！,19.771567211489593
42499,1,不错，穿上很舒服，面料也不错,19.43312845191979
47937,0,不满意，色差太大！做工一般！！,24.985585282037448
18689,1,苹果不错！很新鲜！到货也很快！,8.59178695644472
47073,0,洗一次线全扯掉了，做工非常粗糙,71.89833300419966
14578,0,功能可以，但表面出现掉漆现象,40.15106370722902
33936,0,送来都爆开了，包装能用点心吗？,60.460399555387156
46214,0,大小不标准 垃圾货下次去桃宝买,170.27670982499134
18541,1,统一大小，味道一般，包装很好。,11.00936720806935
6147,1,东西不错，真的很喜欢很喜欢。,10.026948455763545
35038,0,一点都不好，，，洗了很痒，差评,24.92136814889199
21809,0,包装不错，口号不太好，很硬不甜,27.380283772410888
47351,0,太差了，以后不会买了，懒得退,24.973230346545698
11255,0,分辨率太低了，看着模糊，后悔了,12.577613034754995
6495,1,我这个是给妈妈买的，她很喜欢,6.991212507405192
27960,1,还行吧，感觉可以满意。好评！,9.781598450617093
59784,0,凑合吧，旺季也不便宜，隔音太差,61.20168857845083
30190,1,比超市便宜，还方便，省的逛超市,35.503637163484264
41065,1,一直喜欢的牌子，好好好好好……,10.75713769689304
12495,0,不好不好不好，真的不好，上当,21.774076700076712
4490,1,刚拿到还没用还知道功能什么样,23.98447901217728
37775,0,你让我这个蒙牛脑残粉情何以堪？,24.15436160005789
18639,1,苹果个小点，颜色一般吃着还行。,16.3107051863821
6522,1,不错很好，京东快递给力棒棒哒,42.09249082034008
45361,0,穿了两次，而且面料粗糙，易脏,49.686225656969214
23149,0,心好几个发黑的。潘石译太差了！,158.6848474857664
45269,0,号码偏小，是棉的，颜色也还可以,43.8445636938464
45110,0,不好，有味非常刺鼻，而且还慢！,60.52792762209508
36596,1,果断的支持下，还是蒙牛厉害啊,36.905625263807835
34714,0,京东客服很垃圾，购买商品注意,7.823663528456854
39832,1,哈哈哈红红火火恍恍惚惚哈哈哈哈,13.578474118452375
43503,0,质量和版型和图片不一样，不好看,18.97729800883321
18791,1,刚收到，看着还可以。还没有吃。,15.352712568550286
5050,1,不错，暂时用着各方面都很满意,24.947420194490903
45857,0,等啦一个星期才到，无敌的郁闷,60.16757186396914
38304,1,非常愉快的一次购物。价廉物美。,12.540764110560175
32290,0,太差劲了，根本和实体店的不同,10.788352037112002
17172,1,早上下单，晚上收到，物流很快。,11.652151525325525
26214,1,看着挺好的 洗发水我 还没用,75.73292144729058
43653,0,不好 买回来穿一次口袋就破了,57.055453570338365
28796,1,给家人买的，家人都喜欢用这个。,33.82841318995796
45067,0,买回一看，跟夜市买的一样，*,76.82902133627894
40256,1,白色质量一般般，料子不是很好！,14.320533931814246
12627,0,wifi不靠谱，上网有限制。,17.05128044006692
20546,0,苹果有坏的，不新鲜，自欺欺人。,37.53433090154018
