,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,355.9781172354617
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,68.0300784468209
768,1,味道很好！送的也很快！好吃！,34.512592293867655
2518,1,菜品好，速度快，真是太好了！,13.535751106265112
7638,0,这家店就直接没送，接单不送的店,88.79345548184452
6583,0,送餐太慢太慢了～菜品还可以～,109.34151388320856
6692,0,"下次能送早点就好啦,快饿过劲啦",229.10022091065633
484,1,"很好吃量也很大都吃不完,赞一个",125.47842165170496
11295,0,下单2个小时才送到。无语了。,23.14053523844434
2826,1,谢谢师傅，辛苦了！非常准时！,16.933934824706082
11958,0,粉很好吃，但是订了卤蛋却没有。,71.08782167403842
4074,0,"吃到一半发现菜里有小强,简直了",70.57536867824989
1568,1,米饭是硬的。。不如上一次好吃,69.20097735398454
10881,0,米饭里有一只蟑螂，让人怎么吃,28.993172468307545
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,64.8165380166721
4765,0,很慢就不说了，关键是还不好吃。,13.81276504070935
370,1,态度很好，效率很高，给十分赞,26.84614032069096
11746,0,速度慢，第一次订餐就迟到，晕,74.99586145024745
8159,0,送餐走错路，袋子还破了………,65.46884734913709
2366,1,一直买他家的香脆鸡肉披萨，喜欢,23.11673111627224
866,1,"师傅辛苦了，谢谢,下雪注意安全",26.02362798202701
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,51.836116039883606
9911,0,石锅拌饭里面吃出了塑料包装纸袋,180.77652112785324
5045,0,菜品没味道。。。周也是。。。。,241.8747193925527
1563,1,又快又好又便宜！真心给力！！！,32.07113411052834
10234,0,面时间太长了，坨了，不好吃了,40.963882957645
29,1,"送餐非常快,态度特别好,谢谢",51.352288394038375
6442,0,"太小了,味道一般,说多了都是泪",20.733071808362073
467,1,送餐员辛苦，饭也好吃，继续购买,29.482047564385123
58,1,"送餐特别快,送餐员态度也特别好",27.496289752908005
1652,1,很快，也好，包装也好，赞赞赞,21.975540770691094
4529,0,味道还行，就是送餐太慢了……,27.027461105644925
88,1,"又快又好,小哥态度很好,好评",19.464416023210344
4524,0,"味道就那样把,盖浇饭挺难吃的",239.35934583646164
3085,1,外卖小哥人超级好。。。。。。,116.30060459547789
10811,0,速度挺快的，面不好吃，都凉了,50.55219601113239
8052,0,"点两份鸡柳,就给送,一份。。。",402.2281439367046
5562,0,太慢，太小，吃不饱。味道还行,13.589968877462201
5132,0,不好吃。。。菜太少了。。。。,132.57353035392245
2537,1,配送非常快，10分钟就送到啦～,38.09455224722282
2730,1,人好速度快，好评好评好评！！,20.872966130976003
6256,0,米粉比以前份量少，没以前好了,22.89075055535857
2717,1,东西非常好，还是热的，辛苦了！,15.129066272105698
5791,0,给的豆皮果然多，只是肉变少了,340.63536781552085
434,1,很快，很好，经常订，谢谢师傅,18.324890326531357
2067,1,非常好吃，送餐很快，绝对好评,31.83179643519072
8096,0,就薯条还行！其他都不怎么样！,77.8188175128245
1952,1,味道还好。服务态度真的很好～！,15.644575342448855
6980,0,咋的跟饿了吗不一样的名，坑爹,337.35918081880925
2435,1,经常买这家的饺子，味道棒棒哒！,17.456254027432507
9055,0,没有在店里吃好吃，萝卜太多了,28.627651162884998
1653,1,除了速度有待加强，其他都不错,14.548937426151431
3654,1,没有餐具哦，还要自己点餐具么,57.761418522817436
1739,1,"服务不错,但是太难吃了啊啊啊",12.742702345269851
11045,0,面也太少了，才半盒，我就没吃饱,136.4259600687406
2626,1,非常的正宗，就是羊杂汤太咸啦,134.73661417064037
7925,0,午餐肉实在太难吃了，千万别点,13.994054036440646
5910,0,真的不适合外卖，另外，真难吃,36.00334823812771
11336,0,我的电话打不通，不知道为什么,5.866373225876545
809,1,很好，速度飞快，炸鸡有点火大,52.25585606063963
661,1,太快了！！简直是神速啊！！！,30.65281617046941
396,1,"第二次买了,挺好的,以后继续",13.51572669370117
5702,0,我备注要的粥，结果送来的是饮料,352.2006351148432
10859,0,赠送的黄飞红花生呢？没送啊！！,700.2832013188262
280,1,非常好送的很快，，，还是热的。,48.619234510907916
184,1,好好好！赞赞赞！态度好速度快！,43.56250279395728
2289,1,味道很好而且很实惠送得也很快,84.7905801416781
4775,0,包装牛逼，送餐速度……咳咳……,39.68915909207594
2711,1,"番茄醬撒了QAQ,其他nice",248.1446432826937
854,1,"粥里有头发,就没吃,剩下都好吃",171.05847197593837
5116,0,太慢了，俩小时连个解释也没有,27.758523992681
2377,1,速度挺快的东西也挺好的给赞~,181.49795618995685
4429,0,肥肉太多吃的时候还把嘴唇拿破了,54.37460806636954
11423,0,饭菜都凉的，一个多小时才送来,95.98284388585748
7151,0,地三鲜，茄子里面有很多是生的,69.63776446406774
901,1,我吃出来一个钢丝球上的一个丝,56.95609386849701
5808,0,不好吃，包子还不熟，都硬邦邦的,62.22034350535535
2679,1,味道好，包装好，送餐及时，不错,19.439211703156626
11060,0,差评，退款太慢！我说的是百度！,44.142518975178696
10479,0,"送错了,打电话要求补送也不送",198.76790379197564
8079,0,送的时间太晚了，一个小时才送来,27.559660012979478
4617,0,送餐很慢，饿死了，味道很一般,28.182135342832495
2406,1,挺好的，速度也不错，以后还来,13.783245474163975
2682,1,大叔特别面善！饭食用料很好！,141.5916995407081
2442,1,大冷天的百度骑士真是辛苦了～,53.53773406073374
963,1,肉很多，味道不错，配送也很快,34.39349824118971
3617,1,饭菜香质量好，服务好，送饭快。,34.43348132891457
10792,0,一单元和二单元分不清...麻烦,8.17284629142616
2821,1,送餐快，阿田大虾一如既往的好吃,502.28881226046497
2108,1,菜挺多饭挺多就是牛肉丝质量一般,74.88655484511351
2832,1,送货很快，经常吃他家的，很棒,54.17350261367906
9713,0,送餐人员素质太差，不适合本工作,26.219826921545035
3122,1,"赞赞赞,很好吃,小哥送餐也很快",89.40757560922546
10897,0,味道还好，但是送餐实在是太久了,19.564633394285643
3793,1,都非常好，就是派送费有点贵！,32.148734597434206
6995,0,饺子都凉了还能吃吗，送来太慢了,60.881587452079955
1115,1,"好吃,就是太慢,两个小时才送到",48.93286340076868
6568,0,送餐慢，披萨巨小！还没餐具！！,784.7248643427002
2431,1,送餐很快，送餐人员很热情！～,29.21879907527856
1601,1,配送的真快，及时。很好好强大,342.7195704202106
7187,0,送餐太慢，等了两个小时，无语,65.5022478024546
3236,1,口味质量俱佳，送餐小伙很不错,185.52933342351446
7287,0,"咖啡撒了一兜子,还是凉的,服了",77.39833002235316
836,1,"很不错的一次,下次还会到这买",70.93050678135573
2663,1,送餐很快，菜很好，羊杂味道不错,69.17375860372914
9190,0,"每次酸奶都不给我带吸管,心好累",123.22736488194266
262,1,太快了，你是飞过来送餐的吧…,42.830829299033724
11078,0,接线员工态度太差。其他的还不错,39.06153388100331
393,1,速度很快，菜的味道也好！不错！,13.11141570859947
6382,0,汤横着就送过来了，撒到处都是!,180.8127366419676
9862,0,难吃的一逼，体验差，名不副实。,126.05307536276247
5440,0,肉太多了，送餐速度有待提高！,135.05487866813843
8739,0,"汤挺好喝的,就是米线没有米线味",93.12127426252837
10139,0,5555比以前的肉肉少了好多,42.19859025510531
8704,0,"味道不错,就是太慢了,真的很慢",8.470685143724282
3526,1,服务很好，送的很快，很有礼貌。,13.750259380185492
2947,1,宿舍信号不好，耽误了你的时间,10.95814759135608
8116,0,态度真差，喊什么喊！CBWD,338.49155312358005
771,1,都挺满意，送餐的师傅也很细心。,22.557292277791955
8579,0,盒子很精致，味道还好。整体不错,10.913855786574038
7305,0,撒的到处是。摩卡只有半杯了。,460.600869122391
10599,0,备注写好要生菜，结果送来不是,142.45624944562647
