,labels,text,neg_logits,pos_logits
8711,0,粥[MASK]好。病人吃啊，挂面哈拉味，汤也腥。,9.365526,9.963803
5797,0,粥[MASK]好。豆腐丝里吃出苍蝇，啥也不想说了,6.6759896,9.489934
768,1,粥[MASK]好。味道很好！送的也很快！好吃！,6.957389,12.9109125
2518,1,粥[MASK]好。菜品好，速度快，真是太好了！,5.6235695,9.66212
7638,0,粥[MASK]好。这家店就直接没送，接单不送的店,7.859422,7.5635257
6583,0,粥[MASK]好。送餐太慢太慢了～菜品还可以～,8.180771,11.011245
6692,0,"粥[MASK]好。下次能送早点就好啦,快饿过劲啦",7.8639126,9.749173
484,1,"粥[MASK]好。很好吃量也很大都吃不完,赞一个",7.1507273,12.200563
11295,0,粥[MASK]好。下单2个小时才送到。无语了。,8.203787,6.9052577
2826,1,粥[MASK]好。谢谢师傅，辛苦了！非常准时！,4.688368,7.3041673
11958,0,粥[MASK]好。粉很好吃，但是订了卤蛋却没有。,8.518259,11.111465
4074,0,"粥[MASK]好。吃到一半发现菜里有小强,简直了",6.885268,10.782823
1568,1,粥[MASK]好。米饭是硬的。。不如上一次好吃,10.225342,10.860698
10881,0,粥[MASK]好。米饭里有一只蟑螂，让人怎么吃,8.061669,9.025313
6353,0,粥[MASK]好。咖喱鸡肉烩意面，不知鸡肉滋味,6.187432,9.493677
4765,0,粥[MASK]好。很慢就不说了，关键是还不好吃。,9.613394,10.908086
370,1,粥[MASK]好。态度很好，效率很高，给十分赞,5.0384226,8.923612
11746,0,粥[MASK]好。速度慢，第一次订餐就迟到，晕,8.873114,8.098477
8159,0,粥[MASK]好。送餐走错路，袋子还破了………,9.560042,7.7994113
2366,1,粥[MASK]好。一直买他家的香脆鸡肉披萨，喜欢,6.5802402,9.81191
866,1,"粥[MASK]好。师傅辛苦了，谢谢,下雪注意安全",6.6154222,6.5751653
2743,1,粥[MASK]好。又快又好棒呆了哈哈哈哈哈哈哈,5.57489,8.365226
9911,0,粥[MASK]好。石锅拌饭里面吃出了塑料包装纸袋,6.428731,9.096562
5045,0,粥[MASK]好。菜品没味道。。。周也是。。。。,10.932916,9.180933
1563,1,粥[MASK]好。又快又好又便宜！真心给力！！！,5.764568,9.9628105
10234,0,粥[MASK]好。面时间太长了，坨了，不好吃了,9.070941,9.898543
29,1,"粥[MASK]好。送餐非常快,态度特别好,谢谢",6.2223506,9.0949545
6442,0,"粥[MASK]好。太小了,味道一般,说多了都是泪",9.456179,9.369511
467,1,粥[MASK]好。送餐员辛苦，饭也好吃，继续购买,7.0076795,10.4803
58,1,"粥[MASK]好。送餐特别快,送餐员态度也特别好",6.039798,10.113228
1652,1,粥[MASK]好。很快，也好，包装也好，赞赞赞,5.500817,9.8764
4529,0,粥[MASK]好。味道还行，就是送餐太慢了……,8.095992,12.324811
88,1,"粥[MASK]好。又快又好,小哥态度很好,好评",5.694366,8.698123
4524,0,"粥[MASK]好。味道就那样把,盖浇饭挺难吃的",8.889793,10.955604
3085,1,粥[MASK]好。外卖小哥人超级好。。。。。。,7.3811502,8.472183
10811,0,粥[MASK]好。速度挺快的，面不好吃，都凉了,8.819428,10.873724
8052,0,"粥[MASK]好。点两份鸡柳,就给送,一份。。。",5.7107744,7.5211177
5562,0,粥[MASK]好。太慢，太小，吃不饱。味道还行,11.136778,10.710954
5132,0,粥[MASK]好。不好吃。。。菜太少了。。。。,12.621334,11.331413
2537,1,粥[MASK]好。配送非常快，10分钟就送到啦～,6.0546036,10.643817
2730,1,粥[MASK]好。人好速度快，好评好评好评！！,4.5711823,6.5217986
6256,0,粥[MASK]好。米粉比以前份量少，没以前好了,7.9600472,9.470851
2717,1,粥[MASK]好。东西非常好，还是热的，辛苦了！,7.113153,10.502419
5791,0,粥[MASK]好。给的豆皮果然多，只是肉变少了,6.340593,9.709535
434,1,粥[MASK]好。很快，很好，经常订，谢谢师傅,6.376938,9.853808
2067,1,粥[MASK]好。非常好吃，送餐很快，绝对好评,6.94226,12.243401
8096,0,粥[MASK]好。就薯条还行！其他都不怎么样！,9.2335615,10.69358
1952,1,粥[MASK]好。味道还好。服务态度真的很好～！,7.9435763,12.025569
6980,0,粥[MASK]好。咋的跟饿了吗不一样的名，坑爹,7.549123,7.9220443
2435,1,粥[MASK]好。经常买这家的饺子，味道棒棒哒！,6.3547387,10.583822
9055,0,粥[MASK]好。没有在店里吃好吃，萝卜太多了,9.297858,10.14925
1653,1,粥[MASK]好。除了速度有待加强，其他都不错,5.5928173,8.918182
3654,1,粥[MASK]好。没有餐具哦，还要自己点餐具么,7.0700126,8.371537
1739,1,"粥[MASK]好。服务不错,但是太难吃了啊啊啊",8.019427,10.981648
11045,0,粥[MASK]好。面也太少了，才半盒，我就没吃饱,10.871168,11.485788
2626,1,粥[MASK]好。非常的正宗，就是羊杂汤太咸啦,7.0546846,12.006475
7925,0,粥[MASK]好。午餐肉实在太难吃了，千万别点,6.7351832,9.767074
5910,0,粥[MASK]好。真的不适合外卖，另外，真难吃,9.922939,9.981415
11336,0,粥[MASK]好。我的电话打不通，不知道为什么,6.82233,7.5601497
809,1,粥[MASK]好。很好，速度飞快，炸鸡有点火大,6.3990593,10.977763
661,1,粥[MASK]好。太快了！！简直是神速啊！！！,5.603014,7.2611184
396,1,"粥[MASK]好。第二次买了,挺好的,以后继续",6.465068,8.298092
5702,0,粥[MASK]好。我备注要的粥，结果送来的是饮料,8.896271,9.81426
10859,0,粥[MASK]好。赠送的黄飞红花生呢？没送啊！！,7.3104367,7.0809317
280,1,粥[MASK]好。非常好送的很快，，，还是热的。,6.176328,11.053339
184,1,粥[MASK]好。好好好！赞赞赞！态度好速度快！,5.5900846,6.8819194
2289,1,粥[MASK]好。味道很好而且很实惠送得也很快,6.580788,11.645826
4775,0,粥[MASK]好。包装牛逼，送餐速度……咳咳……,6.3070073,10.192278
2711,1,"粥[MASK]好。番茄醬撒了QAQ,其他nice",4.580855,9.208661
854,1,"粥[MASK]好。粥里有头发,就没吃,剩下都好吃",7.898612,10.62834
5116,0,粥[MASK]好。太慢了，俩小时连个解释也没有,7.840144,7.8705335
2377,1,粥[MASK]好。速度挺快的东西也挺好的给赞~,6.199789,9.141237
4429,0,粥[MASK]好。肥肉太多吃的时候还把嘴唇拿破了,8.056565,9.002708
11423,0,粥[MASK]好。饭菜都凉的，一个多小时才送来,9.215952,11.522109
7151,0,粥[MASK]好。地三鲜，茄子里面有很多是生的,6.0225654,9.148317
901,1,粥[MASK]好。我吃出来一个钢丝球上的一个丝,7.1926537,8.827829
5808,0,粥[MASK]好。不好吃，包子还不熟，都硬邦邦的,9.739093,9.85954
2679,1,粥[MASK]好。味道好，包装好，送餐及时，不错,6.642438,10.415856
11060,0,粥[MASK]好。差评，退款太慢！我说的是百度！,7.4758983,7.5142756
10479,0,"粥[MASK]好。送错了,打电话要求补送也不送",7.4955683,6.451193
8079,0,粥[MASK]好。送的时间太晚了，一个小时才送来,8.127711,9.359795
4617,0,粥[MASK]好。送餐很慢，饿死了，味道很一般,11.2916355,11.837774
2406,1,粥[MASK]好。挺好的，速度也不错，以后还来,6.1349635,8.757598
2682,1,粥[MASK]好。大叔特别面善！饭食用料很好！,6.8962374,13.133046
2442,1,粥[MASK]好。大冷天的百度骑士真是辛苦了～,6.245672,6.730259
963,1,粥[MASK]好。肉很多，味道不错，配送也很快,7.258465,13.110702
3617,1,粥[MASK]好。饭菜香质量好，服务好，送饭快。,5.859592,9.568923
10792,0,粥[MASK]好。一单元和二单元分不清...麻烦,7.3161683,6.0462565
2821,1,粥[MASK]好。送餐快，阿田大虾一如既往的好吃,6.4601283,10.810921
2108,1,粥[MASK]好。菜挺多饭挺多就是牛肉丝质量一般,8.781679,11.425679
2832,1,粥[MASK]好。送货很快，经常吃他家的，很棒,6.7462997,12.642691
9713,0,粥[MASK]好。送餐人员素质太差，不适合本工作,9.507312,8.062453
3122,1,"粥[MASK]好。赞赞赞,很好吃,小哥送餐也很快",6.9940004,10.878833
10897,0,粥[MASK]好。味道还好，但是送餐实在是太久了,8.625045,10.665717
3793,1,粥[MASK]好。都非常好，就是派送费有点贵！,5.314661,9.982042
6995,0,粥[MASK]好。饺子都凉了还能吃吗，送来太慢了,8.653559,8.879382
1115,1,"粥[MASK]好。好吃,就是太慢,两个小时才送到",7.115632,11.40277
6568,0,粥[MASK]好。送餐慢，披萨巨小！还没餐具！！,10.088738,8.896913
2431,1,粥[MASK]好。送餐很快，送餐人员很热情！～,6.944144,12.985553
1601,1,粥[MASK]好。配送的真快，及时。很好好强大,5.483073,9.506259
7187,0,粥[MASK]好。送餐太慢，等了两个小时，无语,8.770343,9.581162
3236,1,粥[MASK]好。口味质量俱佳，送餐小伙很不错,6.503743,11.165527
7287,0,"粥[MASK]好。咖啡撒了一兜子,还是凉的,服了",7.528002,9.900598
836,1,"粥[MASK]好。很不错的一次,下次还会到这买",6.3937593,9.441576
2663,1,粥[MASK]好。送餐很快，菜很好，羊杂味道不错,7.7506757,14.152475
9190,0,"粥[MASK]好。每次酸奶都不给我带吸管,心好累",9.280989,8.55523
262,1,粥[MASK]好。太快了，你是飞过来送餐的吧…,8.164389,9.278676
11078,0,粥[MASK]好。接线员工态度太差。其他的还不错,9.662221,7.9635825
393,1,粥[MASK]好。速度很快，菜的味道也好！不错！,6.7379885,12.645139
6382,0,粥[MASK]好。汤横着就送过来了，撒到处都是!,6.701743,10.197698
9862,0,粥[MASK]好。难吃的一逼，体验差，名不副实。,9.205288,9.313299
5440,0,粥[MASK]好。肉太多了，送餐速度有待提高！,9.309908,9.673705
8739,0,"粥[MASK]好。汤挺好喝的,就是米线没有米线味",8.419566,12.056011
10139,0,粥[MASK]好。5555比以前的肉肉少了好多,6.857043,9.20841
8704,0,"粥[MASK]好。味道不错,就是太慢了,真的很慢",7.593488,11.702611
3526,1,粥[MASK]好。服务很好，送的很快，很有礼貌。,6.019567,11.536985
2947,1,粥[MASK]好。宿舍信号不好，耽误了你的时间,7.9191766,7.0178013
8116,0,粥[MASK]好。态度真差，喊什么喊！CBWD,7.4241967,6.771359
771,1,粥[MASK]好。都挺满意，送餐的师傅也很细心。,6.9974327,11.954662
8579,0,粥[MASK]好。盒子很精致，味道还好。整体不错,6.4222865,10.861861
7305,0,粥[MASK]好。撒的到处是。摩卡只有半杯了。,8.303812,10.639768
10599,0,粥[MASK]好。备注写好要生菜，结果送来不是,5.862986,7.3082495
10977,0,"粥[MASK]好。送的太慢了,2小时,菜都冷了",9.024007,9.833801
9176,0,"粥[MASK]好。你吗,送了俩小时,太不靠谱了",7.1201315,7.3588963
2915,1,粥[MASK]好。还不错，就是买回来面有一点陀,6.810927,10.313723
9393,0,粥[MASK]好。太慢了，送来都凉了，态度各种差,9.153531,8.927122
6230,0,粥[MASK]好。口味比之前差多了！换厨师了吗？,9.568117,10.30563
8449,0,粥[MASK]好。图片与实物不符...根本没鸡腿,7.572218,8.274369
1005,1,粥[MASK]好。快递小哥以后继续加速啊，加油,6.6117105,7.4633093
6607,0,"粥[MASK]好。次次迟到n久~~,菜都是凉的",8.742528,9.565476
2226,1,粥[MASK]好。价格偏高，不过倒是蛮好吃的。,8.004726,11.07505
1379,1,"粥[MASK]好。难吃,难吃,难吃。凉了,凉了",9.4332485,10.598753
11472,0,"粥[MASK]好。味道一般般,不过送餐速度很快",8.371046,11.780252
7292,0,粥[MASK]好。没有糖包，热巧克力要了只有一半,6.251581,9.689769
