,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,29.387167661947178
37994,1,局气！规矩！管虎导了俩影帝了！,723.3203417527245
45474,0,前半段真好看，后半段越来越萎,16.342370620883607
37018,0,前面的剧情看得我尴尬癌都犯了,30.807494543639216
39152,0,混乱的情节，特么矫情无下限。,24.048187761774198
4952,0,适合能静得下心和有故事的人。,12.019651952880174
49922,1,最是人间留不住朱颜辞镜花辞树,560.5293516890333
18895,1,超级治愈又感人，狗狗真的好暖心,18.681711375273995
16855,0,密室设定很有意思，可惜未能维持,37.143470090005295
33344,1,原来巴萨的德国馆还有这个用处,65.94793555739768
43014,1,丫丫真的太美了，前夫哥好可爱,34.85010328429248
30945,0,烂的一逼，啥都没有，狗屁不通。,22.99536832949899
11202,1,这个玛丽苏我喜欢很好看求续集,94.08248122061543
43097,1,看了点映，好多戳中我泪点??,221.0048039355642
7229,0,郑恺和郭采洁还挺有cp感的。,78.61712237305294
46824,0,民乐要靠二次元来拯救了嘛……,95.22694498156208
44791,1,反正我追完了，为了女主的颜值,35.60617874884258
40750,0,我朋友说，她尴尬得想原地去世。,35.97718413129733
24357,0,今年作品太多了，有点透支了。,13.267614302047168
12065,0,我是真的觉得孙悟空的扮相太丑了,25.948585742916066
44782,1,还可以吧……感觉题材还算新颖,9.227333894919584
11314,0,看完情圣来评评这部这部比情圣好,32.20811643796486
19047,1,它令我想起曾经怦然心动的轻吻,15.6113078217956
45899,0,发哥抄着烂片专业户就去了。。。,294.55291444258955
14214,0,第一集演得什么玩意儿，尴尬死了,15.424985055841098
31414,1,热热闹闹的，看得我好开心啊。,6.365566693352547
25276,0,煽情煽成了MV，大家都笑了。,32.24781178965965
47776,1,最喜欢的科幻故事，很成功的改编,8.190193237063875
45012,1,还算可以哦，故事讲的挺精彩！,46.47397390530784
49786,0,被黑天鹅惊艳到了！美轮美奂！,37.01067615032954
11029,0,到底在演什麼啊？？大爛片！！！,59.11315522634362
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,16.724448080748576
3121,1,你无车无楼无番狗做乜要拖我手,715.1735328073976
9512,0,最弱版劳拉了吧？太弱了太无聊了,119.38218412324686
15976,0,重拍经典，孩子对恐惧的克服。,16.511031418488148
26862,1,太好看了！笑得我内分泌失调！,51.81519509051597
30395,0,本来两星，加一星给受罪的演员吧,127.81214894468226
22972,0,《星际特工：全宇宙看我们尬爱》,50.69576605299271
30570,0,特效不错啊，但剧情就大简单了,40.432044319810274
20588,0,气氛到位，演员不存，故事简单！,32.848031749890936
13869,0,看的点映，形式“精致”的大烂片,111.0771613655131
24216,1,最后居然没搞你们还是人吗？？？,44.35304971343388
32991,0,平淡真实不温不火我没懂哭点在哪,122.0769285403749
1732,1,其实伍迪哈里森演的是一个天使,25.62733802933528
4472,1,陈可辛拍商业文艺片真的不错~~,33.3018968704823
