,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,292.4872169154778
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,39.597232840173255
768,1,味道很好！送的也很快！好吃！,14.395417301996686
2518,1,菜品好，速度快，真是太好了！,10.452157590057485
7638,0,这家店就直接没送，接单不送的店,74.99289289678599
6583,0,送餐太慢太慢了～菜品还可以～,37.011067723644665
6692,0,"下次能送早点就好啦,快饿过劲啦",105.23135787657705
484,1,"很好吃量也很大都吃不完,赞一个",72.3257098286994
11295,0,下单2个小时才送到。无语了。,20.137055115730668
2826,1,谢谢师傅，辛苦了！非常准时！,19.78175389534664
11958,0,粉很好吃，但是订了卤蛋却没有。,59.4756279069447
4074,0,"吃到一半发现菜里有小强,简直了",34.92954937617569
1568,1,米饭是硬的。。不如上一次好吃,51.8397617941872
10881,0,米饭里有一只蟑螂，让人怎么吃,23.56658884017917
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,38.67529860071584
4765,0,很慢就不说了，关键是还不好吃。,12.384110152617657
370,1,态度很好，效率很高，给十分赞,27.271910468354484
11746,0,速度慢，第一次订餐就迟到，晕,25.228867470908995
8159,0,送餐走错路，袋子还破了………,42.78663540946651
2366,1,一直买他家的香脆鸡肉披萨，喜欢,12.327677829280146
866,1,"师傅辛苦了，谢谢,下雪注意安全",19.34181880098501
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,21.172599354702644
9911,0,石锅拌饭里面吃出了塑料包装纸袋,85.10107619813708
5045,0,菜品没味道。。。周也是。。。。,118.19540834811154
1563,1,又快又好又便宜！真心给力！！！,14.855460891848525
10234,0,面时间太长了，坨了，不好吃了,21.895038177449322
29,1,"送餐非常快,态度特别好,谢谢",24.329333870038013
6442,0,"太小了,味道一般,说多了都是泪",12.498842118371249
467,1,送餐员辛苦，饭也好吃，继续购买,16.857445506431255
58,1,"送餐特别快,送餐员态度也特别好",21.684504296215227
1652,1,很快，也好，包装也好，赞赞赞,14.302535911826999
4529,0,味道还行，就是送餐太慢了……,15.109563026704443
88,1,"又快又好,小哥态度很好,好评",8.689297176089076
4524,0,"味道就那样把,盖浇饭挺难吃的",65.45825466414774
3085,1,外卖小哥人超级好。。。。。。,104.20869344514131
10811,0,速度挺快的，面不好吃，都凉了,31.35496548321843
8052,0,"点两份鸡柳,就给送,一份。。。",151.49108592252668
5562,0,太慢，太小，吃不饱。味道还行,13.07890608412252
5132,0,不好吃。。。菜太少了。。。。,84.8261120179176
2537,1,配送非常快，10分钟就送到啦～,14.867711243570538
2730,1,人好速度快，好评好评好评！！,16.860171570711124
6256,0,米粉比以前份量少，没以前好了,18.232640014167227
2717,1,东西非常好，还是热的，辛苦了！,10.424157200274747
5791,0,给的豆皮果然多，只是肉变少了,254.14113030751628
434,1,很快，很好，经常订，谢谢师傅,20.431853356042613
2067,1,非常好吃，送餐很快，绝对好评,26.8488781705528
8096,0,就薯条还行！其他都不怎么样！,42.36665688275708
1952,1,味道还好。服务态度真的很好～！,6.786308771303587
6980,0,咋的跟饿了吗不一样的名，坑爹,255.35040482596764
2435,1,经常买这家的饺子，味道棒棒哒！,10.23810402801867
9055,0,没有在店里吃好吃，萝卜太多了,20.79658776937172
1653,1,除了速度有待加强，其他都不错,9.057176212681869
3654,1,没有餐具哦，还要自己点餐具么,22.333993863471623
1739,1,"服务不错,但是太难吃了啊啊啊",7.9586165576438
11045,0,面也太少了，才半盒，我就没吃饱,86.76595899650381
2626,1,非常的正宗，就是羊杂汤太咸啦,35.43117239361169
7925,0,午餐肉实在太难吃了，千万别点,10.074560379349615
5910,0,真的不适合外卖，另外，真难吃,17.855934855957916
11336,0,我的电话打不通，不知道为什么,4.481510297148081
809,1,很好，速度飞快，炸鸡有点火大,28.522799296167413
661,1,太快了！！简直是神速啊！！！,15.788138967466956
396,1,"第二次买了,挺好的,以后继续",8.723092578885446
5702,0,我备注要的粥，结果送来的是饮料,137.70790630373082
10859,0,赠送的黄飞红花生呢？没送啊！！,226.11181944227667
280,1,非常好送的很快，，，还是热的。,34.378487669440524
184,1,好好好！赞赞赞！态度好速度快！,25.344568247487576
2289,1,味道很好而且很实惠送得也很快,34.556382082012284
4775,0,包装牛逼，送餐速度……咳咳……,28.185212623520087
2711,1,"番茄醬撒了QAQ,其他nice",229.51081443061707
854,1,"粥里有头发,就没吃,剩下都好吃",51.44974891942387
5116,0,太慢了，俩小时连个解释也没有,20.08589593933148
2377,1,速度挺快的东西也挺好的给赞~,52.250479911526966
4429,0,肥肉太多吃的时候还把嘴唇拿破了,40.08318346710771
11423,0,饭菜都凉的，一个多小时才送来,37.077077049413916
7151,0,地三鲜，茄子里面有很多是生的,46.15028858147406
901,1,我吃出来一个钢丝球上的一个丝,41.467953354865585
5808,0,不好吃，包子还不熟，都硬邦邦的,38.90021354381541
2679,1,味道好，包装好，送餐及时，不错,11.695390978919246
11060,0,差评，退款太慢！我说的是百度！,30.53713999195978
10479,0,"送错了,打电话要求补送也不送",99.49467595438273
8079,0,送的时间太晚了，一个小时才送来,15.299598943432674
4617,0,送餐很慢，饿死了，味道很一般,20.69279104652059
2406,1,挺好的，速度也不错，以后还来,15.277735888185802
2682,1,大叔特别面善！饭食用料很好！,37.59604945078875
2442,1,大冷天的百度骑士真是辛苦了～,24.935961962313065
963,1,肉很多，味道不错，配送也很快,25.626889307124806
3617,1,饭菜香质量好，服务好，送饭快。,37.83107774861167
10792,0,一单元和二单元分不清...麻烦,5.031774250623657
2821,1,送餐快，阿田大虾一如既往的好吃,240.00925454704134
2108,1,菜挺多饭挺多就是牛肉丝质量一般,53.42469805228879
2832,1,送货很快，经常吃他家的，很棒,24.403002299345967
9713,0,送餐人员素质太差，不适合本工作,16.455330848337944
3122,1,"赞赞赞,很好吃,小哥送餐也很快",94.55938381203373
