,labels,text,neg_logits,pos_logits
82777,0,[MASK]绿。[泪] //@耿嘉晨：还真是,4.921293,4.151904
48250,1,[MASK]绿。爱上江西，没有理由！[哈哈],6.235011,4.6967125
100168,0,[MASK]绿。计划赶不上变化[抓狂][泪],5.841066,4.1862793
22319,1,[MASK]绿。芭其乐，大嘴快乐的家伙[爱你],5.7899566,4.8588142
70122,0,[MASK]绿。传统已逝??????[抓狂],5.285928,4.9145374
6338,1,[MASK]绿。谢谢哈! 欢迎常来![鼓掌],3.3557436,3.4752395
20081,1,[MASK]绿。胖子手感好啊！[鼓掌][爱你],6.366515,5.4732056
23064,1,[MASK]绿。生快！[干杯][蛋糕][鼓掌],3.901314,3.7709024
84060,0,[MASK]绿。居然把我干儿子装脸盆里！[怒],5.013017,4.1012573
93871,0,[MASK]绿。三哥总是这么的让人惊喜[晕],6.171444,4.6613274
104161,0,[MASK]绿。此刻后：ko了... [晕],5.4887137,3.787617
40416,1,[MASK]绿。[害羞][哈哈]@魔王1987,5.7843103,4.362508
15376,1,[MASK]绿。随手拍祝大家周末愉快！[爱你],4.6097846,4.7457085
10199,1,[MASK]绿。是滴，美女。欢迎哦！[可爱],6.586838,5.1843443
71224,0,[MASK]绿。偷贡品。不怕报应啊？。[衰],4.6971674,4.8716335
12238,1,[MASK]绿。[哈哈] //@独眼u:哈哈哈,6.2657776,4.820818
77537,0,[MASK]绿。求二手智能手机。。。[抓狂],7.127041,5.2761717
55063,1,[MASK]绿。是帮你挡酒的男的么？[嘻嘻],5.517491,5.001939
21548,1,[MASK]绿。原来很多国家都免签![哈哈],6.3275695,3.5346
38076,1,[MASK]绿。百变大咖秀真的很快乐[哈哈],5.0098295,4.4030066
84198,0,[MASK]绿。[泪]//@那木错:[微风],5.2967095,4.896761
27872,1,[MASK]绿。哈哈，强大[鼓掌][good],5.407662,3.9635103
48051,1,[MASK]绿。眼睛一眨，美妞变辣妈！[哈哈],6.0117245,5.1579447
18029,1,[MASK]绿。祝大家十一小长假快乐[太开心],4.5613565,5.026164
115177,0,[MASK]绿。[泪] //@袁腾飞:[泪],4.8508377,4.6533155
114619,0,[MASK]绿。可怜的风扇[泪] 我要等正版！,6.760877,5.151993
64870,0,[MASK]绿。固执的大叔这场又好危险[失望],7.309989,4.4699945
74958,0,[MASK]绿。办公室都是孩儿他娘！！！[怒],4.2689953,3.5286996
77734,0,[MASK]绿。//@地狱中的八尾猫: [衰],5.9060755,4.969038
51580,1,[MASK]绿。财神到我手?[偷笑][鼓掌],5.794783,5.0447702
54352,1,[MASK]绿。爱吃牛排的童鞋举个手~[爱你],5.258348,5.0499916
8324,1,[MASK]绿。开始喽，看起来吧！！[鼓掌],6.1829133,4.7502756
106626,0,[MASK]绿。受伤，是个超级不好的消息[衰],5.6455226,4.857787
15031,1,[MASK]绿。[哈哈][哈哈]收费大调查。。,6.3393645,4.5163994
8249,1,[MASK]绿。用美食向大家说早安~[嘻嘻],3.7907875,4.110589
59782,0,[MASK]绿。愚人节的游戏，银行也玩呀[衰],6.1045446,4.145359
110113,0,[MASK]绿。[衰]弄破了，基本上不会复原！,5.7378736,5.415638
11405,1,[MASK]绿。哈，回忆录写到哪了？[嘻嘻],5.485734,4.1100373
81138,0,[MASK]绿。书人搬家，其实就是搬书[晕],4.877904,4.1871347
14831,1,[MASK]绿。《时尚旅游》也玩街拍了[哈哈],4.8597145,4.336647
51446,1,[MASK]绿。阿姨做的菜相当好吃呢[爱你],5.094111,4.8523064
73965,0,[MASK]绿。Facebook 还在跌[晕],5.9907165,3.489373
101129,0,[MASK]绿。[抓狂] 你是在哪里腐败~~~,5.4588857,4.5001297
104892,0,[MASK]绿。男人动手…[怒][怒][怒],3.7843525,4.4415207
66040,0,[MASK]绿。我在这里：#闸北区#吃饭[泪],5.300201,4.1201096
87632,0,[MASK]绿。难得休息的，竟然感冒了[泪],5.7734594,4.566863
96063,0,[MASK]绿。知道得太晚了，遗憾！[失望],6.4763184,4.6508875
81716,0,[MASK]绿。社会败坏的典型!?救了[衰],4.9039435,4.888403
92195,0,[MASK]绿。姐，我给你跪下了，这才气[晕],5.5022063,4.4985094
95696,0,[MASK]绿。[泪]同意，让他们变成海豹!!,5.4722295,4.230139
19351,1,[MASK]绿。//@好色小湿妹: [哈哈],5.9007535,5.331293
41680,1,[MASK]绿。我觉得总结的很好，喜欢[鼓掌],4.1763415,3.8300686
21865,1,[MASK]绿。斯坦福正门左侧草坪。[嘻嘻],5.939842,5.887534
2453,1,[MASK]绿。[嘻嘻]重口味爱好者的福音来咯,4.798842,4.6401386
48755,1,[MASK]绿。转给来北京玩的童鞋们[可爱],5.0570445,4.622611
53195,1,[MASK]绿。偷偷发张我师父的照片[哈哈],4.9584403,4.039853
12712,1,[MASK]绿。好样的！[嘻嘻]你家就你牛！,5.362422,5.0542965
94030,0,[MASK]绿。早知道找你买了还能越狱[抓狂],5.832285,4.72406
40934,1,[MASK]绿。我上班能穿成这样吗？[嘻嘻],7.141275,5.6542864
11905,1,[MASK]绿。[哈哈][哈哈][哈哈]翔子,5.6728907,4.105607
56807,0,[MASK]绿。还有这么不要脸的[怒] 扩散,5.6567445,4.1015806
63131,0,[MASK]绿。最近压力让我头痛 [衰][晕],5.4646397,4.4264917
