,labels,text,neg_logits,pos_logits
8711,0,[MASK]喜欢。病人吃啊，挂面哈拉味，汤也腥。,12.536252,10.784356
5797,0,[MASK]喜欢。豆腐丝里吃出苍蝇，啥也不想说了,12.051842,10.359321
768,1,[MASK]喜欢。味道很好！送的也很快！好吃！,10.553399,13.394028
2518,1,[MASK]喜欢。菜品好，速度快，真是太好了！,10.174931,12.31415
7638,0,[MASK]喜欢。这家店就直接没送，接单不送的店,11.588649,10.521768
6583,0,[MASK]喜欢。送餐太慢太慢了～菜品还可以～,13.3789835,11.478817
6692,0,"[MASK]喜欢。下次能送早点就好啦,快饿过劲啦",11.123715,11.946095
484,1,"[MASK]喜欢。很好吃量也很大都吃不完,赞一个",10.694631,13.258667
11295,0,[MASK]喜欢。下单2个小时才送到。无语了。,13.277147,11.937415
2826,1,[MASK]喜欢。谢谢师傅，辛苦了！非常准时！,10.263982,12.778239
11958,0,[MASK]喜欢。粉很好吃，但是订了卤蛋却没有。,13.01314,12.607472
4074,0,"[MASK]喜欢。吃到一半发现菜里有小强,简直了",11.31663,12.63877
1568,1,[MASK]喜欢。米饭是硬的。。不如上一次好吃,13.493341,11.190947
10881,0,[MASK]喜欢。米饭里有一只蟑螂，让人怎么吃,12.317782,10.95483
6353,0,[MASK]喜欢。咖喱鸡肉烩意面，不知鸡肉滋味,12.372409,11.876432
4765,0,[MASK]喜欢。很慢就不说了，关键是还不好吃。,13.171502,12.190203
370,1,[MASK]喜欢。态度很好，效率很高，给十分赞,10.332741,12.077633
11746,0,[MASK]喜欢。速度慢，第一次订餐就迟到，晕,13.642091,10.516358
8159,0,[MASK]喜欢。送餐走错路，袋子还破了………,13.063143,10.382024
2366,1,[MASK]喜欢。一直买他家的香脆鸡肉披萨，喜欢,11.572949,11.766945
866,1,"[MASK]喜欢。师傅辛苦了，谢谢,下雪注意安全",11.038601,12.4442625
2743,1,[MASK]喜欢。又快又好棒呆了哈哈哈哈哈哈哈,9.686912,11.892161
9911,0,[MASK]喜欢。石锅拌饭里面吃出了塑料包装纸袋,11.057521,11.854383
5045,0,[MASK]喜欢。菜品没味道。。。周也是。。。。,13.605231,9.613329
1563,1,[MASK]喜欢。又快又好又便宜！真心给力！！！,9.726538,11.548848
10234,0,[MASK]喜欢。面时间太长了，坨了，不好吃了,14.448284,11.191252
29,1,"[MASK]喜欢。送餐非常快,态度特别好,谢谢",10.871125,12.420166
6442,0,"[MASK]喜欢。太小了,味道一般,说多了都是泪",13.33398,12.407475
467,1,[MASK]喜欢。送餐员辛苦，饭也好吃，继续购买,10.902572,10.133144
58,1,"[MASK]喜欢。送餐特别快,送餐员态度也特别好",10.841488,12.226668
1652,1,[MASK]喜欢。很快，也好，包装也好，赞赞赞,9.324949,12.299251
4529,0,[MASK]喜欢。味道还行，就是送餐太慢了……,11.4408865,12.874942
88,1,"[MASK]喜欢。又快又好,小哥态度很好,好评",10.449245,12.374086
4524,0,"[MASK]喜欢。味道就那样把,盖浇饭挺难吃的",12.84259,11.802862
3085,1,[MASK]喜欢。外卖小哥人超级好。。。。。。,10.235524,11.286796
10811,0,[MASK]喜欢。速度挺快的，面不好吃，都凉了,12.040901,12.113074
8052,0,"[MASK]喜欢。点两份鸡柳,就给送,一份。。。",9.741732,9.115446
5562,0,[MASK]喜欢。太慢，太小，吃不饱。味道还行,14.147873,11.537294
5132,0,[MASK]喜欢。不好吃。。。菜太少了。。。。,16.771729,11.200816
2537,1,[MASK]喜欢。配送非常快，10分钟就送到啦～,9.384621,13.157262
2730,1,[MASK]喜欢。人好速度快，好评好评好评！！,10.507581,11.684526
6256,0,[MASK]喜欢。米粉比以前份量少，没以前好了,13.017513,11.880312
2717,1,[MASK]喜欢。东西非常好，还是热的，辛苦了！,10.7669935,12.918959
5791,0,[MASK]喜欢。给的豆皮果然多，只是肉变少了,11.065779,12.225216
434,1,[MASK]喜欢。很快，很好，经常订，谢谢师傅,10.657042,13.306459
2067,1,[MASK]喜欢。非常好吃，送餐很快，绝对好评,10.759564,12.592537
8096,0,[MASK]喜欢。就薯条还行！其他都不怎么样！,12.940216,12.136377
1952,1,[MASK]喜欢。味道还好。服务态度真的很好～！,11.349433,13.223812
6980,0,[MASK]喜欢。咋的跟饿了吗不一样的名，坑爹,12.325682,10.868384
2435,1,[MASK]喜欢。经常买这家的饺子，味道棒棒哒！,10.436615,13.236916
9055,0,[MASK]喜欢。没有在店里吃好吃，萝卜太多了,14.028372,11.354545
1653,1,[MASK]喜欢。除了速度有待加强，其他都不错,10.720872,12.440186
3654,1,[MASK]喜欢。没有餐具哦，还要自己点餐具么,11.525079,10.912794
1739,1,"[MASK]喜欢。服务不错,但是太难吃了啊啊啊",11.739783,12.493887
11045,0,[MASK]喜欢。面也太少了，才半盒，我就没吃饱,13.064355,11.932936
2626,1,[MASK]喜欢。非常的正宗，就是羊杂汤太咸啦,11.752022,13.238065
7925,0,[MASK]喜欢。午餐肉实在太难吃了，千万别点,12.774733,11.362821
5910,0,[MASK]喜欢。真的不适合外卖，另外，真难吃,13.611388,11.100056
11336,0,[MASK]喜欢。我的电话打不通，不知道为什么,12.3622465,12.871923
809,1,[MASK]喜欢。很好，速度飞快，炸鸡有点火大,10.833117,12.255714
661,1,[MASK]喜欢。太快了！！简直是神速啊！！！,10.251848,12.093402
396,1,"[MASK]喜欢。第二次买了,挺好的,以后继续",11.386745,12.888045
5702,0,[MASK]喜欢。我备注要的粥，结果送来的是饮料,11.755975,11.174235
10859,0,[MASK]喜欢。赠送的黄飞红花生呢？没送啊！！,12.2446575,10.557294
280,1,[MASK]喜欢。非常好送的很快，，，还是热的。,10.246854,13.601935
184,1,[MASK]喜欢。好好好！赞赞赞！态度好速度快！,10.815654,11.778165
2289,1,[MASK]喜欢。味道很好而且很实惠送得也很快,10.375204,13.827478
4775,0,[MASK]喜欢。包装牛逼，送餐速度……咳咳……,11.628584,10.697376
2711,1,"[MASK]喜欢。番茄醬撒了QAQ,其他nice",10.5900755,11.084234
854,1,"[MASK]喜欢。粥里有头发,就没吃,剩下都好吃",12.3034525,11.643644
5116,0,[MASK]喜欢。太慢了，俩小时连个解释也没有,12.816746,10.477183
2377,1,[MASK]喜欢。速度挺快的东西也挺好的给赞~,10.168281,11.650318
4429,0,[MASK]喜欢。肥肉太多吃的时候还把嘴唇拿破了,12.486446,11.603726
11423,0,[MASK]喜欢。饭菜都凉的，一个多小时才送来,12.58253,12.443778
7151,0,[MASK]喜欢。地三鲜，茄子里面有很多是生的,12.082599,12.991349
901,1,[MASK]喜欢。我吃出来一个钢丝球上的一个丝,11.445987,12.04717
5808,0,[MASK]喜欢。不好吃，包子还不熟，都硬邦邦的,15.048563,11.298997
2679,1,[MASK]喜欢。味道好，包装好，送餐及时，不错,11.01501,12.125271
11060,0,[MASK]喜欢。差评，退款太慢！我说的是百度！,14.249127,11.979828
10479,0,"[MASK]喜欢。送错了,打电话要求补送也不送",13.866553,10.075608
8079,0,[MASK]喜欢。送的时间太晚了，一个小时才送来,12.624211,12.485478
4617,0,[MASK]喜欢。送餐很慢，饿死了，味道很一般,13.554008,11.999078
