,labels,text,neg_logits,pos_logits
82777,0,[MASK]喜欢。[泪] //@耿嘉晨：还真是,9.888196,10.943073
48250,1,[MASK]喜欢。爱上江西，没有理由！[哈哈],9.629132,10.467056
100168,0,[MASK]喜欢。计划赶不上变化[抓狂][泪],10.629237,9.348155
22319,1,[MASK]喜欢。芭其乐，大嘴快乐的家伙[爱你],8.813692,10.212317
70122,0,[MASK]喜欢。传统已逝??????[抓狂],10.358743,9.755037
6338,1,[MASK]喜欢。谢谢哈! 欢迎常来![鼓掌],9.331657,11.545315
20081,1,[MASK]喜欢。胖子手感好啊！[鼓掌][爱你],9.46534,10.764072
23064,1,[MASK]喜欢。生快！[干杯][蛋糕][鼓掌],8.251545,9.147113
84060,0,[MASK]喜欢。居然把我干儿子装脸盆里！[怒],10.925654,8.976175
93871,0,[MASK]喜欢。三哥总是这么的让人惊喜[晕],8.933808,10.624235
104161,0,[MASK]喜欢。此刻后：ko了... [晕],9.172107,9.453061
40416,1,[MASK]喜欢。[害羞][哈哈]@魔王1987,9.54312,10.604184
15376,1,[MASK]喜欢。随手拍祝大家周末愉快！[爱你],8.906462,11.025787
10199,1,[MASK]喜欢。是滴，美女。欢迎哦！[可爱],8.287626,10.228766
71224,0,[MASK]喜欢。偷贡品。不怕报应啊？。[衰],9.892934,9.088337
12238,1,[MASK]喜欢。[哈哈] //@独眼u:哈哈哈,9.739736,10.888306
77537,0,[MASK]喜欢。求二手智能手机。。。[抓狂],10.508301,10.692848
55063,1,[MASK]喜欢。是帮你挡酒的男的么？[嘻嘻],9.739384,9.94253
21548,1,[MASK]喜欢。原来很多国家都免签![哈哈],10.040851,11.9242525
38076,1,[MASK]喜欢。百变大咖秀真的很快乐[哈哈],8.637183,11.979922
84198,0,[MASK]喜欢。[泪]//@那木错:[微风],9.80468,10.283008
27872,1,[MASK]喜欢。哈哈，强大[鼓掌][good],9.033712,10.725388
48051,1,[MASK]喜欢。眼睛一眨，美妞变辣妈！[哈哈],9.250443,10.299519
18029,1,[MASK]喜欢。祝大家十一小长假快乐[太开心],8.894145,11.319735
115177,0,[MASK]喜欢。[泪] //@袁腾飞:[泪],9.727062,10.477119
114619,0,[MASK]喜欢。可怜的风扇[泪] 我要等正版！,9.991031,10.761473
64870,0,[MASK]喜欢。固执的大叔这场又好危险[失望],10.7259245,9.789265
74958,0,[MASK]喜欢。办公室都是孩儿他娘！！！[怒],11.250863,8.788682
77734,0,[MASK]喜欢。//@地狱中的八尾猫: [衰],9.510894,10.55277
51580,1,[MASK]喜欢。财神到我手?[偷笑][鼓掌],8.717538,9.725804
54352,1,[MASK]喜欢。爱吃牛排的童鞋举个手~[爱你],9.33657,10.675122
8324,1,[MASK]喜欢。开始喽，看起来吧！！[鼓掌],8.837962,8.973919
106626,0,[MASK]喜欢。受伤，是个超级不好的消息[衰],10.718616,9.607854
15031,1,[MASK]喜欢。[哈哈][哈哈]收费大调查。。,9.381816,10.055076
8249,1,[MASK]喜欢。用美食向大家说早安~[嘻嘻],8.142378,10.737099
59782,0,[MASK]喜欢。愚人节的游戏，银行也玩呀[衰],10.13173,11.326232
110113,0,[MASK]喜欢。[衰]弄破了，基本上不会复原！,10.846291,10.209959
11405,1,[MASK]喜欢。哈，回忆录写到哪了？[嘻嘻],9.629391,10.591082
81138,0,[MASK]喜欢。书人搬家，其实就是搬书[晕],10.002214,9.660586
14831,1,[MASK]喜欢。《时尚旅游》也玩街拍了[哈哈],8.995848,10.863705
51446,1,[MASK]喜欢。阿姨做的菜相当好吃呢[爱你],8.978963,11.585946
73965,0,[MASK]喜欢。Facebook 还在跌[晕],10.107291,9.742326
101129,0,[MASK]喜欢。[抓狂] 你是在哪里腐败~~~,9.912267,9.248547
104892,0,[MASK]喜欢。男人动手…[怒][怒][怒],10.491615,8.738262
66040,0,[MASK]喜欢。我在这里：#闸北区#吃饭[泪],9.742237,10.2436
87632,0,[MASK]喜欢。难得休息的，竟然感冒了[泪],10.148594,10.932553
96063,0,[MASK]喜欢。知道得太晚了，遗憾！[失望],10.790443,10.293798
81716,0,[MASK]喜欢。社会败坏的典型!?救了[衰],11.117798,9.551572
92195,0,[MASK]喜欢。姐，我给你跪下了，这才气[晕],9.954336,9.483135
95696,0,[MASK]喜欢。[泪]同意，让他们变成海豹!!,9.66493,9.506863
19351,1,[MASK]喜欢。//@好色小湿妹: [哈哈],9.6173315,10.757216
41680,1,[MASK]喜欢。我觉得总结的很好，喜欢[鼓掌],9.864884,11.634568
21865,1,[MASK]喜欢。斯坦福正门左侧草坪。[嘻嘻],9.577915,10.594199
