,labels,text,neg_logits,pos_logits
8711,0,[MASK]黑。病人吃啊，挂面哈拉味，汤也腥。,2.3647566,3.852745
5797,0,[MASK]黑。豆腐丝里吃出苍蝇，啥也不想说了,2.2137704,3.159694
768,1,[MASK]黑。味道很好！送的也很快！好吃！,3.6975322,4.335761
2518,1,[MASK]黑。菜品好，速度快，真是太好了！,1.9515264,3.4361713
7638,0,[MASK]黑。这家店就直接没送，接单不送的店,1.5678246,1.9930937
6583,0,[MASK]黑。送餐太慢太慢了～菜品还可以～,2.459383,3.1131072
6692,0,"[MASK]黑。下次能送早点就好啦,快饿过劲啦",1.2886112,2.6308312
484,1,"[MASK]黑。很好吃量也很大都吃不完,赞一个",4.389987,4.970047
11295,0,[MASK]黑。下单2个小时才送到。无语了。,3.038562,3.361039
2826,1,[MASK]黑。谢谢师傅，辛苦了！非常准时！,2.531991,3.6147842
11958,0,[MASK]黑。粉很好吃，但是订了卤蛋却没有。,3.469683,4.1033525
4074,0,"[MASK]黑。吃到一半发现菜里有小强,简直了",2.8806767,3.4073315
1568,1,[MASK]黑。米饭是硬的。。不如上一次好吃,2.1096046,3.8215165
10881,0,[MASK]黑。米饭里有一只蟑螂，让人怎么吃,2.6531322,3.5763612
6353,0,[MASK]黑。咖喱鸡肉烩意面，不知鸡肉滋味,1.4022175,3.3432581
4765,0,[MASK]黑。很慢就不说了，关键是还不好吃。,3.7968419,4.229787
370,1,[MASK]黑。态度很好，效率很高，给十分赞,2.484678,2.366429
11746,0,[MASK]黑。速度慢，第一次订餐就迟到，晕,1.5906576,2.4986966
8159,0,[MASK]黑。送餐走错路，袋子还破了………,1.3089979,2.3828025
2366,1,[MASK]黑。一直买他家的香脆鸡肉披萨，喜欢,1.3922576,3.0330632
866,1,"[MASK]黑。师傅辛苦了，谢谢,下雪注意安全",1.9980218,2.4500988
2743,1,[MASK]黑。又快又好棒呆了哈哈哈哈哈哈哈,2.241932,2.5612788
9911,0,[MASK]黑。石锅拌饭里面吃出了塑料包装纸袋,1.3170451,3.3125942
5045,0,[MASK]黑。菜品没味道。。。周也是。。。。,2.2293665,3.4207926
1563,1,[MASK]黑。又快又好又便宜！真心给力！！！,2.9128592,3.1882386
10234,0,[MASK]黑。面时间太长了，坨了，不好吃了,2.7462928,4.7175293
