,labels,text,neg_logits,pos_logits
8711,0,[MASK]好！病人吃啊，挂面哈拉味，汤也腥。,8.324674,9.141436
5797,0,[MASK]好！豆腐丝里吃出苍蝇，啥也不想说了,7.0892777,8.741725
768,1,[MASK]好！味道很好！送的也很快！好吃！,6.0437274,13.84481
2518,1,[MASK]好！菜品好，速度快，真是太好了！,4.791519,10.331414
7638,0,[MASK]好！这家店就直接没送，接单不送的店,8.79042,9.540175
6583,0,[MASK]好！送餐太慢太慢了～菜品还可以～,8.424807,11.083273
6692,0,"[MASK]好！下次能送早点就好啦,快饿过劲啦",6.6157923,9.873407
484,1,"[MASK]好！很好吃量也很大都吃不完,赞一个",6.385786,12.946586
11295,0,[MASK]好！下单2个小时才送到。无语了。,9.385061,9.023784
2826,1,[MASK]好！谢谢师傅，辛苦了！非常准时！,4.9389625,10.4715
11958,0,[MASK]好！粉很好吃，但是订了卤蛋却没有。,7.044672,10.382291
4074,0,"[MASK]好！吃到一半发现菜里有小强,简直了",6.730662,10.183783
1568,1,[MASK]好！米饭是硬的。。不如上一次好吃,8.666452,9.9476385
10881,0,[MASK]好！米饭里有一只蟑螂，让人怎么吃,6.96869,9.023784
6353,0,[MASK]好！咖喱鸡肉烩意面，不知鸡肉滋味,6.151493,9.258427
4765,0,[MASK]好！很慢就不说了，关键是还不好吃。,8.405233,11.36235
370,1,[MASK]好！态度很好，效率很高，给十分赞,4.9329677,11.523468
11746,0,[MASK]好！速度慢，第一次订餐就迟到，晕,8.837001,8.881268
8159,0,[MASK]好！送餐走错路，袋子还破了………,9.32672,7.880386
2366,1,[MASK]好！一直买他家的香脆鸡肉披萨，喜欢,6.625217,11.518579
866,1,"[MASK]好！师傅辛苦了，谢谢,下雪注意安全",5.998757,9.3870535
2743,1,[MASK]好！又快又好棒呆了哈哈哈哈哈哈哈,5.0454526,9.790226
9911,0,[MASK]好！石锅拌饭里面吃出了塑料包装纸袋,8.16573,8.82063
5045,0,[MASK]好！菜品没味道。。。周也是。。。。,10.043134,8.997963
1563,1,[MASK]好！又快又好又便宜！真心给力！！！,4.4997635,10.311104
10234,0,[MASK]好！面时间太长了，坨了，不好吃了,8.566577,9.570572
29,1,"[MASK]好！送餐非常快,态度特别好,谢谢",5.059826,10.733275
6442,0,"[MASK]好！太小了,味道一般,说多了都是泪",8.701112,9.5321
467,1,[MASK]好！送餐员辛苦，饭也好吃，继续购买,5.8031626,9.931646
58,1,"[MASK]好！送餐特别快,送餐员态度也特别好",6.0642214,11.146358
1652,1,[MASK]好！很快，也好，包装也好，赞赞赞,5.421729,12.231609
4529,0,[MASK]好！味道还行，就是送餐太慢了……,7.1600685,11.492188
88,1,"[MASK]好！又快又好,小哥态度很好,好评",5.37131,10.728242
4524,0,"[MASK]好！味道就那样把,盖浇饭挺难吃的",8.104735,11.145144
3085,1,[MASK]好！外卖小哥人超级好。。。。。。,6.3801107,10.259907
10811,0,[MASK]好！速度挺快的，面不好吃，都凉了,7.880049,9.978089
8052,0,"[MASK]好！点两份鸡柳,就给送,一份。。。",6.0690985,8.944926
5562,0,[MASK]好！太慢，太小，吃不饱。味道还行,9.6124325,10.210453
5132,0,[MASK]好！不好吃。。。菜太少了。。。。,11.683368,9.76087
2537,1,[MASK]好！配送非常快，10分钟就送到啦～,5.459626,11.838886
2730,1,[MASK]好！人好速度快，好评好评好评！！,3.7153306,8.496826
6256,0,[MASK]好！米粉比以前份量少，没以前好了,7.2816186,9.734329
2717,1,[MASK]好！东西非常好，还是热的，辛苦了！,6.3643804,11.595476
5791,0,[MASK]好！给的豆皮果然多，只是肉变少了,6.702356,10.143504
434,1,[MASK]好！很快，很好，经常订，谢谢师傅,5.1208243,12.040406
2067,1,[MASK]好！非常好吃，送餐很快，绝对好评,5.504293,12.056423
8096,0,[MASK]好！就薯条还行！其他都不怎么样！,8.421041,11.551838
1952,1,[MASK]好！味道还好。服务态度真的很好～！,7.044604,12.229223
6980,0,[MASK]好！咋的跟饿了吗不一样的名，坑爹,7.3395333,8.340668
2435,1,[MASK]好！经常买这家的饺子，味道棒棒哒！,6.191695,11.739874
9055,0,[MASK]好！没有在店里吃好吃，萝卜太多了,9.385017,9.426046
1653,1,[MASK]好！除了速度有待加强，其他都不错,5.879856,11.686613
3654,1,[MASK]好！没有餐具哦，还要自己点餐具么,7.1677055,9.905938
1739,1,"[MASK]好！服务不错,但是太难吃了啊啊啊",7.353288,11.418726
11045,0,[MASK]好！面也太少了，才半盒，我就没吃饱,9.703344,9.897147
2626,1,[MASK]好！非常的正宗，就是羊杂汤太咸啦,6.1835113,11.778355
7925,0,[MASK]好！午餐肉实在太难吃了，千万别点,8.032894,7.9515295
5910,0,[MASK]好！真的不适合外卖，另外，真难吃,9.684355,9.975852
11336,0,[MASK]好！我的电话打不通，不知道为什么,7.35153,10.354626
809,1,[MASK]好！很好，速度飞快，炸鸡有点火大,6.2944484,13.227937
661,1,[MASK]好！太快了！！简直是神速啊！！！,5.7388906,9.047904
396,1,"[MASK]好！第二次买了,挺好的,以后继续",6.765824,11.098584
5702,0,[MASK]好！我备注要的粥，结果送来的是饮料,7.890693,9.24615
10859,0,[MASK]好！赠送的黄飞红花生呢？没送啊！！,7.0952396,8.484205
280,1,[MASK]好！非常好送的很快，，，还是热的。,5.476616,11.792954
184,1,[MASK]好！好好好！赞赞赞！态度好速度快！,5.371095,9.461472
2289,1,[MASK]好！味道很好而且很实惠送得也很快,6.276408,12.735544
4775,0,[MASK]好！包装牛逼，送餐速度……咳咳……,5.5042424,9.773102
2711,1,"[MASK]好！番茄醬撒了QAQ,其他nice",5.2727394,10.199303
854,1,"[MASK]好！粥里有头发,就没吃,剩下都好吃",7.260958,10.525885
5116,0,[MASK]好！太慢了，俩小时连个解释也没有,9.885359,9.676775
2377,1,[MASK]好！速度挺快的东西也挺好的给赞~,6.162774,11.135925
4429,0,[MASK]好！肥肉太多吃的时候还把嘴唇拿破了,9.313253,9.05785
11423,0,[MASK]好！饭菜都凉的，一个多小时才送来,7.929473,10.45834
7151,0,[MASK]好！地三鲜，茄子里面有很多是生的,6.3947377,10.137956
901,1,[MASK]好！我吃出来一个钢丝球上的一个丝,6.6308117,9.594802
5808,0,[MASK]好！不好吃，包子还不熟，都硬邦邦的,11.040911,9.117817
2679,1,[MASK]好！味道好，包装好，送餐及时，不错,5.7325945,11.270397
11060,0,[MASK]好！差评，退款太慢！我说的是百度！,9.85793,9.694526
10479,0,"[MASK]好！送错了,打电话要求补送也不送",8.425638,9.507337
8079,0,[MASK]好！送的时间太晚了，一个小时才送来,8.451285,10.4448805
4617,0,[MASK]好！送餐很慢，饿死了，味道很一般,9.424138,10.826802
2406,1,[MASK]好！挺好的，速度也不错，以后还来,6.2596745,10.618381
2682,1,[MASK]好！大叔特别面善！饭食用料很好！,5.78824,12.145815
2442,1,[MASK]好！大冷天的百度骑士真是辛苦了～,6.608435,8.978867
963,1,[MASK]好！肉很多，味道不错，配送也很快,5.97001,11.873782
3617,1,[MASK]好！饭菜香质量好，服务好，送饭快。,4.781641,10.067339
10792,0,[MASK]好！一单元和二单元分不清...麻烦,7.26601,8.503094
2821,1,[MASK]好！送餐快，阿田大虾一如既往的好吃,5.0535526,9.670109
2108,1,[MASK]好！菜挺多饭挺多就是牛肉丝质量一般,7.46384,11.400435
2832,1,[MASK]好！送货很快，经常吃他家的，很棒,6.331773,13.108075
9713,0,[MASK]好！送餐人员素质太差，不适合本工作,8.988582,9.509169
3122,1,"[MASK]好！赞赞赞,很好吃,小哥送餐也很快",5.8875465,11.309141
10897,0,[MASK]好！味道还好，但是送餐实在是太久了,8.388544,10.983283
3793,1,[MASK]好！都非常好，就是派送费有点贵！,5.375109,11.888428
6995,0,[MASK]好！饺子都凉了还能吃吗，送来太慢了,8.280356,8.631051
1115,1,"[MASK]好！好吃,就是太慢,两个小时才送到",6.5435004,11.031162
6568,0,[MASK]好！送餐慢，披萨巨小！还没餐具！！,9.529282,8.201791
2431,1,[MASK]好！送餐很快，送餐人员很热情！～,5.641577,12.1277685
1601,1,[MASK]好！配送的真快，及时。很好好强大,5.264395,11.743401
7187,0,[MASK]好！送餐太慢，等了两个小时，无语,8.466858,9.194799
3236,1,[MASK]好！口味质量俱佳，送餐小伙很不错,5.3365207,10.627544
7287,0,"[MASK]好！咖啡撒了一兜子,还是凉的,服了",6.906886,9.915162
836,1,"[MASK]好！很不错的一次,下次还会到这买",5.9171343,11.53312
2663,1,[MASK]好！送餐很快，菜很好，羊杂味道不错,6.010766,12.5009165
9190,0,"[MASK]好！每次酸奶都不给我带吸管,心好累",8.518538,9.768096
262,1,[MASK]好！太快了，你是飞过来送餐的吧…,8.40423,9.216804
11078,0,[MASK]好！接线员工态度太差。其他的还不错,10.490417,9.915151
393,1,[MASK]好！速度很快，菜的味道也好！不错！,6.9662747,13.121207
6382,0,[MASK]好！汤横着就送过来了，撒到处都是!,6.071749,10.202575
9862,0,[MASK]好！难吃的一逼，体验差，名不副实。,8.779071,9.025089
5440,0,[MASK]好！肉太多了，送餐速度有待提高！,8.752557,9.150341
8739,0,"[MASK]好！汤挺好喝的,就是米线没有米线味",7.0891557,11.466186
10139,0,[MASK]好！5555比以前的肉肉少了好多,6.8578477,9.698449
8704,0,"[MASK]好！味道不错,就是太慢了,真的很慢",7.084735,11.7132635
3526,1,[MASK]好！服务很好，送的很快，很有礼貌。,5.8392973,13.2304735
2947,1,[MASK]好！宿舍信号不好，耽误了你的时间,8.629377,9.427157
8116,0,[MASK]好！态度真差，喊什么喊！CBWD,8.318365,8.023242
771,1,[MASK]好！都挺满意，送餐的师傅也很细心。,5.73189,11.667199
8579,0,[MASK]好！盒子很精致，味道还好。整体不错,6.4752297,12.299464
7305,0,[MASK]好！撒的到处是。摩卡只有半杯了。,7.007455,9.486226
10599,0,[MASK]好！备注写好要生菜，结果送来不是,6.9338574,8.582615
10977,0,"[MASK]好！送的太慢了,2小时,菜都冷了",8.678463,9.782612
9176,0,"[MASK]好！你吗,送了俩小时,太不靠谱了",7.297392,8.421088
2915,1,[MASK]好！还不错，就是买回来面有一点陀,6.2416897,11.300063
9393,0,[MASK]好！太慢了，送来都凉了，态度各种差,8.959934,8.787485
6230,0,[MASK]好！口味比之前差多了！换厨师了吗？,10.088679,10.331908
8449,0,[MASK]好！图片与实物不符...根本没鸡腿,9.564255,9.758561
1005,1,[MASK]好！快递小哥以后继续加速啊，加油,6.5491495,9.959086
6607,0,"[MASK]好！次次迟到n久~~,菜都是凉的",8.519848,9.67687
2226,1,[MASK]好！价格偏高，不过倒是蛮好吃的。,7.700263,11.824856
1379,1,"[MASK]好！难吃,难吃,难吃。凉了,凉了",6.9090624,9.64137
11472,0,"[MASK]好！味道一般般,不过送餐速度很快",7.252699,11.985533
7292,0,[MASK]好！没有糖包，热巧克力要了只有一半,6.432388,9.128352
2993,1,[MASK]好！很赞哟，小哥辛苦啦这么冷的天,5.6950216,11.418738
472,1,[MASK]好！速度很快，东西也不错，赞一下,6.2059035,11.774153
8661,0,[MASK]好！鸡肉味、牛肉味，不名物~~~,5.79797,10.568379
648,1,[MASK]好！配送及时，味道佳。湖北人必吃,5.086658,10.81805
7455,0,[MASK]好！1点多才送，饭真没以前好吃了,8.301106,9.290928
1606,1,[MASK]好！评论晚了，不好意思哒，32个赞,6.3824396,10.007488
1879,1,[MASK]好！送的有点慢…酱香卷还是很好吃的,9.239345,10.908972
7170,0,[MASK]好！菜还不错，米饭有点馊了。。。。,6.97686,11.0492115
9834,0,[MASK]好！太慢了，两个小时才送来，都凉了,9.803871,9.684519
2283,1,[MASK]好！送的早到了半个小时，味道很棒,6.5124264,11.887636
2314,1,"[MASK]好！鱼香肉丝的最好吃了,四川口味的",6.6029954,10.979477
9720,0,[MASK]好！连续吃几次就不好吃了，不耐吃,11.148066,10.251026
6351,0,[MASK]好！呵呵了个呵呵，+1r，不开心。,7.0728316,8.875881
879,1,[MASK]好！饼味道一般吧，很少的一碗粥。,7.890608,10.39122
42,1,"[MASK]好！很好吃,速递快,下次继续选择",5.6055694,12.6359415
3587,1,[MASK]好！送货超级迅速，服务到位，好评,4.973263,10.867135
10985,0,[MASK]好！严重超时不说，饭菜都凉了。差评,9.034394,9.296967
8326,0,[MASK]好！用不着赶时间把东西都颠散了吧,5.615204,9.910312
2583,1,[MASK]好！速度好快，送餐小哥态度超级好,5.7912726,10.150472
964,1,"[MASK]好！味道不错！皮有点厚,继续努力",6.7911906,11.532856
10858,0,[MASK]好！东西少不说，说好的赠送花生呢？,5.755958,8.281843
10039,0,[MASK]好！感觉比在店里吃的时候粗糙很多,9.076941,11.41684
235,1,[MASK]好！味道不错连着好几天了都在喝！,7.2341013,12.930605
239,1,[MASK]好！好喝！味道不错！送餐也很快！,5.972594,12.517326
8225,0,[MASK]好！好小啊，味道也不是我喜欢的。,10.341912,9.936306
6454,0,[MASK]好！送餐超慢，对店家真是无语了。,9.022153,8.966809
8728,0,"[MASK]好！做的不够精细,凑合吃吃也还好",7.3795877,10.433343
228,1,[MASK]好！快递小哥特别好。奶茶棒棒哒！,5.6212144,10.915897
2619,1,[MASK]好！扬州炒饭几乎没有盐味…………,6.4560804,10.893305
6892,0,[MASK]好！真心太咸了，太咸了，太咸了，唉,7.957004,9.930894
2529,1,[MASK]好！非常满意，感谢送货员和商家！,4.6592665,12.652699
3963,1,[MASK]好！还可以、分量也足、但是有点软了,6.8508773,11.128845
1250,1,[MASK]好！吃着味道很不错，也很实惠的店铺,6.3721013,11.881854
6823,0,[MASK]好！一共买了3个芒果，两个是生的。,5.8063264,10.1440735
371,1,[MASK]好！每次量都很足哈！超级赞，好吃,6.006564,12.049803
127,1,[MASK]好！送餐很快，这么冷的天气辛苦了,5.8175025,10.582955
4623,0,[MASK]好！快递恶劣到极点了，还耍小心眼,8.932251,8.2545595
432,1,[MASK]好！满意，很好，配送给力食物好吃,5.2229576,12.548507
4162,0,[MASK]好！配送时间过长，主要离得很近～,9.034549,10.382777
11158,0,[MASK]好！蜗牛送餐速度，催了还挂电话！,7.1705794,8.972336
3217,1,[MASK]好！好吃又实惠，感谢快递员哥哥，,5.082836,10.475047
11335,0,[MASK]好！都说了不要辣，为什么还有辣？！,7.9048905,9.626131
7813,0,[MASK]好！菜品不好，咖啡难喝，送餐太慢了,10.633357,8.975111
5651,0,[MASK]好！送到的时候完全凉透了。。。。,6.339731,11.355149
2539,1,[MASK]好！最爱吃的两样，而且送餐超快！,5.5060577,9.993908
2961,1,[MASK]好！两个都很好吃，配送大哥人很好,6.055114,11.952075
8040,0,[MASK]好！味道很一般，不知道哪里怪怪的,9.7572565,11.410282
11161,0,[MASK]好！除了粉之外，其他的配菜有点老,7.331166,10.703714
7285,0,"[MASK]好！加了奶油都不到盖子,什么情况",9.185838,10.002493
5471,0,"[MASK]好！时间太长,卷没有kfc的好吃",8.380109,9.550273
10673,0,[MASK]好！0星，受不了这app的假状态,7.1354685,8.579236
1037,1,"[MASK]好！很好,味道淡淡的,而且很干净",6.346863,13.058725
2093,1,[MASK]好！经济实惠，又好吃，打包的还好,5.658767,10.507615
9610,0,[MASK]好！茄子太甜，油太多，牛肉还可以,8.867341,10.092027
514,1,[MASK]好！什锦蘑菇有些腻，饭量挺大的…,7.872223,9.957782
3004,1,[MASK]好！送餐超快，半个小时不到就送到了,6.182832,10.530503
3818,1,[MASK]好！骑士服务很好，商品质量也可。,5.8052382,12.064082
6781,0,"[MASK]好！时间一长,没送到就特别不好吃了",8.8781395,9.674345
11796,0,[MASK]好！速度太慢了，等了近一个半小时。,9.277373,10.639616
2976,1,[MASK]好！快递小哥很给力，送的非常快！,5.7385745,12.185963
8594,0,"[MASK]好！20-8的活动没了,不厚道。",8.066296,9.755666
1610,1,[MASK]好！饭提前到了，而且还弄漏了真是的,7.9941,9.728298
2932,1,[MASK]好！快递师傅态度超好，速度一流。,5.2573075,10.775801
