,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,24.961997744287096
37994,1,局气！规矩！管虎导了俩影帝了！,839.0771184537743
45474,0,前半段真好看，后半段越来越萎,14.314502165537878
37018,0,前面的剧情看得我尴尬癌都犯了,28.82313603214709
39152,0,混乱的情节，特么矫情无下限。,22.120907198051096
4952,0,适合能静得下心和有故事的人。,12.774843896911307
49922,1,最是人间留不住朱颜辞镜花辞树,561.4576163202591
18895,1,超级治愈又感人，狗狗真的好暖心,23.99517430430313
16855,0,密室设定很有意思，可惜未能维持,20.47391828567193
33344,1,原来巴萨的德国馆还有这个用处,78.67265816912476
43014,1,丫丫真的太美了，前夫哥好可爱,42.06749799812212
30945,0,烂的一逼，啥都没有，狗屁不通。,21.644866973423387
11202,1,这个玛丽苏我喜欢很好看求续集,90.12067730833121
43097,1,看了点映，好多戳中我泪点??,314.5041494505304
7229,0,郑恺和郭采洁还挺有cp感的。,84.20779380040089
46824,0,民乐要靠二次元来拯救了嘛……,83.98873799069237
44791,1,反正我追完了，为了女主的颜值,35.599909733282544
40750,0,我朋友说，她尴尬得想原地去世。,42.95244357819866
24357,0,今年作品太多了，有点透支了。,11.09530726881001
12065,0,我是真的觉得孙悟空的扮相太丑了,38.11734840116476
44782,1,还可以吧……感觉题材还算新颖,9.298242695184
11314,0,看完情圣来评评这部这部比情圣好,36.47486044631519
19047,1,它令我想起曾经怦然心动的轻吻,15.916197444719113
45899,0,发哥抄着烂片专业户就去了。。。,416.81504142977514
14214,0,第一集演得什么玩意儿，尴尬死了,11.86710144824736
31414,1,热热闹闹的，看得我好开心啊。,8.29952467036586
25276,0,煽情煽成了MV，大家都笑了。,29.875897704439975
47776,1,最喜欢的科幻故事，很成功的改编,6.730527178335956
45012,1,还算可以哦，故事讲的挺精彩！,33.59478327825322
49786,0,被黑天鹅惊艳到了！美轮美奂！,49.01960534072731
11029,0,到底在演什麼啊？？大爛片！！！,49.856466173768354
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,23.848398454992797
3121,1,你无车无楼无番狗做乜要拖我手,843.4984195281125
9512,0,最弱版劳拉了吧？太弱了太无聊了,148.70906526193423
15976,0,重拍经典，孩子对恐惧的克服。,13.564934791489483
26862,1,太好看了！笑得我内分泌失调！,37.77399348893631
30395,0,本来两星，加一星给受罪的演员吧,127.40834540182632
22972,0,《星际特工：全宇宙看我们尬爱》,62.36964108929102
30570,0,特效不错啊，但剧情就大简单了,44.82211148279826
20588,0,气氛到位，演员不存，故事简单！,29.222773203239484
13869,0,看的点映，形式“精致”的大烂片,90.29269836230911
24216,1,最后居然没搞你们还是人吗？？？,75.49430363426505
32991,0,平淡真实不温不火我没懂哭点在哪,139.2950124306473
1732,1,其实伍迪哈里森演的是一个天使,38.608678395964716
4472,1,陈可辛拍商业文艺片真的不错~~,36.534409744226686
33439,0,泡泡妹子打打架，兄弟情在哪？,51.74726022713441
11847,0,一部非常尬的电影。不推荐观看。,6.485083834741601
16369,0,张艺谋式的漂亮画面，何必3D。,38.5696196762446
31321,0,"我不信你们没东西怼地雷啊=""=",238.34943269854975
18949,1,少男少女必看，爱与美的启蒙。,22.316190246556843
32102,1,迪斯尼的动画很赞，配乐很好听！,32.27820170627213
9630,1,喜欢坎妹素颜的劳拉，期待后续。,150.81024664833592
1571,1,演小安生的小朋友很像岳云鹏啊。,94.89219018299522
38226,1,你猜不到的结局…猜不到的惊异…,26.827121588626326
17406,0,卡尔文老师不是触手，是海蜇皮啊,74.96175801319866
24554,1,我不会说情话，只知道陪着你。,7.423984982688504
6181,1,腕龙站在码头哀嚎的场景太泪目了,127.63396429053438
6583,0,比较难看的伪记录僵尸片...,27.325080511337834
6224,0,cctv6盛产类似的古装片……,64.7522160306208
39086,0,打一星以上的人都是咋想的！！！,55.85418812788052
14019,0,好吧，为了阿姨们的搏命演出。,36.74199697568759
10409,0,勉强合格。觉得周冬雨有点厉害。,22.564402375779512
24108,0,Highlyoverrated,3464.788384495621
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,217.3784693149172
6067,1,妈的吓死我了叫得我嗓子都哑了,268.3793578547383
9505,0,寻父，遇彦祖。掘墓，炸病毒。,157.14314661726385
41265,0,嗯电影院椅子挺舒服，睡得挺好,35.92509511830949
48553,1,Pixar真的没有让我失望过。,11.090796850627314
24690,1,看完只想把所有好东西都给它……,11.02826203786596
6635,1,我给你四星，反正我就是胆小。,26.321979936921515
4338,1,除了人贩子，所有人都是受害者,6.307057336430685
25535,1,逃离已知世界的勇气令人敬佩。,13.810564162729605
17716,1,老一套温情，稍稍让我有点麻木,80.60124807633117
47637,0,我特么就想知道那句中文是什么,17.144658169412036
8508,1,好看！但是最后那关不过瘾???,43.31815998842906
23534,1,谁能拒绝穿护士服的余春娇呢？,29.521742698869772
26207,0,太恶心了~不要看~建议哈···,39.40942699249982
28591,0,主角明明是章鱼，你叫潜艇总动员,30.136401946326977
19643,0,没看。但是五星水军太恶心了。,71.62521773463322
31415,1,爽着爽着导演就给你喂了一口屎,32.627230149646
2047,0,好的地方都是老舍的。★★★☆,120.0357033650836
9358,0,感觉在铁匠铺呆了一宿。。。。,17.012180628472496
27611,1,勇敢、努力、坚强的女孩都是公主,15.064904183835582
24947,0,埃德加赖特的GTA6？太屎了,1252.0918261895406
24137,0,小哥有精神洁癖呀，这点好赞。,40.84999895255427
18739,1,永远不要忘记你所爱的人，感动,8.961199158546245
26928,0,把所有人都拍这么难看太不容易了,13.421628809048883
15616,1,就想知道睡觉打呼噜的人怎么办,9.07611820672747
49084,1,能把蒜皮当雪花的姑娘你真好。,25.778626737820325
46654,0,我没想到加分项竟然是景甜老师。,35.65616142695927
31054,0,交通安全宣传片，情感关系咨询片,6.500489131805791
22682,1,Kylo在色誘Rey啊啊啊！！,597.9293718610463
21126,0,演员升级，故事降级，无聊透了。,12.474382674800404
19669,0,车行径你妈逼去死！杀人凶手！,186.69912985709234
38351,1,最后奔跑拥抱那里真的好感动。,22.332657942658752
29835,0,女个坏女人挺好看的，好友真真,41.977568797006924
20290,0,犯我中华者，虽远必诛其超市！,196.46346617321157
32379,1,我眼拙。不过剧情还是吸引人的。,13.597727515843607
7517,1,看哭了，我是不是自我代入太努力,81.55153404864171
47322,1,生命不止，奔跑不息。励志电影,9.991201451202521
48159,1,全片都是彩蛋。最后两个彩蛋。,7.164024977766849
39334,0,馮小剛的電影，簡稱「尬影」。,18.283097467427147
30801,0,特效不错吧，其他没什么感觉。,16.60372633593982
48912,0,莫名其妙，演到一半变得毫无逻辑,12.588863254134923
27998,0,好玩，看完很放鬆的輕鬆喜劇。,15.158830908529247
5783,0,为了第三部放恐龙也是牛逼……,143.44977815692542
25444,1,剧情紧凑，案件逼真，很好看。,7.724299924057394
45902,0,发哥近年来也都是接的烂片子啊,113.27101863630804
41165,0,不是赵丽颖差，而是朱琳太好。,74.11791776959498
3114,0,题材不错，可惜片子真的很一般。,14.769788618171152
28516,1,披着科幻片外衣的恐怖悬疑电影,14.889701306817873
45673,0,他们都在打酱油不要冤枉甜老师,94.88386616494033
44474,0,虐杀白垃圾的感觉真的会超爽吧,59.344037236808994
2914,1,verycd上的三级太强悍了,119.11776291705932
36553,1,比我想象的好看，和妈妈一起看的,8.882689099064836
35983,0,世人久不见苍鹰，竟觉秃鹫美。,86.48981287054941
24574,1,看完了真的值得深思，很有深意。,14.370857540416322
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,510.66846392653696
3072,0,忘了讲什么了。7分吧。看完了,25.0557210654331
43841,0,立体机动装置的镜头拍得真是丑啊,34.807697114204394
13535,1,答应我一定要去看3D的好吗？,10.308970085880906
27935,1,能吓到人的恐怖片就是好恐怖片,10.964902921183926
37463,1,“这房间里面的书都是你的了”,61.71355256466556
17012,0,傲慢自大的朝鲜人领导了此电影,27.926896200262565
50167,0,下錯片來看了，這片看著噁心。,46.946530503690205
25900,0,把功夫都用在P超人的胡子上了,221.97876636862858
43522,1,我不管反正我看哭了我要给五星,89.40263697632406
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,22.996198947805627
40591,1,“你出得了海，你上得了岸吗？”,29.426649249721425
23780,1,绝望感，徒劳感一点点地蔓延。,68.76002363772339
33622,0,哇，大咖云集的大烂片。。。。,70.85182454818057
6131,1,真正的大片，真正的视觉盛宴。,6.343796027647426
49046,1,仗义每多屠狗辈，负心总是读书人,137.1792553162363
23480,1,你爱我我爱你你变成我我变成你,21.708731687816364
30778,0,只是猩猩版的胜利大逃亡或者越狱,39.980146373928825
26793,1,休闲娱乐的一部童话故事片子。,10.564647535285527
47988,1,尊重与认同，是靠实力争取来的,16.938753745036568
7844,0,最后还逼着看了场广场舞好尴尬啊,64.67625964081334
16611,1,休格兰特荣升英国周润发宝座【,711.5494406361136
7068,1,最后怎么突然就玄幻起来了？！,41.582034330048714
33251,1,反转反转大反转，值得好好用心看,80.45117203260725
34533,0,三星半吧。女主挺美。剧情太扯。,62.860069295865465
41274,0,我不懂林志玲存在的意义是什么,8.981854043072676
2571,1,我还蛮喜欢的vintage耶,269.9281876151605
7017,0,视听成熟，剧作幼稚，表演出色。,14.546523143066697
33663,0,渣看首映看的睡着为中国电影难过,157.75008466224202
41653,0,这是东野圭吾被黑得最惨的一次,17.31496060610973
25798,1,挺好看干嘛取这么一个傻中文名。,102.30364223257696
37930,0,其实很一般，老流氓逝去的青春,13.47050442713036
41139,1,称得上是国漫精品了。继续努力。,14.103342749980431
44855,0,一把年纪还在拍动作片也是心疼…,25.04127166651939
6199,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,3.8853450417769375
23669,1,人性的丑陋，不敢看透的人心。,24.130098415231014
40921,1,我相信，看粤语效果会好很多。,14.540818994605885
5358,0,我怎么就这么讨厌这部电影呢？,5.418404614152131
31300,0,合格爆米花大片附加價值觀輸出,133.44341185752185
47443,1,故事不是关键，弥漫的氛围完胜。,13.010052241078766
19329,1,一生筚路成天地，半恨亲仇错缘君,943.2853270806182
30647,1,还行，大猩猩很酷xxoo都懂,143.61786406217774
20601,0,禁闭自己的永远都是内心的魔障,33.25187189753002
27721,1,视觉效果，故事和音乐都值五星。,12.17007591413611
14381,0,演技在线，剧情太狗血，已弃剧。,11.035810403448663
29587,0,看到同性恋题材，就忍不住给一星,11.709424730971241
48737,0,歌舞剧，唱唱跳跳还是不错的。,11.706997753277708
50409,0,工业合格，但就没有一个点戳到我,140.09200650971835
1758,1,我和我边上的大叔一直在抹眼泪,49.946788678508284
23547,1,坚持住十分钟影院并没有放错片,67.36236950627934
27665,1,迪斯尼已经掌握了套路的水龙头,47.86389342293759
39726,0,汤姆汉克斯总能逮到机会跑两步,123.40802776903175
8664,0,好看是好看，但是不值那么高分,57.31560373665472
2319,0,恕我愚昧，不太懂讲了些什么。。,27.853341471939192
4770,1,真的是开怀大笑。还不被灌鸡汤,73.73455898847564
34765,0,呵呵，挑了这对侠侣可够XIA,190.10781996086368
43012,1,丫丫的美看着舒服，还是值得的,17.49615085089473
35486,1,尺度真大…超过好莱坞了…我喜欢,34.539292121903145
46075,1,依旧霸气四射，最后的自杀是败笔,124.50561875922777
5106,1,好爱这个导演，可爱的老头么么哒,29.892597999280206
27913,0,还行吧，杀杀时间还是没问题的。,9.429853300785425
32931,1,最近看的一部电影……哈哈哈哈哈,5.962500797778353
19843,0,这片名，也是醉了，剧情也一般,50.2760328148961
40765,0,烂死了的片子，完全没有演技可言,19.435846105990166
27377,1,"Youjump,Ijump.",52.6066633970461
15068,0,在云山这一大段剧情，太作了。,40.54224879130676
10327,0,不就一国产玛丽苏么有几把个甜,1514.6597322437108
47218,1,那个时候的小汤哥真帅！演技惊艳,63.759738684443505
7838,0,把李治廷当成王力宏从头看到尾,118.89265760184793
33992,1,告诉我有多少人只是来看小黄人的,9.537066457743785
15138,1,百合小姐姐颜值巅峰，温柔似水。,14.285835346455979
22189,0,高考思想，中考提纲，小学情怀,33.59592841583807
27336,1,撸辣么多次的片居然没打分...,63.79501552056936
30785,0,感觉人类小女孩就是个摆设……,35.94786744894125
34175,0,前面做的很认真中间拖了点烂尾,20.580821045939352
45959,0,一颗心给玉木宏另一颗心给苏有朋,66.12688454433892
8987,1,作为一个媒体人真的是热泪盈眶。,7.188906888185819
13193,1,好吧老贼，这次算被你煽到了…,233.84133844500656
6728,0,怎么笑？爆笑的都是什么人啊？,26.00568949803706
44702,0,我承认我只是想看热巴....,24.122672551914157
34149,0,现在的香港喜剧，是比谁更烂吗？,8.888369778293185
31158,1,在瑞恩面前，没有理智的评分。,16.635623551779524
38384,1,经典到不知道用什么言语来评价它,7.329602395086849
50202,0,可以排进我看过的最烂电影前三。,11.872262592482544
36073,1,又名《这世间女子都不爱沈炼》,198.34894009928988
34034,1,可爱到爆的啦！全片脑内布兰妮！,204.43060607165282
22472,0,没有男主，防守作战，意思不大。,20.78983905806642
2174,1,范伟演的好，和耳朵大有福一样。,55.0477955395171
43765,0,看了五分钟决定来打完分走人……,72.36463812981496
50312,1,BlackDahlia·山寨货,1270.2418562590117
39261,1,你觉得我的小么？我也没见过大的,12.671531566968659
33361,1,整个看到鸡皮疙瘩大起，爱死了。,39.558202517870484
36345,1,为了陈导，破例为国产片打高分！,85.72162672342917
17282,1,两只法鲨傍地走安能辨我是攻受,1545.9922787644994
43364,0,要不是冲着文章那三字一星都不给,98.73118220627505
