,labels,text,neg_logits,pos_logits
8711,0,[MASK]车。病人吃啊，挂面哈拉味，汤也腥。,2.7792454,2.4168243
5797,0,[MASK]车。豆腐丝里吃出苍蝇，啥也不想说了,2.2461174,1.4603046
768,1,[MASK]车。味道很好！送的也很快！好吃！,4.066003,1.4568974
2518,1,[MASK]车。菜品好，速度快，真是太好了！,3.3236227,1.6127881
7638,0,[MASK]车。这家店就直接没送，接单不送的店,3.2644167,0.8896874
6583,0,[MASK]车。送餐太慢太慢了～菜品还可以～,2.7737741,1.7171997
6692,0,"[MASK]车。下次能送早点就好啦,快饿过劲啦",3.0779657,1.4541743
484,1,"[MASK]车。很好吃量也很大都吃不完,赞一个",3.4227023,2.5580394
11295,0,[MASK]车。下单2个小时才送到。无语了。,3.2813666,1.3599672
2826,1,[MASK]车。谢谢师傅，辛苦了！非常准时！,4.0733566,0.36102116
11958,0,[MASK]车。粉很好吃，但是订了卤蛋却没有。,2.8180501,2.0250454
4074,0,"[MASK]车。吃到一半发现菜里有小强,简直了",2.6686864,1.6517426
1568,1,[MASK]车。米饭是硬的。。不如上一次好吃,2.3543112,2.5199416
10881,0,[MASK]车。米饭里有一只蟑螂，让人怎么吃,2.651309,2.100789
6353,0,[MASK]车。咖喱鸡肉烩意面，不知鸡肉滋味,1.9628772,1.0496738
4765,0,[MASK]车。很慢就不说了，关键是还不好吃。,3.0893555,2.0323265
370,1,[MASK]车。态度很好，效率很高，给十分赞,2.374759,-0.2692727
11746,0,[MASK]车。速度慢，第一次订餐就迟到，晕,2.27768,1.503732
8159,0,[MASK]车。送餐走错路，袋子还破了………,3.3547196,1.6866742
2366,1,[MASK]车。一直买他家的香脆鸡肉披萨，喜欢,1.2470348,0.6738406
866,1,"[MASK]车。师傅辛苦了，谢谢,下雪注意安全",3.4933493,-0.16103831
2743,1,[MASK]车。又快又好棒呆了哈哈哈哈哈哈哈,1.9207488,0.6691645
9911,0,[MASK]车。石锅拌饭里面吃出了塑料包装纸袋,2.126933,1.6268446
5045,0,[MASK]车。菜品没味道。。。周也是。。。。,2.137704,1.7804654
1563,1,[MASK]车。又快又好又便宜！真心给力！！！,3.3648384,1.3913772
10234,0,[MASK]车。面时间太长了，坨了，不好吃了,2.3895168,1.6260624
29,1,"[MASK]车。送餐非常快,态度特别好,谢谢",4.0365496,1.9324437
6442,0,"[MASK]车。太小了,味道一般,说多了都是泪",3.8583643,2.5036464
467,1,[MASK]车。送餐员辛苦，饭也好吃，继续购买,2.2870858,0.09315488
58,1,"[MASK]车。送餐特别快,送餐员态度也特别好",3.51469,1.8538018
1652,1,[MASK]车。很快，也好，包装也好，赞赞赞,2.214979,0.20068344
4529,0,[MASK]车。味道还行，就是送餐太慢了……,2.7565033,1.0572965
88,1,"[MASK]车。又快又好,小哥态度很好,好评",3.065489,0.78639036
4524,0,"[MASK]车。味道就那样把,盖浇饭挺难吃的",2.1893227,1.5048733
3085,1,[MASK]车。外卖小哥人超级好。。。。。。,2.2208614,1.6396552
10811,0,[MASK]车。速度挺快的，面不好吃，都凉了,2.4192019,1.1378666
8052,0,"[MASK]车。点两份鸡柳,就给送,一份。。。",2.9330711,1.4261422
5562,0,[MASK]车。太慢，太小，吃不饱。味道还行,2.783701,1.7946309
5132,0,[MASK]车。不好吃。。。菜太少了。。。。,3.3653748,2.8548489
2537,1,[MASK]车。配送非常快，10分钟就送到啦～,2.824747,0.23086597
