,labels,text,neg_logits,pos_logits
82777,0,[MASK]开心。[泪] //@耿嘉晨：还真是,12.35259,12.830987
48250,1,[MASK]开心。爱上江西，没有理由！[哈哈],10.293668,12.961252
100168,0,[MASK]开心。计划赶不上变化[抓狂][泪],13.498566,11.524239
22319,1,[MASK]开心。芭其乐，大嘴快乐的家伙[爱你],9.414852,10.99505
70122,0,[MASK]开心。传统已逝??????[抓狂],11.1797,11.154451
6338,1,[MASK]开心。谢谢哈! 欢迎常来![鼓掌],9.965067,13.230415
20081,1,[MASK]开心。胖子手感好啊！[鼓掌][爱你],10.193806,12.432995
23064,1,[MASK]开心。生快！[干杯][蛋糕][鼓掌],8.925001,10.384187
84060,0,[MASK]开心。居然把我干儿子装脸盆里！[怒],12.321293,11.599014
93871,0,[MASK]开心。三哥总是这么的让人惊喜[晕],10.702339,12.632046
104161,0,[MASK]开心。此刻后：ko了... [晕],10.312838,11.219414
40416,1,[MASK]开心。[害羞][哈哈]@魔王1987,10.124845,11.802698
15376,1,[MASK]开心。随手拍祝大家周末愉快！[爱你],9.775254,12.128453
10199,1,[MASK]开心。是滴，美女。欢迎哦！[可爱],8.19785,12.123311
71224,0,[MASK]开心。偷贡品。不怕报应啊？。[衰],12.61736,10.121049
12238,1,[MASK]开心。[哈哈] //@独眼u:哈哈哈,10.141281,12.297192
77537,0,[MASK]开心。求二手智能手机。。。[抓狂],9.606055,10.470446
55063,1,[MASK]开心。是帮你挡酒的男的么？[嘻嘻],11.571756,12.381623
21548,1,[MASK]开心。原来很多国家都免签![哈哈],9.444465,13.836538
38076,1,[MASK]开心。百变大咖秀真的很快乐[哈哈],9.747563,15.217313
84198,0,[MASK]开心。[泪]//@那木错:[微风],11.812643,12.307607
27872,1,[MASK]开心。哈哈，强大[鼓掌][good],9.724193,12.355104
48051,1,[MASK]开心。眼睛一眨，美妞变辣妈！[哈哈],9.189033,11.156218
18029,1,[MASK]开心。祝大家十一小长假快乐[太开心],10.371295,11.199474
115177,0,[MASK]开心。[泪] //@袁腾飞:[泪],12.284246,12.568194
114619,0,[MASK]开心。可怜的风扇[泪] 我要等正版！,12.027802,12.5446825
64870,0,[MASK]开心。固执的大叔这场又好危险[失望],10.787965,10.9251795
74958,0,[MASK]开心。办公室都是孩儿他娘！！！[怒],12.607938,10.868298
77734,0,[MASK]开心。//@地狱中的八尾猫: [衰],10.473292,12.124584
51580,1,[MASK]开心。财神到我手?[偷笑][鼓掌],10.395039,11.820002
54352,1,[MASK]开心。爱吃牛排的童鞋举个手~[爱你],9.280977,12.39535
8324,1,[MASK]开心。开始喽，看起来吧！！[鼓掌],9.239666,12.299427
106626,0,[MASK]开心。受伤，是个超级不好的消息[衰],13.161298,12.533383
15031,1,[MASK]开心。[哈哈][哈哈]收费大调查。。,9.696918,11.065771
8249,1,[MASK]开心。用美食向大家说早安~[嘻嘻],8.326338,13.186417
59782,0,[MASK]开心。愚人节的游戏，银行也玩呀[衰],10.324514,12.395152
110113,0,[MASK]开心。[衰]弄破了，基本上不会复原！,11.076244,12.121714
11405,1,[MASK]开心。哈，回忆录写到哪了？[嘻嘻],10.431374,12.6806965
81138,0,[MASK]开心。书人搬家，其实就是搬书[晕],11.441764,11.633098
14831,1,[MASK]开心。《时尚旅游》也玩街拍了[哈哈],10.36977,12.777781
51446,1,[MASK]开心。阿姨做的菜相当好吃呢[爱你],9.210107,12.821263
73965,0,[MASK]开心。Facebook 还在跌[晕],12.601764,11.780091
101129,0,[MASK]开心。[抓狂] 你是在哪里腐败~~~,10.977648,11.02093
104892,0,[MASK]开心。男人动手…[怒][怒][怒],11.58013,11.063712
66040,0,[MASK]开心。我在这里：#闸北区#吃饭[泪],11.628433,13.062606
87632,0,[MASK]开心。难得休息的，竟然感冒了[泪],12.128316,13.193066
96063,0,[MASK]开心。知道得太晚了，遗憾！[失望],13.038085,12.248193
81716,0,[MASK]开心。社会败坏的典型!?救了[衰],10.413473,9.790101
92195,0,[MASK]开心。姐，我给你跪下了，这才气[晕],12.52911,11.6217165
95696,0,[MASK]开心。[泪]同意，让他们变成海豹!!,10.806037,12.353904
19351,1,[MASK]开心。//@好色小湿妹: [哈哈],9.754516,11.882223
41680,1,[MASK]开心。我觉得总结的很好，喜欢[鼓掌],10.577704,13.149749
21865,1,[MASK]开心。斯坦福正门左侧草坪。[嘻嘻],9.303014,11.746113
2453,1,[MASK]开心。[嘻嘻]重口味爱好者的福音来咯,9.259741,11.758069
48755,1,[MASK]开心。转给来北京玩的童鞋们[可爱],7.9243565,12.317823
53195,1,[MASK]开心。偷偷发张我师父的照片[哈哈],11.063516,13.249794
12712,1,[MASK]开心。好样的！[嘻嘻]你家就你牛！,10.632923,11.855487
94030,0,[MASK]开心。早知道找你买了还能越狱[抓狂],11.072633,12.286165
40934,1,[MASK]开心。我上班能穿成这样吗？[嘻嘻],11.515588,13.506702
11905,1,[MASK]开心。[哈哈][哈哈][哈哈]翔子,10.508925,12.542532
56807,0,[MASK]开心。还有这么不要脸的[怒] 扩散,12.308228,11.490318
63131,0,[MASK]开心。最近压力让我头痛 [衰][晕],13.03265,13.254268
29589,1,[MASK]开心。@兔子奶奶熊的娘 还有[哈哈],9.542855,12.601072
101122,0,[MASK]开心。堵塞，不动！我快哭了！[泪],14.107907,11.748007
75355,0,[MASK]开心。下辈子该她被扔下去！！！[怒],11.547555,11.382943
70889,0,[MASK]开心。现在的快递啊，真心桑不起[泪],11.877225,13.695241
93899,0,[MASK]开心。我也有中奖的时候啊[泪][泪],11.529253,14.262054
7932,1,[MASK]开心。[哈哈]//@大藏布:[哈哈],10.196561,11.792227
4819,1,[MASK]开心。有趣的“悲剧”设计！[哈哈],9.344672,11.875622
112114,0,[MASK]开心。有把脚崴了。。。 大馒头[泪],11.3953705,12.207121
9343,1,[MASK]开心。这透视，照成小短腿儿了[哈哈],9.683107,11.809347
86440,0,[MASK]开心。下冰雹了，我怎么回家呀[泪],13.52735,13.167631
82229,0,[MASK]开心。我也是男人//@???：[泪],11.48386,13.291425
34841,1,[MASK]开心。[鼓掌][鼓掌]期待精彩呈现,9.979647,12.595416
106204,0,[MASK]开心。[泪]同求 粉待亲粉待亲呀！,10.6953745,10.607801
63072,0,[MASK]开心。回去换身衣服准备第三场[抓狂],11.7347555,12.197724
108363,0,[MASK]开心。狗狗是人类最忠实的朋友！[泪],9.680498,13.741482
51324,1,[MASK]开心。[太开心] 过500了~ ?~,10.653628,11.588175
48652,1,[MASK]开心。家庭聚会，愉快的周末！[爱你],8.3472185,11.551505
50046,1,[MASK]开心。这么有意境的菜~~~[哈哈],9.561615,12.804836
69366,0,[MASK]开心。我滴亲丸子啊[泪][泪][泪],10.831831,12.526353
18022,1,[MASK]开心。//@电商报: 啊~~[哈哈],9.822721,12.388645
11792,1,[MASK]开心。谢谢喜欢我家的玛克丽[哈哈],10.062077,14.017265
51645,1,[MASK]开心。我发现我就是来发微博滴[可爱],9.683301,12.386876
75967,0,[MASK]开心。见过好多，就是学不来啊[衰],12.364102,13.248609
55553,0,[MASK]开心。操，你他妈干的是人事嘛[怒],12.677647,11.050135
63799,0,[MASK]开心。我好像午饭忘吃了。。。[晕],12.29496,12.146047
2403,1,[MASK]开心。生日快乐，美女快乐哦~[嘻嘻],9.27578,13.189584
87818,0,[MASK]开心。[鄙视]//@钱文忠: [泪],12.8721,11.099452
42197,1,[MASK]开心。[good]我要好吃的[亲亲],10.439254,12.193565
2716,1,[MASK]开心。享受生活的乐趣[哈哈][?力],9.668747,12.076058
114496,0,[MASK]开心。我又错过了[衰]对不起唐老师了,12.915382,13.332736
39216,1,[MASK]开心。我的 剧照 ，?点咪[哈哈],10.013308,12.249591
78602,0,[MASK]开心。英语太烂，说不明白啊。[抓狂],13.277383,12.104126
677,1,[MASK]开心。[抱抱] 收藏，下班的时间看,10.350267,12.115846
76315,0,[MASK]开心。南方的小伙伴们，保重！[衰],10.294881,13.301556
67304,0,[MASK]开心。唉，又一轮轰炸即将开始[衰],11.987218,12.684252
44036,1,[MASK]开心。吼吼吼，怎么又回来了[鼓掌],11.700484,12.34005
9733,1,[MASK]开心。今天早餐从简[偷笑][嘻嘻],10.872987,13.039213
27440,1,[MASK]开心。真滴哇~~好啊好啊！[亲亲],8.866177,11.842073
2178,1,[MASK]开心。带着葡萄酒去蹭饭，[哈哈]。,10.088455,11.98509
49100,1,[MASK]开心。晚餐时间到！自己煮的[爱你],9.730444,12.380823
69009,0,[MASK]开心。//@Gummi_S:[泪],10.84269,12.540894
3699,1,[MASK]开心。大家多多帮黑哥投票哈[鼓掌],9.773857,13.1734085
36275,1,[MASK]开心。陕西八大怪，面条想裤袋[哈哈],11.423592,11.174255
74734,0,[MASK]开心。有才！唉……[衰][衰][衰],12.29502,12.45383
10024,1,[MASK]开心。又一位收到材料的同学[鼓掌],9.221227,12.042996
13954,1,[MASK]开心。今天是全国电视屏保日[嘻嘻],9.491721,13.10175
9691,1,[MASK]开心。多增加几款好酒才素王道[哈哈],10.0557165,11.325081
48990,1,[MASK]开心。再奋斗一天[哈哈]，度长假。,10.327645,11.405382
2741,1,[MASK]开心。这就是传说中的落水狗。[哈哈],9.734887,13.213902
76712,0,[MASK]开心。号称几十万的沙发[晕][晕],11.995078,12.542374
35080,1,[MASK]开心。这是你哥？为毛这么像？[哈哈],11.312497,12.143913
41502,1,[MASK]开心。偶下班啦！打卡，回家！[嘻嘻],9.991524,12.189074
65053,0,[MASK]开心。看看我的红皮箱[泪]好可怜哦！,11.410448,12.75867
93676,0,[MASK]开心。没检查到作业，百爪挠心啊[泪],12.125117,12.817292
11655,1,[MASK]开心。[围观]中秋快乐哦。[哈哈],9.655591,12.140616
114061,0,[MASK]开心。[心][话筒][话筒][泪],11.199257,11.042173
58008,0,[MASK]开心。林子大了，什么鸟都有。[怒],10.695719,12.143971
40101,1,[MASK]开心。[哈哈]//@韩松落: +1,10.205973,12.382457
90836,0,[MASK]开心。堵车堵死了，彻底的迟到了[泪],12.292216,12.470295
18137,1,[MASK]开心。下午茶时间到[太开心]降降火,9.669099,9.444844
113902,0,[MASK]开心。结果我没下来，你下来了[衰],12.256591,12.821734
100680,0,[MASK]开心。//@北京熊麦宠物医院:[泪],10.844268,12.644856
35326,1,[MASK]开心。送个艺龙旅行梦想吧！[哈哈],10.583948,12.212089
3527,1,[MASK]开心。花粉们，可以试一下哦~[嘻嘻],8.819567,14.0050745
12398,1,[MASK]开心。加油[爱你][嘻嘻][嘻嘻],9.821036,12.813263
61181,0,[MASK]开心。帮转！[泪][晕] 闹心的事?,12.16058,10.972079
25838,1,[MASK]开心。亲亲客气了哈~喜欢就好[爱你],10.664376,12.001002
94418,0,[MASK]开心。看到了中国足球的春天了[泪],10.321132,14.516969
14036,1,[MASK]开心。[鼓掌]//@毛丹青: 扩散,9.388926,12.09035
29246,1,[MASK]开心。哈哈。缘分啊！激动啊！[哈哈],9.395402,11.906625
55695,0,[MASK]开心。//@看历史: [泪] [泪],11.008009,11.781708
84988,0,[MASK]开心。[衰]//@申格体育:[吃惊],10.957291,12.172542
32493,1,[MASK]开心。完满人生[good][鼓掌],9.648626,11.266926
9214,1,[MASK]开心。欢迎欢迎！！！[挤眼][鼓掌],8.966816,11.804652
28188,1,[MASK]开心。罗切斯特，等着我来！[爱你],10.319144,12.34435
76875,0,[MASK]开心。刚打完，基本上都是被说[衰],12.315686,12.052892
477,1,[MASK]开心。转！[哈哈][哈哈][哈哈],10.419948,11.583395
57770,0,[MASK]开心。在移动MM呆不住啦[汗][晕],11.31908,12.494079
62059,0,[MASK]开心。大连你怎么了，重度污染[怒],13.471574,12.571009
69533,0,[MASK]开心。刚看完[抓狂]，超想去唱K的,9.954169,13.240664
938,1,[MASK]开心。红T恤的爷爷真年轻！[哈哈],9.251929,12.756241
69844,0,[MASK]开心。//@un-wong: [衰],10.474278,11.61638
94290,0,[MASK]开心。gonna crazy[抓狂],10.919577,11.067341
4435,1,[MASK]开心。快来喝蜂蜜柚子茶吧。[太开心],10.53848,11.842098
78963,0,[MASK]开心。海马！斯密达！[泪]悲催鸟！,11.52248,11.110871
83649,0,[MASK]开心。接下来好几天都很冷。[悲伤],12.817031,12.840824
26008,1,[MASK]开心。//@大阪旅游微博: [鼓掌],9.384604,12.914824
34157,1,[MASK]开心。人群定位，与属性特征[嘻嘻],10.911355,10.724486
113976,0,[MASK]开心。都几点了，还没吃上饭饭[晕],13.157108,12.485523
66831,0,[MASK]开心。攒钱攒钱，木钱去不了啊[抓狂],11.146964,11.920917
97703,0,[MASK]开心。孤独滴加班者～[失望][衰],12.563531,10.415286
7352,1,[MASK]开心。重金之下，必有勇夫~ [嘻嘻],9.259728,12.957588
30392,1,[MASK]开心。别逼我[嘻嘻][嘻嘻][嘻嘻],11.677652,11.948501
109491,0,[MASK]开心。[衰]在中转站要等8个半小时,11.704263,11.9171505
93917,0,[MASK]开心。在中关村都迷路，OMG[衰],11.843948,11.124484
18349,1,[MASK]开心。更多选择，更多欢笑！[嘻嘻],8.493961,11.768275
47859,1,[MASK]开心。//@云舒兰心: @[鼓掌],9.426418,11.860253
20283,1,[MASK]开心。午间休息，休息一下~[嘻嘻],10.961538,13.157629
37322,1,[MASK]开心。欢迎！欢迎！北京欢迎你[嘻嘻],9.487802,12.9915695
4836,1,[MASK]开心。[鼓掌][鼓掌]生命在于运动！,9.487248,11.804173
37496,1,[MASK]开心。你俩像一对儿[偷笑][爱你],10.045661,11.687957
49167,1,[MASK]开心。吃饭前要好好祷告……[哈哈],10.58718,12.611931
110411,0,[MASK]开心。[衰][衰][衰]何时了啊？,11.771161,11.856642
92460,0,[MASK]开心。据说我家怒豆儿谈恋爱了[抓狂],11.56802,12.042791
100011,0,[MASK]开心。我di........[抓狂],10.7988615,11.404191
41511,1,[MASK]开心。现场男女比例还真2：2[哈哈],9.7405205,13.262193
85365,0,[MASK]开心。#汪汪在旅途#又是摆渡车[衰],10.418388,12.79012
38265,1,[MASK]开心。母子俩再次同台，乐啊。[哈哈],8.93274,12.48826
113324,0,[MASK]开心。斗鸡眼//@凯撒真神：[泪],10.743191,10.868817
90668,0,[MASK]开心。[衰] //@玉?城：转发微博,10.42912,12.562846
12480,1,[MASK]开心。恩乖乖玉照！[哈哈][哈哈],9.863977,11.247311
74666,0,[MASK]开心。[怒]//@大藏布:转发微博,11.505622,11.991455
83987,0,[MASK]开心。成人 不应该是这样的 [泪],12.571124,12.038163
103977,0,[MASK]开心。秋天快来吧，热死我了！[泪],11.604618,13.323484
112502,0,[MASK]开心。打速汤圆节的存货，吃吐[抓狂],10.378061,11.151971
53102,1,[MASK]开心。@vivian于小璐 [嘻嘻],9.615752,13.154833
104512,0,[MASK]开心。这都多少年没拿奖了。。。[泪],10.772541,12.46057
90960,0,[MASK]开心。真的好困啊 我要睡觉觉[泪],13.296101,14.103202
55074,1,[MASK]开心。收拾得干干净净过年啦[嘻嘻],10.541384,13.524571
5471,1,[MASK]开心。小胖子一岁生日的照片[哈哈],10.290231,13.443828
84971,0,[MASK]开心。景点都去过，钱不是都有[衰],10.655343,12.299202
73614,0,[MASK]开心。国家奥委会，要上诉!!![怒],14.195681,12.104255
66923,0,[MASK]开心。永远是孩子？就是傻呗！[泪],13.200163,11.435575
59398,0,[MASK]开心。[泪]我的间隔年。。。呜呜呜！,12.13051,12.254788
25194,1,[MASK]开心。//@重庆卫视星电影:[嘻嘻],9.112257,11.846762
115235,0,[MASK]开心。这是摆明了不让人活啦[抓狂],11.811743,11.137384
45618,1,[MASK]开心。姐19号回来！勿念！[爱你],11.020117,11.65407
83584,0,[MASK]开心。[汗] //@赵金良: [衰],11.164061,12.234098
81307,0,"[MASK]开心。咳嗽没好又套了一个感冒,[泪]",12.615933,12.268629
41294,1,[MASK]开心。USA dreams[鼓掌],9.59521,12.21969
112328,0,[MASK]开心。@和蜗牛一起散步 ~[泪]感人,10.372278,12.595496
88288,0,[MASK]开心。明天又要爆表了，脏乱差[抓狂],12.30837,12.337994
104502,0,[MASK]开心。羡慕出差顺带旅游的孩纸[泪],11.371702,12.363078
105749,0,[MASK]开心。被噩梦惊醒，心怦怦乱跳。[泪],13.296495,12.452736
96846,0,[MASK]开心。//@青岛新闻网:全中[泪],10.404908,12.110127
68347,0,[MASK]开心。睡眠真差[泪][抓狂][怒],13.222311,12.137911
8392,1,[MASK]开心。#舌尖上的春节#年夜饭[嘻嘻],10.992933,12.854431
71196,0,[MASK]开心。我的心态确实不对!!![泪],13.958349,13.095443
13629,1,[MASK]开心。哈哈，幸福指数提升喽[鼓掌],9.302818,12.541513
11841,1,[MASK]开心。今年最新款[挖鼻屎][嘻嘻],9.565502,12.78814
79485,0,[MASK]开心。//@洋洋_67:[晕] 哈哈,11.091448,12.13746
30530,1,[MASK]开心。Holly Cow [哈哈],10.203786,11.926954
80380,0,[MASK]开心。再这么下去要疯啦~~~[泪],13.006733,12.716716
48537,1,[MASK]开心。光影迷离，市井人生！[鼓掌],10.188667,11.552757
51634,1,[MASK]开心。午安。愿幸福与大家同在[嘻嘻],8.641596,10.872557
115169,0,[MASK]开心。[泪] 这么快走了。都没看到你,13.733063,12.9547615
113362,0,[MASK]开心。前一秒阳光，后一秒暴雨[衰],11.298881,11.700503
44544,1,[MASK]开心。崇拜[爱你][爱你][爱你],10.632845,11.0665245
26633,1,[MASK]开心。确定、肯定以及不否定。[嘻嘻],11.11949,11.984817
95361,0,[MASK]开心。哥啊.....你竟诱惑我[泪],12.588402,11.715272
27247,1,[MASK]开心。[哈哈]本人拙作。真是惭愧哈。,11.448146,11.994322
49411,1,[MASK]开心。雷雨天，去哪儿？跑步！[嘻嘻],11.52538,13.047474
41809,1,[MASK]开心。[哈哈]貌似我也纠结过很久……,11.944103,13.266136
21126,1,[MASK]开心。谢谢您! 欢迎常来哈![鼓掌],9.974037,13.748591
64751,0,"[MASK]开心。有道和词霸集体变脸,好丑[泪]",12.567598,12.434216
2499,1,[MASK]开心。@cecilia大饼 [爱你],9.139063,12.132038
25371,1,[MASK]开心。又见三俞！！！[嘻嘻][嘻嘻],10.408125,11.488652
6075,1,[MASK]开心。[哈哈] //@圈J圈：[衰],10.091727,11.395906
75370,0,[MASK]开心。热天吃拌面，遭罪！！[失望],12.471073,9.9962015
25298,1,[MASK]开心。[嘻嘻]偶就这点爱好――臭美！,10.690754,12.156619
45661,1,[MASK]开心。说吃可可长大的，求相片[哈哈],11.508332,12.457024
91342,0,[MASK]开心。哈哈，你还记得啊，感动[泪],10.541012,12.975715
63064,0,[MASK]开心。信用卡找不到了。。。。。[泪],12.727223,12.661626
289,1,[MASK]开心。#维他命反馈#再来一组[鼓掌],10.040482,12.246552
62146,0,[MASK]开心。听不到了听不到了听不到了[泪],12.634021,12.899609
92495,0,[MASK]开心。天语感觉给阿里云忽悠了啊[晕],12.159215,12.570551
9762,1,[MASK]开心。谢谢你们从来不嫌弃我[亲亲],11.342308,13.962996
1554,1,[MASK]开心。萌萌滴节奏~[嘻嘻][偷笑],9.163444,12.376004
11312,1,[MASK]开心。谁还能说国民素质差？[爱你],10.734968,11.597856
87942,0,[MASK]开心。分享好天气！[嘻嘻][怒骂],9.994945,12.065259
93360,0,[MASK]开心。[泪] 它真是不友善哪。。。,12.2067795,11.455314
51434,1,[MASK]开心。看得懂吗？[哈哈]够北京吧…,10.406983,12.452271
