,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,9.613266366712477
7598,1,手机质量很好哎，就是没有送礼品,5.968332438523034
43849,0,有差异的产品，下次不会选购了,7.211231359944973
10361,0,东西搭配了一堆没用的，给差评,8.835570978061314
3099,1,一般般 会有卡顿 看电影还行,41.759511405234505
28438,1,不错很满意，物流小哥很给力。,6.444128655831263
34577,0,京东的配送就这样吗？真是失望,4.345333949217573
12015,0,非常不满意，大型游戏根本玩不了,2.8820157502815817
31819,0,垃圾京东，收钱不发货，趁早倒闭,14.96031133026658
42623,1,衣服面料很舒服，柔软，大小合适,4.3595306006220325
43428,0,哎与图片差距太大真心接受不了,12.655937423858028
38964,1,面料很好，款式时尚 穿上很舒服,3.9401759707713286
32231,0,洗发水不正宗的，洗完头皮屑很多,16.071277707584493
17545,1,京东商城的商品实惠，继续支持！,4.370123510202245
36576,1,蒙牛出香蕉奶啦 味道还不错哦,33.509862001212504
6653,1,快递速度很快，平板用了还不错。,6.880092756373715
39896,1,大小合适，有弹力，辉常满意！,12.055988536307332
38971,1,刚收到货，很好，物超所值！！,9.075250211285248
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,13.435568914081408
29583,1,超值值得购买！便宜实惠真的很好,4.236737550425827
12956,0,不咋好，显示不清楚，想贴膜的,18.816548518357436
31712,0,不好，这么贵还不好，我也是醉了,10.976357245995205
31680,0,啥时候到啊下单好几天了还没到?,15.201386295242733
60362,0,很一般，价格不高，但设备差！,7.44477687170929
45785,0,没穿几次就破2个洞，做工不好。,18.7014660032478
30820,0,被坑了，不好用，只能给一星?,32.89407107472
10933,0,送货师傅不错，平板质量一般般,8.899274403641721
40218,1,穿上很舒服，面料不错，蛮好的,5.11648392422326
36597,1,蒙牛滴。。。口感醇厚，不错～,68.19831904189142
47403,0,衣服不行 ！！！ 快递也不给力,19.829983853812674
42213,1,质量好，做工精细。非常满意！,2.5857200304207946
31785,0,不好用，味道太浓，不适合男人,8.343230954361706
46015,0,质量没有想像的那么好，不要上当,4.447493668617613
42170,1,款式新颖，又合身，孩子很喜欢,4.818646452444631
43150,0,欺骗消费者！！！严重不符！！！,6.6284180906094905
45415,0,商品没图上的好看，面料也不多好,17.96419054842203
30230,1,价格实惠，服务好，东西不错。,2.4709532753591104
47927,0,没收到商品，一个月了，差劲。,6.747687583369204
30018,1,好，不错，得蛮多的，划算，喜欢,14.157671074288052
26817,1,到货好快。服务好！东西满意！,4.879538045983532
5006,1,手机不错，屏大清晰，速度快。,8.044289370454807
44936,0,洗了掉色特严重，很硬，还没穿,24.50179704270407
16856,1,还味吃，现在觉得苹果越来越甜了,18.05017631527203
3845,1,不错 很喜欢 华为平板666,31.215568441251193
28242,1,洗发水好用，洗过头发很清爽…,17.388515145750297
42123,1,可以 比较满意 穿了再来评价,8.470392870979362
34621,0,有一瓶盖子烂了，流的到处都是。,14.059965909126038
33650,0,使用一般，和国货区别不是很大！,7.442778802518911
5554,1,好好的一个好的自己选的好好好货,29.983082218233378
30937,0,说好的吹风机在哪！太垃圾了！,10.969926722187543
60557,0,服务很一般，设施和装修也不好。,3.5353356405810046
46810,0,真的和网上看的差别真大，好垃圾,7.046996724314889
25754,1,看着还可以，小的赠送旅行装不错,15.030286500667811
43705,0,物流太慢太慢，衣服不怎么样，,6.636905558952063
18630,1,个头小但很甜，用来做早餐正好。,7.027664089466226
41784,1,商品不错，物超所值。真实体验。,4.010194187561887
45106,0,非常一般，不推荐，不要贪便宜,3.7884291634072973
31546,0,昨天收到今天就降价，太过分了！,7.464808073875749
43624,0,有股刺鼻的味道，还特别脏，差评,6.237817465320288
10107,0,差评，保护壳都没有，5星差评！,8.1437383688597
32824,0,不好用，不适合我的发质，起头屑,12.740910848016515
4883,1,不错物流给力，值得信赖，正品，,10.464833100976392
31305,0,发来就破了。。懒得跟客服叨叨了,35.8491658501963
17539,1,性价比真他们高。。。。够味还脆,84.50803818044015
3991,1,不错，给妈妈玩游戏用的，很喜欢,4.572968349633878
35438,1,安装好了，还没用，感觉挺好的,5.861237851409451
10959,0,骗子。垃圾货。收到的卡装不了,15.821683909851037
