,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,268.1010994324417
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,39.38264468936813
768,1,味道很好！送的也很快！好吃！,15.140690148150732
2518,1,菜品好，速度快，真是太好了！,9.947897009933403
7638,0,这家店就直接没送，接单不送的店,69.339525156734
6583,0,送餐太慢太慢了～菜品还可以～,35.026075609074354
6692,0,"下次能送早点就好啦,快饿过劲啦",124.22336128252473
484,1,"很好吃量也很大都吃不完,赞一个",89.94741961830123
11295,0,下单2个小时才送到。无语了。,24.388739204794526
2826,1,谢谢师傅，辛苦了！非常准时！,25.511925186968554
11958,0,粉很好吃，但是订了卤蛋却没有。,56.694577171063465
4074,0,"吃到一半发现菜里有小强,简直了",36.57811472239213
1568,1,米饭是硬的。。不如上一次好吃,43.51212417019233
10881,0,米饭里有一只蟑螂，让人怎么吃,25.083958769794265
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,40.610077363391554
4765,0,很慢就不说了，关键是还不好吃。,14.894795476549763
370,1,态度很好，效率很高，给十分赞,27.483463438738593
11746,0,速度慢，第一次订餐就迟到，晕,39.49931050588028
8159,0,送餐走错路，袋子还破了………,60.162639679221385
2366,1,一直买他家的香脆鸡肉披萨，喜欢,13.461538897985672
866,1,"师傅辛苦了，谢谢,下雪注意安全",30.136537558678103
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,28.182306401208994
9911,0,石锅拌饭里面吃出了塑料包装纸袋,86.12482932005418
5045,0,菜品没味道。。。周也是。。。。,146.54554618632224
1563,1,又快又好又便宜！真心给力！！！,17.09457010077604
10234,0,面时间太长了，坨了，不好吃了,25.41954415290626
29,1,"送餐非常快,态度特别好,谢谢",33.73863319388348
6442,0,"太小了,味道一般,说多了都是泪",13.866317336747192
467,1,送餐员辛苦，饭也好吃，继续购买,21.841707456484656
58,1,"送餐特别快,送餐员态度也特别好",22.910873219948947
1652,1,很快，也好，包装也好，赞赞赞,20.081798592360432
4529,0,味道还行，就是送餐太慢了……,18.94102979815106
88,1,"又快又好,小哥态度很好,好评",9.339332713486135
4524,0,"味道就那样把,盖浇饭挺难吃的",61.62350117071704
3085,1,外卖小哥人超级好。。。。。。,93.30961697865666
10811,0,速度挺快的，面不好吃，都凉了,40.635820025302216
8052,0,"点两份鸡柳,就给送,一份。。。",185.32796322727907
5562,0,太慢，太小，吃不饱。味道还行,14.085964498622346
5132,0,不好吃。。。菜太少了。。。。,103.81100631430144
2537,1,配送非常快，10分钟就送到啦～,33.40685429411341
2730,1,人好速度快，好评好评好评！！,18.875593207467826
6256,0,米粉比以前份量少，没以前好了,16.503274578125275
2717,1,东西非常好，还是热的，辛苦了！,10.672428941206785
5791,0,给的豆皮果然多，只是肉变少了,257.57747229414076
434,1,很快，很好，经常订，谢谢师傅,18.39752249498156
2067,1,非常好吃，送餐很快，绝对好评,30.038946477856904
8096,0,就薯条还行！其他都不怎么样！,41.52674604828901
1952,1,味道还好。服务态度真的很好～！,6.415995394813211
6980,0,咋的跟饿了吗不一样的名，坑爹,270.11622869808286
2435,1,经常买这家的饺子，味道棒棒哒！,11.038607858238512
9055,0,没有在店里吃好吃，萝卜太多了,21.102993710789953
1653,1,除了速度有待加强，其他都不错,9.039564673219258
3654,1,没有餐具哦，还要自己点餐具么,21.116484900687045
1739,1,"服务不错,但是太难吃了啊啊啊",7.955840894180573
11045,0,面也太少了，才半盒，我就没吃饱,70.27786994460985
2626,1,非常的正宗，就是羊杂汤太咸啦,55.99780884860495
7925,0,午餐肉实在太难吃了，千万别点,10.562575538779598
5910,0,真的不适合外卖，另外，真难吃,18.533151063570383
11336,0,我的电话打不通，不知道为什么,6.201162286537146
809,1,很好，速度飞快，炸鸡有点火大,31.318438912425453
661,1,太快了！！简直是神速啊！！！,14.189767870755103
396,1,"第二次买了,挺好的,以后继续",10.166356217427998
5702,0,我备注要的粥，结果送来的是饮料,126.73638928218016
10859,0,赠送的黄飞红花生呢？没送啊！！,174.9471058291587
280,1,非常好送的很快，，，还是热的。,45.40569626241832
184,1,好好好！赞赞赞！态度好速度快！,25.114248157093762
2289,1,味道很好而且很实惠送得也很快,44.00268088888063
4775,0,包装牛逼，送餐速度……咳咳……,30.806544666032632
2711,1,"番茄醬撒了QAQ,其他nice",153.97481601317102
854,1,"粥里有头发,就没吃,剩下都好吃",70.23397423167579
5116,0,太慢了，俩小时连个解释也没有,15.369114933284152
2377,1,速度挺快的东西也挺好的给赞~,67.97620439738104
4429,0,肥肉太多吃的时候还把嘴唇拿破了,43.58742965373212
11423,0,饭菜都凉的，一个多小时才送来,43.37370719136439
7151,0,地三鲜，茄子里面有很多是生的,70.31241202280985
901,1,我吃出来一个钢丝球上的一个丝,35.49172604602864
5808,0,不好吃，包子还不熟，都硬邦邦的,38.122156931639786
2679,1,味道好，包装好，送餐及时，不错,15.136714842399181
11060,0,差评，退款太慢！我说的是百度！,31.582317458665177
10479,0,"送错了,打电话要求补送也不送",106.79998600083618
8079,0,送的时间太晚了，一个小时才送来,17.468196893784363
4617,0,送餐很慢，饿死了，味道很一般,27.47635869306965
2406,1,挺好的，速度也不错，以后还来,20.387134719083274
2682,1,大叔特别面善！饭食用料很好！,63.06812842835542
2442,1,大冷天的百度骑士真是辛苦了～,40.60512439806268
963,1,肉很多，味道不错，配送也很快,23.697798891356722
3617,1,饭菜香质量好，服务好，送饭快。,33.52860427652746
10792,0,一单元和二单元分不清...麻烦,4.802240067093227
2821,1,送餐快，阿田大虾一如既往的好吃,282.69806803368186
2108,1,菜挺多饭挺多就是牛肉丝质量一般,55.99138392658346
2832,1,送货很快，经常吃他家的，很棒,40.30625825553812
9713,0,送餐人员素质太差，不适合本工作,24.11624546226481
3122,1,"赞赞赞,很好吃,小哥送餐也很快",137.77944050468238
10897,0,味道还好，但是送餐实在是太久了,12.122126394975222
3793,1,都非常好，就是派送费有点贵！,15.360502942408957
6995,0,饺子都凉了还能吃吗，送来太慢了,47.698161403409074
1115,1,"好吃,就是太慢,两个小时才送到",25.26506517917577
6568,0,送餐慢，披萨巨小！还没餐具！！,279.8846677956531
2431,1,送餐很快，送餐人员很热情！～,24.820808536132777
1601,1,配送的真快，及时。很好好强大,193.65840289982424
7187,0,送餐太慢，等了两个小时，无语,54.77871931057286
3236,1,口味质量俱佳，送餐小伙很不错,124.9425622880177
7287,0,"咖啡撒了一兜子,还是凉的,服了",45.58114854524309
836,1,"很不错的一次,下次还会到这买",50.53229920580265
2663,1,送餐很快，菜很好，羊杂味道不错,42.29166991561615
9190,0,"每次酸奶都不给我带吸管,心好累",66.64260342251544
262,1,太快了，你是飞过来送餐的吧…,35.17789245771468
11078,0,接线员工态度太差。其他的还不错,19.750476390506016
393,1,速度很快，菜的味道也好！不错！,10.073937399882636
6382,0,汤横着就送过来了，撒到处都是!,106.0650283833122
9862,0,难吃的一逼，体验差，名不副实。,64.05704371537495
5440,0,肉太多了，送餐速度有待提高！,45.945702079178176
8739,0,"汤挺好喝的,就是米线没有米线味",41.05363325624094
10139,0,5555比以前的肉肉少了好多,36.65121208134463
8704,0,"味道不错,就是太慢了,真的很慢",6.593276867813778
3526,1,服务很好，送的很快，很有礼貌。,9.333390133000753
2947,1,宿舍信号不好，耽误了你的时间,12.294076668778017
8116,0,态度真差，喊什么喊！CBWD,98.72901292183485
771,1,都挺满意，送餐的师傅也很细心。,15.147433107911537
8579,0,盒子很精致，味道还好。整体不错,10.276339944497481
7305,0,撒的到处是。摩卡只有半杯了。,460.93128929872955
10599,0,备注写好要生菜，结果送来不是,143.60549124218412
10977,0,"送的太慢了,2小时,菜都冷了",76.20870126824941
9176,0,"你吗,送了俩小时,太不靠谱了",122.89345998779021
2915,1,还不错，就是买回来面有一点陀,50.70686172398675
9393,0,太慢了，送来都凉了，态度各种差,49.8984816862129
6230,0,口味比之前差多了！换厨师了吗？,20.026139621469476
8449,0,图片与实物不符...根本没鸡腿,23.661145803131188
1005,1,快递小哥以后继续加速啊，加油,34.28681165128573
6607,0,"次次迟到n久~~,菜都是凉的",281.5670863291876
2226,1,价格偏高，不过倒是蛮好吃的。,9.924445773413794
1379,1,"难吃,难吃,难吃。凉了,凉了",6.14391467035101
