,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,190.6918937812198
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,57.36785124584144
768,1,味道很好！送的也很快！好吃！,14.463785277738182
2518,1,菜品好，速度快，真是太好了！,7.553794341983967
7638,0,这家店就直接没送，接单不送的店,56.609574458682424
6583,0,送餐太慢太慢了～菜品还可以～,55.68392059515275
6692,0,"下次能送早点就好啦,快饿过劲啦",125.75674956670538
484,1,"很好吃量也很大都吃不完,赞一个",64.42220526815477
11295,0,下单2个小时才送到。无语了。,11.310876423963657
2826,1,谢谢师傅，辛苦了！非常准时！,9.885194472698693
11958,0,粉很好吃，但是订了卤蛋却没有。,42.31351673470068
4074,0,"吃到一半发现菜里有小强,简直了",37.114430293113266
1568,1,米饭是硬的。。不如上一次好吃,36.19804482666792
10881,0,米饭里有一只蟑螂，让人怎么吃,27.341070151668276
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,52.06630896014887
4765,0,很慢就不说了，关键是还不好吃。,11.36316264193989
370,1,态度很好，效率很高，给十分赞,23.307041020585476
11746,0,速度慢，第一次订餐就迟到，晕,25.52981084982193
8159,0,送餐走错路，袋子还破了………,47.92436660165433
2366,1,一直买他家的香脆鸡肉披萨，喜欢,12.985738003051523
866,1,"师傅辛苦了，谢谢,下雪注意安全",20.06720577374313
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,23.005356053270834
9911,0,石锅拌饭里面吃出了塑料包装纸袋,119.60685976482125
5045,0,菜品没味道。。。周也是。。。。,103.25117593494265
1563,1,又快又好又便宜！真心给力！！！,18.7798013050508
10234,0,面时间太长了，坨了，不好吃了,21.625482413574566
29,1,"送餐非常快,态度特别好,谢谢",32.543183163170085
6442,0,"太小了,味道一般,说多了都是泪",13.862614126169563
467,1,送餐员辛苦，饭也好吃，继续购买,18.942161069421893
58,1,"送餐特别快,送餐员态度也特别好",15.441053692319606
1652,1,很快，也好，包装也好，赞赞赞,11.793851532185585
4529,0,味道还行，就是送餐太慢了……,16.380152124167658
88,1,"又快又好,小哥态度很好,好评",10.96327367825378
4524,0,"味道就那样把,盖浇饭挺难吃的",97.70874615712773
3085,1,外卖小哥人超级好。。。。。。,56.56738093393972
10811,0,速度挺快的，面不好吃，都凉了,37.45329916100989
8052,0,"点两份鸡柳,就给送,一份。。。",167.2066507202107
5562,0,太慢，太小，吃不饱。味道还行,8.509385264293629
5132,0,不好吃。。。菜太少了。。。。,48.27306361000943
2537,1,配送非常快，10分钟就送到啦～,10.514250859520399
2730,1,人好速度快，好评好评好评！！,16.21803722889327
6256,0,米粉比以前份量少，没以前好了,16.48265530282864
2717,1,东西非常好，还是热的，辛苦了！,10.335481187472817
5791,0,给的豆皮果然多，只是肉变少了,167.13069406733226
434,1,很快，很好，经常订，谢谢师傅,11.414602040100457
2067,1,非常好吃，送餐很快，绝对好评,17.618557740409337
8096,0,就薯条还行！其他都不怎么样！,43.81571719275451
1952,1,味道还好。服务态度真的很好～！,9.776220055772155
6980,0,咋的跟饿了吗不一样的名，坑爹,283.5696841653516
2435,1,经常买这家的饺子，味道棒棒哒！,11.468862610430714
9055,0,没有在店里吃好吃，萝卜太多了,18.956901648071792
1653,1,除了速度有待加强，其他都不错,8.009589970932227
3654,1,没有餐具哦，还要自己点餐具么,41.99701451278586
1739,1,"服务不错,但是太难吃了啊啊啊",8.843757118695724
11045,0,面也太少了，才半盒，我就没吃饱,63.13738778849221
2626,1,非常的正宗，就是羊杂汤太咸啦,55.03168535701644
7925,0,午餐肉实在太难吃了，千万别点,9.43107458151167
