,labels,text,ppl
4895,0,饼有点硬，个人口味吧，我不喜欢,3.493785645162111
8711,0,病人吃啊，挂面哈拉味，汤也腥。,131.40424552421143
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,11.665265543172906
768,1,味道很好！送的也很快！好吃！,5.130419844254772
2518,1,菜品好，速度快，真是太好了！,4.553839162411369
7638,0,这家店就直接没送，接单不送的店,34.65963370486968
6583,0,送餐太慢太慢了～菜品还可以～,3.445836087750845
6692,0,"下次能送早点就好啦,快饿过劲啦",51.59849409505123
484,1,"很好吃量也很大都吃不完,赞一个",24.223040964981664
11295,0,下单2个小时才送到。无语了。,4.549884590056779
2826,1,谢谢师傅，辛苦了！非常准时！,3.7017888613558716
11958,0,粉很好吃，但是订了卤蛋却没有。,26.82564309829302
4074,0,"吃到一半发现菜里有小强,简直了",17.603499478857035
2858,1,麻辣香锅很地道，送餐及时，好评,4.010159039561877
1568,1,米饭是硬的。。不如上一次好吃,21.909044031223157
10881,0,米饭里有一只蟑螂，让人怎么吃,6.913783511789684
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,8.39302751564998
4765,0,很慢就不说了，关键是还不好吃。,15.738858602167813
370,1,态度很好，效率很高，给十分赞,5.143587042737361
7698,0,饼太硬，香肠炒饭里的香肠是臭的,14.109656169661102
11746,0,速度慢，第一次订餐就迟到，晕,8.303354667159606
8159,0,送餐走错路，袋子还破了………,13.752919072693512
7545,0,量太少了，不够吃，都能数过来,25.377738743318876
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.909982864587457
866,1,"师傅辛苦了，谢谢,下雪注意安全",7.531655842633845
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,12.26273788345103
9911,0,石锅拌饭里面吃出了塑料包装纸袋,42.01640367667529
5045,0,菜品没味道。。。周也是。。。。,26.29463866828644
1563,1,又快又好又便宜！真心给力！！！,5.577836266011345
10234,0,面时间太长了，坨了，不好吃了,14.862021291562932
2699,1,虽然因为牛肉太多有点儿咸……,5.106105041501493
3594,1,师傅服务好送货快，性价比超高,2.7359413198091285
29,1,"送餐非常快,态度特别好,谢谢",3.256498150912313
6442,0,"太小了,味道一般,说多了都是泪",4.1028245178799665
467,1,送餐员辛苦，饭也好吃，继续购买,5.067728582230769
58,1,"送餐特别快,送餐员态度也特别好",3.4082145667915857
1652,1,很快，也好，包装也好，赞赞赞,13.819547171249363
6217,0,菜真的很一般，还是店里吃好些,6.688973369304762
4529,0,味道还行，就是送餐太慢了……,2.9240804257992394
5594,0,为什么每次都是凉的。。。。。。,6.890932866095446
88,1,"又快又好,小哥态度很好,好评",5.8441425153811775
3170,1,"快递给力,煎饼给力,会一直点餐",7.864568116505451
4524,0,"味道就那样把,盖浇饭挺难吃的",50.69809417243217
4853,0,不好吃，肉不好，饼很硬，差评！,10.573800422079152
9972,0,准时送餐，不要太早，也不要太晚,5.006565107839173
4829,0,"小两个小时送到,而且真的很难吃",16.49620984971221
3085,1,外卖小哥人超级好。。。。。。,5.480804584880909
10811,0,速度挺快的，面不好吃，都凉了,11.17077165638556
8052,0,"点两份鸡柳,就给送,一份。。。",100.14325039614
5562,0,太慢，太小，吃不饱。味道还行,5.701793851764202
5132,0,不好吃。。。菜太少了。。。。,6.301256093678536
2537,1,配送非常快，10分钟就送到啦～,4.786432582408775
2730,1,人好速度快，好评好评好评！！,12.604006604459427
6256,0,米粉比以前份量少，没以前好了,14.49073120677969
2717,1,东西非常好，还是热的，辛苦了！,4.564590384812821
5791,0,给的豆皮果然多，只是肉变少了,18.32982293511129
434,1,很快，很好，经常订，谢谢师傅,6.124090981951156
2067,1,非常好吃，送餐很快，绝对好评,3.9018353993965755
8096,0,就薯条还行！其他都不怎么样！,11.573246217780863
1952,1,味道还好。服务态度真的很好～！,4.785653940777445
6980,0,咋的跟饿了吗不一样的名，坑爹,49.733372760635085
2435,1,经常买这家的饺子，味道棒棒哒！,5.053297014541111
415,1,"汤很好的说,送餐很快,棒棒da",28.15933784525445
9055,0,没有在店里吃好吃，萝卜太多了,4.370246153795773
1653,1,除了速度有待加强，其他都不错,2.5012349403228815
6455,0,送餐超慢，里面披萨怎么分开了？,13.212656708084648
10732,0,凉皮一般，其他的就不多说了。,8.612898791877761
3654,1,没有餐具哦，还要自己点餐具么,28.891053565656645
1739,1,"服务不错,但是太难吃了啊啊啊",5.029288548300725
11045,0,面也太少了，才半盒，我就没吃饱,14.447356048918673
2626,1,非常的正宗，就是羊杂汤太咸啦,13.29228369946287
7925,0,午餐肉实在太难吃了，千万别点,6.152135384323675
5910,0,真的不适合外卖，另外，真难吃,5.6464097844532875
11336,0,我的电话打不通，不知道为什么,3.580960040696576
809,1,很好，速度飞快，炸鸡有点火大,20.537615786535316
661,1,太快了！！简直是神速啊！！！,5.150189293026841
396,1,"第二次买了,挺好的,以后继续",3.598204964718502
5702,0,我备注要的粥，结果送来的是饮料,31.585999679603912
10859,0,赠送的黄飞红花生呢？没送啊！！,62.46727284518791
7676,0,"粥根本没放盐,送餐服务态度差！",18.58947358312465
10225,0,没送筷子，没有餐巾纸。。。。,19.359962494919287
2764,1,送餐快，pizza味道也不错！,10.306360942024336
280,1,非常好送的很快，，，还是热的。,10.907207408328686
184,1,好好好！赞赞赞！态度好速度快！,4.019471012128595
2289,1,味道很好而且很实惠送得也很快,3.649149863165554
4775,0,包装牛逼，送餐速度……咳咳……,6.383458037133783
7520,0,送餐速度太慢，下次不会再买了！,7.940252092253948
2711,1,"番茄醬撒了QAQ,其他nice",156.5366403519176
854,1,"粥里有头发,就没吃,剩下都好吃",33.67542948021891
4096,0,送的东西三盒都洒了，车翻了吗？,19.43110156924836
5116,0,太慢了，俩小时连个解释也没有,5.219224963406386
2295,1,送餐快，包装安全放心，味道好。,3.6011827120711506
5944,0,"豆腐脑都成果冻了,没吃全扔了",34.55283232110905
2377,1,速度挺快的东西也挺好的给赞~,9.085652226589753
4429,0,肥肉太多吃的时候还把嘴唇拿破了,7.6923968373094205
11423,0,饭菜都凉的，一个多小时才送来,8.234452683076832
7151,0,地三鲜，茄子里面有很多是生的,17.45902146638425
901,1,我吃出来一个钢丝球上的一个丝,28.75629446866374
5808,0,不好吃，包子还不熟，都硬邦邦的,9.611541386415828
2679,1,味道好，包装好，送餐及时，不错,3.922957743988801
11060,0,差评，退款太慢！我说的是百度！,9.65835255697216
10479,0,"送错了,打电话要求补送也不送",26.455537331360237
8079,0,送的时间太晚了，一个小时才送来,4.827941138437588
4617,0,送餐很慢，饿死了，味道很一般,4.5311581872378035
2406,1,挺好的，速度也不错，以后还来,5.983314832883004
11615,0,太慢了，以后不点这家了！都凉了,34.30094269252446
2682,1,大叔特别面善！饭食用料很好！,18.73878874221829
2442,1,大冷天的百度骑士真是辛苦了～,24.728175429327266
963,1,肉很多，味道不错，配送也很快,6.6950041852667646
3617,1,饭菜香质量好，服务好，送饭快。,8.48985459289606
11174,0,外卖员很差外卖员很差外卖员很差,2.080648557626732
10792,0,一单元和二单元分不清...麻烦,3.960054107157735
2821,1,送餐快，阿田大虾一如既往的好吃,17.22508108991657
