,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,9.613396792425473
37994,1,局气！规矩！管虎导了俩影帝了！,130.38806608079673
45474,0,前半段真好看，后半段越来越萎,4.976656434427438
37018,0,前面的剧情看得我尴尬癌都犯了,3.1711329035099043
39152,0,混乱的情节，特么矫情无下限。,10.085340959436797
4952,0,适合能静得下心和有故事的人。,4.149093305172408
49922,1,最是人间留不住朱颜辞镜花辞树,94.51458975409628
18895,1,超级治愈又感人，狗狗真的好暖心,4.371284095464318
16855,0,密室设定很有意思，可惜未能维持,7.974679003687785
33344,1,原来巴萨的德国馆还有这个用处,8.278782977094028
43014,1,丫丫真的太美了，前夫哥好可爱,8.879567579704204
30945,0,烂的一逼，啥都没有，狗屁不通。,9.722649531744581
11202,1,这个玛丽苏我喜欢很好看求续集,12.356082572142022
43097,1,看了点映，好多戳中我泪点??,8.238421995977644
7229,0,郑恺和郭采洁还挺有cp感的。,8.263238173066602
46824,0,民乐要靠二次元来拯救了嘛……,17.742690223280405
44791,1,反正我追完了，为了女主的颜值,5.429914033855767
40750,0,我朋友说，她尴尬得想原地去世。,54.329522252921606
24357,0,今年作品太多了，有点透支了。,5.081781752947661
12065,0,我是真的觉得孙悟空的扮相太丑了,2.4550779308352557
44782,1,还可以吧……感觉题材还算新颖,3.9190951168860373
11314,0,看完情圣来评评这部这部比情圣好,3.4639921325392566
19047,1,它令我想起曾经怦然心动的轻吻,4.882546829032447
45899,0,发哥抄着烂片专业户就去了。。。,120.28395210367772
14214,0,第一集演得什么玩意儿，尴尬死了,5.914503643890736
31414,1,热热闹闹的，看得我好开心啊。,4.155932567189476
25276,0,煽情煽成了MV，大家都笑了。,24.242494302120587
47776,1,最喜欢的科幻故事，很成功的改编,2.529208232388501
45012,1,还算可以哦，故事讲的挺精彩！,5.373126869826431
49786,0,被黑天鹅惊艳到了！美轮美奂！,2.7379807326575847
11029,0,到底在演什麼啊？？大爛片！！！,44.95042877489452
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,2.7852274000000086
3121,1,你无车无楼无番狗做乜要拖我手,94.24768358274852
9512,0,最弱版劳拉了吧？太弱了太无聊了,16.480258908414328
15976,0,重拍经典，孩子对恐惧的克服。,6.150057091497134
26862,1,太好看了！笑得我内分泌失调！,3.19814269138704
30395,0,本来两星，加一星给受罪的演员吧,10.347961833229888
22972,0,《星际特工：全宇宙看我们尬爱》,29.334867317611174
30570,0,特效不错啊，但剧情就大简单了,6.163660566288783
20588,0,气氛到位，演员不存，故事简单！,4.8421441179946125
13869,0,看的点映，形式“精致”的大烂片,38.03699767497814
24216,1,最后居然没搞你们还是人吗？？？,12.538722590688797
32991,0,平淡真实不温不火我没懂哭点在哪,13.657539491077614
1732,1,其实伍迪哈里森演的是一个天使,10.521182682128496
4472,1,陈可辛拍商业文艺片真的不错~~,4.401149114207935
33439,0,泡泡妹子打打架，兄弟情在哪？,15.96069931856993
11847,0,一部非常尬的电影。不推荐观看。,7.4572950407857785
16369,0,张艺谋式的漂亮画面，何必3D。,12.433471821582732
31321,0,"我不信你们没东西怼地雷啊=""=",36.25412578485184
18949,1,少男少女必看，爱与美的启蒙。,4.677432607701145
32102,1,迪斯尼的动画很赞，配乐很好听！,3.7810743972638936
9630,1,喜欢坎妹素颜的劳拉，期待后续。,37.88164829332353
1571,1,演小安生的小朋友很像岳云鹏啊。,20.957173700737805
38226,1,你猜不到的结局…猜不到的惊异…,5.485873239084784
17406,0,卡尔文老师不是触手，是海蜇皮啊,32.17127597028841
24554,1,我不会说情话，只知道陪着你。,3.3983100553050023
6181,1,腕龙站在码头哀嚎的场景太泪目了,46.790680715420955
6583,0,比较难看的伪记录僵尸片...,10.468093749962597
6224,0,cctv6盛产类似的古装片……,16.11339840856774
39086,0,打一星以上的人都是咋想的！！！,13.58421188391754
14019,0,好吧，为了阿姨们的搏命演出。,16.20074153391461
10409,0,勉强合格。觉得周冬雨有点厉害。,3.6675134112920698
24108,0,Highlyoverrated,115.45039507975609
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,27.47686633472596
6067,1,妈的吓死我了叫得我嗓子都哑了,8.554948197586972
9505,0,寻父，遇彦祖。掘墓，炸病毒。,49.95033492942593
41265,0,嗯电影院椅子挺舒服，睡得挺好,11.659161551264884
48553,1,Pixar真的没有让我失望过。,7.943007053560093
24690,1,看完只想把所有好东西都给它……,3.1183772573132686
6635,1,我给你四星，反正我就是胆小。,8.152490494744194
4338,1,除了人贩子，所有人都是受害者,3.689626697090198
25535,1,逃离已知世界的勇气令人敬佩。,3.3395642401313976
17716,1,老一套温情，稍稍让我有点麻木,12.059897708152082
47637,0,我特么就想知道那句中文是什么,4.9006778849185295
8508,1,好看！但是最后那关不过瘾???,4.367009959810111
23534,1,谁能拒绝穿护士服的余春娇呢？,10.513343312076893
26207,0,太恶心了~不要看~建议哈···,7.175271712841442
28591,0,主角明明是章鱼，你叫潜艇总动员,9.612298877214233
19643,0,没看。但是五星水军太恶心了。,17.620435947448463
31415,1,爽着爽着导演就给你喂了一口屎,4.4856041232412505
2047,0,好的地方都是老舍的。★★★☆,44.25005884974604
9358,0,感觉在铁匠铺呆了一宿。。。。,8.5133527636829
27611,1,勇敢、努力、坚强的女孩都是公主,2.9113422016680923
24947,0,埃德加赖特的GTA6？太屎了,117.4821158317516
24137,0,小哥有精神洁癖呀，这点好赞。,8.917075881555165
18739,1,永远不要忘记你所爱的人，感动,4.261400477395102
26928,0,把所有人都拍这么难看太不容易了,4.003638941997448
15616,1,就想知道睡觉打呼噜的人怎么办,3.262601965369386
49084,1,能把蒜皮当雪花的姑娘你真好。,10.501849805921644
46654,0,我没想到加分项竟然是景甜老师。,8.853540397403403
31054,0,交通安全宣传片，情感关系咨询片,3.508315234480531
22682,1,Kylo在色誘Rey啊啊啊！！,298.23610074514045
21126,0,演员升级，故事降级，无聊透了。,6.702127270234888
19669,0,车行径你妈逼去死！杀人凶手！,82.2340642842131
38351,1,最后奔跑拥抱那里真的好感动。,10.580547782295364
29835,0,女个坏女人挺好看的，好友真真,74.77659272842651
20290,0,犯我中华者，虽远必诛其超市！,19.69958635301529
32379,1,我眼拙。不过剧情还是吸引人的。,9.151053887610612
7517,1,看哭了，我是不是自我代入太努力,10.759949969216994
47322,1,生命不止，奔跑不息。励志电影,3.1618519251292465
48159,1,全片都是彩蛋。最后两个彩蛋。,4.179299309322702
39334,0,馮小剛的電影，簡稱「尬影」。,17.002361507618634
30801,0,特效不错吧，其他没什么感觉。,4.580100719454971
48912,0,莫名其妙，演到一半变得毫无逻辑,4.218525682454405
27998,0,好玩，看完很放鬆的輕鬆喜劇。,13.852279197742892
5783,0,为了第三部放恐龙也是牛逼……,8.471038382773887
25444,1,剧情紧凑，案件逼真，很好看。,4.615056399934189
45902,0,发哥近年来也都是接的烂片子啊,19.729904270757437
41165,0,不是赵丽颖差，而是朱琳太好。,7.330635086617127
3114,0,题材不错，可惜片子真的很一般。,2.923846466982012
28516,1,披着科幻片外衣的恐怖悬疑电影,2.416603257208756
45673,0,他们都在打酱油不要冤枉甜老师,12.564903693198092
44474,0,虐杀白垃圾的感觉真的会超爽吧,26.167708607010173
2914,1,verycd上的三级太强悍了,27.01625663321562
36553,1,比我想象的好看，和妈妈一起看的,3.503085942648149
35983,0,世人久不见苍鹰，竟觉秃鹫美。,66.76211715999186
24574,1,看完了真的值得深思，很有深意。,2.9916320553609896
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,33.575394757853346
3072,0,忘了讲什么了。7分吧。看完了,7.400785364204188
43841,0,立体机动装置的镜头拍得真是丑啊,14.136836883190364
13535,1,答应我一定要去看3D的好吗？,5.520417971226219
27935,1,能吓到人的恐怖片就是好恐怖片,4.430891444235273
37463,1,“这房间里面的书都是你的了”,8.222837847368355
17012,0,傲慢自大的朝鲜人领导了此电影,6.837631839065211
