,labels,text,neg_logits,pos_logits
8711,0,[MASK]开心。病人吃啊，挂面哈拉味，汤也腥。,4.1872106,9.457882
5797,0,[MASK]开心。豆腐丝里吃出苍蝇，啥也不想说了,3.8250031,11.210213
768,1,[MASK]开心。味道很好！送的也很快！好吃！,2.7475164,11.660387
2518,1,[MASK]开心。菜品好，速度快，真是太好了！,3.214987,11.503545
7638,0,[MASK]开心。这家店就直接没送，接单不送的店,3.6708946,10.049348
6583,0,[MASK]开心。送餐太慢太慢了～菜品还可以～,3.7300873,11.656107
6692,0,"[MASK]开心。下次能送早点就好啦,快饿过劲啦",4.4549317,11.035051
484,1,"[MASK]开心。很好吃量也很大都吃不完,赞一个",2.8306158,12.09473
11295,0,[MASK]开心。下单2个小时才送到。无语了。,4.671159,11.254333
2826,1,[MASK]开心。谢谢师傅，辛苦了！非常准时！,3.0939198,10.5364485
11958,0,[MASK]开心。粉很好吃，但是订了卤蛋却没有。,3.7028375,10.484486
4074,0,"[MASK]开心。吃到一半发现菜里有小强,简直了",3.5629094,12.215062
1568,1,[MASK]开心。米饭是硬的。。不如上一次好吃,3.8632662,9.99698
10881,0,[MASK]开心。米饭里有一只蟑螂，让人怎么吃,3.0337296,11.39658
6353,0,[MASK]开心。咖喱鸡肉烩意面，不知鸡肉滋味,3.5317857,11.286115
4765,0,[MASK]开心。很慢就不说了，关键是还不好吃。,3.2780406,10.3447275
370,1,[MASK]开心。态度很好，效率很高，给十分赞,2.0739994,10.027894
11746,0,[MASK]开心。速度慢，第一次订餐就迟到，晕,4.7649345,9.402479
8159,0,[MASK]开心。送餐走错路，袋子还破了………,4.111892,10.48836
2366,1,[MASK]开心。一直买他家的香脆鸡肉披萨，喜欢,3.5265195,11.936537
866,1,"[MASK]开心。师傅辛苦了，谢谢,下雪注意安全",3.2900336,9.795116
2743,1,[MASK]开心。又快又好棒呆了哈哈哈哈哈哈哈,3.4640965,12.751726
9911,0,[MASK]开心。石锅拌饭里面吃出了塑料包装纸袋,3.5075212,11.15828
5045,0,[MASK]开心。菜品没味道。。。周也是。。。。,4.2696958,7.9000216
1563,1,[MASK]开心。又快又好又便宜！真心给力！！！,2.52085,10.946581
10234,0,[MASK]开心。面时间太长了，坨了，不好吃了,3.9812179,10.993729
29,1,"[MASK]开心。送餐非常快,态度特别好,谢谢",2.6872656,10.965128
6442,0,"[MASK]开心。太小了,味道一般,说多了都是泪",4.049607,10.3378315
467,1,[MASK]开心。送餐员辛苦，饭也好吃，继续购买,2.8960814,9.905908
58,1,"[MASK]开心。送餐特别快,送餐员态度也特别好",3.0314631,11.449841
1652,1,[MASK]开心。很快，也好，包装也好，赞赞赞,2.633566,11.472816
4529,0,[MASK]开心。味道还行，就是送餐太慢了……,3.6047356,11.023101
88,1,"[MASK]开心。又快又好,小哥态度很好,好评",2.8301566,10.666244
4524,0,"[MASK]开心。味道就那样把,盖浇饭挺难吃的",3.575073,10.6352825
3085,1,[MASK]开心。外卖小哥人超级好。。。。。。,2.7912233,11.861208
10811,0,[MASK]开心。速度挺快的，面不好吃，都凉了,3.5202851,10.91682
8052,0,"[MASK]开心。点两份鸡柳,就给送,一份。。。",2.6182318,9.467936
5562,0,[MASK]开心。太慢，太小，吃不饱。味道还行,4.4718995,9.575981
5132,0,[MASK]开心。不好吃。。。菜太少了。。。。,5.301294,8.941621
2537,1,[MASK]开心。配送非常快，10分钟就送到啦～,3.5832262,12.727101
2730,1,[MASK]开心。人好速度快，好评好评好评！！,2.5325055,9.652234
6256,0,[MASK]开心。米粉比以前份量少，没以前好了,3.5004282,10.716313
2717,1,[MASK]开心。东西非常好，还是热的，辛苦了！,2.9951572,11.427228
5791,0,[MASK]开心。给的豆皮果然多，只是肉变少了,3.8407507,11.668017
434,1,[MASK]开心。很快，很好，经常订，谢谢师傅,2.4575067,11.120034
2067,1,[MASK]开心。非常好吃，送餐很快，绝对好评,3.117289,10.926527
8096,0,[MASK]开心。就薯条还行！其他都不怎么样！,3.6402001,10.415581
1952,1,[MASK]开心。味道还好。服务态度真的很好～！,3.2708457,11.271792
6980,0,[MASK]开心。咋的跟饿了吗不一样的名，坑爹,3.4805722,10.300564
2435,1,[MASK]开心。经常买这家的饺子，味道棒棒哒！,4.0706663,12.440781
9055,0,[MASK]开心。没有在店里吃好吃，萝卜太多了,4.0869308,10.587715
1653,1,[MASK]开心。除了速度有待加强，其他都不错,2.6591067,10.276632
3654,1,[MASK]开心。没有餐具哦，还要自己点餐具么,3.3089476,11.429114
1739,1,"[MASK]开心。服务不错,但是太难吃了啊啊啊",3.2020214,10.54508
11045,0,[MASK]开心。面也太少了，才半盒，我就没吃饱,4.5542355,11.156629
2626,1,[MASK]开心。非常的正宗，就是羊杂汤太咸啦,3.3068385,11.273472
7925,0,[MASK]开心。午餐肉实在太难吃了，千万别点,4.1742163,9.226669
