,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,38.43534152994574
48250,1,爱上江西，没有理由！[哈哈],9.577624367339595
100168,0,计划赶不上变化[抓狂][泪],7.415385824108911
22319,1,芭其乐，大嘴快乐的家伙[爱你],87.83146811060902
70122,0,传统已逝??????[抓狂],24.49727983872413
6338,1,谢谢哈! 欢迎常来![鼓掌],12.911678496013936
20081,1,胖子手感好啊！[鼓掌][爱你],13.813420583867313
23064,1,生快！[干杯][蛋糕][鼓掌],26.191935431078104
84060,0,居然把我干儿子装脸盆里！[怒],46.878593620966576
93871,0,三哥总是这么的让人惊喜[晕],30.107007982234308
104161,0,此刻后：ko了... [晕],94.12664482976545
40416,1,[害羞][哈哈]@魔王1987,34.77860915367045
15376,1,随手拍祝大家周末愉快！[爱你],9.3813087715737
10199,1,是滴，美女。欢迎哦！[可爱],32.29123523311893
71224,0,偷贡品。不怕报应啊？。[衰],136.53023837355641
12238,1,[哈哈] //@独眼u:哈哈哈,25.190224058073824
77537,0,求二手智能手机。。。[抓狂],15.8852436612128
55063,1,是帮你挡酒的男的么？[嘻嘻],16.811374393747165
21548,1,原来很多国家都免签![哈哈],11.685090319949845
38076,1,百变大咖秀真的很快乐[哈哈],10.876751171437355
84198,0,[泪]//@那木错:[微风],130.6777861873963
27872,1,哈哈，强大[鼓掌][good],25.460998740355123
48051,1,眼睛一眨，美妞变辣妈！[哈哈],8.294200526290474
18029,1,祝大家十一小长假快乐[太开心],4.9132005077239365
115177,0,[泪] //@袁腾飞:[泪],19.605398359133616
114619,0,可怜的风扇[泪] 我要等正版！,27.252490078550206
64870,0,固执的大叔这场又好危险[失望],27.39406699505407
74958,0,办公室都是孩儿他娘！！！[怒],44.31037764350619
77734,0,//@地狱中的八尾猫: [衰],43.927918302092735
51580,1,财神到我手?[偷笑][鼓掌],31.921606018335286
54352,1,爱吃牛排的童鞋举个手~[爱你],8.644791705853674
8324,1,开始喽，看起来吧！！[鼓掌],15.979529850446482
106626,0,受伤，是个超级不好的消息[衰],12.178700474935818
15031,1,[哈哈][哈哈]收费大调查。。,13.313721027503385
8249,1,用美食向大家说早安~[嘻嘻],15.009640179912255
59782,0,愚人节的游戏，银行也玩呀[衰],17.14174337888592
110113,0,[衰]弄破了，基本上不会复原！,17.393633805991826
11405,1,哈，回忆录写到哪了？[嘻嘻],14.822185399315547
81138,0,书人搬家，其实就是搬书[晕],29.622804116268075
14831,1,《时尚旅游》也玩街拍了[哈哈],9.6689353245701
51446,1,阿姨做的菜相当好吃呢[爱你],8.801036205731537
73965,0,Facebook 还在跌[晕],190.12764168458335
101129,0,[抓狂] 你是在哪里腐败~~~,20.577280343921906
104892,0,男人动手…[怒][怒][怒],15.243002636543135
66040,0,我在这里：#闸北区#吃饭[泪],34.008083183141956
87632,0,难得休息的，竟然感冒了[泪],11.181933660598464
96063,0,知道得太晚了，遗憾！[失望],6.776322998642713
81716,0,社会败坏的典型!?救了[衰],46.702720402622276
92195,0,姐，我给你跪下了，这才气[晕],26.425663673229074
95696,0,[泪]同意，让他们变成海豹!!,17.78673738632766
19351,1,//@好色小湿妹: [哈哈],46.35287817745654
41680,1,我觉得总结的很好，喜欢[鼓掌],5.27800243998491
21865,1,斯坦福正门左侧草坪。[嘻嘻],11.567010618850315
