,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,21.17892031560251
7598,1,手机质量很好哎，就是没有送礼品,15.949154141950949
43849,0,有差异的产品，下次不会选购了,16.77596241704667
10361,0,东西搭配了一堆没用的，给差评,7.558653289295874
3099,1,一般般 会有卡顿 看电影还行,53.958209924743436
28438,1,不错很满意，物流小哥很给力。,17.6297395931204
34577,0,京东的配送就这样吗？真是失望,19.188767845178305
12015,0,非常不满意，大型游戏根本玩不了,2.757595990905599
31819,0,垃圾京东，收钱不发货，趁早倒闭,14.943314646903758
42623,1,衣服面料很舒服，柔软，大小合适,13.321403354266494
43428,0,哎与图片差距太大真心接受不了,59.27231980991843
38964,1,面料很好，款式时尚 穿上很舒服,19.210119970624522
32231,0,洗发水不正宗的，洗完头皮屑很多,34.99933756478062
17545,1,京东商城的商品实惠，继续支持！,5.876505274802598
36576,1,蒙牛出香蕉奶啦 味道还不错哦,80.13348649860231
6653,1,快递速度很快，平板用了还不错。,13.425113749168425
39896,1,大小合适，有弹力，辉常满意！,24.021712825414387
38971,1,刚收到货，很好，物超所值！！,35.05397819665782
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,20.85615595730462
29583,1,超值值得购买！便宜实惠真的很好,14.160729439012947
12956,0,不咋好，显示不清楚，想贴膜的,36.50605994898585
31712,0,不好，这么贵还不好，我也是醉了,23.118568560689244
31680,0,啥时候到啊下单好几天了还没到?,60.70262283898072
60362,0,很一般，价格不高，但设备差！,11.203763222769965
45785,0,没穿几次就破2个洞，做工不好。,57.5412674910641
30820,0,被坑了，不好用，只能给一星?,46.1899834691034
10933,0,送货师傅不错，平板质量一般般,28.2776828340164
40218,1,穿上很舒服，面料不错，蛮好的,34.37757829068692
36597,1,蒙牛滴。。。口感醇厚，不错～,159.85963304167288
47403,0,衣服不行 ！！！ 快递也不给力,95.35904730190423
42213,1,质量好，做工精细。非常满意！,4.4038142435901895
31785,0,不好用，味道太浓，不适合男人,12.50246392468006
46015,0,质量没有想像的那么好，不要上当,4.664654199580467
42170,1,款式新颖，又合身，孩子很喜欢,7.445925276119023
43150,0,欺骗消费者！！！严重不符！！！,8.780255813017577
45415,0,商品没图上的好看，面料也不多好,55.641908220000445
30230,1,价格实惠，服务好，东西不错。,2.645055744757572
47927,0,没收到商品，一个月了，差劲。,18.862905653543255
30018,1,好，不错，得蛮多的，划算，喜欢,37.993601240719535
26817,1,到货好快。服务好！东西满意！,6.861122984699003
5006,1,手机不错，屏大清晰，速度快。,10.433141206309662
44936,0,洗了掉色特严重，很硬，还没穿,132.46678359295518
16856,1,还味吃，现在觉得苹果越来越甜了,25.760005782337736
