,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,26.538153814560815
37994,1,局气！规矩！管虎导了俩影帝了！,841.1062187877716
45474,0,前半段真好看，后半段越来越萎,10.264029622996608
37018,0,前面的剧情看得我尴尬癌都犯了,16.504905229633557
39152,0,混乱的情节，特么矫情无下限。,18.026331621635833
4952,0,适合能静得下心和有故事的人。,9.24611367037289
49922,1,最是人间留不住朱颜辞镜花辞树,309.88383961003495
18895,1,超级治愈又感人，狗狗真的好暖心,10.684440386999634
16855,0,密室设定很有意思，可惜未能维持,18.75049346703369
33344,1,原来巴萨的德国馆还有这个用处,91.17639493132344
43014,1,丫丫真的太美了，前夫哥好可爱,28.68955062415399
30945,0,烂的一逼，啥都没有，狗屁不通。,15.726682961954038
11202,1,这个玛丽苏我喜欢很好看求续集,82.3098882451441
43097,1,看了点映，好多戳中我泪点??,136.42691380814745
7229,0,郑恺和郭采洁还挺有cp感的。,49.15371551754772
46824,0,民乐要靠二次元来拯救了嘛……,44.30002838965022
44791,1,反正我追完了，为了女主的颜值,18.53829780135883
40750,0,我朋友说，她尴尬得想原地去世。,27.148171789035107
24357,0,今年作品太多了，有点透支了。,7.512824808658421
12065,0,我是真的觉得孙悟空的扮相太丑了,9.39611568548186
44782,1,还可以吧……感觉题材还算新颖,5.074219262730883
11314,0,看完情圣来评评这部这部比情圣好,39.10420946535283
19047,1,它令我想起曾经怦然心动的轻吻,12.253560588765323
45899,0,发哥抄着烂片专业户就去了。。。,224.14419112358374
14214,0,第一集演得什么玩意儿，尴尬死了,11.956754107688552
31414,1,热热闹闹的，看得我好开心啊。,5.747621743087472
25276,0,煽情煽成了MV，大家都笑了。,23.775915426671215
47776,1,最喜欢的科幻故事，很成功的改编,5.67548503729724
45012,1,还算可以哦，故事讲的挺精彩！,19.175059620830282
49786,0,被黑天鹅惊艳到了！美轮美奂！,15.313076453018526
11029,0,到底在演什麼啊？？大爛片！！！,41.55433981125612
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,12.490564332974541
3121,1,你无车无楼无番狗做乜要拖我手,393.3951616356009
9512,0,最弱版劳拉了吧？太弱了太无聊了,117.24336306608217
15976,0,重拍经典，孩子对恐惧的克服。,11.70242639802466
26862,1,太好看了！笑得我内分泌失调！,23.15696137151043
30395,0,本来两星，加一星给受罪的演员吧,50.52258282254887
22972,0,《星际特工：全宇宙看我们尬爱》,35.66904119344873
30570,0,特效不错啊，但剧情就大简单了,25.222890994044803
20588,0,气氛到位，演员不存，故事简单！,29.033749290542456
13869,0,看的点映，形式“精致”的大烂片,91.60045172867737
24216,1,最后居然没搞你们还是人吗？？？,35.44495404390973
32991,0,平淡真实不温不火我没懂哭点在哪,106.88503993478535
1732,1,其实伍迪哈里森演的是一个天使,26.914524693239798
4472,1,陈可辛拍商业文艺片真的不错~~,18.69460030364423
33439,0,泡泡妹子打打架，兄弟情在哪？,45.79817399081415
11847,0,一部非常尬的电影。不推荐观看。,5.360932561731799
16369,0,张艺谋式的漂亮画面，何必3D。,30.42318302815314
31321,0,"我不信你们没东西怼地雷啊=""=",73.38463803630681
18949,1,少男少女必看，爱与美的启蒙。,14.412276485287455
32102,1,迪斯尼的动画很赞，配乐很好听！,36.721200391555264
9630,1,喜欢坎妹素颜的劳拉，期待后续。,89.49520097279581
1571,1,演小安生的小朋友很像岳云鹏啊。,79.61704692705172
38226,1,你猜不到的结局…猜不到的惊异…,15.01168116801319
17406,0,卡尔文老师不是触手，是海蜇皮啊,61.03856688461726
24554,1,我不会说情话，只知道陪着你。,4.65989853805661
6181,1,腕龙站在码头哀嚎的场景太泪目了,79.82801231061481
6583,0,比较难看的伪记录僵尸片...,18.749282758942318
6224,0,cctv6盛产类似的古装片……,52.757176956535076
39086,0,打一星以上的人都是咋想的！！！,42.587040379719376
14019,0,好吧，为了阿姨们的搏命演出。,14.748275421245618
10409,0,勉强合格。觉得周冬雨有点厉害。,13.788051199986601
24108,0,Highlyoverrated,895.7657812427161
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,200.08680664196362
6067,1,妈的吓死我了叫得我嗓子都哑了,110.20808742928358
9505,0,寻父，遇彦祖。掘墓，炸病毒。,95.2200443973091
41265,0,嗯电影院椅子挺舒服，睡得挺好,29.376266519646524
48553,1,Pixar真的没有让我失望过。,9.14253057332614
24690,1,看完只想把所有好东西都给它……,11.355419008529722
6635,1,我给你四星，反正我就是胆小。,8.477004772261449
4338,1,除了人贩子，所有人都是受害者,6.409632322976569
25535,1,逃离已知世界的勇气令人敬佩。,8.78836948227153
17716,1,老一套温情，稍稍让我有点麻木,38.78930098459397
47637,0,我特么就想知道那句中文是什么,9.564362893664887
8508,1,好看！但是最后那关不过瘾???,47.751453560658945
23534,1,谁能拒绝穿护士服的余春娇呢？,27.68438945370396
26207,0,太恶心了~不要看~建议哈···,27.626760759194514
28591,0,主角明明是章鱼，你叫潜艇总动员,19.994488634895575
19643,0,没看。但是五星水军太恶心了。,45.28464715606907
31415,1,爽着爽着导演就给你喂了一口屎,32.49675420755612
2047,0,好的地方都是老舍的。★★★☆,116.02524179980404
9358,0,感觉在铁匠铺呆了一宿。。。。,15.141109952434794
27611,1,勇敢、努力、坚强的女孩都是公主,13.8571470022844
24947,0,埃德加赖特的GTA6？太屎了,1263.434724320759
24137,0,小哥有精神洁癖呀，这点好赞。,39.23865410530831
18739,1,永远不要忘记你所爱的人，感动,7.274519165785685
26928,0,把所有人都拍这么难看太不容易了,8.923509991372597
