,labels,text
44119,1,最后一段居然是说教，画蛇添足
48317,1,你凝视你的脸，几亿人在爱恋。
33823,0,华丽的屎，小黄人周边广告集锦。
42290,0,称之为杰作？肉体消费和自我迷醉
8754,1,女性的细腻。赞婚纱店那场戏。
18159,0,比李易峰的演技更尬的是他的台词
20636,1,这个暗喻西方育种学里，保留纯种
23269,1,以后三体拍成这个水平就可以了。
43431,0,赵大叔的温情戏确实这次差了点。
28593,0,从来没有看过这么难看的动画片
12416,1,大话西游是一代人心中的经典.
49830,1,挡在你面前的人，只有你自己。
29170,1,好的电影是日常与不可知的交汇。
37890,0,马丽艳光四射，超越了女星的美。
20828,1,传统的剧情可是最后居然被感动了
10787,0,这个名字应该叫神奇四侠。。。。
7126,0,只配被评论烂到极点四个字……
13988,0,好像是花几百块钱拍出来的电影。
5638,0,故事发展有点弱了，演员都不错。
16716,1,太好看了吧，电影真是造梦机。
40355,0,哇5，这午间电影看得头昏脑胀的
18506,0,亚裔小哥roommate好可怜
3679,0,有负分的话就打负分了，就酱！
32193,1,搞笑够疯狂黄渤从这电影里出来
27256,1,那爱情的绮丽，总是在孤单里。
39054,1,还好。在世的时候也被人深爱着。
29906,0,很无聊，很脑残，很......
15821,1,特别好看，画面美剧情也有趣。
19357,1,投资人请看电影打五分哈哈哈哈
21782,1,逃离的，是战场。家，才是一切。
47815,0,这片除了在拿种族问题说事还有啥
5777,0,作逼龙奴如同失心疯爱狗人士。
