,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,195.9755809907788
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,17.178856900136005
768,1,味道很好！送的也很快！好吃！,4.111438388654569
2518,1,菜品好，速度快，真是太好了！,5.921824284576527
7638,0,这家店就直接没送，接单不送的店,46.31803638773476
6583,0,送餐太慢太慢了～菜品还可以～,5.707959300317509
6692,0,"下次能送早点就好啦,快饿过劲啦",83.244333369244
484,1,"很好吃量也很大都吃不完,赞一个",18.681704306926463
11295,0,下单2个小时才送到。无语了。,13.00076318014956
2826,1,谢谢师傅，辛苦了！非常准时！,4.0190212348557806
11958,0,粉很好吃，但是订了卤蛋却没有。,54.66164825383493
4074,0,"吃到一半发现菜里有小强,简直了",19.87032994656561
1568,1,米饭是硬的。。不如上一次好吃,32.86866473083483
10881,0,米饭里有一只蟑螂，让人怎么吃,8.435045122889022
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,9.895980790691404
4765,0,很慢就不说了，关键是还不好吃。,24.482585019030456
370,1,态度很好，效率很高，给十分赞,8.208106050763703
11746,0,速度慢，第一次订餐就迟到，晕,17.80889913761974
8159,0,送餐走错路，袋子还破了………,20.137456390169152
2366,1,一直买他家的香脆鸡肉披萨，喜欢,7.815034256444308
866,1,"师傅辛苦了，谢谢,下雪注意安全",8.892275700746206
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,13.99464692225525
9911,0,石锅拌饭里面吃出了塑料包装纸袋,52.98812082172512
5045,0,菜品没味道。。。周也是。。。。,37.536731328237344
1563,1,又快又好又便宜！真心给力！！！,6.864298090361302
10234,0,面时间太长了，坨了，不好吃了,17.09752445874925
29,1,"送餐非常快,态度特别好,谢谢",4.830726407391513
6442,0,"太小了,味道一般,说多了都是泪",5.1920179084216755
467,1,送餐员辛苦，饭也好吃，继续购买,7.201784828252727
58,1,"送餐特别快,送餐员态度也特别好",5.02105153966215
1652,1,很快，也好，包装也好，赞赞赞,16.704327963016798
4529,0,味道还行，就是送餐太慢了……,3.755403680955303
88,1,"又快又好,小哥态度很好,好评",10.83814933182914
4524,0,"味道就那样把,盖浇饭挺难吃的",62.42410443196746
3085,1,外卖小哥人超级好。。。。。。,7.907776010297413
10811,0,速度挺快的，面不好吃，都凉了,16.628529556970204
8052,0,"点两份鸡柳,就给送,一份。。。",131.57001874568817
5562,0,太慢，太小，吃不饱。味道还行,9.52049763866983
5132,0,不好吃。。。菜太少了。。。。,9.749342209625533
2537,1,配送非常快，10分钟就送到啦～,5.1629924395287095
2730,1,人好速度快，好评好评好评！！,17.79203561587041
6256,0,米粉比以前份量少，没以前好了,14.319605280732421
2717,1,东西非常好，还是热的，辛苦了！,5.785560305829253
5791,0,给的豆皮果然多，只是肉变少了,40.756639626209726
434,1,很快，很好，经常订，谢谢师傅,9.054239794286193
2067,1,非常好吃，送餐很快，绝对好评,5.042223675092798
8096,0,就薯条还行！其他都不怎么样！,12.03824261347661
1952,1,味道还好。服务态度真的很好～！,9.050701366995002
6980,0,咋的跟饿了吗不一样的名，坑爹,83.4523796251032
2435,1,经常买这家的饺子，味道棒棒哒！,6.8132304303038875
9055,0,没有在店里吃好吃，萝卜太多了,9.297246113036165
1653,1,除了速度有待加强，其他都不错,3.763476562359253
3654,1,没有餐具哦，还要自己点餐具么,37.44459161022065
1739,1,"服务不错,但是太难吃了啊啊啊",6.441005061736803
11045,0,面也太少了，才半盒，我就没吃饱,23.529891965040317
2626,1,非常的正宗，就是羊杂汤太咸啦,14.785229931134051
7925,0,午餐肉实在太难吃了，千万别点,6.659749146778713
5910,0,真的不适合外卖，另外，真难吃,8.049707504040315
11336,0,我的电话打不通，不知道为什么,4.135135379796784
809,1,很好，速度飞快，炸鸡有点火大,26.701356949563106
661,1,太快了！！简直是神速啊！！！,5.410712925939837
396,1,"第二次买了,挺好的,以后继续",4.753065230310581
5702,0,我备注要的粥，结果送来的是饮料,48.52772951866535
10859,0,赠送的黄飞红花生呢？没送啊！！,156.83160075399664
280,1,非常好送的很快，，，还是热的。,15.349645126257235
184,1,好好好！赞赞赞！态度好速度快！,4.491509156768416
2289,1,味道很好而且很实惠送得也很快,3.9038008932843358
4775,0,包装牛逼，送餐速度……咳咳……,6.833256836471894
2711,1,"番茄醬撒了QAQ,其他nice",243.55307397060236
854,1,"粥里有头发,就没吃,剩下都好吃",34.60619782477966
5116,0,太慢了，俩小时连个解释也没有,12.450320562334463
2377,1,速度挺快的东西也挺好的给赞~,12.490620306293192
4429,0,肥肉太多吃的时候还把嘴唇拿破了,8.588811822537943
11423,0,饭菜都凉的，一个多小时才送来,17.685411717414286
7151,0,地三鲜，茄子里面有很多是生的,13.049437942345628
901,1,我吃出来一个钢丝球上的一个丝,34.42692511485595
5808,0,不好吃，包子还不熟，都硬邦邦的,13.687238377964094
2679,1,味道好，包装好，送餐及时，不错,5.311399341919123
11060,0,差评，退款太慢！我说的是百度！,15.494091974032443
10479,0,"送错了,打电话要求补送也不送",48.40669288226144
8079,0,送的时间太晚了，一个小时才送来,6.905895298064392
4617,0,送餐很慢，饿死了，味道很一般,7.0368914347780995
2406,1,挺好的，速度也不错，以后还来,7.898340645167026
2682,1,大叔特别面善！饭食用料很好！,20.776345085262093
2442,1,大冷天的百度骑士真是辛苦了～,26.94180714186561
963,1,肉很多，味道不错，配送也很快,8.10741498503931
3617,1,饭菜香质量好，服务好，送饭快。,13.147809810095524
10792,0,一单元和二单元分不清...麻烦,4.371006029860173
2821,1,送餐快，阿田大虾一如既往的好吃,29.24357465942552
2108,1,菜挺多饭挺多就是牛肉丝质量一般,8.264317724397898
