,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,11.121937054433037
37994,1,局气！规矩！管虎导了俩影帝了！,188.4865026986573
45474,0,前半段真好看，后半段越来越萎,5.3952511657868465
37018,0,前面的剧情看得我尴尬癌都犯了,3.4286908971877446
39152,0,混乱的情节，特么矫情无下限。,11.313089495111013
4952,0,适合能静得下心和有故事的人。,4.269706350304229
49922,1,最是人间留不住朱颜辞镜花辞树,120.30245955029466
18895,1,超级治愈又感人，狗狗真的好暖心,4.1443639844047375
16855,0,密室设定很有意思，可惜未能维持,8.805416644719118
33344,1,原来巴萨的德国馆还有这个用处,9.447009144141655
43014,1,丫丫真的太美了，前夫哥好可爱,8.08326436246669
30945,0,烂的一逼，啥都没有，狗屁不通。,10.702069327701013
11202,1,这个玛丽苏我喜欢很好看求续集,18.898544377395766
43097,1,看了点映，好多戳中我泪点??,9.200034109779534
7229,0,郑恺和郭采洁还挺有cp感的。,8.636839164875806
46824,0,民乐要靠二次元来拯救了嘛……,21.258736062863573
44791,1,反正我追完了，为了女主的颜值,6.152292524725834
40750,0,我朋友说，她尴尬得想原地去世。,51.92416390038638
24357,0,今年作品太多了，有点透支了。,5.957784531366045
12065,0,我是真的觉得孙悟空的扮相太丑了,2.8928702763964327
44782,1,还可以吧……感觉题材还算新颖,4.459770715800755
11314,0,看完情圣来评评这部这部比情圣好,3.3192977157875823
19047,1,它令我想起曾经怦然心动的轻吻,5.4994106724939975
45899,0,发哥抄着烂片专业户就去了。。。,135.3262605349328
14214,0,第一集演得什么玩意儿，尴尬死了,7.647911391545339
31414,1,热热闹闹的，看得我好开心啊。,4.449834154645111
25276,0,煽情煽成了MV，大家都笑了。,29.184350691531183
47776,1,最喜欢的科幻故事，很成功的改编,2.348988757391162
45012,1,还算可以哦，故事讲的挺精彩！,5.701558140279474
49786,0,被黑天鹅惊艳到了！美轮美奂！,2.679987022027891
11029,0,到底在演什麼啊？？大爛片！！！,44.96952110902107
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,3.023181694791556
3121,1,你无车无楼无番狗做乜要拖我手,146.64472053053404
9512,0,最弱版劳拉了吧？太弱了太无聊了,19.59304932962853
15976,0,重拍经典，孩子对恐惧的克服。,6.6385424426463056
26862,1,太好看了！笑得我内分泌失调！,3.7770576478462745
30395,0,本来两星，加一星给受罪的演员吧,12.423466180555101
22972,0,《星际特工：全宇宙看我们尬爱》,34.78134176692931
30570,0,特效不错啊，但剧情就大简单了,6.920932418343095
20588,0,气氛到位，演员不存，故事简单！,5.109008984049594
13869,0,看的点映，形式“精致”的大烂片,41.49556497169077
24216,1,最后居然没搞你们还是人吗？？？,12.844362543503083
32991,0,平淡真实不温不火我没懂哭点在哪,16.41480489771465
1732,1,其实伍迪哈里森演的是一个天使,11.161296417049098
4472,1,陈可辛拍商业文艺片真的不错~~,4.702414699163797
33439,0,泡泡妹子打打架，兄弟情在哪？,20.004806366261025
11847,0,一部非常尬的电影。不推荐观看。,7.562969110762344
16369,0,张艺谋式的漂亮画面，何必3D。,15.701822515955984
31321,0,"我不信你们没东西怼地雷啊=""=",47.3677465411498
18949,1,少男少女必看，爱与美的启蒙。,5.150511574245571
32102,1,迪斯尼的动画很赞，配乐很好听！,3.6391158784278326
9630,1,喜欢坎妹素颜的劳拉，期待后续。,41.980811842302394
1571,1,演小安生的小朋友很像岳云鹏啊。,20.14726108405765
38226,1,你猜不到的结局…猜不到的惊异…,6.286464165116487
17406,0,卡尔文老师不是触手，是海蜇皮啊,35.36178826151617
24554,1,我不会说情话，只知道陪着你。,3.7643949871911992
6181,1,腕龙站在码头哀嚎的场景太泪目了,59.17732282674277
6583,0,比较难看的伪记录僵尸片...,12.141670155030859
6224,0,cctv6盛产类似的古装片……,20.2200694869682
39086,0,打一星以上的人都是咋想的！！！,19.452799908414022
14019,0,好吧，为了阿姨们的搏命演出。,21.00154783448314
10409,0,勉强合格。觉得周冬雨有点厉害。,4.4211096238835585
24108,0,Highlyoverrated,253.61164557723234
21295,0,干了这碗毒鸡汤，来世不见张嘉佳,37.20691586810111
6067,1,妈的吓死我了叫得我嗓子都哑了,11.004887141507163
9505,0,寻父，遇彦祖。掘墓，炸病毒。,59.99141178454866
41265,0,嗯电影院椅子挺舒服，睡得挺好,11.659143704465686
48553,1,Pixar真的没有让我失望过。,8.053519057217509
24690,1,看完只想把所有好东西都给它……,3.6203639290020813
6635,1,我给你四星，反正我就是胆小。,9.151559866144355
4338,1,除了人贩子，所有人都是受害者,4.263169382813522
25535,1,逃离已知世界的勇气令人敬佩。,3.647631579514507
17716,1,老一套温情，稍稍让我有点麻木,15.206058771870284
47637,0,我特么就想知道那句中文是什么,5.495291228921141
8508,1,好看！但是最后那关不过瘾???,4.666018491399506
23534,1,谁能拒绝穿护士服的余春娇呢？,12.150223443616698
26207,0,太恶心了~不要看~建议哈···,7.495794086115356
28591,0,主角明明是章鱼，你叫潜艇总动员,12.840065613163127
19643,0,没看。但是五星水军太恶心了。,21.94410850687961
31415,1,爽着爽着导演就给你喂了一口屎,6.571781582623877
2047,0,好的地方都是老舍的。★★★☆,78.18787295338923
9358,0,感觉在铁匠铺呆了一宿。。。。,9.83780780452405
27611,1,勇敢、努力、坚强的女孩都是公主,3.3545510886119105
24947,0,埃德加赖特的GTA6？太屎了,136.16503727838477
24137,0,小哥有精神洁癖呀，这点好赞。,9.830668054620006
18739,1,永远不要忘记你所爱的人，感动,4.4237384698604325
26928,0,把所有人都拍这么难看太不容易了,4.116015133962269
15616,1,就想知道睡觉打呼噜的人怎么办,3.552590355303309
49084,1,能把蒜皮当雪花的姑娘你真好。,12.374738360642475
46654,0,我没想到加分项竟然是景甜老师。,10.688498435712164
31054,0,交通安全宣传片，情感关系咨询片,3.7188781921700724
22682,1,Kylo在色誘Rey啊啊啊！！,339.5555953410289
21126,0,演员升级，故事降级，无聊透了。,7.564194640529105
19669,0,车行径你妈逼去死！杀人凶手！,103.89034237114434
38351,1,最后奔跑拥抱那里真的好感动。,12.62988037784415
29835,0,女个坏女人挺好看的，好友真真,70.25688594107959
20290,0,犯我中华者，虽远必诛其超市！,21.565632961464644
32379,1,我眼拙。不过剧情还是吸引人的。,10.316089737530064
7517,1,看哭了，我是不是自我代入太努力,16.441446535694766
47322,1,生命不止，奔跑不息。励志电影,3.6246828225560734
48159,1,全片都是彩蛋。最后两个彩蛋。,4.273965123401095
39334,0,馮小剛的電影，簡稱「尬影」。,15.85002228224338
30801,0,特效不错吧，其他没什么感觉。,5.113202296194707
48912,0,莫名其妙，演到一半变得毫无逻辑,4.524193131532489
27998,0,好玩，看完很放鬆的輕鬆喜劇。,17.477760986991157
5783,0,为了第三部放恐龙也是牛逼……,9.039681978747181
25444,1,剧情紧凑，案件逼真，很好看。,4.37161570474018
45902,0,发哥近年来也都是接的烂片子啊,22.005535900121515
41165,0,不是赵丽颖差，而是朱琳太好。,9.703531940470516
3114,0,题材不错，可惜片子真的很一般。,3.102884090902234
28516,1,披着科幻片外衣的恐怖悬疑电影,2.91339693807764
45673,0,他们都在打酱油不要冤枉甜老师,31.529714085826612
44474,0,虐杀白垃圾的感觉真的会超爽吧,30.98554824683103
2914,1,verycd上的三级太强悍了,30.165769464385914
36553,1,比我想象的好看，和妈妈一起看的,3.350863349488647
35983,0,世人久不见苍鹰，竟觉秃鹫美。,118.41535036470378
24574,1,看完了真的值得深思，很有深意。,2.940557935114589
16765,1,赞美可爱善良孝顺的帕丁顿熊！！,32.479576118131
3072,0,忘了讲什么了。7分吧。看完了,7.900948908483384
43841,0,立体机动装置的镜头拍得真是丑啊,13.554114966300062
13535,1,答应我一定要去看3D的好吗？,7.136533392046503
27935,1,能吓到人的恐怖片就是好恐怖片,5.01945631551356
37463,1,“这房间里面的书都是你的了”,9.53415959520517
17012,0,傲慢自大的朝鲜人领导了此电影,8.49728671037075
50167,0,下錯片來看了，這片看著噁心。,42.10581787923511
25900,0,把功夫都用在P超人的胡子上了,11.994981488587355
43522,1,我不管反正我看哭了我要给五星,13.17211457933419
14127,0,梦蝶的发型是模仿鲶鱼设计的吗？,7.931136349292644
40591,1,“你出得了海，你上得了岸吗？”,5.71674312874997
23780,1,绝望感，徒劳感一点点地蔓延。,14.689380304822201
33622,0,哇，大咖云集的大烂片。。。。,11.40161541045726
6131,1,真正的大片，真正的视觉盛宴。,3.369466115187303
49046,1,仗义每多屠狗辈，负心总是读书人,112.07739800129784
23480,1,你爱我我爱你你变成我我变成你,3.92589510935694
30778,0,只是猩猩版的胜利大逃亡或者越狱,21.859305564684597
26793,1,休闲娱乐的一部童话故事片子。,3.0939411369114227
47988,1,尊重与认同，是靠实力争取来的,5.110847835995198
7844,0,最后还逼着看了场广场舞好尴尬啊,7.661354331207649
16611,1,休格兰特荣升英国周润发宝座【,61.52564623880347
7068,1,最后怎么突然就玄幻起来了？！,20.18582695774767
33251,1,反转反转大反转，值得好好用心看,6.232736843491843
34533,0,三星半吧。女主挺美。剧情太扯。,16.246244481806073
41274,0,我不懂林志玲存在的意义是什么,2.95751103720645
2571,1,我还蛮喜欢的vintage耶,13.091995802118475
7017,0,视听成熟，剧作幼稚，表演出色。,9.76152345300342
33663,0,渣看首映看的睡着为中国电影难过,31.230067399252903
41653,0,这是东野圭吾被黑得最惨的一次,3.036193253244739
25798,1,挺好看干嘛取这么一个傻中文名。,13.215421032540224
37930,0,其实很一般，老流氓逝去的青春,8.861280905652182
41139,1,称得上是国漫精品了。继续努力。,5.839125746905447
44855,0,一把年纪还在拍动作片也是心疼…,7.046870662989986
6199,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1.9652846762191631
23669,1,人性的丑陋，不敢看透的人心。,7.895684065900398
40921,1,我相信，看粤语效果会好很多。,6.954897519813878
5358,0,我怎么就这么讨厌这部电影呢？,2.4887828526631317
31300,0,合格爆米花大片附加價值觀輸出,91.7457970023157
47443,1,故事不是关键，弥漫的氛围完胜。,7.986544427901855
19329,1,一生筚路成天地，半恨亲仇错缘君,463.1949740280049
30647,1,还行，大猩猩很酷xxoo都懂,43.33163114659978
20601,0,禁闭自己的永远都是内心的魔障,15.371892430883618
27721,1,视觉效果，故事和音乐都值五星。,7.743334092683151
14381,0,演技在线，剧情太狗血，已弃剧。,4.5288735733051455
29587,0,看到同性恋题材，就忍不住给一星,7.001827756797078
48737,0,歌舞剧，唱唱跳跳还是不错的。,6.276056641420945
50409,0,工业合格，但就没有一个点戳到我,20.681169525133097
1758,1,我和我边上的大叔一直在抹眼泪,10.313215797544427
23547,1,坚持住十分钟影院并没有放错片,14.687038282610667
27665,1,迪斯尼已经掌握了套路的水龙头,18.06622812565216
39726,0,汤姆汉克斯总能逮到机会跑两步,17.635741669494774
8664,0,好看是好看，但是不值那么高分,6.414728807914413
2319,0,恕我愚昧，不太懂讲了些什么。。,8.713604275479506
4770,1,真的是开怀大笑。还不被灌鸡汤,11.243618303594697
34765,0,呵呵，挑了这对侠侣可够XIA,88.77099450628171
43012,1,丫丫的美看着舒服，还是值得的,6.27126466748954
35486,1,尺度真大…超过好莱坞了…我喜欢,6.319724943467259
46075,1,依旧霸气四射，最后的自杀是败笔,10.454553498223582
5106,1,好爱这个导演，可爱的老头么么哒,7.708915871315053
27913,0,还行吧，杀杀时间还是没问题的。,8.499738794066586
32931,1,最近看的一部电影……哈哈哈哈哈,3.07400171537281
19843,0,这片名，也是醉了，剧情也一般,10.31711991705299
40765,0,烂死了的片子，完全没有演技可言,5.442227411421288
27377,1,"Youjump,Ijump.",24.144075849643162
15068,0,在云山这一大段剧情，太作了。,36.46332506424746
10327,0,不就一国产玛丽苏么有几把个甜,107.06582806892393
47218,1,那个时候的小汤哥真帅！演技惊艳,4.673631495614489
7838,0,把李治廷当成王力宏从头看到尾,8.407891726250398
33992,1,告诉我有多少人只是来看小黄人的,5.34059104236773
15138,1,百合小姐姐颜值巅峰，温柔似水。,6.262300628280543
22189,0,高考思想，中考提纲，小学情怀,15.149047212406321
27336,1,撸辣么多次的片居然没打分...,27.40432059466821
30785,0,感觉人类小女孩就是个摆设……,5.940157407298197
34175,0,前面做的很认真中间拖了点烂尾,7.95274005421398
45959,0,一颗心给玉木宏另一颗心给苏有朋,46.867114609425215
8987,1,作为一个媒体人真的是热泪盈眶。,2.422688873305313
13193,1,好吧老贼，这次算被你煽到了…,34.85708337562258
6728,0,怎么笑？爆笑的都是什么人啊？,8.18732942369445
44702,0,我承认我只是想看热巴....,7.816842275365543
34149,0,现在的香港喜剧，是比谁更烂吗？,13.084734399749411
31158,1,在瑞恩面前，没有理智的评分。,13.046216417471774
38384,1,经典到不知道用什么言语来评价它,4.142539567877204
50202,0,可以排进我看过的最烂电影前三。,4.2453236853248955
36073,1,又名《这世间女子都不爱沈炼》,22.27608587708227
34034,1,可爱到爆的啦！全片脑内布兰妮！,73.93095619625917
22472,0,没有男主，防守作战，意思不大。,14.48579284773143
2174,1,范伟演的好，和耳朵大有福一样。,38.77830323040269
43765,0,看了五分钟决定来打完分走人……,17.137553761962803
50312,1,BlackDahlia·山寨货,129.85326828255603
39261,1,你觉得我的小么？我也没见过大的,7.463562757464447
33361,1,整个看到鸡皮疙瘩大起，爱死了。,18.501378547604535
36345,1,为了陈导，破例为国产片打高分！,19.32463652242581
17282,1,两只法鲨傍地走安能辨我是攻受,889.4056618362093
43364,0,要不是冲着文章那三字一星都不给,33.20050532620969
26682,0,所以这套兔子都什么混蛋三观？,34.804555006982525
18612,1,发现讨论区很多智商很低的人耶。,8.117088065000345
24974,0,不过不失，后半段剧情有点失控了,10.51236978393149
20834,1,看颜值，看服装，剧情可以忽略。,3.206023907277328
25404,0,女主人设太太太太讨人厌了弃了,21.017859447176207
18847,1,我认识的人越多，我就越喜欢狗。,4.667285162449912
30884,1,温情又悲壮，感人且充满力量。,6.938602430727842
47411,1,众多大牌呢。。。你看看都有谁。,14.162553052324542
10920,0,第3颗星给黄秋生。。。哎。。。,51.65477571240385
6817,0,恩，这片子应该叫《中二接盘侠》,7.401686548069895
14610,0,英文片尾曲响起的时候我报警了,6.91967674314513
12211,1,情爱是一个永远说不完的话题。,4.755184849744362
18881,1,看的时候哭成狗，心痛的不行。,3.7736580281105367
20568,0,女主颜值加一颗星，故事本身无聊,5.009824764932269
3918,0,等我被求婚的时候我也要烟花?,25.715424070761806
26664,0,兔子一点都不可爱，简直想掐死,5.488714052046897
18969,1,懵懂的才是这个世界最好的。。。,7.617766927371644
10748,1,这他妈才是黑处有什么喔，牛逼,60.47109013424021
25057,1,与其他故事有借鉴，原声加一个星,23.71867305296244
14380,0,曾经的女神现在演这种狗血剧了,6.376747339080718
11114,0,开始看就希望快点结束的电影。,4.796385442858709
2418,0,太蠢了，不能把侦探一起干掉？？,56.11816758097541
46843,1,【用尽我的一切奔向你】-周笔畅,5.348363769839356
2436,0,翻拍片，但质量实在是太低了。,9.976496767075707
17791,1,我相信上帝为我开了很多扇窗。,2.9021262566435495
20706,0,郑爽整容后，每个表情都好奇怪,3.509927739894748
32882,0,其实不错但作为盲系列感觉……,11.266550388277595
25159,0,各种土。居然林志颖都没帅起来,15.579754800497724
32233,1,那时小的看这片还有些智力困难,22.422976928251433
27089,0,很久没有看到这么恶心的电影了,3.7794818029977604
46059,0,悬疑不够，刺激不够，精彩不够,2.2086415857330204
4054,0,霸道总裁人人爱！好看！我喜欢！,3.0437148188069094
10830,0,幸好是下载看的，不知所云的电影,22.7614225351632
34018,1,萌萌哒，你在这里，不离不弃……,3.0725048667531896
25438,1,2018第一部让我追到天亮的剧,20.789554919909342
28379,0,newagebullshit,760.3395305924247
30297,0,情节过于牵强，动作又有些混乱。,5.592131036175629
32033,1,希望自己也能像朱迪一样吧……,5.0245271398294244
9160,1,“相忘于江湖，不如相濡以沫。”,2.1446618138409055
10970,0,看到这个组合电影也就不用看了,4.692027255484034
25101,1,虽然翻了很多次白眼但还是很好看,5.452535588309536
8931,1,我们也许也在经历尼克松时代。,6.409380491212394
44399,0,本来期望挺高，实际上漏洞百出,4.12155731694184
20496,0,只顾自己心机婊，玩弄两男不顾情,42.98403171631888
48717,0,剧情比较简单，但是音乐非常棒。,2.4051628233281273
19138,0,这怪物的形象真是不忍心吐槽啊。,6.197115133109962
21803,1,什么是好电影，这就是好电影。,3.052237665077906
30139,1,汪星人给现在喵星人主流的反击！,10.612319406500996
15894,1,秋华，等到马上就要得到幸福啦,42.825290662949456
7744,1,美好的东西注定只能潜藏在角落,4.4404666190314135
38412,1,逆境中的挣扎在绝望中生出一朵花,6.641703974766745
26358,0,烂电影？我听过谁说好看来着？,14.877270213632425
5344,1,这种青春。你国人只有看的份。,32.311154506484435
25742,1,taron唱歌太jb好听了。。,56.942208074304986
39856,1,这题材居然舍得平实，毫不煽情,52.97201406518514
32432,1,一环接一环，很烧脑，有意思。,4.175059081248618
33668,0,现在当电影导演的要求这么低么？,5.015558771489297
6328,0,这又是什么让人窒息的真实故事,3.998908471196065
34193,0,最爱小古，你千万别是Y先生呀,52.968751634821295
3458,0,太辣眼睛，这都是啥，剧情太烂,9.919250220960938
40990,0,这就是所谓的划时代国产电影呵呵,4.600400242840152
25511,1,我是不是也在楚门的世界活着？,13.515394449221068
34188,0,搞笑小品~很精致~看着舒服~,4.716663118867298
50219,0,尼玛B又下错了！！！！！！！！,16.849811473647122
4282,1,确实很感人，也让人感觉好可怕。,5.452738614276037
18561,0,电影可以重来，但生活没有彩排。,8.646706176980455
4449,1,真没哭，但觉得很好，有点意外,12.08568356402766
16671,1,温馨的片子～可以欣赏伦敦风景～,8.808252284922581
21892,0,当年最搞笑的科幻动作剧情惊悚片,5.66949837110379
45250,0,内容铺设的太慢，烂片儿一部。,33.53115246168256
18697,0,是不是应该集结动物们来看一下？,6.542101278223265
2928,0,ab为什么要演这么一个角色？！,9.399004869084342
36776,1,我有时会想起你，你应该在北方。,3.7194441748864806
42687,0,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵,2.7293858621636238
26333,0,好久没看过这么难看的港片了。,5.259997336464224
19866,0,名字取得不好，差点没看，还行吧,10.035145972442901
16604,1,《帕丁顿熊2：布达佩斯大饭店》,39.12886149903444
38551,0,最后的决战跟《盗墓笔记》似的。,4.02520057872609
6592,0,第3視角拍起來真是模糊難懂阿,47.99494363325526
39147,0,明显郑恺比赵又廷好多了啊！！,7.059471449899855
12950,0,Whendoesitend?,557.3993205668821
28884,1,女主的演技把男主秒的渣都不剩。,4.622898478693953
27397,1,太经典了，不知道多少年前看的了,3.1990211092746716
20505,0,"姐弟乱伦片,冲女主颜值多给一星",63.73443397878674
22371,0,全片就讲了一种新虫？坑爹啊你,66.0151590162968
4290,1,终究还是被结尾真实影像戳中泪点,6.79812609303062
15892,1,秋华来了，属于她的幸福也到了,18.618373829143167
27786,0,只有jumpscare。。。。,90.28822975463792
1491,1,两个女仔，一个不怂，一个也不怂,7.514001863471612
47544,1,很棒，好看，看后心里面很舒服,5.050437758848373
34603,1,前面的故事是真人版moana,16.08435560103395
7737,1,爱德华脆弱伤心的眼神看着难过,12.726999335713629
27282,1,我也愿意敬会治脱发的怪兽为神,27.739750467257057
37159,1,周星驰版下水道美人鱼，笑中带泪,10.282134693309757
22351,0,这个系列的2和3要比比谁更烂,9.60471108376011
42411,1,我们不再拥有一种热烈的心碎。,15.477004736261062
37577,0,说实话，不好笑而且充满算计。,12.08745788549197
16177,0,能让我这么浪费时间的人不多了,5.55189339141727
44516,1,女主角真漂亮，难怪用来钓鱼呢,5.757259940251682
47125,1,特效震撼，一场完美的视听盛宴。,6.309306170956777
47774,1,文科生拯救世界！就凭这，五星！,12.674368355574407
28616,0,就算是小孩子也说不想看了的电影,9.343046368364126
15883,1,女主倒是不错很好看，演戏在线,24.01807709846445
40500,0,美人迟暮，没了花与蛇时的惊艳,38.77727010620566
36608,0,本来还好的，作过头就不好了。,12.054633203103046
48609,1,我爱皮克斯啊啊啊啊啊啊啊啊~,6.156158866866849
15847,0,哎为了我的秋华_(:з」∠)_,17.895800116199737
6668,1,对僵尸有了新的看法哈哈哈搞笑~,4.158277337840567
50548,0,年轻不懂事的时候看过。。。。,3.4074283171552744
14495,1,张柏芝真的太美了，盛世美颜啊！,3.7987256205133937
37456,1,餐桌那段我的内心os：好烧钱…,28.566820324343812
4773,1,笑到眼泪都出来了！！！！！！,3.4097668622818005
9866,1,作为处女作，实在是难得的公路片,5.022321263352861
36330,0,陈勋奇也拍这种老套的喜剧片。,18.116869079707623
36524,1,为摇滚乐推荐，至少这是电影。,7.6143995621471445
22067,1,这是神作!!都是因为你们看不懂,7.876760726897409
26169,0,八仙人肉馅+阴唇包饺功【4】,84.06362614338028
32166,1,国产片拍到这个程度真的很不容易,3.633748049553603
3571,0,宣传那样除了画面还有哪能看了？,15.69708373121569
13098,1,我觉得我需要王小贱这样的男人,6.468501357778538
41062,1,大圣好可怜的你们为什么都欺负他,14.818262315928806
23577,0,除了想法，没有别的了。难看。,7.9327575580967205
46597,0,电影挺不错的啊，给一星没毛病。,12.491320740768149
4539,0,艹，我竟然看完了，狗比人好看,9.998140456259732
4298,1,觉得几位主演都好棒！片尾哭瞎。,10.256929488380601
35920,0,第一次觉得徐静蕾拍的片能看.,10.249289717601979
1817,0,为抄袭大作贡献自己的一星不谢,14.517918755159492
30582,0,环太平洋全自动化口头指挥版……,16.372376688502985
30331,0,辜负了我当初的期待，太一般啦！,3.8435141545936418
12634,1,我们家美国队长演什么都好看！,8.763522581950431
26462,0,平庸、无聊、恶俗的一塌糊涂。,8.473220886328816
7338,0,前你全家啊前前前，没完没了还,48.26237818658668
11821,0,看看吴君如就好，其他人一律屏蔽,8.03904884607832
3520,0,张鲁一为啥那么想不开这个造型,11.369547598057235
25264,0,林志颖真的已经38了么？？？,12.935268449729637
27470,1,简直影响了我前二十年的爱情观,5.237398366434916
28239,0,这种毫无节奏的动作片真是够了,7.866221303206523
19566,1,冷幽默，不过现实里不可能的事,9.369960608355738
7291,0,郑恺真的太适合演喜剧片了哈哈,4.313989609336551
10505,1,新东方女厨师强力征服霸道总裁,5.733618198208821
33588,0,陪老婆看的，消磨时光还可以。,15.144883245355114
