,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,12.141802164488851
48250,1,爱上江西，没有理由！[哈哈],3.917126235787113
100168,0,计划赶不上变化[抓狂][泪],4.242807985636874
22319,1,芭其乐，大嘴快乐的家伙[爱你],36.724851782121675
70122,0,传统已逝??????[抓狂],9.949501285722162
6338,1,谢谢哈! 欢迎常来![鼓掌],8.714222559863936
20081,1,胖子手感好啊！[鼓掌][爱你],6.457743723363959
23064,1,生快！[干杯][蛋糕][鼓掌],11.85588947820139
84060,0,居然把我干儿子装脸盆里！[怒],19.47709765022269
93871,0,三哥总是这么的让人惊喜[晕],14.777116862845432
104161,0,此刻后：ko了... [晕],52.83708480878798
40416,1,[害羞][哈哈]@魔王1987,18.09975435364675
15376,1,随手拍祝大家周末愉快！[爱你],4.622087488541771
10199,1,是滴，美女。欢迎哦！[可爱],17.63440187332317
71224,0,偷贡品。不怕报应啊？。[衰],80.27365661426576
12238,1,[哈哈] //@独眼u:哈哈哈,11.580284522071802
77537,0,求二手智能手机。。。[抓狂],8.159704683684307
55063,1,是帮你挡酒的男的么？[嘻嘻],8.622071093296283
21548,1,原来很多国家都免签![哈哈],4.314415826387504
38076,1,百变大咖秀真的很快乐[哈哈],4.689091272756166
84198,0,[泪]//@那木错:[微风],51.870136141113505
27872,1,哈哈，强大[鼓掌][good],13.370844627451945
48051,1,眼睛一眨，美妞变辣妈！[哈哈],3.9975356259901083
18029,1,祝大家十一小长假快乐[太开心],2.913601902700487
115177,0,[泪] //@袁腾飞:[泪],12.210902470516142
114619,0,可怜的风扇[泪] 我要等正版！,18.40519102580791
64870,0,固执的大叔这场又好危险[失望],17.225591164238022
74958,0,办公室都是孩儿他娘！！！[怒],21.37772079605579
77734,0,//@地狱中的八尾猫: [衰],23.60482559605161
51580,1,财神到我手?[偷笑][鼓掌],15.437175196862517
54352,1,爱吃牛排的童鞋举个手~[爱你],4.037027166777162
8324,1,开始喽，看起来吧！！[鼓掌],10.53725134097616
106626,0,受伤，是个超级不好的消息[衰],6.969748935706514
15031,1,[哈哈][哈哈]收费大调查。。,6.713616282638014
8249,1,用美食向大家说早安~[嘻嘻],5.083369771151226
59782,0,愚人节的游戏，银行也玩呀[衰],7.690541009948418
110113,0,[衰]弄破了，基本上不会复原！,10.207120849201054
11405,1,哈，回忆录写到哪了？[嘻嘻],8.562731017963205
81138,0,书人搬家，其实就是搬书[晕],21.343358531808192
14831,1,《时尚旅游》也玩街拍了[哈哈],3.966445712870776
51446,1,阿姨做的菜相当好吃呢[爱你],4.0445867258230095
73965,0,Facebook 还在跌[晕],60.17109248096309
101129,0,[抓狂] 你是在哪里腐败~~~,9.599804496532863
104892,0,男人动手…[怒][怒][怒],9.245707909707939
66040,0,我在这里：#闸北区#吃饭[泪],16.05405131882208
87632,0,难得休息的，竟然感冒了[泪],7.029326116616791
96063,0,知道得太晚了，遗憾！[失望],3.0880550278273176
81716,0,社会败坏的典型!?救了[衰],23.984122749370723
92195,0,姐，我给你跪下了，这才气[晕],27.563917407819556
95696,0,[泪]同意，让他们变成海豹!!,9.165982308959473
19351,1,//@好色小湿妹: [哈哈],16.71773386737099
41680,1,我觉得总结的很好，喜欢[鼓掌],3.3615390444678077
21865,1,斯坦福正门左侧草坪。[嘻嘻],5.460847533824729
2453,1,[嘻嘻]重口味爱好者的福音来咯,4.189347048448001
48755,1,转给来北京玩的童鞋们[可爱],5.4156288946171856
53195,1,偷偷发张我师父的照片[哈哈],5.9288980369628135
12712,1,好样的！[嘻嘻]你家就你牛！,17.3490427997498
94030,0,早知道找你买了还能越狱[抓狂],18.39528790986593
40934,1,我上班能穿成这样吗？[嘻嘻],4.0497379246609615
11905,1,[哈哈][哈哈][哈哈]翔子,5.0994536362176985
56807,0,还有这么不要脸的[怒] 扩散,11.591930053064106
63131,0,最近压力让我头痛 [衰][晕],9.338194662374429
29589,1,@兔子奶奶熊的娘 还有[哈哈],23.947315263557964
101122,0,堵塞，不动！我快哭了！[泪],11.61919935698051
75355,0,下辈子该她被扔下去！！！[怒],23.953297430325016
70889,0,现在的快递啊，真心桑不起[泪],11.624061709597648
93899,0,我也有中奖的时候啊[泪][泪],2.151975961878101
7932,1,[哈哈]//@大藏布:[哈哈],14.247586068336732
4819,1,有趣的“悲剧”设计！[哈哈],3.078181589712514
112114,0,有把脚崴了。。。 大馒头[泪],37.20375704839741
9343,1,这透视，照成小短腿儿了[哈哈],19.705458932802376
86440,0,下冰雹了，我怎么回家呀[泪],8.430086577529336
82229,0,我也是男人//@???：[泪],9.36248924793682
34841,1,[鼓掌][鼓掌]期待精彩呈现,2.0798806627436033
106204,0,[泪]同求 粉待亲粉待亲呀！,21.072579475994416
63072,0,回去换身衣服准备第三场[抓狂],10.84740830118687
108363,0,狗狗是人类最忠实的朋友！[泪],2.258074618298639
51324,1,[太开心] 过500了~ ?~,20.797576102221917
48652,1,家庭聚会，愉快的周末！[爱你],3.9671323427919054
50046,1,这么有意境的菜~~~[哈哈],5.321536070773454
69366,0,我滴亲丸子啊[泪][泪][泪],15.054815910680562
18022,1,//@电商报: 啊~~[哈哈],12.138979135096099
11792,1,谢谢喜欢我家的玛克丽[哈哈],6.976805956509993
51645,1,我发现我就是来发微博滴[可爱],5.823848414319658
75967,0,见过好多，就是学不来啊[衰],13.29860406338679
55553,0,操，你他妈干的是人事嘛[怒],23.605065662405526
63799,0,我好像午饭忘吃了。。。[晕],9.954215626170562
2403,1,生日快乐，美女快乐哦~[嘻嘻],3.7236402369525865
87818,0,[鄙视]//@钱文忠: [泪],24.293742561679352
42197,1,[good]我要好吃的[亲亲],17.076855116602147
2716,1,享受生活的乐趣[哈哈][?力],6.249697053639234
114496,0,我又错过了[衰]对不起唐老师了,8.769863378631323
39216,1,我的 剧照 ，?点咪[哈哈],60.039786667103236
78602,0,英语太烂，说不明白啊。[抓狂],6.639308173928739
677,1,[抱抱] 收藏，下班的时间看,11.75189386823471
76315,0,南方的小伙伴们，保重！[衰],10.826238725160687
67304,0,唉，又一轮轰炸即将开始[衰],6.377304606741384
44036,1,吼吼吼，怎么又回来了[鼓掌],4.939593748496586
9733,1,今天早餐从简[偷笑][嘻嘻],12.419244133169657
27440,1,真滴哇~~好啊好啊！[亲亲],12.828922818100697
2178,1,带着葡萄酒去蹭饭，[哈哈]。,4.990378338787832
49100,1,晚餐时间到！自己煮的[爱你],6.065811056669785
69009,0,//@Gummi_S:[泪],15.935498330061632
3699,1,大家多多帮黑哥投票哈[鼓掌],9.45029563152562
36275,1,陕西八大怪，面条想裤袋[哈哈],35.928577831445835
74734,0,有才！唉……[衰][衰][衰],4.592955087868322
10024,1,又一位收到材料的同学[鼓掌],3.3059415097027385
13954,1,今天是全国电视屏保日[嘻嘻],6.201077515836656
9691,1,多增加几款好酒才素王道[哈哈],13.841735830261467
48990,1,再奋斗一天[哈哈]，度长假。,8.069690940026012
2741,1,这就是传说中的落水狗。[哈哈],4.010437420669719
76712,0,号称几十万的沙发[晕][晕],4.6766131611388655
35080,1,这是你哥？为毛这么像？[哈哈],8.097292336060788
41502,1,偶下班啦！打卡，回家！[嘻嘻],7.955295427571408
65053,0,看看我的红皮箱[泪]好可怜哦！,11.630131625891279
93676,0,没检查到作业，百爪挠心啊[泪],38.61975803177593
