,labels,text,neg_logits,pos_logits
30574,0,[MASK]喜欢。怀疑是假货，洗发后感觉很不好,12.478927,12.034867
7598,1,[MASK]喜欢。手机质量很好哎，就是没有送礼品,10.890093,12.254392
43849,0,[MASK]喜欢。有差异的产品，下次不会选购了,10.62064,9.780223
10361,0,[MASK]喜欢。东西搭配了一堆没用的，给差评,11.870956,10.111786
3099,1,[MASK]喜欢。一般般 会有卡顿 看电影还行,11.083089,10.298704
28438,1,[MASK]喜欢。不错很满意，物流小哥很给力。,9.769358,13.030562
34577,0,[MASK]喜欢。京东的配送就这样吗？真是失望,12.2003355,9.977365
12015,0,[MASK]喜欢。非常不满意，大型游戏根本玩不了,12.244731,10.778707
31819,0,[MASK]喜欢。垃圾京东，收钱不发货，趁早倒闭,10.422108,9.348023
42623,1,[MASK]喜欢。衣服面料很舒服，柔软，大小合适,9.745215,12.873928
43428,0,[MASK]喜欢。哎与图片差距太大真心接受不了,10.592801,10.784648
38964,1,[MASK]喜欢。面料很好，款式时尚 穿上很舒服,9.424574,13.489271
32231,0,[MASK]喜欢。洗发水不正宗的，洗完头皮屑很多,12.612883,11.041116
17545,1,[MASK]喜欢。京东商城的商品实惠，继续支持！,8.780123,10.360851
36576,1,[MASK]喜欢。蒙牛出香蕉奶啦 味道还不错哦,9.927725,11.5267935
6653,1,[MASK]喜欢。快递速度很快，平板用了还不错。,10.013978,13.094508
39896,1,[MASK]喜欢。大小合适，有弹力，辉常满意！,9.444724,11.9910345
38971,1,[MASK]喜欢。刚收到货，很好，物超所值！！,9.752095,12.849889
41286,1,[MASK]喜欢。穿上变得特别帅，怎么呢？嘻嘻。,9.787495,11.651285
29583,1,[MASK]喜欢。超值值得购买！便宜实惠真的很好,9.701734,12.916139
12956,0,[MASK]喜欢。不咋好，显示不清楚，想贴膜的,11.994125,10.0271845
31712,0,[MASK]喜欢。不好，这么贵还不好，我也是醉了,11.217752,9.484535
31680,0,[MASK]喜欢。啥时候到啊下单好几天了还没到?,9.971308,9.998759
60362,0,[MASK]喜欢。很一般，价格不高，但设备差！,11.774704,11.528257
45785,0,[MASK]喜欢。没穿几次就破2个洞，做工不好。,13.001629,10.493988
30820,0,[MASK]喜欢。被坑了，不好用，只能给一星?,10.910662,10.972082
10933,0,[MASK]喜欢。送货师傅不错，平板质量一般般,10.954033,11.383676
40218,1,[MASK]喜欢。穿上很舒服，面料不错，蛮好的,10.045721,13.677872
36597,1,[MASK]喜欢。蒙牛滴。。。口感醇厚，不错～,9.072546,11.516379
47403,0,[MASK]喜欢。衣服不行 ！！！ 快递也不给力,12.361795,9.007212
42213,1,[MASK]喜欢。质量好，做工精细。非常满意！,9.530911,12.676778
31785,0,[MASK]喜欢。不好用，味道太浓，不适合男人,13.390219,10.318305
46015,0,[MASK]喜欢。质量没有想像的那么好，不要上当,10.911841,10.579608
42170,1,[MASK]喜欢。款式新颖，又合身，孩子很喜欢,8.610899,12.248081
43150,0,[MASK]喜欢。欺骗消费者！！！严重不符！！！,12.370999,8.477489
45415,0,[MASK]喜欢。商品没图上的好看，面料也不多好,12.473098,10.039819
30230,1,[MASK]喜欢。价格实惠，服务好，东西不错。,10.161559,11.913972
47927,0,[MASK]喜欢。没收到商品，一个月了，差劲。,11.815114,9.767713
30018,1,[MASK]喜欢。好，不错，得蛮多的，划算，喜欢,9.639647,9.985578
26817,1,[MASK]喜欢。到货好快。服务好！东西满意！,9.355298,12.216502
5006,1,[MASK]喜欢。手机不错，屏大清晰，速度快。,10.253052,12.156643
44936,0,[MASK]喜欢。洗了掉色特严重，很硬，还没穿,12.169783,11.624049
16856,1,[MASK]喜欢。还味吃，现在觉得苹果越来越甜了,10.634939,11.293471
3845,1,[MASK]喜欢。不错 很喜欢 华为平板666,9.3486595,12.6673155
28242,1,[MASK]喜欢。洗发水好用，洗过头发很清爽…,9.3503685,12.19202
42123,1,[MASK]喜欢。可以 比较满意 穿了再来评价,9.552146,11.5319195
34621,0,[MASK]喜欢。有一瓶盖子烂了，流的到处都是。,10.835859,11.293082
33650,0,[MASK]喜欢。使用一般，和国货区别不是很大！,11.004489,11.989764
5554,1,[MASK]喜欢。好好的一个好的自己选的好好好货,9.655182,10.661359
30937,0,[MASK]喜欢。说好的吹风机在哪！太垃圾了！,11.359165,9.971398
60557,0,[MASK]喜欢。服务很一般，设施和装修也不好。,14.064145,10.685374
46810,0,[MASK]喜欢。真的和网上看的差别真大，好垃圾,11.789182,11.159313
25754,1,[MASK]喜欢。看着还可以，小的赠送旅行装不错,10.407552,11.862626
43705,0,[MASK]喜欢。物流太慢太慢，衣服不怎么样，,12.938189,9.2985935
18630,1,[MASK]喜欢。个头小但很甜，用来做早餐正好。,9.892991,12.44063
41784,1,[MASK]喜欢。商品不错，物超所值。真实体验。,9.89765,11.726296
45106,0,[MASK]喜欢。非常一般，不推荐，不要贪便宜,11.9596,11.038002
31546,0,[MASK]喜欢。昨天收到今天就降价，太过分了！,11.630352,10.666098
43624,0,[MASK]喜欢。有股刺鼻的味道，还特别脏，差评,13.040822,11.351378
10107,0,[MASK]喜欢。差评，保护壳都没有，5星差评！,12.361214,10.687289
32824,0,[MASK]喜欢。不好用，不适合我的发质，起头屑,14.03651,11.091204
4883,1,[MASK]喜欢。不错物流给力，值得信赖，正品，,9.793908,11.906678
31305,0,[MASK]喜欢。发来就破了。。懒得跟客服叨叨了,11.871007,8.894742
17539,1,[MASK]喜欢。性价比真他们高。。。。够味还脆,9.420826,10.354845
3991,1,[MASK]喜欢。不错，给妈妈玩游戏用的，很喜欢,9.308614,13.231192
35438,1,[MASK]喜欢。安装好了，还没用，感觉挺好的,11.05204,12.036816
10959,0,[MASK]喜欢。骗子。垃圾货。收到的卡装不了,11.914914,8.099496
38859,1,[MASK]喜欢。衣服挺好的，我一下子买了两件,10.418096,11.641119
33344,0,[MASK]喜欢。还品牌垃圾要死，越洗越多头屑。,13.010975,9.94921
11811,0,[MASK]喜欢。不好买来好后悔玩游戏好卡差评。,11.161069,10.548155
26497,1,[MASK]喜欢。一如既往的快，态度好，日期新。,8.909371,10.461056
39505,1,[MASK]喜欢。裤子面料不错的 版型很喜欢啊,9.473127,12.880197
34065,0,[MASK]喜欢。买了很多次，这次的是假货，失望,11.588663,11.115002
57426,0,[MASK]喜欢。服务不好。乱收费，非常不满意！,15.243183,10.320191
10211,0,[MASK]喜欢。cpu太差 一点都不流畅 亏了,11.695027,9.697213
6071,1,[MASK]喜欢。真正好PAD，学英语不用愁啦,8.533112,10.394244
46500,0,[MASK]喜欢。网上买几次都是烂货，不能相信。,13.03918,10.5182905
39929,1,[MASK]喜欢。裤子的质量真的不错，值得表扬！,9.86131,12.672598
47506,0,[MASK]喜欢。穿了一次，扔了，好还是不好？,11.739778,11.20115
6287,1,[MASK]喜欢。屏幕够大，上手容易，物流很快。,9.434499,12.423178
39475,1,[MASK]喜欢。买回来很合适，老公很喜欢。。。,9.224255,12.744791
38335,1,[MASK]喜欢。质量非常不错，穿起来很舒服。,9.730317,13.817244
32710,0,[MASK]喜欢。就是好难受看到你日目的地后的吧,10.16093,10.766744
7812,1,[MASK]喜欢。帮朋友买的，反馈信息还不错?。,10.408811,12.027342
33424,0,[MASK]喜欢。快递丢失 不处理 没有维权渠道,10.760143,10.9138565
39217,1,[MASK]喜欢。很不错哦，我又要在买多一条了,9.351861,12.36855
35260,0,[MASK]喜欢。这个商标都掉了，可能是二手货吧,11.421559,10.729609
19076,1,[MASK]喜欢。苹果包装完好，吃起来香甜可口！,8.891875,11.823154
58781,0,[MASK]喜欢。酒店很旧，设施陈旧！花洒漏水,13.1800375,10.905632
10412,0,[MASK]喜欢。卡出翔，到底是不是3G运行？,10.647264,9.88748
46154,0,[MASK]喜欢。物流太慢了，就凭这一条给你零分,10.348258,10.195031
34631,0,[MASK]喜欢。非常无语，包装是裸的，没有塑封,11.765783,11.2558
57024,0,[MASK]喜欢。所有的房间里的设施不是很齐全！,12.999714,11.167279
42499,1,[MASK]喜欢。不错，穿上很舒服，面料也不错,9.569459,12.970061
47937,0,[MASK]喜欢。不满意，色差太大！做工一般！！,12.417551,11.091769
18689,1,[MASK]喜欢。苹果不错！很新鲜！到货也很快！,10.015803,12.843262
47073,0,[MASK]喜欢。洗一次线全扯掉了，做工非常粗糙,12.457718,11.003101
14578,0,[MASK]喜欢。功能可以，但表面出现掉漆现象,11.671112,11.100464
33936,0,[MASK]喜欢。送来都爆开了，包装能用点心吗？,9.981512,10.238714
46214,0,[MASK]喜欢。大小不标准 垃圾货下次去桃宝买,11.443266,10.358516
18541,1,[MASK]喜欢。统一大小，味道一般，包装很好。,11.227868,12.310185
6147,1,[MASK]喜欢。东西不错，真的很喜欢很喜欢。,8.651366,13.191318
35038,0,[MASK]喜欢。一点都不好，，，洗了很痒，差评,12.603461,10.418893
21809,0,[MASK]喜欢。包装不错，口号不太好，很硬不甜,11.39786,11.726833
47351,0,[MASK]喜欢。太差了，以后不会买了，懒得退,11.808052,10.433653
11255,0,[MASK]喜欢。分辨率太低了，看着模糊，后悔了,11.920401,10.85471
6495,1,[MASK]喜欢。我这个是给妈妈买的，她很喜欢,10.282833,12.169373
27960,1,[MASK]喜欢。还行吧，感觉可以满意。好评！,10.52736,12.028652
59784,0,[MASK]喜欢。凑合吧，旺季也不便宜，隔音太差,12.744454,9.089661
30190,1,[MASK]喜欢。比超市便宜，还方便，省的逛超市,9.994332,11.308873
41065,1,[MASK]喜欢。一直喜欢的牌子，好好好好好……,9.557712,11.752348
12495,0,[MASK]喜欢。不好不好不好，真的不好，上当,12.344866,9.767033
4490,1,[MASK]喜欢。刚拿到还没用还知道功能什么样,10.729249,11.951778
37775,0,[MASK]喜欢。你让我这个蒙牛脑残粉情何以堪？,10.52813,9.225829
18639,1,[MASK]喜欢。苹果个小点，颜色一般吃着还行。,11.212277,11.144359
6522,1,[MASK]喜欢。不错很好，京东快递给力棒棒哒,9.911028,12.211052
45361,0,[MASK]喜欢。穿了两次，而且面料粗糙，易脏,12.648401,11.836686
23149,0,[MASK]喜欢。心好几个发黑的。潘石译太差了！,10.6618395,10.424335
45269,0,[MASK]喜欢。号码偏小，是棉的，颜色也还可以,10.920918,11.729356
45110,0,[MASK]喜欢。不好，有味非常刺鼻，而且还慢！,11.18452,10.88755
36596,1,[MASK]喜欢。果断的支持下，还是蒙牛厉害啊,10.555358,10.224491
34714,0,[MASK]喜欢。京东客服很垃圾，购买商品注意,11.648073,10.602321
39832,1,[MASK]喜欢。哈哈哈红红火火恍恍惚惚哈哈哈哈,9.345941,11.049035
43503,0,[MASK]喜欢。质量和版型和图片不一样，不好看,12.263836,11.387761
18791,1,[MASK]喜欢。刚收到，看着还可以。还没有吃。,10.427221,12.581664
5050,1,[MASK]喜欢。不错，暂时用着各方面都很满意,9.407677,11.937272
45857,0,[MASK]喜欢。等啦一个星期才到，无敌的郁闷,10.81549,10.328955
38304,1,[MASK]喜欢。非常愉快的一次购物。价廉物美。,9.164081,12.545817
32290,0,[MASK]喜欢。太差劲了，根本和实体店的不同,12.399465,9.450333
17172,1,[MASK]喜欢。早上下单，晚上收到，物流很快。,9.356983,12.554312
26214,1,[MASK]喜欢。看着挺好的 洗发水我 还没用,10.918105,12.00684
43653,0,[MASK]喜欢。不好 买回来穿一次口袋就破了,11.861075,10.457961
28796,1,[MASK]喜欢。给家人买的，家人都喜欢用这个。,10.0472555,12.72033
45067,0,[MASK]喜欢。买回一看，跟夜市买的一样，*,10.347788,10.9260025
40256,1,[MASK]喜欢。白色质量一般般，料子不是很好！,11.690329,11.656112
12627,0,[MASK]喜欢。wifi不靠谱，上网有限制。,12.104939,9.440433
20546,0,[MASK]喜欢。苹果有坏的，不新鲜，自欺欺人。,12.372131,9.055145
41781,1,[MASK]喜欢。裤子质量挺好的 料子很舒服啊,10.286657,12.637113
5986,1,[MASK]喜欢。除了不是全网通以外，其他都蛮好,10.463919,11.809345
61796,0,[MASK]喜欢。服务差，环境差，缺乏管理和训练,12.795445,8.742595
47908,0,[MASK]喜欢。非常多小碎毛，穿了一次起球球,10.1551075,12.14611
4899,1,[MASK]喜欢。机器很不错，外观漂亮 包装精美,9.832744,12.6261015
7036,1,[MASK]喜欢。买的第二个了物有所值相信京东,9.807365,11.272656
40508,1,[MASK]喜欢。质量看着还好，就是有点瘦了。,11.085998,12.119943
31474,0,[MASK]喜欢。这物流是蜗牛～产品有待考证～,10.137468,10.860944
4337,1,[MASK]喜欢。帮侄子买的，小朋友说挺好用的。,10.850224,13.006454
40660,1,[MASK]喜欢。手感不错 料子不错 样式不错,9.9371805,12.02318
12511,0,[MASK]喜欢。二手的机子 电池不抗用 太坑了,11.572365,10.498887
28485,1,[MASK]喜欢。支持大牌！重要的是搞活动便宜！,9.832355,10.042482
42157,1,[MASK]喜欢。物美价廉，顶顶顶顶顶顶顶顶顶,8.993047,10.654361
35078,0,[MASK]喜欢。洗完头很多头皮屑，怀疑买的假货,11.477287,11.623014
39965,1,[MASK]喜欢。质量不错，值得购买，价钱也实惠,9.898956,12.286372
35703,1,[MASK]喜欢。产品就不评价了，正在使用中。,10.164478,12.023381
31868,0,[MASK]喜欢。沙宣的产品，得看个人适不适合,10.590871,10.104244
5547,1,[MASK]喜欢。真心好用！原装最新版本！喜欢！,9.761947,12.167938
44544,0,[MASK]喜欢。差评 拉链不行，各位兄弟注意了,10.931605,10.524393
42912,1,[MASK]喜欢。很好，质量不错，店家态度挺好,10.233251,12.342585
7180,1,[MASK]喜欢。不错，非常好用！流畅，不卡。,9.56921,12.721362
7323,1,[MASK]喜欢。京东我信任！便宜实惠邮寄快！,9.082786,10.467831
5333,1,[MASK]喜欢。超爽啊，比我之前用的三星好多了,9.21881,12.553356
31995,0,[MASK]喜欢。真假噶时间看书考试计算机技术,10.423669,10.160155
46205,0,[MASK]喜欢。真的差，都不想在班尼路买衣服了,10.810112,10.070237
12993,0,[MASK]喜欢。什么玩意，服了京东了！垃圾，,11.313054,9.472632
45391,0,[MASK]喜欢。不满意，希望下次不要让我失望,12.471425,10.806768
5688,1,[MASK]喜欢。速度还不错，还好卖的是32G的,10.2900505,11.914107
38275,1,[MASK]喜欢。舒服，就是质量一般，就值这个价,10.604776,10.320142
7874,1,[MASK]喜欢。还可以吧，用了几天暂时没问题,10.771916,12.058093
12584,0,[MASK]喜欢。耗电快，反应慢，还没有提供发票,11.786556,10.813767
17836,1,[MASK]喜欢。很好，价廉物美经济实惠值得购买,9.892549,12.69495
5859,1,[MASK]喜欢。商品很好 发货很快 服务很好,9.619094,12.486695
35723,1,[MASK]喜欢。美的热水器挺好用的，感觉不错,11.2854185,12.463836
25549,1,[MASK]喜欢。京东自营的就是货真价实！！！,10.033072,10.367337
29724,1,[MASK]喜欢。不错，和实体店的一样，很满意的,10.355854,12.709168
12196,0,[MASK]喜欢。我觉得京东我都不会再买东西了，,10.830525,10.407058
41718,1,[MASK]喜欢。样式不错 颜色不错 穿上很舒服,9.764315,13.0972595
46444,0,[MASK]喜欢。尺码不对，颜色也不对，能不能放,12.210924,9.391539
31748,0,[MASK]喜欢。不好用，洗过头后，满头头皮屑,13.170348,11.420564
11185,0,[MASK]喜欢。物流很快，但是机子不理想，卡,11.386644,11.170121
9183,0,[MASK]喜欢。用两个月就死机，商家不厚道，,12.402955,10.201632
32423,0,[MASK]喜欢。哎、不想说什么、居然不给我退！,10.480428,9.812412
34298,0,[MASK]喜欢。说好送浴巾的却不发，差评，*,11.188908,9.333793
3087,1,[MASK]喜欢。外观不错，手感也很好，非常喜欢,9.452789,13.095822
8613,0,[MASK]喜欢。差了 在50公分高跌落就这样了,10.206824,10.051788
46772,0,[MASK]喜欢。很差很差，衣服和图片上的差很远,11.960459,11.438349
20910,0,[MASK]喜欢。包装不错，东西可咋说，不咋地。,10.715025,10.405345
44208,0,[MASK]喜欢。**店铺，从购买到换货不负责任,10.030259,9.987263
38737,1,[MASK]喜欢。很不错 男朋友很喜欢 强力推荐,8.559497,12.966509
37785,0,[MASK]喜欢。蒙牛伤不起啊！喝蒙牛更伤不起！,11.072097,9.468255
6390,1,[MASK]喜欢。质量还行，这个价位还是不错的,10.444892,12.366143
28231,1,[MASK]喜欢。不错的，送货速度快，价格实惠。,9.69301,12.024878
15581,1,[MASK]喜欢。还不错，一直购买的品牌....,10.039773,12.36472
30847,0,[MASK]喜欢。还没开始用，价格和超市差不多。,10.911459,12.999297
37974,0,[MASK]喜欢。如果是真的就卸载一切360软件,11.347122,10.015546
26977,1,[MASK]喜欢。套装商品还满减谁不心动不如行动,9.090124,9.668073
5066,1,[MASK]喜欢。商品很不错，京东加油！支持！！,9.720068,12.285726
12871,0,[MASK]喜欢。怎么我刚才差评会不见了呢？？？,10.705585,10.486444
21666,0,[MASK]喜欢。大家看看这样的苹果要怎么吃啊！,10.577601,11.974823
43538,0,[MASK]喜欢。一般！用手摸起来硬硬的，假贷！,12.207486,10.668206
19599,1,[MASK]喜欢。果子个头刚刚好，新鲜，准时送达,8.987555,11.230734
5314,1,[MASK]喜欢。机器很好，公司内部使用小巧，赞,9.691942,11.7238245
34476,0,[MASK]喜欢。垃圾 不取屑 太垃圾了 假货,10.929389,9.765834
17367,1,[MASK]喜欢。第一买水果遇到几个坏的，无语了,10.925472,10.529724
4210,1,[MASK]喜欢。总体来说还不错吧，看视频够了,10.064154,11.908287
7591,1,"[MASK]喜欢。不错,很好！！！！值得推荐！",9.371283,12.418705
37659,0,[MASK]喜欢。现在基本不喝蒙牛了～ 昏倒!,10.5760565,10.743504
38241,1,[MASK]喜欢。面料，款式很好，买了很多件了。,9.778953,13.28552
34824,0,[MASK]喜欢。太少了！严重与图？不符！！！,11.117548,10.312506
19671,1,[MASK]喜欢。苹果，脆，甜，同事也一起来买!,8.982262,10.544742
23935,0,[MASK]喜欢。总体挺好，不过里边有个别是坏的,11.034574,11.279025
33016,0,[MASK]喜欢。味道不对。和超市买的不一样。,14.486909,10.703022
15177,0,[MASK]喜欢。信号不好~！而且可以下铃声~~,13.014672,9.701656
35813,1,[MASK]喜欢。使用后真心不错，现在才评价。,10.279999,12.20985
18578,1,[MASK]喜欢。发货速度快，包装完整，个头大。,9.424982,11.7114525
36211,1,[MASK]喜欢。强大的蒙牛 笑翻了~ 转发微博,8.772977,10.715431
42374,1,[MASK]喜欢。穿着舒服，面料很柔软，真的不错,9.855423,13.652741
7235,1,[MASK]喜欢。太棒了，性价比很好必须给好评。,9.614294,13.083571
20223,1,[MASK]喜欢。个头不大，有伤疤，以后不会回购,11.02641,11.509075
38588,1,[MASK]喜欢。质量很好，面料不错，样式很好看,9.967522,13.0971775
