,labels,text
4537,1,"早餐份量很足,四个人吃两个人的份量都吃不完!!!"
2944,1,替朋友订的房间，据说还不错啦，一下回，自己去试试。
5872,0,"入住退房慢,电梯慢,超市破,房间旧,服务态度差!"
732,1,"环境服务都不错,除了价格贵,其他的没什么可挑剔的了"
1725,1,一流的环境，在当地来说没有别的选择了，85分吧。
6723,0,空调声音太大，象拖拉机。服务一般般，不是很热情。
953,1,这个酒店是我们不少同事出差上海的首选，非常不错。
7521,0,一般，就是宾馆设计比较有特色，但是服务实在一般。
1367,1,"酒店位置不错,房间设施太旧,早餐还好.总体感觉一般"
6200,0,周边环境较差，服务的速度慢，态度还可以，价格太高。
5519,0,"服务极差,价格高,地点环境偏,房间条件能有一星.."
2699,1,近临富春江边，环境优美，喜欢早晨锻炼身体的好场所。
3871,1,"太美了,但房间一般,携程房价好象有点贵,晚上没事做"
6677,0,老牌宾馆，设施很旧，两百多元一点都不值，网速较慢。
2459,1,一个位置不错的老酒店，还可以。但是价格不算便宜。
3778,1,地理位置比较市中心，早餐厅品种比较少，服务一般。
7125,0,非常差的酒店，只住了1天就逃走了（本来预订了7天）
5836,0,"这个酒店整体素质非常差,房间里面有很浓的油烟味道."
6310,0,服务态度不好，换个房间都不给换，弄个最差的给住！
5331,0,"房间的环境非常差,而且房间还不隔音，住的不舒服。"
3828,1,"酒店位子不好找外,前台服务还需提高.其它还不错."
7434,0,专门定的宽带房，竟然无法上网，酒店也没有技术人员
1944,1,"这家酒店不错,大堂很气派,服务很热情,下次还住这里"
3491,1,"很喜欢的酒店,大堂天花很有特点,希望还有机会入住."
5377,0,"太差,脏.差,我住过的最不好的酒店,以后决不住了"
265,1,酒店环境还可，价位也不错，我想以后还是会居住这里。
5329,0,酒店服务态度极差，设施很差，建议还是不要到那儿去。
6784,0,差、差、差！携程的星级评定有问题，同志们仅供参考。
7317,0,住了一天，简直就像噩梦！没有一点让我满意的地方！！
5578,0,入住时说是四星级酒店，一进驻，，，，失望。。。。
116,1,酒店还算不错的，价格实惠，服务也很到位，推荐下！
479,1,交通方便，房间比较干静宽敞，总体来讲还说得过去。
1738,1,非常好的一个酒店。我拿到的是特价房，感觉物超所值。
1224,1,还不错酒店，就餐和出行都很方便。服务态度也比较好。
7285,0,感觉相当差劲，异味很大，性价比太低，绝不会再入住。
7261,0,还有，早餐稍晚点，就没什么可吃的了，做的也很一般
2013,1,如果下次到武夷山，我还是会选择这家酒店，很好！！！
2130,1,位于徐家汇中心地段，房价经济实惠，环境也很好呢！
5032,1,"非常好的饭店,软件硬件都很过得去,值得一住的地方!"
2378,1,主楼房间不错，副楼就差了很多，早餐很好，推荐入住
7587,0,房间阴暗，有异味，总之非常失望，肯定不会再住了。
885,1,环境非常的好，服务也非常的热情、周到下次还会住！
6205,0,服务太不好了，晚上房间的蚊子太多了，人性的关怀不好
6641,0,第二次住的时候，酒店说我在房间里消费！很冤枉。。。
5452,0,"建议酒店餐厅预备当地产的酒水,以备外地客人品尝."
7752,0,房间设施还可以，但酒店内非常的冷，冬天不推荐入住。
5540,0,招待所而已吧，唯一可取之处就是交通还行，三环边上。
5469,0,"很旧的设施,服务也不好,感觉一般.不能和大城市比."
1518,1,还不错，第一次来入住，总体印象好，交通也很便捷！
6732,0,房间很小，设备很旧，感觉不到家的温馨，环境一般．
3005,1,房间OK，但隔音差，服务也不错，地理位置不太理想。
7039,0,有些差就和小旅店差不多离机场还有一些距离不建议去住
4969,1,房间还算可以，但硬件设施偏差，服务水平也很一般。
2720,1,很好的酒店，设施和服务都让人满意，就是偏远了一点。
