,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,7.631084764954454
7598,1,手机质量很好哎，就是没有送礼品,5.059844711972173
43849,0,有差异的产品，下次不会选购了,8.295682868332786
10361,0,东西搭配了一堆没用的，给差评,7.596867587851804
3099,1,一般般 会有卡顿 看电影还行,34.7446363354551
28438,1,不错很满意，物流小哥很给力。,5.482487111621592
34577,0,京东的配送就这样吗？真是失望,4.251739960007729
12015,0,非常不满意，大型游戏根本玩不了,2.4354016161343206
31819,0,垃圾京东，收钱不发货，趁早倒闭,24.002219589661205
42623,1,衣服面料很舒服，柔软，大小合适,3.5497447163731737
43428,0,哎与图片差距太大真心接受不了,11.301345852887298
38964,1,面料很好，款式时尚 穿上很舒服,2.988251200681072
32231,0,洗发水不正宗的，洗完头皮屑很多,13.224498975439692
17545,1,京东商城的商品实惠，继续支持！,4.335271032796288
36576,1,蒙牛出香蕉奶啦 味道还不错哦,27.151475467602282
6653,1,快递速度很快，平板用了还不错。,6.245706447828743
39896,1,大小合适，有弹力，辉常满意！,10.30839922320385
38971,1,刚收到货，很好，物超所值！！,8.69737862490176
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,11.31264288510085
29583,1,超值值得购买！便宜实惠真的很好,3.6192953120942875
12956,0,不咋好，显示不清楚，想贴膜的,15.447651536598856
31712,0,不好，这么贵还不好，我也是醉了,9.7347274484967
31680,0,啥时候到啊下单好几天了还没到?,14.422044809867002
60362,0,很一般，价格不高，但设备差！,7.778826966636542
45785,0,没穿几次就破2个洞，做工不好。,15.547807723417339
30820,0,被坑了，不好用，只能给一星?,27.4818931139671
10933,0,送货师傅不错，平板质量一般般,6.297572091542741
40218,1,穿上很舒服，面料不错，蛮好的,4.419309161620016
36597,1,蒙牛滴。。。口感醇厚，不错～,56.745892502457366
47403,0,衣服不行 ！！！ 快递也不给力,17.004979836690463
42213,1,质量好，做工精细。非常满意！,2.0652884429707665
31785,0,不好用，味道太浓，不适合男人,7.137998582570956
46015,0,质量没有想像的那么好，不要上当,3.6076866516262895
42170,1,款式新颖，又合身，孩子很喜欢,3.8039999310208135
43150,0,欺骗消费者！！！严重不符！！！,7.265037638460908
45415,0,商品没图上的好看，面料也不多好,14.68186838322239
30230,1,价格实惠，服务好，东西不错。,2.1684812062343797
47927,0,没收到商品，一个月了，差劲。,7.444573014523005
30018,1,好，不错，得蛮多的，划算，喜欢,12.661057194409114
26817,1,到货好快。服务好！东西满意！,3.9737286328942867
5006,1,手机不错，屏大清晰，速度快。,7.474296803314175
44936,0,洗了掉色特严重，很硬，还没穿,24.989149803789022
16856,1,还味吃，现在觉得苹果越来越甜了,14.741114164187675
3845,1,不错 很喜欢 华为平板666,26.628301559834185
28242,1,洗发水好用，洗过头发很清爽…,12.794981062294706
42123,1,可以 比较满意 穿了再来评价,7.726607525751211
34621,0,有一瓶盖子烂了，流的到处都是。,12.127479132822769
33650,0,使用一般，和国货区别不是很大！,6.883036652294912
5554,1,好好的一个好的自己选的好好好货,24.423966987969333
30937,0,说好的吹风机在哪！太垃圾了！,9.513851381425795
60557,0,服务很一般，设施和装修也不好。,2.956140168922474
46810,0,真的和网上看的差别真大，好垃圾,6.2753509134212555
25754,1,看着还可以，小的赠送旅行装不错,14.911744163463858
43705,0,物流太慢太慢，衣服不怎么样，,6.015857368070191
18630,1,个头小但很甜，用来做早餐正好。,6.38098263061681
41784,1,商品不错，物超所值。真实体验。,3.8623113466489283
45106,0,非常一般，不推荐，不要贪便宜,3.11278937827366
31546,0,昨天收到今天就降价，太过分了！,6.4458748706393045
43624,0,有股刺鼻的味道，还特别脏，差评,5.992634115917041
10107,0,差评，保护壳都没有，5星差评！,7.1650697119485836
32824,0,不好用，不适合我的发质，起头屑,9.796294381900141
4883,1,不错物流给力，值得信赖，正品，,6.509268080143111
31305,0,发来就破了。。懒得跟客服叨叨了,33.17514331660396
17539,1,性价比真他们高。。。。够味还脆,79.1313710132261
3991,1,不错，给妈妈玩游戏用的，很喜欢,3.654071534560447
35438,1,安装好了，还没用，感觉挺好的,4.948729118748862
10959,0,骗子。垃圾货。收到的卡装不了,16.402432162607937
38859,1,衣服挺好的，我一下子买了两件,2.699939676573666
33344,0,还品牌垃圾要死，越洗越多头屑。,25.164663395867432
11811,0,不好买来好后悔玩游戏好卡差评。,27.654980222074265
