,labels,text,neg_logits,pos_logits
30574,0,[MASK]开心！怀疑是假货，洗发后感觉很不好,12.21901,12.351092
7598,1,[MASK]开心！手机质量很好哎，就是没有送礼品,11.134437,12.513624
43849,0,[MASK]开心！有差异的产品，下次不会选购了,9.629984,11.450713
10361,0,[MASK]开心！东西搭配了一堆没用的，给差评,11.850682,10.398324
3099,1,[MASK]开心！一般般 会有卡顿 看电影还行,9.984697,11.262825
28438,1,[MASK]开心！不错很满意，物流小哥很给力。,7.671486,13.032642
34577,0,[MASK]开心！京东的配送就这样吗？真是失望,13.200259,10.9325075
12015,0,[MASK]开心！非常不满意，大型游戏根本玩不了,12.38267,11.627929
31819,0,[MASK]开心！垃圾京东，收钱不发货，趁早倒闭,10.494082,9.870079
42623,1,[MASK]开心！衣服面料很舒服，柔软，大小合适,7.598888,12.235678
43428,0,[MASK]开心！哎与图片差距太大真心接受不了,10.881741,10.889379
38964,1,[MASK]开心！面料很好，款式时尚 穿上很舒服,7.933623,13.036817
32231,0,[MASK]开心！洗发水不正宗的，洗完头皮屑很多,13.220796,10.528112
17545,1,[MASK]开心！京东商城的商品实惠，继续支持！,7.692317,11.726106
36576,1,[MASK]开心！蒙牛出香蕉奶啦 味道还不错哦,8.567768,11.312663
6653,1,[MASK]开心！快递速度很快，平板用了还不错。,8.505486,12.857507
39896,1,[MASK]开心！大小合适，有弹力，辉常满意！,7.1843953,11.946012
38971,1,[MASK]开心！刚收到货，很好，物超所值！！,8.272601,13.449123
41286,1,[MASK]开心！穿上变得特别帅，怎么呢？嘻嘻。,9.270836,12.003972
29583,1,[MASK]开心！超值值得购买！便宜实惠真的很好,8.341566,11.813116
12956,0,[MASK]开心！不咋好，显示不清楚，想贴膜的,11.370453,11.233634
31712,0,[MASK]开心！不好，这么贵还不好，我也是醉了,10.666403,9.8548155
31680,0,[MASK]开心！啥时候到啊下单好几天了还没到?,11.059087,11.55064
60362,0,[MASK]开心！很一般，价格不高，但设备差！,10.82974,12.241282
45785,0,[MASK]开心！没穿几次就破2个洞，做工不好。,11.846624,11.110391
30820,0,[MASK]开心！被坑了，不好用，只能给一星?,10.840235,10.463784
10933,0,[MASK]开心！送货师傅不错，平板质量一般般,9.537935,11.484
40218,1,[MASK]开心！穿上很舒服，面料不错，蛮好的,8.501461,12.98975
36597,1,[MASK]开心！蒙牛滴。。。口感醇厚，不错～,7.857436,10.733752
47403,0,[MASK]开心！衣服不行 ！！！ 快递也不给力,13.695852,9.131349
42213,1,[MASK]开心！质量好，做工精细。非常满意！,7.7468495,12.609803
31785,0,[MASK]开心！不好用，味道太浓，不适合男人,11.943671,10.278397
46015,0,[MASK]开心！质量没有想像的那么好，不要上当,9.163222,10.057154
42170,1,[MASK]开心！款式新颖，又合身，孩子很喜欢,7.905235,11.930284
43150,0,[MASK]开心！欺骗消费者！！！严重不符！！！,11.473564,8.88924
45415,0,[MASK]开心！商品没图上的好看，面料也不多好,12.013139,11.118876
30230,1,[MASK]开心！价格实惠，服务好，东西不错。,8.515407,12.212209
47927,0,[MASK]开心！没收到商品，一个月了，差劲。,11.214475,11.168761
30018,1,[MASK]开心！好，不错，得蛮多的，划算，喜欢,8.116907,10.791712
26817,1,[MASK]开心！到货好快。服务好！东西满意！,7.6512694,12.967647
5006,1,[MASK]开心！手机不错，屏大清晰，速度快。,8.386083,12.038636
44936,0,[MASK]开心！洗了掉色特严重，很硬，还没穿,11.778137,11.924565
16856,1,[MASK]开心！还味吃，现在觉得苹果越来越甜了,9.274384,11.008301
3845,1,[MASK]开心！不错 很喜欢 华为平板666,8.205561,12.748289
28242,1,[MASK]开心！洗发水好用，洗过头发很清爽…,9.628147,11.892105
42123,1,[MASK]开心！可以 比较满意 穿了再来评价,7.98236,12.282121
34621,0,[MASK]开心！有一瓶盖子烂了，流的到处都是。,9.776229,10.947721
33650,0,[MASK]开心！使用一般，和国货区别不是很大！,8.969299,12.672549
5554,1,[MASK]开心！好好的一个好的自己选的好好好货,8.380824,11.67115
30937,0,[MASK]开心！说好的吹风机在哪！太垃圾了！,12.070519,10.1644535
60557,0,[MASK]开心！服务很一般，设施和装修也不好。,12.759701,11.771154
46810,0,[MASK]开心！真的和网上看的差别真大，好垃圾,11.34528,11.595704
25754,1,[MASK]开心！看着还可以，小的赠送旅行装不错,8.861257,11.488794
43705,0,[MASK]开心！物流太慢太慢，衣服不怎么样，,11.348871,10.780365
18630,1,[MASK]开心！个头小但很甜，用来做早餐正好。,7.6054745,11.624348
41784,1,[MASK]开心！商品不错，物超所值。真实体验。,7.9710126,11.582897
45106,0,[MASK]开心！非常一般，不推荐，不要贪便宜,9.643114,10.800105
31546,0,[MASK]开心！昨天收到今天就降价，太过分了！,12.465776,11.245561
43624,0,[MASK]开心！有股刺鼻的味道，还特别脏，差评,11.923643,10.553928
10107,0,[MASK]开心！差评，保护壳都没有，5星差评！,12.488013,10.756535
32824,0,[MASK]开心！不好用，不适合我的发质，起头屑,12.640535,11.457814
4883,1,[MASK]开心！不错物流给力，值得信赖，正品，,7.888006,11.148004
31305,0,[MASK]开心！发来就破了。。懒得跟客服叨叨了,9.781747,9.649492
17539,1,[MASK]开心！性价比真他们高。。。。够味还脆,8.813503,10.630378
3991,1,[MASK]开心！不错，给妈妈玩游戏用的，很喜欢,8.27169,12.423456
35438,1,[MASK]开心！安装好了，还没用，感觉挺好的,10.410608,12.88277
10959,0,[MASK]开心！骗子。垃圾货。收到的卡装不了,11.310528,10.623378
38859,1,[MASK]开心！衣服挺好的，我一下子买了两件,9.415881,11.896165
33344,0,[MASK]开心！还品牌垃圾要死，越洗越多头屑。,11.480807,9.63791
11811,0,[MASK]开心！不好买来好后悔玩游戏好卡差评。,10.789082,9.693358
26497,1,[MASK]开心！一如既往的快，态度好，日期新。,7.510719,10.988656
39505,1,[MASK]开心！裤子面料不错的 版型很喜欢啊,8.371447,12.346457
34065,0,[MASK]开心！买了很多次，这次的是假货，失望,11.267679,11.759827
57426,0,[MASK]开心！服务不好。乱收费，非常不满意！,15.019724,10.890254
10211,0,[MASK]开心！cpu太差 一点都不流畅 亏了,12.163353,10.384614
6071,1,[MASK]开心！真正好PAD，学英语不用愁啦,7.177288,10.378537
46500,0,[MASK]开心！网上买几次都是烂货，不能相信。,12.246711,10.506477
39929,1,[MASK]开心！裤子的质量真的不错，值得表扬！,8.435873,12.751416
47506,0,[MASK]开心！穿了一次，扔了，好还是不好？,10.619698,10.5809765
6287,1,[MASK]开心！屏幕够大，上手容易，物流很快。,7.6669035,12.507326
39475,1,[MASK]开心！买回来很合适，老公很喜欢。。。,9.272239,12.946852
38335,1,[MASK]开心！质量非常不错，穿起来很舒服。,7.9638944,13.017851
32710,0,[MASK]开心！就是好难受看到你日目的地后的吧,10.486339,11.272743
7812,1,[MASK]开心！帮朋友买的，反馈信息还不错?。,8.780496,12.157888
33424,0,[MASK]开心！快递丢失 不处理 没有维权渠道,11.073555,11.120789
39217,1,[MASK]开心！很不错哦，我又要在买多一条了,9.161789,12.740516
35260,0,[MASK]开心！这个商标都掉了，可能是二手货吧,11.28925,12.072487
19076,1,[MASK]开心！苹果包装完好，吃起来香甜可口！,7.6288357,11.434255
58781,0,[MASK]开心！酒店很旧，设施陈旧！花洒漏水,11.714493,11.058149
10412,0,[MASK]开心！卡出翔，到底是不是3G运行？,10.2579775,10.568166
46154,0,[MASK]开心！物流太慢了，就凭这一条给你零分,10.512772,10.400821
34631,0,[MASK]开心！非常无语，包装是裸的，没有塑封,11.477032,11.499514
57024,0,[MASK]开心！所有的房间里的设施不是很齐全！,13.2530365,11.744843
42499,1,[MASK]开心！不错，穿上很舒服，面料也不错,7.9975953,12.452941
47937,0,[MASK]开心！不满意，色差太大！做工一般！！,13.23905,10.933238
18689,1,[MASK]开心！苹果不错！很新鲜！到货也很快！,8.272948,13.957778
47073,0,[MASK]开心！洗一次线全扯掉了，做工非常粗糙,11.521111,11.231606
14578,0,[MASK]开心！功能可以，但表面出现掉漆现象,10.602227,11.508478
33936,0,[MASK]开心！送来都爆开了，包装能用点心吗？,9.218897,9.780607
46214,0,[MASK]开心！大小不标准 垃圾货下次去桃宝买,10.565941,10.302584
