,labels,text,neg_logits,pos_logits
8711,0,[MASK]可以！病人吃啊，挂面哈拉味，汤也腥。,11.977822,6.9045043
5797,0,[MASK]可以！豆腐丝里吃出苍蝇，啥也不想说了,10.738912,6.7112374
768,1,[MASK]可以！味道很好！送的也很快！好吃！,8.472274,10.978656
2518,1,[MASK]可以！菜品好，速度快，真是太好了！,9.163984,8.732935
7638,0,[MASK]可以！这家店就直接没送，接单不送的店,11.653224,7.75383
6583,0,[MASK]可以！送餐太慢太慢了～菜品还可以～,10.01114,9.4428425
6692,0,"[MASK]可以！下次能送早点就好啦,快饿过劲啦",10.307484,7.0142
484,1,"[MASK]可以！很好吃量也很大都吃不完,赞一个",9.382038,10.086592
11295,0,[MASK]可以！下单2个小时才送到。无语了。,11.912354,7.6748023
2826,1,[MASK]可以！谢谢师傅，辛苦了！非常准时！,9.468606,7.719489
11958,0,[MASK]可以！粉很好吃，但是订了卤蛋却没有。,10.167464,8.274323
4074,0,"[MASK]可以！吃到一半发现菜里有小强,简直了",10.418411,8.287837
1568,1,[MASK]可以！米饭是硬的。。不如上一次好吃,11.801759,7.191853
10881,0,[MASK]可以！米饭里有一只蟑螂，让人怎么吃,11.90747,7.5165577
6353,0,[MASK]可以！咖喱鸡肉烩意面，不知鸡肉滋味,10.618319,7.4980855
4765,0,[MASK]可以！很慢就不说了，关键是还不好吃。,9.936522,8.983172
370,1,[MASK]可以！态度很好，效率很高，给十分赞,8.299975,8.666233
11746,0,[MASK]可以！速度慢，第一次订餐就迟到，晕,11.258874,7.8251104
8159,0,[MASK]可以！送餐走错路，袋子还破了………,12.35151,7.0669312
2366,1,[MASK]可以！一直买他家的香脆鸡肉披萨，喜欢,9.657316,9.132993
866,1,"[MASK]可以！师傅辛苦了，谢谢,下雪注意安全",10.067862,6.704086
2743,1,[MASK]可以！又快又好棒呆了哈哈哈哈哈哈哈,8.780513,7.052766
9911,0,[MASK]可以！石锅拌饭里面吃出了塑料包装纸袋,11.691572,7.360045
5045,0,[MASK]可以！菜品没味道。。。周也是。。。。,10.779417,6.9972634
1563,1,[MASK]可以！又快又好又便宜！真心给力！！！,8.695617,8.0201235
10234,0,[MASK]可以！面时间太长了，坨了，不好吃了,12.496516,7.352895
29,1,"[MASK]可以！送餐非常快,态度特别好,谢谢",9.116287,9.606894
6442,0,"[MASK]可以！太小了,味道一般,说多了都是泪",10.491706,7.8103943
467,1,[MASK]可以！送餐员辛苦，饭也好吃，继续购买,10.618486,7.4414024
58,1,"[MASK]可以！送餐特别快,送餐员态度也特别好",10.140959,10.070407
1652,1,[MASK]可以！很快，也好，包装也好，赞赞赞,8.882142,8.598521
4529,0,[MASK]可以！味道还行，就是送餐太慢了……,8.132549,9.567239
88,1,"[MASK]可以！又快又好,小哥态度很好,好评",8.843202,9.016942
4524,0,"[MASK]可以！味道就那样把,盖浇饭挺难吃的",9.898617,8.319133
3085,1,[MASK]可以！外卖小哥人超级好。。。。。。,10.587122,8.963295
10811,0,[MASK]可以！速度挺快的，面不好吃，都凉了,10.047664,7.8667455
8052,0,"[MASK]可以！点两份鸡柳,就给送,一份。。。",10.373089,7.2540545
5562,0,[MASK]可以！太慢，太小，吃不饱。味道还行,10.654181,8.239199
5132,0,[MASK]可以！不好吃。。。菜太少了。。。。,12.164426,8.337635
2537,1,[MASK]可以！配送非常快，10分钟就送到啦～,8.937854,9.234572
2730,1,[MASK]可以！人好速度快，好评好评好评！！,9.131906,7.146034
6256,0,[MASK]可以！米粉比以前份量少，没以前好了,11.032398,7.5212426
2717,1,[MASK]可以！东西非常好，还是热的，辛苦了！,9.416998,8.724841
5791,0,[MASK]可以！给的豆皮果然多，只是肉变少了,10.437912,7.467953
434,1,[MASK]可以！很快，很好，经常订，谢谢师傅,8.638493,9.165179
2067,1,[MASK]可以！非常好吃，送餐很快，绝对好评,8.654255,9.92852
8096,0,[MASK]可以！就薯条还行！其他都不怎么样！,8.696847,8.35345
1952,1,[MASK]可以！味道还好。服务态度真的很好～！,7.9356256,10.423174
6980,0,[MASK]可以！咋的跟饿了吗不一样的名，坑爹,10.042048,6.39798
2435,1,[MASK]可以！经常买这家的饺子，味道棒棒哒！,9.814072,9.1182
9055,0,[MASK]可以！没有在店里吃好吃，萝卜太多了,11.764594,8.168692
1653,1,[MASK]可以！除了速度有待加强，其他都不错,7.387935,8.205862
3654,1,[MASK]可以！没有餐具哦，还要自己点餐具么,11.830785,6.8184614
1739,1,"[MASK]可以！服务不错,但是太难吃了啊啊啊",9.334107,9.553573
11045,0,[MASK]可以！面也太少了，才半盒，我就没吃饱,11.743948,8.241305
2626,1,[MASK]可以！非常的正宗，就是羊杂汤太咸啦,8.608388,9.429304
7925,0,[MASK]可以！午餐肉实在太难吃了，千万别点,13.046953,6.842476
5910,0,[MASK]可以！真的不适合外卖，另外，真难吃,12.562899,7.980465
11336,0,[MASK]可以！我的电话打不通，不知道为什么,12.767837,7.243408
809,1,[MASK]可以！很好，速度飞快，炸鸡有点火大,8.777192,9.300927
661,1,[MASK]可以！太快了！！简直是神速啊！！！,9.865011,7.092725
396,1,"[MASK]可以！第二次买了,挺好的,以后继续",10.573558,8.504215
5702,0,[MASK]可以！我备注要的粥，结果送来的是饮料,11.7825365,7.399116
10859,0,[MASK]可以！赠送的黄飞红花生呢？没送啊！！,10.839487,6.2655387
280,1,[MASK]可以！非常好送的很快，，，还是热的。,8.29898,9.0529
184,1,[MASK]可以！好好好！赞赞赞！态度好速度快！,9.383192,7.356456
2289,1,[MASK]可以！味道很好而且很实惠送得也很快,9.149515,9.748873
4775,0,[MASK]可以！包装牛逼，送餐速度……咳咳……,9.295798,7.5890636
2711,1,"[MASK]可以！番茄醬撒了QAQ,其他nice",9.370521,6.2203526
854,1,"[MASK]可以！粥里有头发,就没吃,剩下都好吃",10.897784,7.72706
5116,0,[MASK]可以！太慢了，俩小时连个解释也没有,12.159327,6.9826
2377,1,[MASK]可以！速度挺快的东西也挺好的给赞~,8.48655,8.195268
4429,0,[MASK]可以！肥肉太多吃的时候还把嘴唇拿破了,12.352214,7.0160227
11423,0,[MASK]可以！饭菜都凉的，一个多小时才送来,10.888941,8.04349
7151,0,[MASK]可以！地三鲜，茄子里面有很多是生的,11.423587,8.010782
901,1,[MASK]可以！我吃出来一个钢丝球上的一个丝,11.594335,7.1075387
5808,0,[MASK]可以！不好吃，包子还不熟，都硬邦邦的,12.607749,8.1101675
2679,1,[MASK]可以！味道好，包装好，送餐及时，不错,8.585424,9.72332
11060,0,[MASK]可以！差评，退款太慢！我说的是百度！,12.19653,7.5988927
10479,0,"[MASK]可以！送错了,打电话要求补送也不送",12.376126,6.819301
8079,0,[MASK]可以！送的时间太晚了，一个小时才送来,11.905218,7.981532
4617,0,[MASK]可以！送餐很慢，饿死了，味道很一般,11.283147,9.279472
2406,1,[MASK]可以！挺好的，速度也不错，以后还来,8.0123825,8.237615
2682,1,[MASK]可以！大叔特别面善！饭食用料很好！,9.229914,9.826849
2442,1,[MASK]可以！大冷天的百度骑士真是辛苦了～,10.801579,6.7117763
963,1,[MASK]可以！肉很多，味道不错，配送也很快,8.145813,10.0489855
