,labels,text,neg_logits,pos_logits
30574,0,[MASK]喜欢。怀疑是假货，洗发后感觉很不好,13.617226,13.433568
7598,1,[MASK]喜欢。手机质量很好哎，就是没有送礼品,12.014921,13.38669
43849,0,[MASK]喜欢。有差异的产品，下次不会选购了,11.665277,10.183887
10361,0,[MASK]喜欢。东西搭配了一堆没用的，给差评,14.049549,10.3127365
3099,1,[MASK]喜欢。一般般 会有卡顿 看电影还行,11.859224,10.990296
28438,1,[MASK]喜欢。不错很满意，物流小哥很给力。,10.127156,14.591447
34577,0,[MASK]喜欢。京东的配送就这样吗？真是失望,13.902975,11.608545
12015,0,[MASK]喜欢。非常不满意，大型游戏根本玩不了,13.588656,11.956053
31819,0,[MASK]喜欢。垃圾京东，收钱不发货，趁早倒闭,13.2325735,9.697547
42623,1,[MASK]喜欢。衣服面料很舒服，柔软，大小合适,10.263099,12.831056
43428,0,[MASK]喜欢。哎与图片差距太大真心接受不了,11.88137,11.887971
38964,1,[MASK]喜欢。面料很好，款式时尚 穿上很舒服,10.157586,13.834009
32231,0,[MASK]喜欢。洗发水不正宗的，洗完头皮屑很多,14.431459,11.447963
17545,1,[MASK]喜欢。京东商城的商品实惠，继续支持！,10.252586,12.389459
36576,1,[MASK]喜欢。蒙牛出香蕉奶啦 味道还不错哦,11.011491,12.911773
6653,1,[MASK]喜欢。快递速度很快，平板用了还不错。,11.31011,13.844982
39896,1,[MASK]喜欢。大小合适，有弹力，辉常满意！,8.680521,12.791273
38971,1,[MASK]喜欢。刚收到货，很好，物超所值！！,10.2750435,13.553574
41286,1,[MASK]喜欢。穿上变得特别帅，怎么呢？嘻嘻。,11.301396,11.979087
29583,1,[MASK]喜欢。超值值得购买！便宜实惠真的很好,8.91433,12.278163
12956,0,[MASK]喜欢。不咋好，显示不清楚，想贴膜的,12.687905,11.288531
31712,0,[MASK]喜欢。不好，这么贵还不好，我也是醉了,12.437739,11.211821
31680,0,[MASK]喜欢。啥时候到啊下单好几天了还没到?,11.087104,11.7784395
60362,0,[MASK]喜欢。很一般，价格不高，但设备差！,11.451545,12.25997
45785,0,[MASK]喜欢。没穿几次就破2个洞，做工不好。,14.190114,11.4834385
30820,0,[MASK]喜欢。被坑了，不好用，只能给一星?,12.591577,11.490922
10933,0,[MASK]喜欢。送货师傅不错，平板质量一般般,11.496283,12.280176
40218,1,[MASK]喜欢。穿上很舒服，面料不错，蛮好的,10.409295,13.704164
36597,1,[MASK]喜欢。蒙牛滴。。。口感醇厚，不错～,11.499058,11.843242
47403,0,[MASK]喜欢。衣服不行 ！！！ 快递也不给力,14.602871,10.315042
42213,1,[MASK]喜欢。质量好，做工精细。非常满意！,9.182353,12.99419
31785,0,[MASK]喜欢。不好用，味道太浓，不适合男人,14.9457,11.374269
46015,0,[MASK]喜欢。质量没有想像的那么好，不要上当,12.20605,11.300942
42170,1,[MASK]喜欢。款式新颖，又合身，孩子很喜欢,9.7308855,13.37469
43150,0,[MASK]喜欢。欺骗消费者！！！严重不符！！！,14.143101,9.001548
45415,0,[MASK]喜欢。商品没图上的好看，面料也不多好,12.787847,10.521361
30230,1,[MASK]喜欢。价格实惠，服务好，东西不错。,9.556571,12.721113
47927,0,[MASK]喜欢。没收到商品，一个月了，差劲。,14.411335,10.392922
30018,1,[MASK]喜欢。好，不错，得蛮多的，划算，喜欢,10.696364,9.422219
26817,1,[MASK]喜欢。到货好快。服务好！东西满意！,9.244309,11.73851
5006,1,[MASK]喜欢。手机不错，屏大清晰，速度快。,10.505143,12.595056
44936,0,[MASK]喜欢。洗了掉色特严重，很硬，还没穿,13.496271,12.851182
16856,1,[MASK]喜欢。还味吃，现在觉得苹果越来越甜了,12.581919,12.493585
3845,1,[MASK]喜欢。不错 很喜欢 华为平板666,11.157619,14.107913
28242,1,[MASK]喜欢。洗发水好用，洗过头发很清爽…,10.55645,12.543125
