,labels,text,neg_logits,pos_logits
30574,0,[MASK]满意。怀疑是假货，洗发后感觉很不好,13.434581,11.185055
7598,1,[MASK]满意。手机质量很好哎，就是没有送礼品,12.391232,11.757789
43849,0,[MASK]满意。有差异的产品，下次不会选购了,10.239268,9.903606
10361,0,[MASK]满意。东西搭配了一堆没用的，给差评,12.380556,10.304452
3099,1,[MASK]满意。一般般 会有卡顿 看电影还行,11.305945,10.512967
28438,1,[MASK]满意。不错很满意，物流小哥很给力。,9.787883,12.895713
34577,0,[MASK]满意。京东的配送就这样吗？真是失望,12.966288,10.561609
12015,0,[MASK]满意。非常不满意，大型游戏根本玩不了,13.872793,10.547813
31819,0,[MASK]满意。垃圾京东，收钱不发货，趁早倒闭,10.930346,8.704766
42623,1,[MASK]满意。衣服面料很舒服，柔软，大小合适,9.56659,13.184338
43428,0,[MASK]满意。哎与图片差距太大真心接受不了,11.686531,10.520601
38964,1,[MASK]满意。面料很好，款式时尚 穿上很舒服,9.737111,13.768766
32231,0,[MASK]满意。洗发水不正宗的，洗完头皮屑很多,13.021196,10.925108
17545,1,[MASK]满意。京东商城的商品实惠，继续支持！,8.027671,10.324523
36576,1,[MASK]满意。蒙牛出香蕉奶啦 味道还不错哦,9.975468,11.659571
6653,1,[MASK]满意。快递速度很快，平板用了还不错。,10.017073,13.409717
39896,1,[MASK]满意。大小合适，有弹力，辉常满意！,8.854212,11.723937
38971,1,[MASK]满意。刚收到货，很好，物超所值！！,9.842121,13.280356
41286,1,[MASK]满意。穿上变得特别帅，怎么呢？嘻嘻。,10.944392,11.907502
29583,1,[MASK]满意。超值值得购买！便宜实惠真的很好,9.434485,12.723673
12956,0,[MASK]满意。不咋好，显示不清楚，想贴膜的,13.001409,9.894748
31712,0,[MASK]满意。不好，这么贵还不好，我也是醉了,11.249419,9.828744
31680,0,[MASK]满意。啥时候到啊下单好几天了还没到?,11.983071,9.996706
60362,0,[MASK]满意。很一般，价格不高，但设备差！,12.43185,11.556647
