,labels,text,ppl
23455,0,第二部就不该拍竟然还出第三部,14.422497044617625
37994,1,局气！规矩！管虎导了俩影帝了！,546.8928713273539
45474,0,前半段真好看，后半段越来越萎,12.225390691360808
37018,0,前面的剧情看得我尴尬癌都犯了,24.001520232668145
39152,0,混乱的情节，特么矫情无下限。,21.702751121172273
4952,0,适合能静得下心和有故事的人。,9.731131154658327
49922,1,最是人间留不住朱颜辞镜花辞树,476.54543509798594
18895,1,超级治愈又感人，狗狗真的好暖心,14.85638110451203
16855,0,密室设定很有意思，可惜未能维持,21.224584994703186
33344,1,原来巴萨的德国馆还有这个用处,45.94544400703281
43014,1,丫丫真的太美了，前夫哥好可爱,41.90370443092991
30945,0,烂的一逼，啥都没有，狗屁不通。,21.00004788591448
11202,1,这个玛丽苏我喜欢很好看求续集,58.598007586452965
43097,1,看了点映，好多戳中我泪点??,194.99435664292514
7229,0,郑恺和郭采洁还挺有cp感的。,54.727929058311496
46824,0,民乐要靠二次元来拯救了嘛……,90.92875845597209
44791,1,反正我追完了，为了女主的颜值,29.58227635966739
40750,0,我朋友说，她尴尬得想原地去世。,28.713055014245906
24357,0,今年作品太多了，有点透支了。,10.192248629109853
12065,0,我是真的觉得孙悟空的扮相太丑了,25.605729494502334
44782,1,还可以吧……感觉题材还算新颖,5.571914460988257
11314,0,看完情圣来评评这部这部比情圣好,24.638874539514426
19047,1,它令我想起曾经怦然心动的轻吻,12.388425077030128
45899,0,发哥抄着烂片专业户就去了。。。,268.9309945991729
14214,0,第一集演得什么玩意儿，尴尬死了,14.002816857683836
31414,1,热热闹闹的，看得我好开心啊。,8.282983230298846
25276,0,煽情煽成了MV，大家都笑了。,24.36458607507485
47776,1,最喜欢的科幻故事，很成功的改编,5.446830036945566
45012,1,还算可以哦，故事讲的挺精彩！,22.8943437461948
49786,0,被黑天鹅惊艳到了！美轮美奂！,21.032016850879742
11029,0,到底在演什麼啊？？大爛片！！！,49.89897181400499
30704,1,卧槽我竟然看过啊啊啊啊啊啊啊,11.651598573761273
3121,1,你无车无楼无番狗做乜要拖我手,653.1889531889581
9512,0,最弱版劳拉了吧？太弱了太无聊了,129.25514894791837
15976,0,重拍经典，孩子对恐惧的克服。,12.27506343638392
26862,1,太好看了！笑得我内分泌失调！,36.15600569013419
30395,0,本来两星，加一星给受罪的演员吧,88.54595523176543
22972,0,《星际特工：全宇宙看我们尬爱》,45.27503691926663
30570,0,特效不错啊，但剧情就大简单了,18.90025697511404
20588,0,气氛到位，演员不存，故事简单！,19.453200046952798
13869,0,看的点映，形式“精致”的大烂片,67.99480045441815
24216,1,最后居然没搞你们还是人吗？？？,57.6106359182374
32991,0,平淡真实不温不火我没懂哭点在哪,147.09948971511
1732,1,其实伍迪哈里森演的是一个天使,28.570728956649265
4472,1,陈可辛拍商业文艺片真的不错~~,30.52963369951179
33439,0,泡泡妹子打打架，兄弟情在哪？,52.56661366516771
11847,0,一部非常尬的电影。不推荐观看。,5.9612947007062935
16369,0,张艺谋式的漂亮画面，何必3D。,39.0883250059422
31321,0,"我不信你们没东西怼地雷啊=""=",156.13306599090865
18949,1,少男少女必看，爱与美的启蒙。,17.96768000415843
32102,1,迪斯尼的动画很赞，配乐很好听！,28.431393530810094
9630,1,喜欢坎妹素颜的劳拉，期待后续。,62.0231984148303
1571,1,演小安生的小朋友很像岳云鹏啊。,88.8956305462538
38226,1,你猜不到的结局…猜不到的惊异…,18.070103743590924
17406,0,卡尔文老师不是触手，是海蜇皮啊,64.75082005306562
