,labels,text,neg_logits,pos_logits
30574,0,[MASK]开心。怀疑是假货，洗发后感觉很不好,3.9978552,10.918768
7598,1,[MASK]开心。手机质量很好哎，就是没有送礼品,3.7495313,11.745093
43849,0,[MASK]开心。有差异的产品，下次不会选购了,3.359429,9.862397
10361,0,[MASK]开心。东西搭配了一堆没用的，给差评,3.9053092,10.606846
3099,1,[MASK]开心。一般般 会有卡顿 看电影还行,3.9568326,9.19971
28438,1,[MASK]开心。不错很满意，物流小哥很给力。,2.333963,11.411418
34577,0,[MASK]开心。京东的配送就这样吗？真是失望,4.1155443,10.841615
12015,0,[MASK]开心。非常不满意，大型游戏根本玩不了,3.3609927,9.780755
31819,0,[MASK]开心。垃圾京东，收钱不发货，趁早倒闭,3.6516109,8.998008
42623,1,[MASK]开心。衣服面料很舒服，柔软，大小合适,3.2774112,10.785212
43428,0,[MASK]开心。哎与图片差距太大真心接受不了,3.3872094,11.514646
38964,1,[MASK]开心。面料很好，款式时尚 穿上很舒服,3.197253,11.648956
32231,0,[MASK]开心。洗发水不正宗的，洗完头皮屑很多,4.3427715,10.670687
17545,1,[MASK]开心。京东商城的商品实惠，继续支持！,2.1489806,8.823867
36576,1,[MASK]开心。蒙牛出香蕉奶啦 味道还不错哦,3.8715339,11.777295
6653,1,[MASK]开心。快递速度很快，平板用了还不错。,2.6311326,11.034995
39896,1,[MASK]开心。大小合适，有弹力，辉常满意！,2.2755,9.32069
38971,1,[MASK]开心。刚收到货，很好，物超所值！！,2.8963091,12.37021
41286,1,[MASK]开心。穿上变得特别帅，怎么呢？嘻嘻。,3.2695637,11.995566
29583,1,[MASK]开心。超值值得购买！便宜实惠真的很好,2.5631635,10.065874
12956,0,[MASK]开心。不咋好，显示不清楚，想贴膜的,3.5585322,10.664196
31712,0,[MASK]开心。不好，这么贵还不好，我也是醉了,3.6262236,10.140968
31680,0,[MASK]开心。啥时候到啊下单好几天了还没到?,3.2873442,12.407668
60362,0,[MASK]开心。很一般，价格不高，但设备差！,2.7318585,10.158229
45785,0,[MASK]开心。没穿几次就破2个洞，做工不好。,4.1320887,10.0538025
30820,0,[MASK]开心。被坑了，不好用，只能给一星?,3.3552506,10.765736
10933,0,[MASK]开心。送货师傅不错，平板质量一般般,3.2181602,9.749779
40218,1,[MASK]开心。穿上很舒服，面料不错，蛮好的,3.261167,11.5718355
36597,1,[MASK]开心。蒙牛滴。。。口感醇厚，不错～,3.0265317,10.245429
47403,0,[MASK]开心。衣服不行 ！！！ 快递也不给力,4.4031315,9.604979
42213,1,[MASK]开心。质量好，做工精细。非常满意！,2.3071911,9.828664
31785,0,[MASK]开心。不好用，味道太浓，不适合男人,3.7334614,8.73189
46015,0,[MASK]开心。质量没有想像的那么好，不要上当,3.640877,7.926238
42170,1,[MASK]开心。款式新颖，又合身，孩子很喜欢,3.3016496,10.489058
43150,0,[MASK]开心。欺骗消费者！！！严重不符！！！,3.107915,7.7818193
45415,0,[MASK]开心。商品没图上的好看，面料也不多好,3.8463078,10.1191845
30230,1,[MASK]开心。价格实惠，服务好，东西不错。,3.0392504,9.551004
47927,0,[MASK]开心。没收到商品，一个月了，差劲。,4.2441063,10.587458
30018,1,[MASK]开心。好，不错，得蛮多的，划算，喜欢,3.252187,9.231116
26817,1,[MASK]开心。到货好快。服务好！东西满意！,2.6090117,12.583749
5006,1,[MASK]开心。手机不错，屏大清晰，速度快。,2.9335592,10.136057
44936,0,[MASK]开心。洗了掉色特严重，很硬，还没穿,3.2007864,11.518828
16856,1,[MASK]开心。还味吃，现在觉得苹果越来越甜了,4.0566273,11.163807
3845,1,[MASK]开心。不错 很喜欢 华为平板666,2.6011105,10.854465
28242,1,[MASK]开心。洗发水好用，洗过头发很清爽…,3.1035178,11.229785
42123,1,[MASK]开心。可以 比较满意 穿了再来评价,2.215225,10.567169
34621,0,[MASK]开心。有一瓶盖子烂了，流的到处都是。,3.8483617,10.777585
33650,0,[MASK]开心。使用一般，和国货区别不是很大！,2.4614172,10.053218
5554,1,[MASK]开心。好好的一个好的自己选的好好好货,3.048164,11.169766
30937,0,[MASK]开心。说好的吹风机在哪！太垃圾了！,4.3305826,10.964824
60557,0,[MASK]开心。服务很一般，设施和装修也不好。,4.4278564,9.470453
46810,0,[MASK]开心。真的和网上看的差别真大，好垃圾,3.154355,12.3480425
25754,1,[MASK]开心。看着还可以，小的赠送旅行装不错,3.3671408,10.80215
43705,0,[MASK]开心。物流太慢太慢，衣服不怎么样，,3.973021,9.801383
18630,1,[MASK]开心。个头小但很甜，用来做早餐正好。,2.9038465,10.794769
41784,1,[MASK]开心。商品不错，物超所值。真实体验。,2.684154,9.642701
45106,0,[MASK]开心。非常一般，不推荐，不要贪便宜,3.0610054,8.265003
31546,0,[MASK]开心。昨天收到今天就降价，太过分了！,3.647596,11.057094
43624,0,[MASK]开心。有股刺鼻的味道，还特别脏，差评,3.4590635,10.439869
10107,0,[MASK]开心。差评，保护壳都没有，5星差评！,3.5223014,10.621165
32824,0,[MASK]开心。不好用，不适合我的发质，起头屑,3.790314,11.098271
4883,1,[MASK]开心。不错物流给力，值得信赖，正品，,2.859193,9.462611
31305,0,[MASK]开心。发来就破了。。懒得跟客服叨叨了,3.709276,10.114686
17539,1,[MASK]开心。性价比真他们高。。。。够味还脆,3.0733085,10.254004
3991,1,[MASK]开心。不错，给妈妈玩游戏用的，很喜欢,2.997202,11.304872
35438,1,[MASK]开心。安装好了，还没用，感觉挺好的,3.324947,11.983238
10959,0,[MASK]开心。骗子。垃圾货。收到的卡装不了,3.7501667,9.226217
38859,1,[MASK]开心。衣服挺好的，我一下子买了两件,3.303935,11.554113
33344,0,[MASK]开心。还品牌垃圾要死，越洗越多头屑。,4.8585434,10.09339
11811,0,[MASK]开心。不好买来好后悔玩游戏好卡差评。,3.1156855,10.875935
26497,1,[MASK]开心。一如既往的快，态度好，日期新。,2.0767019,8.979769
39505,1,[MASK]开心。裤子面料不错的 版型很喜欢啊,2.9854982,11.593233
34065,0,[MASK]开心。买了很多次，这次的是假货，失望,3.9364653,11.429069
57426,0,[MASK]开心。服务不好。乱收费，非常不满意！,4.441897,7.694047
10211,0,[MASK]开心。cpu太差 一点都不流畅 亏了,3.5434868,10.407601
6071,1,[MASK]开心。真正好PAD，学英语不用愁啦,3.8628924,9.702078
46500,0,[MASK]开心。网上买几次都是烂货，不能相信。,4.521067,9.735581
39929,1,[MASK]开心。裤子的质量真的不错，值得表扬！,3.0111315,11.825559
47506,0,[MASK]开心。穿了一次，扔了，好还是不好？,3.836492,10.486391
6287,1,[MASK]开心。屏幕够大，上手容易，物流很快。,2.7514625,10.561597
39475,1,[MASK]开心。买回来很合适，老公很喜欢。。。,2.021249,11.428283
38335,1,[MASK]开心。质量非常不错，穿起来很舒服。,2.7768548,11.064308
32710,0,[MASK]开心。就是好难受看到你日目的地后的吧,3.176431,13.506684
7812,1,[MASK]开心。帮朋友买的，反馈信息还不错?。,3.0536008,11.112253
33424,0,[MASK]开心。快递丢失 不处理 没有维权渠道,3.5404646,9.47153
39217,1,[MASK]开心。很不错哦，我又要在买多一条了,3.1028247,12.433093
35260,0,[MASK]开心。这个商标都掉了，可能是二手货吧,3.1074452,11.234269
19076,1,[MASK]开心。苹果包装完好，吃起来香甜可口！,3.290148,11.2544155
58781,0,[MASK]开心。酒店很旧，设施陈旧！花洒漏水,4.0020967,10.470882
10412,0,[MASK]开心。卡出翔，到底是不是3G运行？,3.2117677,10.263903
46154,0,[MASK]开心。物流太慢了，就凭这一条给你零分,3.57967,9.866538
34631,0,[MASK]开心。非常无语，包装是裸的，没有塑封,3.5998948,10.72104
57024,0,[MASK]开心。所有的房间里的设施不是很齐全！,3.9561698,10.805451
42499,1,[MASK]开心。不错，穿上很舒服，面料也不错,2.993075,11.015914
47937,0,[MASK]开心。不满意，色差太大！做工一般！！,3.1944528,9.30041
18689,1,[MASK]开心。苹果不错！很新鲜！到货也很快！,2.8264666,11.687657
47073,0,[MASK]开心。洗一次线全扯掉了，做工非常粗糙,3.4033644,10.9319935
14578,0,[MASK]开心。功能可以，但表面出现掉漆现象,2.8159165,9.041599
33936,0,[MASK]开心。送来都爆开了，包装能用点心吗？,3.0641742,10.35033
46214,0,[MASK]开心。大小不标准 垃圾货下次去桃宝买,3.3702822,10.102921
18541,1,[MASK]开心。统一大小，味道一般，包装很好。,2.7764716,10.367882
6147,1,[MASK]开心。东西不错，真的很喜欢很喜欢。,2.6944163,11.284945
35038,0,[MASK]开心。一点都不好，，，洗了很痒，差评,4.150224,10.472972
21809,0,[MASK]开心。包装不错，口号不太好，很硬不甜,2.7539785,9.661324
47351,0,[MASK]开心。太差了，以后不会买了，懒得退,3.6043112,10.860502
11255,0,[MASK]开心。分辨率太低了，看着模糊，后悔了,3.9327104,11.169256
6495,1,[MASK]开心。我这个是给妈妈买的，她很喜欢,3.3095229,11.765011
27960,1,[MASK]开心。还行吧，感觉可以满意。好评！,3.29457,11.170915
59784,0,[MASK]开心。凑合吧，旺季也不便宜，隔音太差,4.0050383,8.575554
30190,1,[MASK]开心。比超市便宜，还方便，省的逛超市,3.8166926,10.377989
41065,1,[MASK]开心。一直喜欢的牌子，好好好好好……,2.9784617,11.242833
12495,0,[MASK]开心。不好不好不好，真的不好，上当,4.604775,10.033827
4490,1,[MASK]开心。刚拿到还没用还知道功能什么样,3.3078902,11.94864
37775,0,[MASK]开心。你让我这个蒙牛脑残粉情何以堪？,3.480829,10.355517
18639,1,[MASK]开心。苹果个小点，颜色一般吃着还行。,3.4348102,10.451811
6522,1,[MASK]开心。不错很好，京东快递给力棒棒哒,3.1204245,11.394605
45361,0,[MASK]开心。穿了两次，而且面料粗糙，易脏,3.3743598,11.069175
23149,0,[MASK]开心。心好几个发黑的。潘石译太差了！,3.6921227,10.64154
45269,0,[MASK]开心。号码偏小，是棉的，颜色也还可以,2.774177,10.422895
45110,0,[MASK]开心。不好，有味非常刺鼻，而且还慢！,2.82839,9.6727295
36596,1,[MASK]开心。果断的支持下，还是蒙牛厉害啊,4.01754,10.718779
34714,0,[MASK]开心。京东客服很垃圾，购买商品注意,3.6246183,9.923761
39832,1,[MASK]开心。哈哈哈红红火火恍恍惚惚哈哈哈哈,3.5285811,11.85687
43503,0,[MASK]开心。质量和版型和图片不一样，不好看,3.2834554,10.1751375
18791,1,[MASK]开心。刚收到，看着还可以。还没有吃。,3.0951285,12.16775
5050,1,[MASK]开心。不错，暂时用着各方面都很满意,2.5344224,10.520373
45857,0,[MASK]开心。等啦一个星期才到，无敌的郁闷,3.9636703,11.795515
38304,1,[MASK]开心。非常愉快的一次购物。价廉物美。,2.7754686,11.889902
32290,0,[MASK]开心。太差劲了，根本和实体店的不同,3.2937002,10.098472
17172,1,[MASK]开心。早上下单，晚上收到，物流很快。,2.6112692,12.001433
26214,1,[MASK]开心。看着挺好的 洗发水我 还没用,3.4133942,11.49153
43653,0,[MASK]开心。不好 买回来穿一次口袋就破了,3.8577142,10.7002945
28796,1,[MASK]开心。给家人买的，家人都喜欢用这个。,3.4300845,11.057328
45067,0,[MASK]开心。买回一看，跟夜市买的一样，*,3.4762874,10.00677
40256,1,[MASK]开心。白色质量一般般，料子不是很好！,2.917142,10.390509
12627,0,[MASK]开心。wifi不靠谱，上网有限制。,3.765925,9.37276
20546,0,[MASK]开心。苹果有坏的，不新鲜，自欺欺人。,4.7216134,8.360147
41781,1,[MASK]开心。裤子质量挺好的 料子很舒服啊,3.0342257,11.581053
5986,1,[MASK]开心。除了不是全网通以外，其他都蛮好,2.600624,10.983616
61796,0,[MASK]开心。服务差，环境差，缺乏管理和训练,4.548564,6.567425
47908,0,[MASK]开心。非常多小碎毛，穿了一次起球球,3.1617992,11.180357
4899,1,[MASK]开心。机器很不错，外观漂亮 包装精美,3.1424246,10.460956
7036,1,[MASK]开心。买的第二个了物有所值相信京东,2.9202201,10.666599
40508,1,[MASK]开心。质量看着还好，就是有点瘦了。,3.8409247,11.355276
31474,0,[MASK]开心。这物流是蜗牛～产品有待考证～,2.9238474,10.948674
4337,1,[MASK]开心。帮侄子买的，小朋友说挺好用的。,3.3208115,11.555936
40660,1,[MASK]开心。手感不错 料子不错 样式不错,2.7597132,9.831528
12511,0,[MASK]开心。二手的机子 电池不抗用 太坑了,3.4046948,10.048122
28485,1,[MASK]开心。支持大牌！重要的是搞活动便宜！,2.8448167,9.136062
42157,1,[MASK]开心。物美价廉，顶顶顶顶顶顶顶顶顶,2.5604532,9.577449
35078,0,[MASK]开心。洗完头很多头皮屑，怀疑买的假货,3.9874353,11.6479225
39965,1,[MASK]开心。质量不错，值得购买，价钱也实惠,2.7523875,9.399487
35703,1,[MASK]开心。产品就不评价了，正在使用中。,2.5451865,10.141073
31868,0,[MASK]开心。沙宣的产品，得看个人适不适合,2.9886596,8.735635
5547,1,[MASK]开心。真心好用！原装最新版本！喜欢！,2.8210034,11.0138035
44544,0,[MASK]开心。差评 拉链不行，各位兄弟注意了,3.056501,10.818084
42912,1,[MASK]开心。很好，质量不错，店家态度挺好,2.6223834,10.900576
7180,1,[MASK]开心。不错，非常好用！流畅，不卡。,2.6822557,10.463409
7323,1,[MASK]开心。京东我信任！便宜实惠邮寄快！,2.6538036,8.799707
5333,1,[MASK]开心。超爽啊，比我之前用的三星好多了,2.783729,11.779473
31995,0,[MASK]开心。真假噶时间看书考试计算机技术,3.1586547,9.513965
46205,0,[MASK]开心。真的差，都不想在班尼路买衣服了,3.5267882,11.691751
12993,0,[MASK]开心。什么玩意，服了京东了！垃圾，,3.8082695,10.817607
45391,0,[MASK]开心。不满意，希望下次不要让我失望,4.595011,10.305152
5688,1,[MASK]开心。速度还不错，还好卖的是32G的,3.2152395,11.0384865
38275,1,[MASK]开心。舒服，就是质量一般，就值这个价,3.067625,8.519365
7874,1,[MASK]开心。还可以吧，用了几天暂时没问题,3.4707057,10.963704
12584,0,[MASK]开心。耗电快，反应慢，还没有提供发票,3.5370183,10.440323
17836,1,[MASK]开心。很好，价廉物美经济实惠值得购买,2.788567,10.262175
5859,1,[MASK]开心。商品很好 发货很快 服务很好,2.4216058,11.526494
35723,1,[MASK]开心。美的热水器挺好用的，感觉不错,3.334494,10.975896
25549,1,[MASK]开心。京东自营的就是货真价实！！！,2.885676,9.778272
29724,1,[MASK]开心。不错，和实体店的一样，很满意的,2.3245695,10.8126135
12196,0,[MASK]开心。我觉得京东我都不会再买东西了，,2.839833,11.012913
41718,1,[MASK]开心。样式不错 颜色不错 穿上很舒服,2.9889696,11.208439
46444,0,[MASK]开心。尺码不对，颜色也不对，能不能放,3.151366,9.944958
31748,0,[MASK]开心。不好用，洗过头后，满头头皮屑,3.597487,10.335939
11185,0,[MASK]开心。物流很快，但是机子不理想，卡,3.257469,10.388626
9183,0,[MASK]开心。用两个月就死机，商家不厚道，,3.7398684,9.641941
32423,0,[MASK]开心。哎、不想说什么、居然不给我退！,4.1687646,11.366509
34298,0,[MASK]开心。说好送浴巾的却不发，差评，*,4.150983,9.865503
3087,1,[MASK]开心。外观不错，手感也很好，非常喜欢,2.8807898,10.502737
8613,0,[MASK]开心。差了 在50公分高跌落就这样了,3.5932076,10.991963
46772,0,[MASK]开心。很差很差，衣服和图片上的差很远,3.212665,11.41209
20910,0,[MASK]开心。包装不错，东西可咋说，不咋地。,3.2212768,9.600842
44208,0,[MASK]开心。**店铺，从购买到换货不负责任,2.6054645,8.617292
38737,1,[MASK]开心。很不错 男朋友很喜欢 强力推荐,2.4155166,10.31013
37785,0,[MASK]开心。蒙牛伤不起啊！喝蒙牛更伤不起！,4.3437543,8.752975
6390,1,[MASK]开心。质量还行，这个价位还是不错的,2.8216915,10.14033
28231,1,[MASK]开心。不错的，送货速度快，价格实惠。,3.0659552,9.4558935
15581,1,[MASK]开心。还不错，一直购买的品牌....,2.8742394,10.843653
30847,0,[MASK]开心。还没开始用，价格和超市差不多。,3.1390538,10.987285
37974,0,[MASK]开心。如果是真的就卸载一切360软件,3.5003443,9.818594
26977,1,[MASK]开心。套装商品还满减谁不心动不如行动,3.4145525,9.126867
5066,1,[MASK]开心。商品很不错，京东加油！支持！！,2.622054,10.461103
12871,0,[MASK]开心。怎么我刚才差评会不见了呢？？？,3.1581545,12.178837
21666,0,[MASK]开心。大家看看这样的苹果要怎么吃啊！,3.3215806,11.793705
43538,0,[MASK]开心。一般！用手摸起来硬硬的，假贷！,3.5574443,10.403142
19599,1,[MASK]开心。果子个头刚刚好，新鲜，准时送达,3.2455053,10.92944
5314,1,[MASK]开心。机器很好，公司内部使用小巧，赞,2.5137634,10.385133
34476,0,[MASK]开心。垃圾 不取屑 太垃圾了 假货,3.4840608,9.678864
17367,1,[MASK]开心。第一买水果遇到几个坏的，无语了,3.7492425,11.671007
4210,1,[MASK]开心。总体来说还不错吧，看视频够了,3.3179977,11.071678
7591,1,"[MASK]开心。不错,很好！！！！值得推荐！",1.5290806,8.120116
37659,0,[MASK]开心。现在基本不喝蒙牛了～ 昏倒!,4.178584,11.465289
38241,1,[MASK]开心。面料，款式很好，买了很多件了。,2.613111,11.884355
34824,0,[MASK]开心。太少了！严重与图？不符！！！,3.9195728,10.951334
19671,1,[MASK]开心。苹果，脆，甜，同事也一起来买!,2.862984,10.536779
23935,0,[MASK]开心。总体挺好，不过里边有个别是坏的,2.938646,10.095698
33016,0,[MASK]开心。味道不对。和超市买的不一样。,4.1871786,8.743275
15177,0,[MASK]开心。信号不好~！而且可以下铃声~~,3.1626065,9.76816
35813,1,[MASK]开心。使用后真心不错，现在才评价。,2.455539,10.377415
18578,1,[MASK]开心。发货速度快，包装完整，个头大。,3.0788677,10.297448
36211,1,[MASK]开心。强大的蒙牛 笑翻了~ 转发微博,3.496645,11.271451
42374,1,[MASK]开心。穿着舒服，面料很柔软，真的不错,3.5019255,11.602712
7235,1,[MASK]开心。太棒了，性价比很好必须给好评。,2.4693677,11.489385
20223,1,[MASK]开心。个头不大，有伤疤，以后不会回购,2.954409,9.901613
38588,1,[MASK]开心。质量很好，面料不错，样式很好看,2.715493,11.022653
9585,0,[MASK]开心。这2g的网，老年人都嫌慢。。,3.162571,9.721499
33252,0,[MASK]开心。用过后有头皮屑，没实体店的好用,3.545332,11.131649
29716,1,[MASK]开心。还是原来的味道！浓浓的潘婷味！,3.275966,11.6892605
14641,0,[MASK]开心。难道这就是中国奸商的经营之道？,4.079823,9.611848
42029,1,[MASK]开心。衣服挺好，快递挺快，好评！！！,2.9050252,11.564421
34637,0,[MASK]开心。买了套装居然没送两瓶小的，差评,3.7062883,11.402984
45291,0,[MASK]开心。与实物不一样，颜色不怎么好看！,3.1271563,10.747178
61384,0,[MASK]开心。又小又脏 态度一般 不推荐 嗯,4.157023,8.387154
46171,0,[MASK]开心。本来买小了换了好久，有条裂缝,3.6535609,11.5349245
44611,0,[MASK]开心。一点都不好，这叫什么黑色，坑人,3.9752355,9.435673
34163,0,[MASK]开心。赠品还需要领取才有，真是少见。,3.836453,10.67647
34940,0,[MASK]开心。极差的包装，被人盗用过少了很多,3.5771224,10.375473
42257,1,[MASK]开心。很合身 整体都很好 自己很喜欢,1.9223704,11.019964
18206,1,[MASK]开心。满满一大盒子，口味很不错！赞！,3.4722939,12.332961
3816,1,[MASK]开心。外观工整，触屏灵敏整体画面不错,2.8026905,9.445856
44878,0,[MASK]开心。什么东西，要韩版的，拿段码。,3.3080196,9.469732
6722,1,[MASK]开心。东西好快递快下回还来京东好棒,3.0949016,11.8315325
14527,0,[MASK]开心。没有专用的数据线与电脑连接.,3.6521018,9.813167
35099,0,[MASK]开心。质量一般价格太高比实体店好高,3.2626944,9.758811
42366,1,[MASK]开心。包装十分好，质量也不错，很赞,2.9942439,11.17786
3732,1,[MASK]开心。之前一直用华为，很喜欢，很好用,3.128521,11.977261
19719,1,[MASK]开心。一直买的，正好搞活动，比较新鲜,3.3090417,11.3815975
23275,0,[MASK]开心。坏的实在是太多，请问店家怎么弄,3.2745306,10.317688
4796,1,[MASK]开心。爱我中华，支持华为，质量很好。,2.5879686,10.026758
33420,0,[MASK]开心。不怎么样，像假的，请大家注意。,2.9868894,9.878955
20706,0,[MASK]开心。九个萍果，吃下去5个都是烂心!,3.7772202,9.204451
20123,1,[MASK]开心。很好，一直在京东自营店买水果！,2.8117049,12.019437
47119,0,[MASK]开心。感觉买小了，穿上很紧，不舒服,4.2033005,11.172055
28104,1,[MASK]开心。还没用呢，看着挺好的也很实惠,3.2138653,11.025442
26481,1,[MASK]开心。相信京东！好东西！优惠便宜！！,2.9660988,9.608945
13421,1,[MASK]开心。色彩明亮，对比度好，通话质量高,2.7650266,8.675943
33493,0,[MASK]开心。不好用 用了以后感觉头发粗糙,3.7023745,11.28382
32233,0,[MASK]开心。买完就降价，欺骗 消费者，垃圾,3.8748589,8.497064
25935,1,[MASK]开心。很划算了啦，送两小瓶。还送一*,3.0705018,10.799169
27631,1,[MASK]开心。洗头发很柔，很好的保护了头发。,3.334272,12.3031025
31436,0,[MASK]开心。但是感觉不像真的，洗完了起头屑,3.7929366,11.46274
46467,0,[MASK]开心。不标准码，而且布料也不怎么符合,3.866888,10.099191
35365,0,[MASK]开心。物流很快很好，发货太慢，差评,2.888605,11.094757
40171,1,[MASK]开心。裤子不错，一次比较满意的网购。,2.8590028,10.909482
8075,0,[MASK]开心。用了一个月机子就很卡，真心垃圾,3.4711537,11.665558
57422,0,[MASK]开心。适合机场出发 就在浦东机场附近,3.0257208,10.527149
38672,1,[MASK]开心。质量还不错，货发到的也很及时,3.0581942,11.427091
44316,0,[MASK]开心。什么破裤子还掉色。真心无语！,4.6330433,10.685514
19025,1,[MASK]开心。个头挺大的，就是重量轻呀！好吃,3.6050413,11.942409
38378,1,[MASK]开心。穿上很舒服，很满意，质量不错,3.0445447,11.391351
32337,0,[MASK]开心。假货 用完之后头皮屑特别特别痒,3.7564166,11.677637
33014,0,[MASK]开心。家里人洗了都突然好多头皮屑。,4.7878914,12.094697
33597,0,[MASK]开心。买回来试用了，很失望，不是正品,3.914932,11.174009
47007,0,[MASK]开心。失败购物，物流，客服太离谱。,4.4683733,9.239483
