,labels,text,neg_logits,pos_logits
23455,0,[MASK]喜欢。第二部就不该拍竟然还出第三部,10.722279,10.699955
37994,1,[MASK]喜欢。局气！规矩！管虎导了俩影帝了！,10.342135,9.518389
45474,0,[MASK]喜欢。前半段真好看，后半段越来越萎,9.949378,11.038421
37018,0,[MASK]喜欢。前面的剧情看得我尴尬癌都犯了,9.852466,11.292452
39152,0,[MASK]喜欢。混乱的情节，特么矫情无下限。,11.140013,10.438234
4952,0,[MASK]喜欢。适合能静得下心和有故事的人。,9.905698,11.131073
49922,1,[MASK]喜欢。最是人间留不住朱颜辞镜花辞树,9.494281,10.029086
18895,1,[MASK]喜欢。超级治愈又感人，狗狗真的好暖心,8.400237,12.083145
16855,0,[MASK]喜欢。密室设定很有意思，可惜未能维持,9.499707,12.23109
33344,1,[MASK]喜欢。原来巴萨的德国馆还有这个用处,9.994893,11.2413
43014,1,[MASK]喜欢。丫丫真的太美了，前夫哥好可爱,9.589374,11.145425
30945,0,[MASK]喜欢。烂的一逼，啥都没有，狗屁不通。,11.39574,9.088791
11202,1,[MASK]喜欢。这个玛丽苏我喜欢很好看求续集,9.07027,12.324033
43097,1,[MASK]喜欢。看了点映，好多戳中我泪点??,9.122021,11.590516
7229,0,[MASK]喜欢。郑恺和郭采洁还挺有cp感的。,10.415943,11.877814
46824,0,[MASK]喜欢。民乐要靠二次元来拯救了嘛……,9.839705,9.408552
44791,1,[MASK]喜欢。反正我追完了，为了女主的颜值,10.220144,10.328138
40750,0,[MASK]喜欢。我朋友说，她尴尬得想原地去世。,10.7802925,10.118154
24357,0,[MASK]喜欢。今年作品太多了，有点透支了。,10.911082,11.100465
12065,0,[MASK]喜欢。我是真的觉得孙悟空的扮相太丑了,12.006207,10.79681
44782,1,[MASK]喜欢。还可以吧……感觉题材还算新颖,10.277794,11.780082
11314,0,[MASK]喜欢。看完情圣来评评这部这部比情圣好,9.6852255,11.875886
19047,1,[MASK]喜欢。它令我想起曾经怦然心动的轻吻,8.281451,11.307394
45899,0,[MASK]喜欢。发哥抄着烂片专业户就去了。。。,10.61011,8.917696
14214,0,[MASK]喜欢。第一集演得什么玩意儿，尴尬死了,10.661062,11.506874
31414,1,[MASK]喜欢。热热闹闹的，看得我好开心啊。,9.441575,11.245545
25276,0,[MASK]喜欢。煽情煽成了MV，大家都笑了。,9.273738,11.878528
47776,1,[MASK]喜欢。最喜欢的科幻故事，很成功的改编,9.298884,12.374205
45012,1,[MASK]喜欢。还算可以哦，故事讲的挺精彩！,9.616136,11.850521
49786,0,[MASK]喜欢。被黑天鹅惊艳到了！美轮美奂！,9.558693,11.807153
11029,0,[MASK]喜欢。到底在演什麼啊？？大爛片！！！,9.890576,10.697522
30704,1,[MASK]喜欢。卧槽我竟然看过啊啊啊啊啊啊啊,9.92496,11.44897
3121,1,[MASK]喜欢。你无车无楼无番狗做乜要拖我手,9.483703,8.209608
