,labels,text
30574,0,怀疑是假货，洗发后感觉很不好
7598,1,手机质量很好哎，就是没有送礼品
43849,0,有差异的产品，下次不会选购了
10361,0,东西搭配了一堆没用的，给差评
3099,1,一般般 会有卡顿 看电影还行
28438,1,不错很满意，物流小哥很给力。
34577,0,京东的配送就这样吗？真是失望
12015,0,非常不满意，大型游戏根本玩不了
31819,0,垃圾京东，收钱不发货，趁早倒闭
42623,1,衣服面料很舒服，柔软，大小合适
43428,0,哎与图片差距太大真心接受不了
38964,1,面料很好，款式时尚 穿上很舒服
22062,0,一点也不甜不清脆，只能榨汁了。
32231,0,洗发水不正宗的，洗完头皮屑很多
46924,0,才穿两天就坏了 ………………
38041,1,质量不错，很满意，样式也很好。
17545,1,京东商城的商品实惠，继续支持！
36576,1,蒙牛出香蕉奶啦 味道还不错哦
6653,1,快递速度很快，平板用了还不错。
39896,1,大小合适，有弹力，辉常满意！
38971,1,刚收到货，很好，物超所值！！
41286,1,穿上变得特别帅，怎么呢？嘻嘻。
29583,1,超值值得购买！便宜实惠真的很好
12956,0,不咋好，显示不清楚，想贴膜的
31712,0,不好，这么贵还不好，我也是醉了
31680,0,啥时候到啊下单好几天了还没到?
44358,0,感觉不是很好，很多的线条漏出来
60362,0,很一般，价格不高，但设备差！
45785,0,没穿几次就破2个洞，做工不好。
30820,0,被坑了，不好用，只能给一星?
10933,0,送货师傅不错，平板质量一般般
40218,1,穿上很舒服，面料不错，蛮好的
42072,1,质量不错，颜色很正，款式好看
36597,1,蒙牛滴。。。口感醇厚，不错～
47403,0,衣服不行 ！！！ 快递也不给力
42213,1,质量好，做工精细。非常满意！
31785,0,不好用，味道太浓，不适合男人
46015,0,质量没有想像的那么好，不要上当
42170,1,款式新颖，又合身，孩子很喜欢
43150,0,欺骗消费者！！！严重不符！！！
45415,0,商品没图上的好看，面料也不多好
30230,1,价格实惠，服务好，东西不错。
47927,0,没收到商品，一个月了，差劲。
30018,1,好，不错，得蛮多的，划算，喜欢
26817,1,到货好快。服务好！东西满意！
5006,1,手机不错，屏大清晰，速度快。
44936,0,洗了掉色特严重，很硬，还没穿
16856,1,还味吃，现在觉得苹果越来越甜了
3845,1,不错 很喜欢 华为平板666
28242,1,洗发水好用，洗过头发很清爽…
42123,1,可以 比较满意 穿了再来评价
34621,0,有一瓶盖子烂了，流的到处都是。
33650,0,使用一般，和国货区别不是很大！
5554,1,好好的一个好的自己选的好好好货
30937,0,说好的吹风机在哪！太垃圾了！
60557,0,服务很一般，设施和装修也不好。
46810,0,真的和网上看的差别真大，好垃圾
25754,1,看着还可以，小的赠送旅行装不错
43705,0,物流太慢太慢，衣服不怎么样，
18630,1,个头小但很甜，用来做早餐正好。
41784,1,商品不错，物超所值。真实体验。
45106,0,非常一般，不推荐，不要贪便宜
31546,0,昨天收到今天就降价，太过分了！
43624,0,有股刺鼻的味道，还特别脏，差评
10107,0,差评，保护壳都没有，5星差评！
32824,0,不好用，不适合我的发质，起头屑
4883,1,不错物流给力，值得信赖，正品，
31305,0,发来就破了。。懒得跟客服叨叨了
17539,1,性价比真他们高。。。。够味还脆
3991,1,不错，给妈妈玩游戏用的，很喜欢
35438,1,安装好了，还没用，感觉挺好的
10959,0,骗子。垃圾货。收到的卡装不了
38859,1,衣服挺好的，我一下子买了两件
33344,0,还品牌垃圾要死，越洗越多头屑。
11811,0,不好买来好后悔玩游戏好卡差评。
26497,1,一如既往的快，态度好，日期新。
39505,1,裤子面料不错的 版型很喜欢啊
34065,0,买了很多次，这次的是假货，失望
57426,0,服务不好。乱收费，非常不满意！
10211,0,cpu太差 一点都不流畅 亏了
6071,1,真正好PAD，学英语不用愁啦
46500,0,网上买几次都是烂货，不能相信。
39929,1,裤子的质量真的不错，值得表扬！
47294,0,垃圾，不想多说，大家别上当了
47506,0,穿了一次，扔了，好还是不好？
6287,1,屏幕够大，上手容易，物流很快。
39475,1,买回来很合适，老公很喜欢。。。
38335,1,质量非常不错，穿起来很舒服。
32710,0,就是好难受看到你日目的地后的吧
7812,1,帮朋友买的，反馈信息还不错?。
33424,0,快递丢失 不处理 没有维权渠道
39217,1,很不错哦，我又要在买多一条了
35260,0,这个商标都掉了，可能是二手货吧
19076,1,苹果包装完好，吃起来香甜可口！
30863,0,买了几天了米用，今天一拿出来用
58781,0,酒店很旧，设施陈旧！花洒漏水
10412,0,卡出翔，到底是不是3G运行？
46154,0,物流太慢了，就凭这一条给你零分
39374,1,宝贝质量很好，面料不错，点赞
34631,0,非常无语，包装是裸的，没有塑封
57024,0,所有的房间里的设施不是很齐全！
42499,1,不错，穿上很舒服，面料也不错
47937,0,不满意，色差太大！做工一般！！
18689,1,苹果不错！很新鲜！到货也很快！
47073,0,洗一次线全扯掉了，做工非常粗糙
30716,0,可以，比超市便宜，用起来香香的
14578,0,功能可以，但表面出现掉漆现象
33936,0,送来都爆开了，包装能用点心吗？
46214,0,大小不标准 垃圾货下次去桃宝买
18541,1,统一大小，味道一般，包装很好。
6147,1,东西不错，真的很喜欢很喜欢。
35038,0,一点都不好，，，洗了很痒，差评
21809,0,包装不错，口号不太好，很硬不甜
47351,0,太差了，以后不会买了，懒得退
11255,0,分辨率太低了，看着模糊，后悔了
6495,1,我这个是给妈妈买的，她很喜欢
27960,1,还行吧，感觉可以满意。好评！
15805,1,很脆，味道很好，从江苏仓库发货
59784,0,凑合吧，旺季也不便宜，隔音太差
30190,1,比超市便宜，还方便，省的逛超市
41065,1,一直喜欢的牌子，好好好好好……
12495,0,不好不好不好，真的不好，上当
4490,1,刚拿到还没用还知道功能什么样
37775,0,你让我这个蒙牛脑残粉情何以堪？
18639,1,苹果个小点，颜色一般吃着还行。
6522,1,不错很好，京东快递给力棒棒哒
45361,0,穿了两次，而且面料粗糙，易脏
23149,0,心好几个发黑的。潘石译太差了！
45269,0,号码偏小，是棉的，颜色也还可以
35507,1,给父母买的，挺好的，非常满意！
45110,0,不好，有味非常刺鼻，而且还慢！
36596,1,果断的支持下，还是蒙牛厉害啊
34714,0,京东客服很垃圾，购买商品注意
39832,1,哈哈哈红红火火恍恍惚惚哈哈哈哈
36639,1,蒙牛纯牛奶换新包装了，支持一下
43503,0,质量和版型和图片不一样，不好看
18791,1,刚收到，看着还可以。还没有吃。
5050,1,不错，暂时用着各方面都很满意
45857,0,等啦一个星期才到，无敌的郁闷
38304,1,非常愉快的一次购物。价廉物美。
32290,0,太差劲了，根本和实体店的不同
17172,1,早上下单，晚上收到，物流很快。
26214,1,看着挺好的 洗发水我 还没用
43653,0,不好 买回来穿一次口袋就破了
28796,1,给家人买的，家人都喜欢用这个。
45067,0,买回一看，跟夜市买的一样，*
13200,1,体积轻巧。做工精细。价格低廉。
40256,1,白色质量一般般，料子不是很好！
12627,0,wifi不靠谱，上网有限制。
20546,0,苹果有坏的，不新鲜，自欺欺人。
41781,1,裤子质量挺好的 料子很舒服啊
5986,1,除了不是全网通以外，其他都蛮好
61796,0,服务差，环境差，缺乏管理和训练
47908,0,非常多小碎毛，穿了一次起球球
4899,1,机器很不错，外观漂亮 包装精美
7036,1,买的第二个了物有所值相信京东
40508,1,质量看着还好，就是有点瘦了。
31474,0,这物流是蜗牛～产品有待考证～
4337,1,帮侄子买的，小朋友说挺好用的。
40660,1,手感不错 料子不错 样式不错
12511,0,二手的机子 电池不抗用 太坑了
28485,1,支持大牌！重要的是搞活动便宜！
42157,1,物美价廉，顶顶顶顶顶顶顶顶顶
35078,0,洗完头很多头皮屑，怀疑买的假货
39965,1,质量不错，值得购买，价钱也实惠
35703,1,产品就不评价了，正在使用中。
31868,0,沙宣的产品，得看个人适不适合
5547,1,真心好用！原装最新版本！喜欢！
44544,0,差评 拉链不行，各位兄弟注意了
42912,1,很好，质量不错，店家态度挺好
7180,1,不错，非常好用！流畅，不卡。
7323,1,京东我信任！便宜实惠邮寄快！
5333,1,超爽啊，比我之前用的三星好多了
31995,0,真假噶时间看书考试计算机技术
46205,0,真的差，都不想在班尼路买衣服了
12993,0,什么玩意，服了京东了！垃圾，
45391,0,不满意，希望下次不要让我失望
5688,1,速度还不错，还好卖的是32G的
38275,1,舒服，就是质量一般，就值这个价
32027,0,发错货 还不给我发票 京东 烂
7874,1,还可以吧，用了几天暂时没问题
12584,0,耗电快，反应慢，还没有提供发票
17836,1,很好，价廉物美经济实惠值得购买
5859,1,商品很好 发货很快 服务很好
35723,1,美的热水器挺好用的，感觉不错
25549,1,京东自营的就是货真价实！！！
29724,1,不错，和实体店的一样，很满意的
12196,0,我觉得京东我都不会再买东西了，
41718,1,样式不错 颜色不错 穿上很舒服
46444,0,尺码不对，颜色也不对，能不能放
31748,0,不好用，洗过头后，满头头皮屑
11185,0,物流很快，但是机子不理想，卡
9183,0,用两个月就死机，商家不厚道，
32423,0,哎、不想说什么、居然不给我退！
34298,0,说好送浴巾的却不发，差评，*
3087,1,外观不错，手感也很好，非常喜欢
8613,0,差了 在50公分高跌落就这样了
46772,0,很差很差，衣服和图片上的差很远
20910,0,包装不错，东西可咋说，不咋地。
33100,0,为什么收到的货和图片不一样？
44208,0,**店铺，从购买到换货不负责任
38737,1,很不错 男朋友很喜欢 强力推荐
37785,0,蒙牛伤不起啊！喝蒙牛更伤不起！
6390,1,质量还行，这个价位还是不错的
28231,1,不错的，送货速度快，价格实惠。
34237,0,外包装都被拆开了，嘛意思啊？
45505,0,别人的退换货，干洗发的皱皱巴巴
15581,1,还不错，一直购买的品牌....
30847,0,还没开始用，价格和超市差不多。
37974,0,如果是真的就卸载一切360软件
26977,1,套装商品还满减谁不心动不如行动
5066,1,商品很不错，京东加油！支持！！
27212,1,还不错吧，其实没觉得有多大不同
12871,0,怎么我刚才差评会不见了呢？？？
21666,0,大家看看这样的苹果要怎么吃啊！
43538,0,一般！用手摸起来硬硬的，假贷！
19599,1,果子个头刚刚好，新鲜，准时送达
5314,1,机器很好，公司内部使用小巧，赞
34476,0,垃圾 不取屑 太垃圾了 假货
17367,1,第一买水果遇到几个坏的，无语了
4210,1,总体来说还不错吧，看视频够了
7591,1,"不错,很好！！！！值得推荐！"
37659,0,现在基本不喝蒙牛了～ 昏倒!
38241,1,面料，款式很好，买了很多件了。
34824,0,太少了！严重与图？不符！！！
19671,1,苹果，脆，甜，同事也一起来买!
23935,0,总体挺好，不过里边有个别是坏的
33016,0,味道不对。和超市买的不一样。
15177,0,信号不好~！而且可以下铃声~~
35813,1,使用后真心不错，现在才评价。
18578,1,发货速度快，包装完整，个头大。
36211,1,强大的蒙牛 笑翻了~ 转发微博
42374,1,穿着舒服，面料很柔软，真的不错
7235,1,太棒了，性价比很好必须给好评。
