,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,8.28445838742434
7598,1,手机质量很好哎，就是没有送礼品,6.072305750620081
43849,0,有差异的产品，下次不会选购了,8.602883593785045
10361,0,东西搭配了一堆没用的，给差评,8.559853275360888
3099,1,一般般 会有卡顿 看电影还行,38.573634789222275
28438,1,不错很满意，物流小哥很给力。,5.318250010544585
34577,0,京东的配送就这样吗？真是失望,4.55960473983375
12015,0,非常不满意，大型游戏根本玩不了,2.437393945968666
31819,0,垃圾京东，收钱不发货，趁早倒闭,22.3155934944887
42623,1,衣服面料很舒服，柔软，大小合适,4.029397639406361
43428,0,哎与图片差距太大真心接受不了,10.259318813910935
38964,1,面料很好，款式时尚 穿上很舒服,3.7376639068727258
32231,0,洗发水不正宗的，洗完头皮屑很多,14.440613490032327
17545,1,京东商城的商品实惠，继续支持！,3.8427484574809885
36576,1,蒙牛出香蕉奶啦 味道还不错哦,28.418257186440496
6653,1,快递速度很快，平板用了还不错。,5.5223162066604745
39896,1,大小合适，有弹力，辉常满意！,11.349274553942449
38971,1,刚收到货，很好，物超所值！！,7.872164929562755
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,11.575919720145896
29583,1,超值值得购买！便宜实惠真的很好,3.3955906076758398
12956,0,不咋好，显示不清楚，想贴膜的,17.208698047466413
31712,0,不好，这么贵还不好，我也是醉了,12.555130944047706
31680,0,啥时候到啊下单好几天了还没到?,14.73380767074422
60362,0,很一般，价格不高，但设备差！,6.999778721712597
45785,0,没穿几次就破2个洞，做工不好。,19.436285199721077
30820,0,被坑了，不好用，只能给一星?,35.27728204598036
10933,0,送货师傅不错，平板质量一般般,6.281993884393116
40218,1,穿上很舒服，面料不错，蛮好的,5.8473158604182345
36597,1,蒙牛滴。。。口感醇厚，不错～,61.701566520967525
47403,0,衣服不行 ！！！ 快递也不给力,21.972703982739834
42213,1,质量好，做工精细。非常满意！,2.4371154682283334
31785,0,不好用，味道太浓，不适合男人,7.266465459610558
46015,0,质量没有想像的那么好，不要上当,4.094806243270986
42170,1,款式新颖，又合身，孩子很喜欢,4.650730362805638
43150,0,欺骗消费者！！！严重不符！！！,7.4326842166829525
45415,0,商品没图上的好看，面料也不多好,16.18966259645755
30230,1,价格实惠，服务好，东西不错。,2.355957323034674
47927,0,没收到商品，一个月了，差劲。,7.481572718135313
30018,1,好，不错，得蛮多的，划算，喜欢,13.24998764046995
26817,1,到货好快。服务好！东西满意！,4.672703025886543
5006,1,手机不错，屏大清晰，速度快。,7.930235985287282
44936,0,洗了掉色特严重，很硬，还没穿,27.888027432506327
16856,1,还味吃，现在觉得苹果越来越甜了,17.036106958896728
3845,1,不错 很喜欢 华为平板666,21.335626982879166
28242,1,洗发水好用，洗过头发很清爽…,15.832959487509191
42123,1,可以 比较满意 穿了再来评价,8.860413310695117
34621,0,有一瓶盖子烂了，流的到处都是。,13.02515186734287
33650,0,使用一般，和国货区别不是很大！,7.003688923767529
5554,1,好好的一个好的自己选的好好好货,27.111491263669222
30937,0,说好的吹风机在哪！太垃圾了！,10.601452241592167
60557,0,服务很一般，设施和装修也不好。,3.5277147916346263
46810,0,真的和网上看的差别真大，好垃圾,6.627978312889366
25754,1,看着还可以，小的赠送旅行装不错,14.328718418424591
43705,0,物流太慢太慢，衣服不怎么样，,6.415526378230316
18630,1,个头小但很甜，用来做早餐正好。,6.101369488900965
41784,1,商品不错，物超所值。真实体验。,3.694181892608206
45106,0,非常一般，不推荐，不要贪便宜,3.165493994876379
31546,0,昨天收到今天就降价，太过分了！,6.468524010150566
43624,0,有股刺鼻的味道，还特别脏，差评,6.454111642252573
10107,0,差评，保护壳都没有，5星差评！,7.921181136577965
32824,0,不好用，不适合我的发质，起头屑,10.760326249516606
4883,1,不错物流给力，值得信赖，正品，,7.926468747188111
31305,0,发来就破了。。懒得跟客服叨叨了,36.43061212681649
17539,1,性价比真他们高。。。。够味还脆,86.14802277077484
3991,1,不错，给妈妈玩游戏用的，很喜欢,3.5621588307962853
35438,1,安装好了，还没用，感觉挺好的,5.490925763774167
10959,0,骗子。垃圾货。收到的卡装不了,19.73605577838532
38859,1,衣服挺好的，我一下子买了两件,3.0959043684038083
33344,0,还品牌垃圾要死，越洗越多头屑。,31.997142132262905
