,labels,text,neg_logits,pos_logits
30574,0,[MASK]喜欢！怀疑是假货，洗发后感觉很不好,12.053325,12.204807
7598,1,[MASK]喜欢！手机质量很好哎，就是没有送礼品,10.638741,12.414556
43849,0,[MASK]喜欢！有差异的产品，下次不会选购了,11.190084,10.151423
10361,0,[MASK]喜欢！东西搭配了一堆没用的，给差评,12.657231,9.7356825
3099,1,[MASK]喜欢！一般般 会有卡顿 看电影还行,11.292592,10.807016
28438,1,[MASK]喜欢！不错很满意，物流小哥很给力。,9.292093,12.818279
34577,0,[MASK]喜欢！京东的配送就这样吗？真是失望,12.324044,10.524825
12015,0,[MASK]喜欢！非常不满意，大型游戏根本玩不了,12.7816725,11.061247
31819,0,[MASK]喜欢！垃圾京东，收钱不发货，趁早倒闭,10.457783,10.718446
42623,1,[MASK]喜欢！衣服面料很舒服，柔软，大小合适,9.4014845,13.067429
43428,0,[MASK]喜欢！哎与图片差距太大真心接受不了,10.966451,10.325196
38964,1,[MASK]喜欢！面料很好，款式时尚 穿上很舒服,9.193543,13.600005
32231,0,[MASK]喜欢！洗发水不正宗的，洗完头皮屑很多,13.203116,10.677146
17545,1,[MASK]喜欢！京东商城的商品实惠，继续支持！,8.411341,10.702147
36576,1,[MASK]喜欢！蒙牛出香蕉奶啦 味道还不错哦,9.779708,11.398477
6653,1,[MASK]喜欢！快递速度很快，平板用了还不错。,9.581449,12.929317
39896,1,[MASK]喜欢！大小合适，有弹力，辉常满意！,9.07965,12.410193
38971,1,[MASK]喜欢！刚收到货，很好，物超所值！！,9.097201,13.072367
41286,1,[MASK]喜欢！穿上变得特别帅，怎么呢？嘻嘻。,9.543083,11.454839
29583,1,[MASK]喜欢！超值值得购买！便宜实惠真的很好,9.517119,12.906001
12956,0,[MASK]喜欢！不咋好，显示不清楚，想贴膜的,12.024819,10.349471
31712,0,[MASK]喜欢！不好，这么贵还不好，我也是醉了,11.662118,9.249318
31680,0,[MASK]喜欢！啥时候到啊下单好几天了还没到?,9.73542,9.968171
60362,0,[MASK]喜欢！很一般，价格不高，但设备差！,12.148837,12.075897
45785,0,[MASK]喜欢！没穿几次就破2个洞，做工不好。,12.793664,10.411553
30820,0,[MASK]喜欢！被坑了，不好用，只能给一星?,10.87359,10.603506
10933,0,[MASK]喜欢！送货师傅不错，平板质量一般般,10.612028,11.541637
40218,1,[MASK]喜欢！穿上很舒服，面料不错，蛮好的,9.645838,13.833171
36597,1,[MASK]喜欢！蒙牛滴。。。口感醇厚，不错～,9.508253,11.698947
47403,0,[MASK]喜欢！衣服不行 ！！！ 快递也不给力,13.474128,8.826818
42213,1,[MASK]喜欢！质量好，做工精细。非常满意！,9.193348,12.955245
31785,0,[MASK]喜欢！不好用，味道太浓，不适合男人,14.4212675,10.559291
46015,0,[MASK]喜欢！质量没有想像的那么好，不要上当,11.184491,10.781716
42170,1,[MASK]喜欢！款式新颖，又合身，孩子很喜欢,8.311732,12.725939
43150,0,[MASK]喜欢！欺骗消费者！！！严重不符！！！,12.735496,8.241944
45415,0,[MASK]喜欢！商品没图上的好看，面料也不多好,12.782609,10.068285
30230,1,[MASK]喜欢！价格实惠，服务好，东西不错。,9.830677,12.089311
47927,0,[MASK]喜欢！没收到商品，一个月了，差劲。,11.487082,9.535101
30018,1,[MASK]喜欢！好，不错，得蛮多的，划算，喜欢,9.569334,10.4825
26817,1,[MASK]喜欢！到货好快。服务好！东西满意！,8.829387,12.308601
5006,1,[MASK]喜欢！手机不错，屏大清晰，速度快。,9.814315,12.188556
44936,0,[MASK]喜欢！洗了掉色特严重，很硬，还没穿,11.872378,11.943153
16856,1,[MASK]喜欢！还味吃，现在觉得苹果越来越甜了,10.196444,10.82652
3845,1,[MASK]喜欢！不错 很喜欢 华为平板666,9.305675,13.299233
28242,1,[MASK]喜欢！洗发水好用，洗过头发很清爽…,9.272086,12.200567
42123,1,[MASK]喜欢！可以 比较满意 穿了再来评价,9.550258,11.7507715
34621,0,[MASK]喜欢！有一瓶盖子烂了，流的到处都是。,10.10191,10.929023
33650,0,[MASK]喜欢！使用一般，和国货区别不是很大！,11.060928,12.661994
5554,1,[MASK]喜欢！好好的一个好的自己选的好好好货,9.305102,11.157882
30937,0,[MASK]喜欢！说好的吹风机在哪！太垃圾了！,11.9074745,9.616604
60557,0,[MASK]喜欢！服务很一般，设施和装修也不好。,14.235416,10.969625
46810,0,[MASK]喜欢！真的和网上看的差别真大，好垃圾,11.763779,11.126319
25754,1,[MASK]喜欢！看着还可以，小的赠送旅行装不错,10.053682,11.792284
43705,0,[MASK]喜欢！物流太慢太慢，衣服不怎么样，,12.813832,9.575733
18630,1,[MASK]喜欢！个头小但很甜，用来做早餐正好。,9.1499,12.257059
41784,1,[MASK]喜欢！商品不错，物超所值。真实体验。,9.754477,11.6717825
45106,0,[MASK]喜欢！非常一般，不推荐，不要贪便宜,12.213079,11.498026
31546,0,[MASK]喜欢！昨天收到今天就降价，太过分了！,11.754568,10.733527
43624,0,[MASK]喜欢！有股刺鼻的味道，还特别脏，差评,13.3408785,11.050535
10107,0,[MASK]喜欢！差评，保护壳都没有，5星差评！,13.256045,10.428908
32824,0,[MASK]喜欢！不好用，不适合我的发质，起头屑,15.004704,10.960741
4883,1,[MASK]喜欢！不错物流给力，值得信赖，正品，,9.410828,11.923833
31305,0,[MASK]喜欢！发来就破了。。懒得跟客服叨叨了,10.991654,8.728085
17539,1,[MASK]喜欢！性价比真他们高。。。。够味还脆,9.3334465,10.334426
3991,1,[MASK]喜欢！不错，给妈妈玩游戏用的，很喜欢,8.952855,13.566095
35438,1,[MASK]喜欢！安装好了，还没用，感觉挺好的,10.572341,12.27852
10959,0,[MASK]喜欢！骗子。垃圾货。收到的卡装不了,11.908052,9.540386
38859,1,[MASK]喜欢！衣服挺好的，我一下子买了两件,9.963334,11.636091
33344,0,[MASK]喜欢！还品牌垃圾要死，越洗越多头屑。,12.619508,9.659074
11811,0,[MASK]喜欢！不好买来好后悔玩游戏好卡差评。,11.749742,10.158318
26497,1,[MASK]喜欢！一如既往的快，态度好，日期新。,8.3140335,10.665465
39505,1,[MASK]喜欢！裤子面料不错的 版型很喜欢啊,9.252715,13.441337
34065,0,[MASK]喜欢！买了很多次，这次的是假货，失望,11.5019865,11.2029505
57426,0,[MASK]喜欢！服务不好。乱收费，非常不满意！,15.551755,10.571075
10211,0,[MASK]喜欢！cpu太差 一点都不流畅 亏了,12.188192,9.604272
6071,1,[MASK]喜欢！真正好PAD，学英语不用愁啦,8.206376,10.734266
46500,0,[MASK]喜欢！网上买几次都是烂货，不能相信。,12.853863,10.230204
39929,1,[MASK]喜欢！裤子的质量真的不错，值得表扬！,9.649901,12.602098
47506,0,[MASK]喜欢！穿了一次，扔了，好还是不好？,11.468282,10.502189
6287,1,[MASK]喜欢！屏幕够大，上手容易，物流很快。,8.968973,12.356391
39475,1,[MASK]喜欢！买回来很合适，老公很喜欢。。。,9.193321,12.845956
38335,1,[MASK]喜欢！质量非常不错，穿起来很舒服。,9.142835,13.796652
32710,0,[MASK]喜欢！就是好难受看到你日目的地后的吧,10.244502,10.403919
7812,1,[MASK]喜欢！帮朋友买的，反馈信息还不错?。,9.715873,11.951837
33424,0,[MASK]喜欢！快递丢失 不处理 没有维权渠道,10.430534,12.023595
39217,1,[MASK]喜欢！很不错哦，我又要在买多一条了,9.17009,12.5663185
35260,0,[MASK]喜欢！这个商标都掉了，可能是二手货吧,11.744128,11.261943
19076,1,[MASK]喜欢！苹果包装完好，吃起来香甜可口！,8.91165,11.851046
58781,0,[MASK]喜欢！酒店很旧，设施陈旧！花洒漏水,13.134697,11.140024
10412,0,[MASK]喜欢！卡出翔，到底是不是3G运行？,10.282249,10.474141
46154,0,[MASK]喜欢！物流太慢了，就凭这一条给你零分,9.4270315,11.343863
34631,0,[MASK]喜欢！非常无语，包装是裸的，没有塑封,11.957588,11.100158
57024,0,[MASK]喜欢！所有的房间里的设施不是很齐全！,14.059625,10.975638
42499,1,[MASK]喜欢！不错，穿上很舒服，面料也不错,9.5843525,13.095385
47937,0,[MASK]喜欢！不满意，色差太大！做工一般！！,14.211549,11.08649
18689,1,[MASK]喜欢！苹果不错！很新鲜！到货也很快！,9.49661,13.269458
47073,0,[MASK]喜欢！洗一次线全扯掉了，做工非常粗糙,12.404075,11.032669
14578,0,[MASK]喜欢！功能可以，但表面出现掉漆现象,11.706705,11.384102
33936,0,[MASK]喜欢！送来都爆开了，包装能用点心吗？,9.062535,10.847393
46214,0,[MASK]喜欢！大小不标准 垃圾货下次去桃宝买,12.026008,10.016047
18541,1,[MASK]喜欢！统一大小，味道一般，包装很好。,10.687707,12.557509
6147,1,[MASK]喜欢！东西不错，真的很喜欢很喜欢。,8.079574,13.560935
35038,0,[MASK]喜欢！一点都不好，，，洗了很痒，差评,12.931198,10.392158
21809,0,[MASK]喜欢！包装不错，口号不太好，很硬不甜,10.972859,12.065319
47351,0,[MASK]喜欢！太差了，以后不会买了，懒得退,11.608031,11.041377
11255,0,[MASK]喜欢！分辨率太低了，看着模糊，后悔了,11.821205,11.19183
6495,1,[MASK]喜欢！我这个是给妈妈买的，她很喜欢,9.765203,12.69918
27960,1,[MASK]喜欢！还行吧，感觉可以满意。好评！,10.076627,12.260264
59784,0,[MASK]喜欢！凑合吧，旺季也不便宜，隔音太差,13.288121,8.908039
30190,1,[MASK]喜欢！比超市便宜，还方便，省的逛超市,9.343184,11.502134
41065,1,[MASK]喜欢！一直喜欢的牌子，好好好好好……,9.151836,11.900277
12495,0,[MASK]喜欢！不好不好不好，真的不好，上当,12.712325,10.002504
4490,1,[MASK]喜欢！刚拿到还没用还知道功能什么样,10.48789,11.861637
37775,0,[MASK]喜欢！你让我这个蒙牛脑残粉情何以堪？,10.079781,8.491182
18639,1,[MASK]喜欢！苹果个小点，颜色一般吃着还行。,10.543353,11.417478
6522,1,[MASK]喜欢！不错很好，京东快递给力棒棒哒,9.2171545,11.873501
45361,0,[MASK]喜欢！穿了两次，而且面料粗糙，易脏,12.2581625,12.047936
23149,0,[MASK]喜欢！心好几个发黑的。潘石译太差了！,10.90568,10.614484
45269,0,[MASK]喜欢！号码偏小，是棉的，颜色也还可以,10.547055,12.148145
45110,0,[MASK]喜欢！不好，有味非常刺鼻，而且还慢！,12.908173,10.758734
36596,1,[MASK]喜欢！果断的支持下，还是蒙牛厉害啊,10.295563,10.310708
34714,0,[MASK]喜欢！京东客服很垃圾，购买商品注意,11.518854,12.060778
39832,1,[MASK]喜欢！哈哈哈红红火火恍恍惚惚哈哈哈哈,9.172834,10.694383
43503,0,[MASK]喜欢！质量和版型和图片不一样，不好看,12.350543,11.596451
18791,1,[MASK]喜欢！刚收到，看着还可以。还没有吃。,9.860342,12.267242
5050,1,[MASK]喜欢！不错，暂时用着各方面都很满意,9.187301,11.999448
45857,0,[MASK]喜欢！等啦一个星期才到，无敌的郁闷,10.583572,9.988093
38304,1,[MASK]喜欢！非常愉快的一次购物。价廉物美。,8.985155,12.204221
32290,0,[MASK]喜欢！太差劲了，根本和实体店的不同,12.174337,10.448442
17172,1,[MASK]喜欢！早上下单，晚上收到，物流很快。,8.958429,12.62423
26214,1,[MASK]喜欢！看着挺好的 洗发水我 还没用,10.571657,11.856798
43653,0,[MASK]喜欢！不好 买回来穿一次口袋就破了,12.290925,10.2090645
28796,1,[MASK]喜欢！给家人买的，家人都喜欢用这个。,9.421842,12.780817
45067,0,[MASK]喜欢！买回一看，跟夜市买的一样，*,9.840504,11.037781
40256,1,[MASK]喜欢！白色质量一般般，料子不是很好！,12.106517,11.9479065
12627,0,[MASK]喜欢！wifi不靠谱，上网有限制。,11.50118,10.080874
20546,0,[MASK]喜欢！苹果有坏的，不新鲜，自欺欺人。,12.02234,9.411859
41781,1,[MASK]喜欢！裤子质量挺好的 料子很舒服啊,9.993942,12.814692
5986,1,[MASK]喜欢！除了不是全网通以外，其他都蛮好,10.0746565,11.92652
61796,0,[MASK]喜欢！服务差，环境差，缺乏管理和训练,12.866619,9.66403
47908,0,[MASK]喜欢！非常多小碎毛，穿了一次起球球,9.569285,12.078956
4899,1,[MASK]喜欢！机器很不错，外观漂亮 包装精美,9.552362,12.713151
7036,1,[MASK]喜欢！买的第二个了物有所值相信京东,9.283889,11.009943
40508,1,[MASK]喜欢！质量看着还好，就是有点瘦了。,10.170969,11.942144
31474,0,[MASK]喜欢！这物流是蜗牛～产品有待考证～,10.1821,10.946603
4337,1,[MASK]喜欢！帮侄子买的，小朋友说挺好用的。,9.998951,12.7385435
40660,1,[MASK]喜欢！手感不错 料子不错 样式不错,9.7871275,12.357367
12511,0,[MASK]喜欢！二手的机子 电池不抗用 太坑了,11.8846,10.975547
28485,1,[MASK]喜欢！支持大牌！重要的是搞活动便宜！,9.1838665,10.008486
42157,1,[MASK]喜欢！物美价廉，顶顶顶顶顶顶顶顶顶,9.041453,11.1283
35078,0,[MASK]喜欢！洗完头很多头皮屑，怀疑买的假货,10.919915,12.0928955
39965,1,[MASK]喜欢！质量不错，值得购买，价钱也实惠,9.689986,12.397513
35703,1,[MASK]喜欢！产品就不评价了，正在使用中。,10.129421,11.838712
31868,0,[MASK]喜欢！沙宣的产品，得看个人适不适合,10.735056,10.167114
5547,1,[MASK]喜欢！真心好用！原装最新版本！喜欢！,9.440842,11.891802
44544,0,[MASK]喜欢！差评 拉链不行，各位兄弟注意了,11.377679,10.728138
42912,1,[MASK]喜欢！很好，质量不错，店家态度挺好,9.9127865,12.537052
7180,1,[MASK]喜欢！不错，非常好用！流畅，不卡。,9.446828,12.755638
7323,1,[MASK]喜欢！京东我信任！便宜实惠邮寄快！,8.382869,10.430743
5333,1,[MASK]喜欢！超爽啊，比我之前用的三星好多了,8.798632,12.25807
31995,0,[MASK]喜欢！真假噶时间看书考试计算机技术,9.986268,10.665335
46205,0,[MASK]喜欢！真的差，都不想在班尼路买衣服了,10.464422,9.562634
12993,0,[MASK]喜欢！什么玩意，服了京东了！垃圾，,11.575974,9.195952
45391,0,[MASK]喜欢！不满意，希望下次不要让我失望,13.183809,10.594033
5688,1,[MASK]喜欢！速度还不错，还好卖的是32G的,10.046645,11.902587
38275,1,[MASK]喜欢！舒服，就是质量一般，就值这个价,10.175829,10.423478
7874,1,[MASK]喜欢！还可以吧，用了几天暂时没问题,10.480615,12.1346035
12584,0,[MASK]喜欢！耗电快，反应慢，还没有提供发票,11.415722,11.123624
17836,1,[MASK]喜欢！很好，价廉物美经济实惠值得购买,9.739356,13.057713
5859,1,[MASK]喜欢！商品很好 发货很快 服务很好,9.126938,13.182481
35723,1,[MASK]喜欢！美的热水器挺好用的，感觉不错,10.437188,12.432058
25549,1,[MASK]喜欢！京东自营的就是货真价实！！！,10.08606,10.199988
29724,1,[MASK]喜欢！不错，和实体店的一样，很满意的,9.920605,12.763863
12196,0,[MASK]喜欢！我觉得京东我都不会再买东西了，,10.513203,10.449829
41718,1,[MASK]喜欢！样式不错 颜色不错 穿上很舒服,9.598251,13.287806
46444,0,[MASK]喜欢！尺码不对，颜色也不对，能不能放,12.245102,9.939031
31748,0,[MASK]喜欢！不好用，洗过头后，满头头皮屑,14.011684,11.358349
11185,0,[MASK]喜欢！物流很快，但是机子不理想，卡,11.221406,11.818751
9183,0,[MASK]喜欢！用两个月就死机，商家不厚道，,12.461225,10.243307
32423,0,[MASK]喜欢！哎、不想说什么、居然不给我退！,10.761707,9.515787
