,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,14.95855557228207
7598,1,手机质量很好哎，就是没有送礼品,9.829320324247036
43849,0,有差异的产品，下次不会选购了,10.247087872464254
10361,0,东西搭配了一堆没用的，给差评,9.678835746962537
3099,1,一般般 会有卡顿 看电影还行,31.79606167756435
28438,1,不错很满意，物流小哥很给力。,11.109309260806135
34577,0,京东的配送就这样吗？真是失望,6.685210403394825
12015,0,非常不满意，大型游戏根本玩不了,4.2312812323727815
31819,0,垃圾京东，收钱不发货，趁早倒闭,21.33196426909487
42623,1,衣服面料很舒服，柔软，大小合适,5.570915096480192
43428,0,哎与图片差距太大真心接受不了,17.91055789192309
38964,1,面料很好，款式时尚 穿上很舒服,5.328208469655117
32231,0,洗发水不正宗的，洗完头皮屑很多,12.954593457117088
17545,1,京东商城的商品实惠，继续支持！,5.373386307725955
36576,1,蒙牛出香蕉奶啦 味道还不错哦,35.04038970230906
6653,1,快递速度很快，平板用了还不错。,11.669853299164156
39896,1,大小合适，有弹力，辉常满意！,26.03054600184848
38971,1,刚收到货，很好，物超所值！！,13.709624723756434
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,11.919194934555533
29583,1,超值值得购买！便宜实惠真的很好,6.662177326784406
12956,0,不咋好，显示不清楚，想贴膜的,23.474707785975898
31712,0,不好，这么贵还不好，我也是醉了,11.617293055316795
31680,0,啥时候到啊下单好几天了还没到?,14.17756098966165
60362,0,很一般，价格不高，但设备差！,9.89520849175716
45785,0,没穿几次就破2个洞，做工不好。,20.127607923836184
30820,0,被坑了，不好用，只能给一星?,38.7937096878082
10933,0,送货师傅不错，平板质量一般般,13.135575346351061
40218,1,穿上很舒服，面料不错，蛮好的,6.9379544688366845
36597,1,蒙牛滴。。。口感醇厚，不错～,84.27425454658368
47403,0,衣服不行 ！！！ 快递也不给力,15.301348236478146
42213,1,质量好，做工精细。非常满意！,4.459198492801403
31785,0,不好用，味道太浓，不适合男人,7.82693605776064
46015,0,质量没有想像的那么好，不要上当,5.030528248827776
42170,1,款式新颖，又合身，孩子很喜欢,5.2509843118806225
43150,0,欺骗消费者！！！严重不符！！！,6.7488105169365085
45415,0,商品没图上的好看，面料也不多好,20.156190981741453
30230,1,价格实惠，服务好，东西不错。,3.2679106409827994
47927,0,没收到商品，一个月了，差劲。,14.873202355388779
30018,1,好，不错，得蛮多的，划算，喜欢,17.70698571745234
26817,1,到货好快。服务好！东西满意！,8.975390194916901
5006,1,手机不错，屏大清晰，速度快。,13.597678033731956
44936,0,洗了掉色特严重，很硬，还没穿,30.090644689123796
16856,1,还味吃，现在觉得苹果越来越甜了,26.288823422782702
3845,1,不错 很喜欢 华为平板666,62.394103134746544
28242,1,洗发水好用，洗过头发很清爽…,17.547934741688344
42123,1,可以 比较满意 穿了再来评价,11.840034004919254
34621,0,有一瓶盖子烂了，流的到处都是。,15.083256590584309
33650,0,使用一般，和国货区别不是很大！,10.580803871499736
5554,1,好好的一个好的自己选的好好好货,53.90732014659652
30937,0,说好的吹风机在哪！太垃圾了！,13.736705206891347
60557,0,服务很一般，设施和装修也不好。,5.27688493561196
46810,0,真的和网上看的差别真大，好垃圾,8.574083703302794
25754,1,看着还可以，小的赠送旅行装不错,22.941820478867598
43705,0,物流太慢太慢，衣服不怎么样，,9.573889198782782
