,labels,text,neg_logits,pos_logits
23455,0,[MASK]车。第二部就不该拍竟然还出第三部,2.5111575,2.1373162
37994,1,[MASK]车。局气！规矩！管虎导了俩影帝了！,3.2304673,1.6041543
45474,0,[MASK]车。前半段真好看，后半段越来越萎,2.7571847,1.2341148
37018,0,[MASK]车。前面的剧情看得我尴尬癌都犯了,2.5407186,1.7429285
39152,0,[MASK]车。混乱的情节，特么矫情无下限。,2.821073,2.4314911
4952,0,[MASK]车。适合能静得下心和有故事的人。,2.4719713,2.2358057
49922,1,[MASK]车。最是人间留不住朱颜辞镜花辞树,3.322947,2.8632417
18895,1,[MASK]车。超级治愈又感人，狗狗真的好暖心,2.2075026,1.1028134
16855,0,[MASK]车。密室设定很有意思，可惜未能维持,1.9141518,1.1905032
33344,1,[MASK]车。原来巴萨的德国馆还有这个用处,2.891576,1.1360883
43014,1,[MASK]车。丫丫真的太美了，前夫哥好可爱,3.0895662,1.5509725
30945,0,[MASK]车。烂的一逼，啥都没有，狗屁不通。,3.4379323,2.2097778
11202,1,[MASK]车。这个玛丽苏我喜欢很好看求续集,2.9092717,1.3161564
43097,1,[MASK]车。看了点映，好多戳中我泪点??,2.5310972,1.82415
7229,0,[MASK]车。郑恺和郭采洁还挺有cp感的。,2.4505126,1.1543417
46824,0,[MASK]车。民乐要靠二次元来拯救了嘛……,2.2459297,1.8586503
44791,1,[MASK]车。反正我追完了，为了女主的颜值,3.1923985,1.2619574
40750,0,[MASK]车。我朋友说，她尴尬得想原地去世。,3.1087284,2.0298333
24357,0,[MASK]车。今年作品太多了，有点透支了。,1.9248705,1.391461
12065,0,[MASK]车。我是真的觉得孙悟空的扮相太丑了,2.6846993,2.4682696
44782,1,[MASK]车。还可以吧……感觉题材还算新颖,2.5520453,1.8212216
11314,0,[MASK]车。看完情圣来评评这部这部比情圣好,2.57759,1.1682873
19047,1,[MASK]车。它令我想起曾经怦然心动的轻吻,2.9759786,2.2711654
45899,0,[MASK]车。发哥抄着烂片专业户就去了。。。,1.757127,1.4522455
14214,0,[MASK]车。第一集演得什么玩意儿，尴尬死了,3.5772727,2.5850828
31414,1,[MASK]车。热热闹闹的，看得我好开心啊。,3.4555995,1.0394694
25276,0,[MASK]车。煽情煽成了MV，大家都笑了。,3.0092516,1.3184589
47776,1,[MASK]车。最喜欢的科幻故事，很成功的改编,2.6183028,1.5761853
45012,1,[MASK]车。还算可以哦，故事讲的挺精彩！,2.5675902,0.6140245
49786,0,[MASK]车。被黑天鹅惊艳到了！美轮美奂！,1.945207,1.520799
11029,0,[MASK]车。到底在演什麼啊？？大爛片！！！,2.9071214,3.7711244
30704,1,[MASK]车。卧槽我竟然看过啊啊啊啊啊啊啊,2.8515596,2.1994731
3121,1,[MASK]车。你无车无楼无番狗做乜要拖我手,2.540995,2.3024828
9512,0,[MASK]车。最弱版劳拉了吧？太弱了太无聊了,2.7765179,0.5229012
15976,0,[MASK]车。重拍经典，孩子对恐惧的克服。,2.1568491,1.5240916
26862,1,[MASK]车。太好看了！笑得我内分泌失调！,3.450045,2.047132
30395,0,[MASK]车。本来两星，加一星给受罪的演员吧,3.579587,1.4897891
22972,0,[MASK]车。《星际特工：全宇宙看我们尬爱》,2.067102,1.3793559
30570,0,[MASK]车。特效不错啊，但剧情就大简单了,1.8362594,1.6050718
20588,0,[MASK]车。气氛到位，演员不存，故事简单！,2.7022617,0.9673334
13869,0,[MASK]车。看的点映，形式“精致”的大烂片,2.2330647,1.8937775
24216,1,[MASK]车。最后居然没搞你们还是人吗？？？,2.8491073,1.6960835
32991,0,[MASK]车。平淡真实不温不火我没懂哭点在哪,3.4680486,1.4001831
1732,1,[MASK]车。其实伍迪哈里森演的是一个天使,2.0811427,1.7115077
4472,1,[MASK]车。陈可辛拍商业文艺片真的不错~~,2.61992,1.8711356
33439,0,[MASK]车。泡泡妹子打打架，兄弟情在哪？,2.9878645,1.9652944
11847,0,[MASK]车。一部非常尬的电影。不推荐观看。,2.342138,2.2141712
16369,0,[MASK]车。张艺谋式的漂亮画面，何必3D。,1.7990667,1.4352273
31321,0,"[MASK]车。我不信你们没东西怼地雷啊=""=",2.4453099,0.82451844
18949,1,[MASK]车。少男少女必看，爱与美的启蒙。,2.129685,1.4859413
32102,1,[MASK]车。迪斯尼的动画很赞，配乐很好听！,1.9485439,1.2979013
9630,1,[MASK]车。喜欢坎妹素颜的劳拉，期待后续。,2.7752252,0.4488286
1571,1,[MASK]车。演小安生的小朋友很像岳云鹏啊。,3.4300594,2.1942785
38226,1,[MASK]车。你猜不到的结局…猜不到的惊异…,3.321121,1.923124
17406,0,[MASK]车。卡尔文老师不是触手，是海蜇皮啊,3.1832886,1.3916801
24554,1,[MASK]车。我不会说情话，只知道陪着你。,3.103811,2.0113502
6181,1,[MASK]车。腕龙站在码头哀嚎的场景太泪目了,2.985326,2.6742914
6583,0,[MASK]车。比较难看的伪记录僵尸片...,1.7253454,1.9148425
6224,0,[MASK]车。cctv6盛产类似的古装片……,2.69782,2.34536
39086,0,[MASK]车。打一星以上的人都是咋想的！！！,3.8822174,1.5289812
14019,0,[MASK]车。好吧，为了阿姨们的搏命演出。,2.5046475,0.9164856
10409,0,[MASK]车。勉强合格。觉得周冬雨有点厉害。,2.586912,-0.61436445
24108,0,[MASK]车。Highlyoverrated,1.7230563,1.0002383
21295,0,[MASK]车。干了这碗毒鸡汤，来世不见张嘉佳,2.8142052,2.115386
6067,1,[MASK]车。妈的吓死我了叫得我嗓子都哑了,3.322224,2.6986635
9505,0,[MASK]车。寻父，遇彦祖。掘墓，炸病毒。,1.5548818,1.942763
41265,0,[MASK]车。嗯电影院椅子挺舒服，睡得挺好,1.2116903,0.8678145
48553,1,[MASK]车。Pixar真的没有让我失望过。,1.6653352,0.4770941
24690,1,[MASK]车。看完只想把所有好东西都给它……,2.023148,1.3674979
6635,1,[MASK]车。我给你四星，反正我就是胆小。,2.7164419,1.0076308
4338,1,[MASK]车。除了人贩子，所有人都是受害者,2.9330256,2.387458
25535,1,[MASK]车。逃离已知世界的勇气令人敬佩。,2.4228725,1.7646701
17716,1,[MASK]车。老一套温情，稍稍让我有点麻木,2.5093045,1.244831
47637,0,[MASK]车。我特么就想知道那句中文是什么,2.8909347,2.1124513
8508,1,[MASK]车。好看！但是最后那关不过瘾???,3.2639368,1.8347683
23534,1,[MASK]车。谁能拒绝穿护士服的余春娇呢？,3.3266714,2.0640173
26207,0,[MASK]车。太恶心了~不要看~建议哈···,3.5722017,3.228732
28591,0,[MASK]车。主角明明是章鱼，你叫潜艇总动员,2.557213,2.4654155
19643,0,[MASK]车。没看。但是五星水军太恶心了。,2.9652221,1.3502034
31415,1,[MASK]车。爽着爽着导演就给你喂了一口屎,1.8843158,1.6079751
2047,0,[MASK]车。好的地方都是老舍的。★★★☆,2.234186,1.0071754
9358,0,[MASK]车。感觉在铁匠铺呆了一宿。。。。,1.4205655,0.8032293
27611,1,[MASK]车。勇敢、努力、坚强的女孩都是公主,2.9111304,2.0654602
24947,0,[MASK]车。埃德加赖特的GTA6？太屎了,2.5020049,0.6563233
24137,0,[MASK]车。小哥有精神洁癖呀，这点好赞。,2.332259,1.1348305
18739,1,[MASK]车。永远不要忘记你所爱的人，感动,2.9822004,1.1990936
26928,0,[MASK]车。把所有人都拍这么难看太不容易了,2.3295057,1.308683
15616,1,[MASK]车。就想知道睡觉打呼噜的人怎么办,1.2312657,1.4682354
49084,1,[MASK]车。能把蒜皮当雪花的姑娘你真好。,2.5620093,1.273553
46654,0,[MASK]车。我没想到加分项竟然是景甜老师。,3.2909815,1.5567653
31054,0,[MASK]车。交通安全宣传片，情感关系咨询片,3.3372688,1.4580718
22682,1,[MASK]车。Kylo在色誘Rey啊啊啊！！,2.9286888,1.2629598
21126,0,[MASK]车。演员升级，故事降级，无聊透了。,2.6905692,1.7565353
19669,0,[MASK]车。车行径你妈逼去死！杀人凶手！,2.6767945,1.8577083
38351,1,[MASK]车。最后奔跑拥抱那里真的好感动。,2.688413,0.7302555
29835,0,[MASK]车。女个坏女人挺好看的，好友真真,3.5116599,1.8267635
20290,0,[MASK]车。犯我中华者，虽远必诛其超市！,2.6470656,2.9926264
32379,1,[MASK]车。我眼拙。不过剧情还是吸引人的。,2.6332476,2.154085
7517,1,[MASK]车。看哭了，我是不是自我代入太努力,2.4708607,1.4185182
47322,1,[MASK]车。生命不止，奔跑不息。励志电影,2.6643372,1.3427315
48159,1,[MASK]车。全片都是彩蛋。最后两个彩蛋。,3.0327518,1.7464001
39334,0,[MASK]车。馮小剛的電影，簡稱「尬影」。,-0.6152942,1.1255167
30801,0,[MASK]车。特效不错吧，其他没什么感觉。,0.972476,0.90413904
48912,0,[MASK]车。莫名其妙，演到一半变得毫无逻辑,2.551652,1.8784747
27998,0,[MASK]车。好玩，看完很放鬆的輕鬆喜劇。,1.3667713,2.1364837
5783,0,[MASK]车。为了第三部放恐龙也是牛逼……,1.7075232,1.5268987
25444,1,[MASK]车。剧情紧凑，案件逼真，很好看。,2.90988,2.118372
45902,0,[MASK]车。发哥近年来也都是接的烂片子啊,2.6723251,2.0149488
41165,0,[MASK]车。不是赵丽颖差，而是朱琳太好。,3.5615435,1.7198869
3114,0,[MASK]车。题材不错，可惜片子真的很一般。,2.727845,2.6631162
28516,1,[MASK]车。披着科幻片外衣的恐怖悬疑电影,1.9273527,2.3359451
45673,0,[MASK]车。他们都在打酱油不要冤枉甜老师,3.214492,1.4946679
44474,0,[MASK]车。虐杀白垃圾的感觉真的会超爽吧,1.994321,1.0048532
2914,1,[MASK]车。verycd上的三级太强悍了,1.2149758,0.019818082
36553,1,[MASK]车。比我想象的好看，和妈妈一起看的,2.7508056,2.2350845
35983,0,[MASK]车。世人久不见苍鹰，竟觉秃鹫美。,1.6967062,3.5067682
24574,1,[MASK]车。看完了真的值得深思，很有深意。,2.7405367,1.6996565
16765,1,[MASK]车。赞美可爱善良孝顺的帕丁顿熊！！,3.465582,1.5784731
3072,0,[MASK]车。忘了讲什么了。7分吧。看完了,3.2550535,1.6838181
43841,0,[MASK]车。立体机动装置的镜头拍得真是丑啊,2.476176,1.4274325
13535,1,[MASK]车。答应我一定要去看3D的好吗？,2.3540773,2.214103
27935,1,[MASK]车。能吓到人的恐怖片就是好恐怖片,1.206297,1.6360551
37463,1,[MASK]车。“这房间里面的书都是你的了”,2.3862638,1.4481095
17012,0,[MASK]车。傲慢自大的朝鲜人领导了此电影,1.9332883,1.5209794
50167,0,[MASK]车。下錯片來看了，這片看著噁心。,0.7779495,1.332223
25900,0,[MASK]车。把功夫都用在P超人的胡子上了,2.134023,1.2714844
43522,1,[MASK]车。我不管反正我看哭了我要给五星,3.118983,1.4951881
14127,0,[MASK]车。梦蝶的发型是模仿鲶鱼设计的吗？,3.4241915,1.813338
40591,1,[MASK]车。“你出得了海，你上得了岸吗？”,2.5327652,1.9550247
23780,1,[MASK]车。绝望感，徒劳感一点点地蔓延。,1.7449026,1.4744084
33622,0,[MASK]车。哇，大咖云集的大烂片。。。。,1.5365208,2.4724455
6131,1,[MASK]车。真正的大片，真正的视觉盛宴。,1.3854351,2.0310566
49046,1,[MASK]车。仗义每多屠狗辈，负心总是读书人,2.1979988,2.1316376
23480,1,[MASK]车。你爱我我爱你你变成我我变成你,2.6018727,1.4614662
30778,0,[MASK]车。只是猩猩版的胜利大逃亡或者越狱,2.5696487,1.6479292
26793,1,[MASK]车。休闲娱乐的一部童话故事片子。,2.6734056,2.5578232
47988,1,[MASK]车。尊重与认同，是靠实力争取来的,2.631094,1.2459782
7844,0,[MASK]车。最后还逼着看了场广场舞好尴尬啊,2.4051461,1.2702937
16611,1,[MASK]车。休格兰特荣升英国周润发宝座【,4.1749825,1.8544301
7068,1,[MASK]车。最后怎么突然就玄幻起来了？！,2.4461632,1.6887317
33251,1,[MASK]车。反转反转大反转，值得好好用心看,3.531748,1.9687973
34533,0,[MASK]车。三星半吧。女主挺美。剧情太扯。,3.2820272,0.5863024
41274,0,[MASK]车。我不懂林志玲存在的意义是什么,2.7141829,1.6939347
2571,1,[MASK]车。我还蛮喜欢的vintage耶,2.5847027,0.76158035
7017,0,[MASK]车。视听成熟，剧作幼稚，表演出色。,2.8800623,2.4624586
33663,0,[MASK]车。渣看首映看的睡着为中国电影难过,2.9275043,2.3083801
