,labels,text,ppl
30574,0,怀疑是假货，洗发后感觉很不好,13.55984921060358
7598,1,手机质量很好哎，就是没有送礼品,7.083935545157352
43849,0,有差异的产品，下次不会选购了,7.773300317334948
10361,0,东西搭配了一堆没用的，给差评,9.3894917976766
3099,1,一般般 会有卡顿 看电影还行,47.965971563759936
28438,1,不错很满意，物流小哥很给力。,8.243258255234224
34577,0,京东的配送就这样吗？真是失望,6.9352181536158
12015,0,非常不满意，大型游戏根本玩不了,3.8916702505974246
31819,0,垃圾京东，收钱不发货，趁早倒闭,21.602493080134643
42623,1,衣服面料很舒服，柔软，大小合适,5.165030780262045
43428,0,哎与图片差距太大真心接受不了,11.97687405632484
38964,1,面料很好，款式时尚 穿上很舒服,5.549077369591403
32231,0,洗发水不正宗的，洗完头皮屑很多,18.512900819894448
17545,1,京东商城的商品实惠，继续支持！,4.992553697476354
36576,1,蒙牛出香蕉奶啦 味道还不错哦,29.282175769402
6653,1,快递速度很快，平板用了还不错。,9.92753946196452
39896,1,大小合适，有弹力，辉常满意！,20.162151111685645
38971,1,刚收到货，很好，物超所值！！,12.105318508626532
41286,1,穿上变得特别帅，怎么呢？嘻嘻。,10.764745313033263
29583,1,超值值得购买！便宜实惠真的很好,5.5624145773196725
12956,0,不咋好，显示不清楚，想贴膜的,29.78641554919107
31712,0,不好，这么贵还不好，我也是醉了,13.807621526434863
31680,0,啥时候到啊下单好几天了还没到?,17.198574299720377
60362,0,很一般，价格不高，但设备差！,10.621866680231594
45785,0,没穿几次就破2个洞，做工不好。,29.22260285875206
30820,0,被坑了，不好用，只能给一星?,43.226184556193516
10933,0,送货师傅不错，平板质量一般般,13.35891280038127
40218,1,穿上很舒服，面料不错，蛮好的,6.320241422897308
36597,1,蒙牛滴。。。口感醇厚，不错～,66.1044405213163
47403,0,衣服不行 ！！！ 快递也不给力,18.476922742751846
42213,1,质量好，做工精细。非常满意！,3.947825026012538
31785,0,不好用，味道太浓，不适合男人,9.688680496534989
46015,0,质量没有想像的那么好，不要上当,6.446551856086157
42170,1,款式新颖，又合身，孩子很喜欢,5.487492589319861
43150,0,欺骗消费者！！！严重不符！！！,12.088793931748503
45415,0,商品没图上的好看，面料也不多好,20.18935906563045
30230,1,价格实惠，服务好，东西不错。,4.075820280134378
47927,0,没收到商品，一个月了，差劲。,12.652630528207734
30018,1,好，不错，得蛮多的，划算，喜欢,21.338579497074246
26817,1,到货好快。服务好！东西满意！,7.050702610406501
5006,1,手机不错，屏大清晰，速度快。,11.032668473566154
44936,0,洗了掉色特严重，很硬，还没穿,39.037570459476825
16856,1,还味吃，现在觉得苹果越来越甜了,17.880357518122253
3845,1,不错 很喜欢 华为平板666,34.57495057005913
28242,1,洗发水好用，洗过头发很清爽…,17.750791556520497
42123,1,可以 比较满意 穿了再来评价,11.76373820122376
34621,0,有一瓶盖子烂了，流的到处都是。,12.07055649459989
33650,0,使用一般，和国货区别不是很大！,10.023983920603529
5554,1,好好的一个好的自己选的好好好货,31.516007300099318
30937,0,说好的吹风机在哪！太垃圾了！,10.61183187376671
60557,0,服务很一般，设施和装修也不好。,5.892007253518711
46810,0,真的和网上看的差别真大，好垃圾,8.272221344059924
25754,1,看着还可以，小的赠送旅行装不错,20.64020303196832
43705,0,物流太慢太慢，衣服不怎么样，,9.3983392794459
18630,1,个头小但很甜，用来做早餐正好。,7.956988436775067
41784,1,商品不错，物超所值。真实体验。,7.422649264217931
45106,0,非常一般，不推荐，不要贪便宜,5.055731842645389
31546,0,昨天收到今天就降价，太过分了！,9.834648955303644
43624,0,有股刺鼻的味道，还特别脏，差评,10.436909373721045
10107,0,差评，保护壳都没有，5星差评！,11.275225676659176
32824,0,不好用，不适合我的发质，起头屑,14.906453638088307
4883,1,不错物流给力，值得信赖，正品，,12.328677188484917
31305,0,发来就破了。。懒得跟客服叨叨了,37.547101428397376
17539,1,性价比真他们高。。。。够味还脆,131.51761214291258
3991,1,不错，给妈妈玩游戏用的，很喜欢,6.519852181654527
35438,1,安装好了，还没用，感觉挺好的,9.06704097108053
10959,0,骗子。垃圾货。收到的卡装不了,23.476038532117016
38859,1,衣服挺好的，我一下子买了两件,3.579082254440304
33344,0,还品牌垃圾要死，越洗越多头屑。,43.24604085365895
11811,0,不好买来好后悔玩游戏好卡差评。,58.891923920291816
26497,1,一如既往的快，态度好，日期新。,11.97245307925289
39505,1,裤子面料不错的 版型很喜欢啊,9.821687714938896
34065,0,买了很多次，这次的是假货，失望,8.784214758318864
57426,0,服务不好。乱收费，非常不满意！,6.521653840039755
10211,0,cpu太差 一点都不流畅 亏了,44.51806375793233
6071,1,真正好PAD，学英语不用愁啦,51.744788600723005
46500,0,网上买几次都是烂货，不能相信。,8.842776846842247
39929,1,裤子的质量真的不错，值得表扬！,4.468125750372216
47506,0,穿了一次，扔了，好还是不好？,8.549066964082485
6287,1,屏幕够大，上手容易，物流很快。,7.856443134964409
39475,1,买回来很合适，老公很喜欢。。。,6.401013577254456
38335,1,质量非常不错，穿起来很舒服。,4.739687869538229
32710,0,就是好难受看到你日目的地后的吧,138.94562991765008
7812,1,帮朋友买的，反馈信息还不错?。,11.746247846113969
33424,0,快递丢失 不处理 没有维权渠道,8.17379124028801
39217,1,很不错哦，我又要在买多一条了,22.977893792930253
35260,0,这个商标都掉了，可能是二手货吧,11.048737228195103
19076,1,苹果包装完好，吃起来香甜可口！,8.76621648602987
