,labels,text
100346,0,智齿和赵老大共同成长！[泪]
81690,0,拜仁估计没戏了… [泪][泪]
4360,1,哎呀~ 可别得罪偶呦~[哈哈]
39871,1,珊瑚[可爱][兔子][熊猫]
37764,1,[哈哈]//@王牧笛: 笑喷了
110241,0,原来是这样的啊~[晕][黑线]
37581,1,亲们，新年大吉大利奥[鼓掌]~
17572,1,晒得我变成半个土著人[嘻嘻]
41148,1,我玩过比这个还邪恶的[嘻嘻]
59922,0,必须严惩这样的禽兽父母。[怒]
52469,1,就像等候在产房的爸爸[嘻嘻]
107534,0,Me4被机器人MM发现了[晕]
102889,0,又能逃往何处呢？[晕][衰]
114859,0,[泪] //@卢中强:[泪]
19108,1,@檐间飞鸟 送你一辆[哈哈]
37731,1,今儿这牛蛙还真挺棒的[哈哈]
53593,1,回家定被妈妈打PP。[哈哈]
79679,0,这………[泪][爱你][伤心]
36659,1,环肥燕瘦，各有千秋。[嘻嘻]
58164,0,你肥来了？居然自己吃独食[怒]
46318,1,这孩子有前途 ！！！ [哈哈]
37236,1,@samxxian [爱你]
31057,1,?萌[哈哈][爱你][围观]
62383,0,受伤了[悲伤][悲伤][悲伤]
68556,0,不爱你们……不带我划船[泪]
6064,1,[哈哈]@童?标 @羊羊羊的洋
60927,0,[晕]童鞋们好像没有这种困惑呢
65424,0,[悲伤]又没得奖，这都几次啦~
39175,1,[哈哈]见过最逗的清明节故事
82168,0,这片子把哥感动了。泪流[泪]
103361,0,可孤独就很难忍忍就过去了[泪]
94279,0,知道麻麻的厉害了吧！[怒骂]
