,labels,text,neg_logits,pos_logits
30574,0,[MASK]好。怀疑是假货，洗发后感觉很不好,9.082378,11.665722
7598,1,[MASK]好。手机质量很好哎，就是没有送礼品,8.129524,12.075259
43849,0,[MASK]好。有差异的产品，下次不会选购了,7.8941436,9.364394
10361,0,[MASK]好。东西搭配了一堆没用的，给差评,10.12555,9.7266865
3099,1,[MASK]好。一般般 会有卡顿 看电影还行,8.645937,10.310802
28438,1,[MASK]好。不错很满意，物流小哥很给力。,8.9349575,13.186764
34577,0,[MASK]好。京东的配送就这样吗？真是失望,10.479527,11.220858
12015,0,[MASK]好。非常不满意，大型游戏根本玩不了,9.353627,11.460033
31819,0,[MASK]好。垃圾京东，收钱不发货，趁早倒闭,8.628943,9.676522
42623,1,[MASK]好。衣服面料很舒服，柔软，大小合适,5.94994,11.39462
43428,0,[MASK]好。哎与图片差距太大真心接受不了,7.3763404,9.7935505
38964,1,[MASK]好。面料很好，款式时尚 穿上很舒服,6.6347475,13.4478245
32231,0,[MASK]好。洗发水不正宗的，洗完头皮屑很多,9.808076,10.607482
17545,1,[MASK]好。京东商城的商品实惠，继续支持！,7.170252,11.487924
36576,1,[MASK]好。蒙牛出香蕉奶啦 味道还不错哦,8.546878,10.647876
6653,1,[MASK]好。快递速度很快，平板用了还不错。,7.569423,12.765834
39896,1,[MASK]好。大小合适，有弹力，辉常满意！,5.809948,12.086331
38971,1,[MASK]好。刚收到货，很好，物超所值！！,7.254221,13.261229
41286,1,[MASK]好。穿上变得特别帅，怎么呢？嘻嘻。,8.423098,10.906577
29583,1,[MASK]好。超值值得购买！便宜实惠真的很好,6.539256,12.6547985
12956,0,[MASK]好。不咋好，显示不清楚，想贴膜的,6.7801185,7.2162914
31712,0,[MASK]好。不好，这么贵还不好，我也是醉了,14.178214,10.237274
31680,0,[MASK]好。啥时候到啊下单好几天了还没到?,8.586693,9.334896
60362,0,[MASK]好。很一般，价格不高，但设备差！,8.963521,13.592683
45785,0,[MASK]好。没穿几次就破2个洞，做工不好。,12.093253,9.966171
30820,0,[MASK]好。被坑了，不好用，只能给一星?,8.591204,9.844529
10933,0,[MASK]好。送货师傅不错，平板质量一般般,7.7800374,10.93581
40218,1,[MASK]好。穿上很舒服，面料不错，蛮好的,7.0875483,12.626847
36597,1,[MASK]好。蒙牛滴。。。口感醇厚，不错～,8.445461,11.101759
47403,0,[MASK]好。衣服不行 ！！！ 快递也不给力,11.211004,10.028193
42213,1,[MASK]好。质量好，做工精细。非常满意！,5.227604,11.349374
31785,0,[MASK]好。不好用，味道太浓，不适合男人,10.468501,11.786548
46015,0,[MASK]好。质量没有想像的那么好，不要上当,8.272394,11.195653
42170,1,[MASK]好。款式新颖，又合身，孩子很喜欢,6.1244063,12.565359
43150,0,[MASK]好。欺骗消费者！！！严重不符！！！,11.893176,9.254963
45415,0,[MASK]好。商品没图上的好看，面料也不多好,8.570174,8.711386
30230,1,[MASK]好。价格实惠，服务好，东西不错。,6.4035993,11.350659
47927,0,[MASK]好。没收到商品，一个月了，差劲。,10.522266,10.930839
30018,1,[MASK]好。好，不错，得蛮多的，划算，喜欢,9.0303335,10.877916
26817,1,[MASK]好。到货好快。服务好！东西满意！,4.358639,10.294949
5006,1,[MASK]好。手机不错，屏大清晰，速度快。,7.8460383,11.6930485
44936,0,[MASK]好。洗了掉色特严重，很硬，还没穿,9.096647,11.405288
16856,1,[MASK]好。还味吃，现在觉得苹果越来越甜了,8.05981,11.3278885
3845,1,[MASK]好。不错 很喜欢 华为平板666,8.742479,13.135053
28242,1,[MASK]好。洗发水好用，洗过头发很清爽…,6.9834366,12.2977915
