,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,373.50461719455035
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,40.453200134853425
768,1,味道很好！送的也很快！好吃！,29.71894617979232
2518,1,菜品好，速度快，真是太好了！,12.372463191470398
7638,0,这家店就直接没送，接单不送的店,90.44781785698956
6583,0,送餐太慢太慢了～菜品还可以～,69.77543716417048
6692,0,"下次能送早点就好啦,快饿过劲啦",160.07232496516784
484,1,"很好吃量也很大都吃不完,赞一个",151.8384079518818
11295,0,下单2个小时才送到。无语了。,25.14483524767572
2826,1,谢谢师傅，辛苦了！非常准时！,38.33193404573657
11958,0,粉很好吃，但是订了卤蛋却没有。,92.55471786755966
4074,0,"吃到一半发现菜里有小强,简直了",70.44306756177016
1568,1,米饭是硬的。。不如上一次好吃,51.6796670216651
10881,0,米饭里有一只蟑螂，让人怎么吃,21.020872900184322
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,46.791161367850044
4765,0,很慢就不说了，关键是还不好吃。,11.683383371110699
370,1,态度很好，效率很高，给十分赞,27.70855443892614
11746,0,速度慢，第一次订餐就迟到，晕,64.50806235998503
8159,0,送餐走错路，袋子还破了………,63.895833284252376
2366,1,一直买他家的香脆鸡肉披萨，喜欢,15.234028917198653
866,1,"师傅辛苦了，谢谢,下雪注意安全",24.382313516716213
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,42.81367467243797
9911,0,石锅拌饭里面吃出了塑料包装纸袋,116.53459805676448
5045,0,菜品没味道。。。周也是。。。。,206.4997813234081
1563,1,又快又好又便宜！真心给力！！！,23.628322310492383
10234,0,面时间太长了，坨了，不好吃了,35.49402397207207
29,1,"送餐非常快,态度特别好,谢谢",38.60878664757112
6442,0,"太小了,味道一般,说多了都是泪",15.351530135584266
467,1,送餐员辛苦，饭也好吃，继续购买,21.26057962319609
58,1,"送餐特别快,送餐员态度也特别好",22.33434478475101
1652,1,很快，也好，包装也好，赞赞赞,27.33966917036695
4529,0,味道还行，就是送餐太慢了……,26.08477381048193
88,1,"又快又好,小哥态度很好,好评",12.983177267232099
4524,0,"味道就那样把,盖浇饭挺难吃的",116.41817042251375
3085,1,外卖小哥人超级好。。。。。。,143.59637385802628
10811,0,速度挺快的，面不好吃，都凉了,61.88058086614461
8052,0,"点两份鸡柳,就给送,一份。。。",434.4305508006066
5562,0,太慢，太小，吃不饱。味道还行,10.392115844706652
5132,0,不好吃。。。菜太少了。。。。,94.63854919445306
2537,1,配送非常快，10分钟就送到啦～,36.575055605774274
2730,1,人好速度快，好评好评好评！！,31.63719175581322
6256,0,米粉比以前份量少，没以前好了,19.91875050010082
2717,1,东西非常好，还是热的，辛苦了！,15.925647083663067
5791,0,给的豆皮果然多，只是肉变少了,280.5095642062327
434,1,很快，很好，经常订，谢谢师傅,25.377423818937544
2067,1,非常好吃，送餐很快，绝对好评,33.298427161659575
8096,0,就薯条还行！其他都不怎么样！,54.77901972423706
1952,1,味道还好。服务态度真的很好～！,9.184274440951647
6980,0,咋的跟饿了吗不一样的名，坑爹,316.05372098213667
2435,1,经常买这家的饺子，味道棒棒哒！,21.35683372242096
9055,0,没有在店里吃好吃，萝卜太多了,20.52675991374366
1653,1,除了速度有待加强，其他都不错,9.761691714934816
3654,1,没有餐具哦，还要自己点餐具么,50.295186670065824
1739,1,"服务不错,但是太难吃了啊啊啊",13.059753706730978
11045,0,面也太少了，才半盒，我就没吃饱,94.86892969370422
2626,1,非常的正宗，就是羊杂汤太咸啦,86.46569704896078
7925,0,午餐肉实在太难吃了，千万别点,7.81175346287801
5910,0,真的不适合外卖，另外，真难吃,29.698232597896265
11336,0,我的电话打不通，不知道为什么,5.3358231853573095
809,1,很好，速度飞快，炸鸡有点火大,34.828424507871986
661,1,太快了！！简直是神速啊！！！,26.876834435260847
396,1,"第二次买了,挺好的,以后继续",11.86579700062629
5702,0,我备注要的粥，结果送来的是饮料,158.4703170076023
10859,0,赠送的黄飞红花生呢？没送啊！！,345.0123246470302
280,1,非常好送的很快，，，还是热的。,43.09350599182299
184,1,好好好！赞赞赞！态度好速度快！,36.89515022794671
2289,1,味道很好而且很实惠送得也很快,65.59513178570312
4775,0,包装牛逼，送餐速度……咳咳……,45.38253027637454
2711,1,"番茄醬撒了QAQ,其他nice",201.0973573713606
854,1,"粥里有头发,就没吃,剩下都好吃",64.4426205335813
5116,0,太慢了，俩小时连个解释也没有,25.220906664473862
2377,1,速度挺快的东西也挺好的给赞~,127.11889280769121
4429,0,肥肉太多吃的时候还把嘴唇拿破了,63.49978424816278
11423,0,饭菜都凉的，一个多小时才送来,56.31972528126862
7151,0,地三鲜，茄子里面有很多是生的,101.74017895189569
901,1,我吃出来一个钢丝球上的一个丝,46.3447169157193
5808,0,不好吃，包子还不熟，都硬邦邦的,60.57684204371333
2679,1,味道好，包装好，送餐及时，不错,20.734605231012278
11060,0,差评，退款太慢！我说的是百度！,37.709521781905586
10479,0,"送错了,打电话要求补送也不送",135.1264460351712
8079,0,送的时间太晚了，一个小时才送来,28.016985931672515
4617,0,送餐很慢，饿死了，味道很一般,31.955116055084325
2406,1,挺好的，速度也不错，以后还来,17.019769245359512
2682,1,大叔特别面善！饭食用料很好！,93.79454652426318
2442,1,大冷天的百度骑士真是辛苦了～,46.97289852784302
963,1,肉很多，味道不错，配送也很快,38.1517442313404
3617,1,饭菜香质量好，服务好，送饭快。,30.764039727772882
10792,0,一单元和二单元分不清...麻烦,6.654876868501431
2821,1,送餐快，阿田大虾一如既往的好吃,363.2159720162845
2108,1,菜挺多饭挺多就是牛肉丝质量一般,66.19824020100768
2832,1,送货很快，经常吃他家的，很棒,43.69966931259195
9713,0,送餐人员素质太差，不适合本工作,28.76620622968994
3122,1,"赞赞赞,很好吃,小哥送餐也很快",109.62811411259925
10897,0,味道还好，但是送餐实在是太久了,19.419347812964684
3793,1,都非常好，就是派送费有点贵！,31.91443521776696
6995,0,饺子都凉了还能吃吗，送来太慢了,51.42851957379917
1115,1,"好吃,就是太慢,两个小时才送到",30.746262764811174
6568,0,送餐慢，披萨巨小！还没餐具！！,457.27595216724313
2431,1,送餐很快，送餐人员很热情！～,21.41355808078137
1601,1,配送的真快，及时。很好好强大,176.4293898725087
7187,0,送餐太慢，等了两个小时，无语,70.22820506756351
3236,1,口味质量俱佳，送餐小伙很不错,220.44732529411098
7287,0,"咖啡撒了一兜子,还是凉的,服了",65.06364769779393
836,1,"很不错的一次,下次还会到这买",52.04529607148684
2663,1,送餐很快，菜很好，羊杂味道不错,48.21974772694332
9190,0,"每次酸奶都不给我带吸管,心好累",87.36869981234283
262,1,太快了，你是飞过来送餐的吧…,42.82673972226878
11078,0,接线员工态度太差。其他的还不错,29.274182812932107
393,1,速度很快，菜的味道也好！不错！,15.947124011742195
6382,0,汤横着就送过来了，撒到处都是!,169.95470652898445
9862,0,难吃的一逼，体验差，名不副实。,77.0004618665759
5440,0,肉太多了，送餐速度有待提高！,189.8085389248855
8739,0,"汤挺好喝的,就是米线没有米线味",58.62735291008905
10139,0,5555比以前的肉肉少了好多,48.213435976774335
8704,0,"味道不错,就是太慢了,真的很慢",9.479784439175635
3526,1,服务很好，送的很快，很有礼貌。,11.164694636050822
2947,1,宿舍信号不好，耽误了你的时间,9.010743347020343
8116,0,态度真差，喊什么喊！CBWD,310.9048246879595
771,1,都挺满意，送餐的师傅也很细心。,19.278529921775526
8579,0,盒子很精致，味道还好。整体不错,9.197960747308018
7305,0,撒的到处是。摩卡只有半杯了。,353.208542974716
10599,0,备注写好要生菜，结果送来不是,246.57705081538134
10977,0,"送的太慢了,2小时,菜都冷了",94.1448649042827
9176,0,"你吗,送了俩小时,太不靠谱了",105.39965355377643
2915,1,还不错，就是买回来面有一点陀,73.01858249510578
9393,0,太慢了，送来都凉了，态度各种差,76.3396200034159
6230,0,口味比之前差多了！换厨师了吗？,37.08981699267765
8449,0,图片与实物不符...根本没鸡腿,29.91858435601232
1005,1,快递小哥以后继续加速啊，加油,35.40690760953039
6607,0,"次次迟到n久~~,菜都是凉的",323.55030489692564
2226,1,价格偏高，不过倒是蛮好吃的。,15.401625263002636
1379,1,"难吃,难吃,难吃。凉了,凉了",5.668539651279617
11472,0,"味道一般般,不过送餐速度很快",35.625282636203764
7292,0,没有糖包，热巧克力要了只有一半,100.34678719472268
2993,1,很赞哟，小哥辛苦啦这么冷的天,76.73729263941391
472,1,速度很快，东西也不错，赞一下,8.21483200066283
8661,0,鸡肉味、牛肉味，不名物~~~,29.404108454256484
648,1,配送及时，味道佳。湖北人必吃,53.58352255185002
7455,0,1点多才送，饭真没以前好吃了,96.90139744467554
1606,1,评论晚了，不好意思哒，32个赞,44.48577475438279
