,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,190.14026998017627
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,11.96448918835065
768,1,味道很好！送的也很快！好吃！,3.7704560405938055
2518,1,菜品好，速度快，真是太好了！,4.096177121334329
7638,0,这家店就直接没送，接单不送的店,50.8593489629719
6583,0,送餐太慢太慢了～菜品还可以～,3.9402275846875368
6692,0,"下次能送早点就好啦,快饿过劲啦",64.65801894152636
484,1,"很好吃量也很大都吃不完,赞一个",17.868840029122573
11295,0,下单2个小时才送到。无语了。,7.000385643622567
2826,1,谢谢师傅，辛苦了！非常准时！,3.2201928604208123
11958,0,粉很好吃，但是订了卤蛋却没有。,30.378310677671866
4074,0,"吃到一半发现菜里有小强,简直了",18.368550081506132
1568,1,米饭是硬的。。不如上一次好吃,24.371197258478897
10881,0,米饭里有一只蟑螂，让人怎么吃,7.682838835872893
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,10.465711130425042
4765,0,很慢就不说了，关键是还不好吃。,22.053601942490925
370,1,态度很好，效率很高，给十分赞,5.203200824409665
11746,0,速度慢，第一次订餐就迟到，晕,11.545645166521147
8159,0,送餐走错路，袋子还破了………,14.317912530504415
2366,1,一直买他家的香脆鸡肉披萨，喜欢,5.128259471933719
866,1,"师傅辛苦了，谢谢,下雪注意安全",8.947072097651642
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,9.37308106523486
9911,0,石锅拌饭里面吃出了塑料包装纸袋,45.1168776977589
5045,0,菜品没味道。。。周也是。。。。,27.89516333136085
1563,1,又快又好又便宜！真心给力！！！,4.39260864191146
10234,0,面时间太长了，坨了，不好吃了,17.028588464070562
29,1,"送餐非常快,态度特别好,谢谢",3.4026115093845717
6442,0,"太小了,味道一般,说多了都是泪",4.427268255994163
467,1,送餐员辛苦，饭也好吃，继续购买,6.050915444073753
58,1,"送餐特别快,送餐员态度也特别好",3.919347113637056
1652,1,很快，也好，包装也好，赞赞赞,12.599828891063884
4529,0,味道还行，就是送餐太慢了……,2.931768980062709
88,1,"又快又好,小哥态度很好,好评",5.882407898795428
4524,0,"味道就那样把,盖浇饭挺难吃的",54.89832888243163
3085,1,外卖小哥人超级好。。。。。。,4.549198531209259
10811,0,速度挺快的，面不好吃，都凉了,11.34242025511197
8052,0,"点两份鸡柳,就给送,一份。。。",104.36449380955749
5562,0,太慢，太小，吃不饱。味道还行,7.674246161377603
5132,0,不好吃。。。菜太少了。。。。,6.963615179999263
2537,1,配送非常快，10分钟就送到啦～,3.5875525781059663
2730,1,人好速度快，好评好评好评！！,12.700318714360778
6256,0,米粉比以前份量少，没以前好了,12.890730265022682
2717,1,东西非常好，还是热的，辛苦了！,3.745882997342495
5791,0,给的豆皮果然多，只是肉变少了,23.886783251399816
434,1,很快，很好，经常订，谢谢师傅,5.364370856393777
2067,1,非常好吃，送餐很快，绝对好评,3.652800071721524
8096,0,就薯条还行！其他都不怎么样！,8.002867779050918
1952,1,味道还好。服务态度真的很好～！,6.022527727945383
6980,0,咋的跟饿了吗不一样的名，坑爹,53.970495245666044
2435,1,经常买这家的饺子，味道棒棒哒！,4.425899439809464
9055,0,没有在店里吃好吃，萝卜太多了,5.135592225950044
1653,1,除了速度有待加强，其他都不错,2.722339123058869
3654,1,没有餐具哦，还要自己点餐具么,26.969908412129925
1739,1,"服务不错,但是太难吃了啊啊啊",4.9852543463648376
11045,0,面也太少了，才半盒，我就没吃饱,17.78715566578213
2626,1,非常的正宗，就是羊杂汤太咸啦,11.654949624311014
