,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,150.7852316896792
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,16.39377557434442
768,1,味道很好！送的也很快！好吃！,4.402695338849099
2518,1,菜品好，速度快，真是太好了！,5.543192250381017
7638,0,这家店就直接没送，接单不送的店,37.04799607054904
6583,0,送餐太慢太慢了～菜品还可以～,5.058728445353296
6692,0,"下次能送早点就好啦,快饿过劲啦",76.92471687174393
484,1,"很好吃量也很大都吃不完,赞一个",17.714714845310354
11295,0,下单2个小时才送到。无语了。,10.18195957506211
2826,1,谢谢师傅，辛苦了！非常准时！,3.7518939771002016
11958,0,粉很好吃，但是订了卤蛋却没有。,57.25496691901602
4074,0,"吃到一半发现菜里有小强,简直了",18.267390413542596
1568,1,米饭是硬的。。不如上一次好吃,28.47936504127406
10881,0,米饭里有一只蟑螂，让人怎么吃,7.6880039607859
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,7.958427311032496
4765,0,很慢就不说了，关键是还不好吃。,21.99999590186424
370,1,态度很好，效率很高，给十分赞,7.504096613338376
11746,0,速度慢，第一次订餐就迟到，晕,14.452804364013485
8159,0,送餐走错路，袋子还破了………,19.140646311057218
2366,1,一直买他家的香脆鸡肉披萨，喜欢,7.271272806714768
866,1,"师傅辛苦了，谢谢,下雪注意安全",7.223677879843748
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,18.957231607478597
9911,0,石锅拌饭里面吃出了塑料包装纸袋,37.30149958780186
5045,0,菜品没味道。。。周也是。。。。,37.23569219270137
1563,1,又快又好又便宜！真心给力！！！,7.672393564196891
10234,0,面时间太长了，坨了，不好吃了,14.503205176520876
29,1,"送餐非常快,态度特别好,谢谢",5.036328061772898
6442,0,"太小了,味道一般,说多了都是泪",4.403592293603588
467,1,送餐员辛苦，饭也好吃，继续购买,6.406727787621909
58,1,"送餐特别快,送餐员态度也特别好",5.1356163916255495
1652,1,很快，也好，包装也好，赞赞赞,17.290304961133423
4529,0,味道还行，就是送餐太慢了……,3.816183440232811
88,1,"又快又好,小哥态度很好,好评",11.188686252716408
4524,0,"味道就那样把,盖浇饭挺难吃的",58.34650825487493
3085,1,外卖小哥人超级好。。。。。。,8.15465015237428
10811,0,速度挺快的，面不好吃，都凉了,15.023973654013446
8052,0,"点两份鸡柳,就给送,一份。。。",111.33288001879869
5562,0,太慢，太小，吃不饱。味道还行,7.836143528613627
5132,0,不好吃。。。菜太少了。。。。,10.016649101614338
2537,1,配送非常快，10分钟就送到啦～,5.239687397182993
2730,1,人好速度快，好评好评好评！！,18.69063966600394
6256,0,米粉比以前份量少，没以前好了,14.738564471016776
2717,1,东西非常好，还是热的，辛苦了！,5.510221103292993
5791,0,给的豆皮果然多，只是肉变少了,30.760093606751102
434,1,很快，很好，经常订，谢谢师傅,8.238199775786338
2067,1,非常好吃，送餐很快，绝对好评,5.737642749595381
8096,0,就薯条还行！其他都不怎么样！,11.288829198627418
1952,1,味道还好。服务态度真的很好～！,8.857236971242989
6980,0,咋的跟饿了吗不一样的名，坑爹,73.61914739667198
2435,1,经常买这家的饺子，味道棒棒哒！,7.1112485196575435
9055,0,没有在店里吃好吃，萝卜太多了,8.888601218777266
1653,1,除了速度有待加强，其他都不错,3.40010756488792
3654,1,没有餐具哦，还要自己点餐具么,33.005284860662535
1739,1,"服务不错,但是太难吃了啊啊啊",6.402922999203905
11045,0,面也太少了，才半盒，我就没吃饱,22.08615635936405
2626,1,非常的正宗，就是羊杂汤太咸啦,15.123351771506268
7925,0,午餐肉实在太难吃了，千万别点,5.835471909080515
5910,0,真的不适合外卖，另外，真难吃,7.4049906495541915
11336,0,我的电话打不通，不知道为什么,3.7887005119497497
809,1,很好，速度飞快，炸鸡有点火大,20.0946377163136
661,1,太快了！！简直是神速啊！！！,5.31123055442664
396,1,"第二次买了,挺好的,以后继续",4.574656716406319
5702,0,我备注要的粥，结果送来的是饮料,41.59094260072471
10859,0,赠送的黄飞红花生呢？没送啊！！,105.75260666173139
280,1,非常好送的很快，，，还是热的。,13.487652588506922
184,1,好好好！赞赞赞！态度好速度快！,4.588301507931222
2289,1,味道很好而且很实惠送得也很快,4.176313728308889
4775,0,包装牛逼，送餐速度……咳咳……,6.99641406572332
2711,1,"番茄醬撒了QAQ,其他nice",174.0622997084387
854,1,"粥里有头发,就没吃,剩下都好吃",30.117745306468898
5116,0,太慢了，俩小时连个解释也没有,8.698450685931915
2377,1,速度挺快的东西也挺好的给赞~,10.770535234578302
4429,0,肥肉太多吃的时候还把嘴唇拿破了,7.8036856099930665
11423,0,饭菜都凉的，一个多小时才送来,16.355960352268617
7151,0,地三鲜，茄子里面有很多是生的,13.298918847964167
901,1,我吃出来一个钢丝球上的一个丝,33.521299763980274
5808,0,不好吃，包子还不熟，都硬邦邦的,13.476148962613355
2679,1,味道好，包装好，送餐及时，不错,5.23455628823617
11060,0,差评，退款太慢！我说的是百度！,10.736312713779474
10479,0,"送错了,打电话要求补送也不送",33.616325199223795
8079,0,送的时间太晚了，一个小时才送来,6.5114283624926825
4617,0,送餐很慢，饿死了，味道很一般,7.555743196874948
2406,1,挺好的，速度也不错，以后还来,6.537427140809727
2682,1,大叔特别面善！饭食用料很好！,22.351596902659892
2442,1,大冷天的百度骑士真是辛苦了～,19.143206240133228
963,1,肉很多，味道不错，配送也很快,7.880332056843985
3617,1,饭菜香质量好，服务好，送饭快。,11.842064780228897
10792,0,一单元和二单元分不清...麻烦,3.9405203698117637
2821,1,送餐快，阿田大虾一如既往的好吃,28.052969498390894
2108,1,菜挺多饭挺多就是牛肉丝质量一般,8.363365626349879
2832,1,送货很快，经常吃他家的，很棒,6.0654406240192
9713,0,送餐人员素质太差，不适合本工作,5.939128360753167
3122,1,"赞赞赞,很好吃,小哥送餐也很快",10.40840216555828
10897,0,味道还好，但是送餐实在是太久了,11.2662726817608
3793,1,都非常好，就是派送费有点贵！,5.413955982128873
6995,0,饺子都凉了还能吃吗，送来太慢了,14.72855644805373
1115,1,"好吃,就是太慢,两个小时才送到",8.159243206403707
6568,0,送餐慢，披萨巨小！还没餐具！！,79.33054930959541
2431,1,送餐很快，送餐人员很热情！～,5.682059959802221
1601,1,配送的真快，及时。很好好强大,39.87197615312612
7187,0,送餐太慢，等了两个小时，无语,7.525644781234768
3236,1,口味质量俱佳，送餐小伙很不错,9.775979156756042
7287,0,"咖啡撒了一兜子,还是凉的,服了",21.86751019075408
836,1,"很不错的一次,下次还会到这买",13.465474632763653
2663,1,送餐很快，菜很好，羊杂味道不错,7.601370480900079
9190,0,"每次酸奶都不给我带吸管,心好累",30.769240565624653
262,1,太快了，你是飞过来送餐的吧…,24.68057101246532
11078,0,接线员工态度太差。其他的还不错,16.027528233501656
393,1,速度很快，菜的味道也好！不错！,4.393499639859332
6382,0,汤横着就送过来了，撒到处都是!,43.9605078029108
9862,0,难吃的一逼，体验差，名不副实。,26.10744776385356
5440,0,肉太多了，送餐速度有待提高！,6.146321758988674
8739,0,"汤挺好喝的,就是米线没有米线味",12.500222688044301
10139,0,5555比以前的肉肉少了好多,12.84653887676739
8704,0,"味道不错,就是太慢了,真的很慢",3.526724220448901
3526,1,服务很好，送的很快，很有礼貌。,4.017447153125949
2947,1,宿舍信号不好，耽误了你的时间,4.1653190174399946
8116,0,态度真差，喊什么喊！CBWD,80.60842949419944
771,1,都挺满意，送餐的师傅也很细心。,10.1484818878068
8579,0,盒子很精致，味道还好。整体不错,5.005622870454455
7305,0,撒的到处是。摩卡只有半杯了。,69.21719356943217
10599,0,备注写好要生菜，结果送来不是,47.819479257933054
10977,0,"送的太慢了,2小时,菜都冷了",22.25157143155514
9176,0,"你吗,送了俩小时,太不靠谱了",23.764958145809846
2915,1,还不错，就是买回来面有一点陀,20.219581891498322
9393,0,太慢了，送来都凉了，态度各种差,29.553279788164286
6230,0,口味比之前差多了！换厨师了吗？,4.750634318343256
8449,0,图片与实物不符...根本没鸡腿,9.727035008150722
1005,1,快递小哥以后继续加速啊，加油,9.813544417634656
6607,0,"次次迟到n久~~,菜都是凉的",51.20033592231712
2226,1,价格偏高，不过倒是蛮好吃的。,5.988762651998204
1379,1,"难吃,难吃,难吃。凉了,凉了",4.9822922751091
11472,0,"味道一般般,不过送餐速度很快",5.102429749147593
7292,0,没有糖包，热巧克力要了只有一半,31.058075410238406
2993,1,很赞哟，小哥辛苦啦这么冷的天,14.293898669601061
472,1,速度很快，东西也不错，赞一下,4.791499937795703
8661,0,鸡肉味、牛肉味，不名物~~~,17.575479969173017
648,1,配送及时，味道佳。湖北人必吃,11.386357651371329
7455,0,1点多才送，饭真没以前好吃了,16.04538872626567
1606,1,评论晚了，不好意思哒，32个赞,11.033037271368556
1879,1,送的有点慢…酱香卷还是很好吃的,25.03280657112072
7170,0,菜还不错，米饭有点馊了。。。。,8.76677483619555
9834,0,太慢了，两个小时才送来，都凉了,11.878863244805375
2283,1,送的早到了半个小时，味道很棒,9.285868501282636
2314,1,"鱼香肉丝的最好吃了,四川口味的",19.834355483488892
9720,0,连续吃几次就不好吃了，不耐吃,7.120455917870434
6351,0,呵呵了个呵呵，+1r，不开心。,30.6477248655047
879,1,饼味道一般吧，很少的一碗粥。,18.28033196038554
42,1,"很好吃,速递快,下次继续选择",10.925489323549462
3587,1,送货超级迅速，服务到位，好评,7.135641518629683
10985,0,严重超时不说，饭菜都凉了。差评,31.601833839931977
8326,0,用不着赶时间把东西都颠散了吧,16.139286108912625
2583,1,速度好快，送餐小哥态度超级好,6.8184828141697125
964,1,"味道不错！皮有点厚,继续努力",4.446530328996769
10858,0,东西少不说，说好的赠送花生呢？,11.151463253931757
10039,0,感觉比在店里吃的时候粗糙很多,4.175430993190616
235,1,味道不错连着好几天了都在喝！,6.2982294652554325
239,1,好喝！味道不错！送餐也很快！,4.627424478037515
8225,0,好小啊，味道也不是我喜欢的。,13.217234334137906
6454,0,送餐超慢，对店家真是无语了。,13.525308458101655
8728,0,"做的不够精细,凑合吃吃也还好",21.475784327310063
228,1,快递小哥特别好。奶茶棒棒哒！,5.577707197722261
2619,1,扬州炒饭几乎没有盐味…………,8.083598963730699
6892,0,真心太咸了，太咸了，太咸了，唉,4.523989378810183
2529,1,非常满意，感谢送货员和商家！,3.230417709769616
3963,1,还可以、分量也足、但是有点软了,8.889441730769521
1250,1,吃着味道很不错，也很实惠的店铺,5.792468869646648
6823,0,一共买了3个芒果，两个是生的。,6.454396412693823
371,1,每次量都很足哈！超级赞，好吃,10.449444751629697
127,1,送餐很快，这么冷的天气辛苦了,11.93506582099015
4623,0,快递恶劣到极点了，还耍小心眼,32.91951892428697
432,1,满意，很好，配送给力食物好吃,27.148104488513557
4162,0,配送时间过长，主要离得很近～,30.125727279453653
11158,0,蜗牛送餐速度，催了还挂电话！,22.944840627148356
3217,1,好吃又实惠，感谢快递员哥哥，,8.32647079008341
11335,0,都说了不要辣，为什么还有辣？！,14.072400968123437
7813,0,菜品不好，咖啡难喝，送餐太慢了,6.772717586634344
5651,0,送到的时候完全凉透了。。。。,5.610200099214525
2539,1,最爱吃的两样，而且送餐超快！,11.109222318937244
2961,1,两个都很好吃，配送大哥人很好,18.64755994713108
8040,0,味道很一般，不知道哪里怪怪的,3.317617239390234
11161,0,除了粉之外，其他的配菜有点老,15.835327621093606
7285,0,"加了奶油都不到盖子,什么情况",33.42489733695947
5471,0,"时间太长,卷没有kfc的好吃",24.540184941498158
10673,0,0星，受不了这app的假状态,71.36947479628243
1037,1,"很好,味道淡淡的,而且很干净",3.601445646330011
2093,1,经济实惠，又好吃，打包的还好,5.432548596814266
9610,0,茄子太甜，油太多，牛肉还可以,5.973449457431076
514,1,什锦蘑菇有些腻，饭量挺大的…,22.548844801341964
3004,1,送餐超快，半个小时不到就送到了,5.453625635177319
3818,1,骑士服务很好，商品质量也可。,16.46630523631945
6781,0,"时间一长,没送到就特别不好吃了",19.438188974201978
11796,0,速度太慢了，等了近一个半小时。,6.312347823561641
2976,1,快递小哥很给力，送的非常快！,3.5857538428718123
8594,0,"20-8的活动没了,不厚道。",50.59910539700905
1610,1,饭提前到了，而且还弄漏了真是的,44.20894897959085
2932,1,快递师傅态度超好，速度一流。,5.26551811198035
1784,1,"鱼香肉丝卷味道不错,南瓜粥还行",12.224375218255261
4415,0,土豆丝还可以，香菇的好难吃！,11.789169826026434
1314,1,"送餐师傅帅爆了,赛晓明超霆锋",588.6779739095754
11056,0,现在我就一句话我去你妈了个逼,28.500169993624006
6683,0,"猴子面包就给那么点奶油,无语了",35.272357714816366
11147,0,为什么烤肠付钱了，怎么没送啊,77.82277596816195
5089,0,菜太少了太少了。根本不够吃。,4.88240796214239
9206,0,送的太慢了。。。。。鸡挺好吃的,16.28586261005308
3076,1,服务很好！少了豆浆，又特地送来,9.047736530545603
2726,1,非常负责的快递员，很快很快…,4.385779517511694
3017,1,味道不错，百度骑士的速度很赞～,18.732139471447475
3633,1,眉州东坡的菜名不虚传！好吃！,19.748520723334863
7791,0,咖啡送错了，晕死，太不靠谱了,12.264748680405107
9943,0,"时间太长了。,餐到后都要凉了",71.87417704360682
1564,1,宇宙还是一如既往的给力！继续！,3.155092370686488
9067,0,三鲜的就是韭菜鸡蛋的，太坑爹,13.132355439101495
4210,0,没给我送，还成交。气死我了！,26.25881189358067
895,1,"经常买。,味道不错,。吃着方便",12.098916279510517
910,1,非常好吃，肉特多，连着吃了两次,5.468065112539328
9441,0,时间长，我加的一份米还没有送,41.50333147467857
7105,0,土匪猪肝不新鲜，其他菜也不好吃,11.418272103182723
3539,1,很快，师傅很好，很快就送到了,9.086894520009608
6800,0,明明要的中辣，结果一点辣都没有,10.59567476051829
3845,1,很快，服务很好，非常方便，好吃,7.747846849461072
11044,0,比预计的送达时间晚了半个多小时,5.9411192830889465
6810,0,全他妈辣椒，真坑，大家不要定,133.6656941717263
9044,0,整整两个小时，快递员才取餐…,19.879147019936372
4030,0,等了一个多小时，饮料盖子都破了,6.454925375649307
