,labels,text,ppl
82777,0,[泪] //@耿嘉晨：还真是,38.68167367612791
48250,1,爱上江西，没有理由！[哈哈],13.647116740924215
100168,0,计划赶不上变化[抓狂][泪],10.97506267374319
22319,1,芭其乐，大嘴快乐的家伙[爱你],62.06989019373565
70122,0,传统已逝??????[抓狂],31.50488010349346
6338,1,谢谢哈! 欢迎常来![鼓掌],17.312587609559326
20081,1,胖子手感好啊！[鼓掌][爱你],16.588611094068323
23064,1,生快！[干杯][蛋糕][鼓掌],48.428793354619785
84060,0,居然把我干儿子装脸盆里！[怒],47.85646891298352
93871,0,三哥总是这么的让人惊喜[晕],39.46136789630415
104161,0,此刻后：ko了... [晕],152.23034802221767
40416,1,[害羞][哈哈]@魔王1987,39.34979497588366
15376,1,随手拍祝大家周末愉快！[爱你],11.343008379987669
10199,1,是滴，美女。欢迎哦！[可爱],43.36762278100389
71224,0,偷贡品。不怕报应啊？。[衰],154.82082895654872
12238,1,[哈哈] //@独眼u:哈哈哈,26.011865943884068
77537,0,求二手智能手机。。。[抓狂],25.061572845424426
55063,1,是帮你挡酒的男的么？[嘻嘻],22.754064691902688
21548,1,原来很多国家都免签![哈哈],14.810435836332182
38076,1,百变大咖秀真的很快乐[哈哈],16.362099338312813
84198,0,[泪]//@那木错:[微风],138.08496797329485
27872,1,哈哈，强大[鼓掌][good],36.30618291165196
48051,1,眼睛一眨，美妞变辣妈！[哈哈],11.535380604886086
18029,1,祝大家十一小长假快乐[太开心],5.5583724746039
115177,0,[泪] //@袁腾飞:[泪],27.17708379799163
114619,0,可怜的风扇[泪] 我要等正版！,32.10547591650338
64870,0,固执的大叔这场又好危险[失望],47.50706059539977
74958,0,办公室都是孩儿他娘！！！[怒],42.07168144780322
77734,0,//@地狱中的八尾猫: [衰],55.1344233617858
51580,1,财神到我手?[偷笑][鼓掌],46.66395488707665
54352,1,爱吃牛排的童鞋举个手~[爱你],9.184430429651615
8324,1,开始喽，看起来吧！！[鼓掌],28.047125864863904
106626,0,受伤，是个超级不好的消息[衰],14.474018633899435
15031,1,[哈哈][哈哈]收费大调查。。,19.599964315566023
8249,1,用美食向大家说早安~[嘻嘻],16.767098168972247
59782,0,愚人节的游戏，银行也玩呀[衰],13.224041958326604
110113,0,[衰]弄破了，基本上不会复原！,15.497601097822317
11405,1,哈，回忆录写到哪了？[嘻嘻],20.13066142796178
81138,0,书人搬家，其实就是搬书[晕],37.202379547732825
14831,1,《时尚旅游》也玩街拍了[哈哈],10.794759110563158
51446,1,阿姨做的菜相当好吃呢[爱你],13.669008789115233
73965,0,Facebook 还在跌[晕],302.90971206897245
101129,0,[抓狂] 你是在哪里腐败~~~,22.650555313540803
104892,0,男人动手…[怒][怒][怒],17.89222315856751
66040,0,我在这里：#闸北区#吃饭[泪],49.039430810340825
87632,0,难得休息的，竟然感冒了[泪],16.686753881505417
96063,0,知道得太晚了，遗憾！[失望],9.118372579190773
81716,0,社会败坏的典型!?救了[衰],52.3711732887365
92195,0,姐，我给你跪下了，这才气[晕],33.06322242724193
95696,0,[泪]同意，让他们变成海豹!!,21.115243929690386
19351,1,//@好色小湿妹: [哈哈],33.11921277462484
41680,1,我觉得总结的很好，喜欢[鼓掌],7.919131942603268
21865,1,斯坦福正门左侧草坪。[嘻嘻],14.136293903197112
2453,1,[嘻嘻]重口味爱好者的福音来咯,8.031538156347779
48755,1,转给来北京玩的童鞋们[可爱],14.015743326006328
53195,1,偷偷发张我师父的照片[哈哈],9.916967668349663
12712,1,好样的！[嘻嘻]你家就你牛！,47.8852429339365
94030,0,早知道找你买了还能越狱[抓狂],46.63038698349847
40934,1,我上班能穿成这样吗？[嘻嘻],8.872398445211005
11905,1,[哈哈][哈哈][哈哈]翔子,9.576706392204994
56807,0,还有这么不要脸的[怒] 扩散,31.198644338821378
63131,0,最近压力让我头痛 [衰][晕],20.792765620476654
29589,1,@兔子奶奶熊的娘 还有[哈哈],54.04435183772669
101122,0,堵塞，不动！我快哭了！[泪],17.574517633477022
75355,0,下辈子该她被扔下去！！！[怒],62.157698632244895
70889,0,现在的快递啊，真心桑不起[泪],26.94671215883133
93899,0,我也有中奖的时候啊[泪][泪],7.43000301086527
7932,1,[哈哈]//@大藏布:[哈哈],32.764953035546796
4819,1,有趣的“悲剧”设计！[哈哈],8.23384780674148
112114,0,有把脚崴了。。。 大馒头[泪],73.35300780608634
9343,1,这透视，照成小短腿儿了[哈哈],43.11139862200629
86440,0,下冰雹了，我怎么回家呀[泪],23.315925097210094
82229,0,我也是男人//@???：[泪],25.55717572492998
34841,1,[鼓掌][鼓掌]期待精彩呈现,5.866348286673495
106204,0,[泪]同求 粉待亲粉待亲呀！,39.07276026687342
63072,0,回去换身衣服准备第三场[抓狂],24.95501317971972
108363,0,狗狗是人类最忠实的朋友！[泪],11.176021556277998
51324,1,[太开心] 过500了~ ?~,60.1306925542884
48652,1,家庭聚会，愉快的周末！[爱你],8.243496548714306
50046,1,这么有意境的菜~~~[哈哈],12.745247561333628
69366,0,我滴亲丸子啊[泪][泪][泪],37.82397759178257
18022,1,//@电商报: 啊~~[哈哈],26.19360997624705
11792,1,谢谢喜欢我家的玛克丽[哈哈],15.305190732925304
51645,1,我发现我就是来发微博滴[可爱],17.477961924018032
75967,0,见过好多，就是学不来啊[衰],24.84010064003647
55553,0,操，你他妈干的是人事嘛[怒],45.90850339530979
63799,0,我好像午饭忘吃了。。。[晕],20.220780670059117
2403,1,生日快乐，美女快乐哦~[嘻嘻],7.915270744927019
87818,0,[鄙视]//@钱文忠: [泪],45.41969823609916
42197,1,[good]我要好吃的[亲亲],49.95395635432693
2716,1,享受生活的乐趣[哈哈][?力],13.658528745450221
114496,0,我又错过了[衰]对不起唐老师了,16.39031787275068
39216,1,我的 剧照 ，?点咪[哈哈],204.50822366844008
78602,0,英语太烂，说不明白啊。[抓狂],11.738989972072046
677,1,[抱抱] 收藏，下班的时间看,20.085434018780116
76315,0,南方的小伙伴们，保重！[衰],20.505187527776187
67304,0,唉，又一轮轰炸即将开始[衰],15.847675384280727
44036,1,吼吼吼，怎么又回来了[鼓掌],15.295208301253277
9733,1,今天早餐从简[偷笑][嘻嘻],40.178801723572604
27440,1,真滴哇~~好啊好啊！[亲亲],33.57329504577499
2178,1,带着葡萄酒去蹭饭，[哈哈]。,9.256408928538656
49100,1,晚餐时间到！自己煮的[爱你],33.039198209694504
69009,0,//@Gummi_S:[泪],68.88341407304172
3699,1,大家多多帮黑哥投票哈[鼓掌],18.856858763531758
36275,1,陕西八大怪，面条想裤袋[哈哈],52.577515291625424
74734,0,有才！唉……[衰][衰][衰],13.754662826790549
10024,1,又一位收到材料的同学[鼓掌],11.5256736955725
13954,1,今天是全国电视屏保日[嘻嘻],14.02638056348526
9691,1,多增加几款好酒才素王道[哈哈],48.112058463324026
48990,1,再奋斗一天[哈哈]，度长假。,22.097667842870713
2741,1,这就是传说中的落水狗。[哈哈],7.911882627163952
76712,0,号称几十万的沙发[晕][晕],10.668958371332822
35080,1,这是你哥？为毛这么像？[哈哈],20.500366580258806
