,labels,text,ppl
8711,0,病人吃啊，挂面哈拉味，汤也腥。,174.30622698567603
5797,0,豆腐丝里吃出苍蝇，啥也不想说了,16.253917323891518
768,1,味道很好！送的也很快！好吃！,2.903204792495803
2518,1,菜品好，速度快，真是太好了！,4.1542088100743335
7638,0,这家店就直接没送，接单不送的店,45.9257552484164
6583,0,送餐太慢太慢了～菜品还可以～,3.463434611713892
6692,0,"下次能送早点就好啦,快饿过劲啦",55.509394272289
484,1,"很好吃量也很大都吃不完,赞一个",13.183813595517323
11295,0,下单2个小时才送到。无语了。,7.099190415747324
2826,1,谢谢师傅，辛苦了！非常准时！,4.20878061695199
11958,0,粉很好吃，但是订了卤蛋却没有。,25.402472307001478
4074,0,"吃到一半发现菜里有小强,简直了",14.211720999159702
1568,1,米饭是硬的。。不如上一次好吃,14.5998721710064
10881,0,米饭里有一只蟑螂，让人怎么吃,6.778969624424854
6353,0,咖喱鸡肉烩意面，不知鸡肉滋味,10.685092610439408
4765,0,很慢就不说了，关键是还不好吃。,15.872306471941727
370,1,态度很好，效率很高，给十分赞,5.518513179904571
11746,0,速度慢，第一次订餐就迟到，晕,10.431451296933753
8159,0,送餐走错路，袋子还破了………,16.387976710497846
2366,1,一直买他家的香脆鸡肉披萨，喜欢,4.831564611216236
866,1,"师傅辛苦了，谢谢,下雪注意安全",10.453797067083439
2743,1,又快又好棒呆了哈哈哈哈哈哈哈,8.59809499896486
9911,0,石锅拌饭里面吃出了塑料包装纸袋,36.59453854043533
5045,0,菜品没味道。。。周也是。。。。,28.218762331184998
1563,1,又快又好又便宜！真心给力！！！,3.6539168247190776
10234,0,面时间太长了，坨了，不好吃了,15.165770199845355
29,1,"送餐非常快,态度特别好,谢谢",4.286724892914184
6442,0,"太小了,味道一般,说多了都是泪",2.894818839380278
467,1,送餐员辛苦，饭也好吃，继续购买,6.654988569640117
58,1,"送餐特别快,送餐员态度也特别好",3.9109992655726273
1652,1,很快，也好，包装也好，赞赞赞,11.168645522075856
4529,0,味道还行，就是送餐太慢了……,2.6797934300468156
88,1,"又快又好,小哥态度很好,好评",7.261715874204279
4524,0,"味道就那样把,盖浇饭挺难吃的",54.90546576442691
3085,1,外卖小哥人超级好。。。。。。,5.120097453013313
10811,0,速度挺快的，面不好吃，都凉了,10.365822933655295
8052,0,"点两份鸡柳,就给送,一份。。。",100.08255673250476
5562,0,太慢，太小，吃不饱。味道还行,6.253747985360739
5132,0,不好吃。。。菜太少了。。。。,6.520175539729049
2537,1,配送非常快，10分钟就送到啦～,3.662004100519057
2730,1,人好速度快，好评好评好评！！,13.13053839978071
6256,0,米粉比以前份量少，没以前好了,14.461764996566318
2717,1,东西非常好，还是热的，辛苦了！,5.903586568106377
5791,0,给的豆皮果然多，只是肉变少了,24.449681654974494
434,1,很快，很好，经常订，谢谢师傅,5.885739018766728
2067,1,非常好吃，送餐很快，绝对好评,3.200928956898318
8096,0,就薯条还行！其他都不怎么样！,8.866575390772994
1952,1,味道还好。服务态度真的很好～！,5.477704414071489
6980,0,咋的跟饿了吗不一样的名，坑爹,64.18986303235535
2435,1,经常买这家的饺子，味道棒棒哒！,4.279065428900971
9055,0,没有在店里吃好吃，萝卜太多了,6.477389407530592
1653,1,除了速度有待加强，其他都不错,2.8182522618632144
3654,1,没有餐具哦，还要自己点餐具么,22.858193578748004
1739,1,"服务不错,但是太难吃了啊啊啊",4.1835330285309595
11045,0,面也太少了，才半盒，我就没吃饱,18.015467759609702
2626,1,非常的正宗，就是羊杂汤太咸啦,8.705891576213444
7925,0,午餐肉实在太难吃了，千万别点,6.184863871564761
5910,0,真的不适合外卖，另外，真难吃,5.561063878240755
11336,0,我的电话打不通，不知道为什么,4.569854000690941
809,1,很好，速度飞快，炸鸡有点火大,15.59302262510692
661,1,太快了！！简直是神速啊！！！,3.775817295241962
396,1,"第二次买了,挺好的,以后继续",3.5208664534695324
5702,0,我备注要的粥，结果送来的是饮料,36.57838630581177
